term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	-O	+U	-D	Phased Sortal	Butterfly is anti-rigid (~R) because it represents a specific developmental phase; an entity (a lepidopteran) can be a butterfly at one time but was previously a caterpillar, meaning the property is not essential for its entire existence. It carries identity (+I) and unity (+U) as it refers to a biological whole, but it does not supply its own identity (-O); instead, it inherits identity from the rigid type 'Lepidopteran'.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Attribution	Red is a non-sortal property (it provides no identity condition for its instances; we don't know 'how many reds' there are without referring to objects). It is anti-rigid because an entity that is currently red (like an apple) can cease to be red without losing its identity. It does not carry a specific unity condition as it can apply to both wholes and scattered amounts of matter, and it is independent because the property itself does not require a specific external relationship to exist.	
Food	http://example.org/guarino-messy#Food	~R	+I	-O	-U	+D	Material Role	Food is a role property because its instances do not necessarily remain food (anti-rigid); an apple is food, but if it rots, it ceases to be food while remaining the same physical object. It is externally dependent on a consumer (an organism to eat it). It carries identity (+I) inherited from the base sortal (e.g., Apple, Bread) but does not supply a unique global identity condition (-O). It is non-unifying (-U) because the unity of food is determined by its constituent substance or object rather than the property of being food itself (e.g., a pile of grain and a single apple can both be food, but have different unity conditions).	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type / Rigid Sortal	Animal is a rigid property because an instance cannot cease to be an animal without ceasing to exist. It supplies its own identity conditions (Type) that allow us to distinguish one animal from another throughout its existence. It carries unity (+U) as animals are intrinsic biological wholes, and it is independent (-D) as its existence is not notionally dependent on another external property in the way a role like 'Pet' or 'Student' would be.	
RedApple	http://example.org/guarino-messy#RedApple	+R	+I	-O	+U	-D	Quasi-type	RedApple is rigid (+R) because if an instance ceases to be an apple, it ceases to exist. It carries identity (+I) inherited from the type 'Apple' but does not supply a new identity condition (-O) unique to its color. It carries unity (+U) as it is a natural, intrinsic whole. It is independent (-D) as its existence doesn't depend on an external property in a relational sense (though color is an attribute, it's not a relational dependency like 'Student' or 'Parent').	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	+U	-D	Type	A Group (as a social entity or plurality) is treated as rigid (+R) because if an entity is a group, it cannot cease to be a group and remain the same entity. It supplies its own identity condition (+O/+I), often based on its constituent members and the relations between them. It carries a unity condition (+U) because it is a whole whose parts (members) are bound by a specific unifying relation (social or functional connection). While members are needed for its formation, as a generic concept, it is not externally dependent (-D) on a specific separate entity in the way a Role is.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type	As analyzed in the provided text, when disambiguated from its temporary political status, a Country is a Type. It is rigid (+R) because a country cannot cease to be a country without losing its identity; it supplies its own identity conditions (+O, +I) based on geographical and political boundaries; it possesses functional and topological unity (+U) as a discrete entity; and it is considered independent (-D) as it does not require a specific external instance to exist in the same way a Role does.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	~U	-D	Type (Non-Unity)	In this formal ontology, Amount of Matter is considered rigid (+R) because if an entity is an amount of matter, it cannot cease to be so without ceasing to exist. It supplies its own identity (+O/+I) based on extensional mereology (the same parts). However, it is anti-unity (~U) because any part of an amount of matter is also an amount of matter, and it lacks a unifying relation that distinguishes it as a single intrinsic 'whole' or 'count' entity; it is the archetype of a mass noun property.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Type	PhysicalObject is rigid (+R) because if an entity is a physical object, it cannot cease to be one without ceasing to exist. It supplies its own identity conditions (+O, +I) based on spatio-temporal continuity. It carries a unity condition (+U) as it is conceived as a whole (as opposed to an arbitrary amount of matter) and is independent (-D) as its existence does not necessarily require the existence of a separate external entity.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	-U	-D	Type/Sortal	A GroupOfPeople is rigid (+R) because if a group ceases to be a group of people, it ceases to exist in that form. It carries its own identity (+O, +I) based on the identity of its members (extensional identity). It is non-unifying (-U) because while it consists of wholes, the group itself is a collection/plurality and does not necessarily possess a single, inherent unifying relation (unlike a formal Organization). It is independent (-D) because it does not require an external property outside its own constituents to exist.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Type	LivingBeing is a rigid property because an entity that is a living being cannot cease to be one without ceasing to exist. It supplies its own identity conditions (biological/genetic continuity) and carries a unity condition (biological self-connection). It is independent as it does not require the existence of another specific external entity to exist.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	-I	-O	+U	-D	Category	SocialEntity is a rigid property (+R) because if something is a social entity, it is essential to its nature in all possible worlds. It is classified as a category because it does not carry or supply a single identity condition (-I, -O); the criteria for identifying a Country are incompatible with those for a Charity or a Club. It carries a unity condition (+U) because social entities are conceived as pluralities of beings exhibiting a specific 'social unity' (functional or legal) that makes them intrinsic wholes rather than mere sets or sums of people.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	-D	Category	Location is modeled as a Category. It is rigid (+R) because if something is a location, it cannot cease to be one while existing. It does not carry or supply a specific identity condition (-I/-O) because it acts as a high-level grouping for various types of regions (spatial, temporal) which may have different criteria for identification. It is non-unifying (-U) as locations can be connected or disconnected regions and do not necessarily form intrinsic wholes, and it is independent (-D) as its existence does not require a specific external property.	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	-O	+U	-D	Quasi-type	Fruit is a rigid property (+R) because if an object is a fruit, it cannot cease to be a fruit without ceasing to exist as that entity. It carries identity (+I) as it is a sortal, but it typically inherits its identity conditions from more specific types or the general category of botanical/physical objects rather than supplying a unique global identity condition itself (-O). It carries a unity condition (+U) because a fruit is an intrinsic whole with topological and morphological boundaries. It is not externally dependent (-D) as its existence does not require the simultaneous existence of a specific external entity (unlike a 'Part' or 'Role').	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	-O	+U	-D	Quasi-type	Vertebrate is a rigid property (+R) because an entity that is a vertebrate cannot cease to be one without ceasing to exist. It carries identity (+I) because it is a sortal, but it is typically considered a Quasi-type (-O) because it inherits its identity conditions from more specific types (like Animal or specific Species) rather than supplying a unique global identity condition for all vertebrates. It carries a unity condition (+U) as its instances are intrinsic wholes (biological organisms), and it is not externally dependent (-D) on another property to exist.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phased sortal	A caterpillar is a phased sortal because it is anti-rigid (~R); an individual (e.g., a specific lepidopteran) can cease to be a caterpillar while remaining the same individual. It carries identity (+I) inherited from its subsuming rigid type (e.g., Butterfly or Lepidopteran) but does not supply its own global identity condition (-O). It is a whole (+U) and is not externally dependent (-D) on another specific entity to exist in the way a role like 'Student' is.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Type	Person is a rigid property because an instance cannot cease to be a person without ceasing to exist. It supplies its own identity conditions (e.g., DNA or fingerprints) and carries a unity condition as a biological/functional whole. It is not externally dependent on another specific property for its existence (unlike 'parent' depending on 'child').	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	-U	+D	Material Role	LegalAgent is anti-rigid (~R) because an entity (like a Person or Organization) does not necessarily remain a legal agent for its entire existence. It carries identity (+I) inherited from its subsuming Type (e.g., Person), but it does not supply its own global identity condition (-O). It is externally dependent (+D) as it requires a legal system or contract to exist. It is non-unifying (-U) because it can be applied to both individuals (unitary) and pluralities/corporations with different unity conditions.	
Entity	http://example.org/guarino-messy#Entity	+R	-I	-O	-U	-D	Category	As the most general property in many ontologies, Entity is rigid (+R) because if an instance is an entity, it is necessarily an entity in all possible worlds. It does not carry or supply a specific identity condition (-I, -O) as identity is typically defined at lower sortal levels. It does not carry a specific unity condition (-U) because entities can be both wholes and non-wholes (like amounts of matter), and it is independent (-D).	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	+U	-D	Type	An Organization is considered a Type because it is a rigid property (an organization cannot cease to be an organization without ceasing to exist) that supplies its own identity conditions (such as legal registration or charter). It carries unity (+U) as it is a social whole with specific boundaries/parts, and it is independent (-D) in the sense that its existence does not typically depend on a specific external partner in a relational sense, unlike a Role.	
Agent	http://example.org/guarino-messy#Agent	~R	-I	-O	-U	+D	Formal Role	The property 'Agent' is anti-rigid (~R) because an entity (like a Person) can cease to be an agent without ceasing to exist. It is externally dependent (+D) because being an agent requires the existence of an action or event. It does not carry its own identity conditions (-I/-O) because we identify agents based on the underlying sortal (e.g., the Person or Organization acting as the agent). Since it covers diverse types with different unity criteria, it is non-unifying (-U).	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Type	Apple is a rigid property (+R) because an instance cannot cease to be an apple without ceasing to exist as that entity. It supplies its own identity condition (+O, +I) to distinguish one apple from another (e.g., biological/spatio-temporal tracking). It carries a unity condition (+U) because it is a physical whole with morphological and topological boundaries. It is not externally dependent (-D) on another specific property for its existence (unlike 'Food' or 'Fruit' in a functional/relational sense).	
