term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	-R	+I	+O	+U	-D	Sortal	A butterfly is an insect belonging to the order Lepidoptera, which means it refers to a specific biological type of organism. The property of being a butterfly is rigid because it is essential to all actual butterflies; if an instance were no longer a butterfly, it would cease to be that particular entity. However, the ability to persist without retaining the property of being a butterfly is what makes this a non-rigid property, as a caterpillar can become a butterfly without losing its current identity. This property also carries an identity condition since we know when two entities are the same butterfly. The Identity Condition is based on the individual organism itself rather than on its properties (which can change over time and still refer to the same butterfly, such as color changes or stage of life). Therefore, it supplies its own unique IC and thus has own identity. Butterflies are considered unifying wholes as they have an intrinsic unity defined by their physical composition and organization. Finally, being a butterfly does not existentialistically depend on anything else, as butterflies can exist independently.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"The term ""Red"" refers to the quality or color of an object. It is not an essential property of an object; an object could still have a particular identity even if its color was different. Therefore, it is a non-rigid property. Additionally, ""Red"" does not carry an identity condition because two distinct entities can both be red. Furthermore, the concept of ""Red"" as a property is independent, as objects can be red without being instances of any specific sortal. Finally, ""Red"" does not provide an intrinsic unifying condition; rather, it is a feature that can characterize different sorts of objects."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	-D	Category	"The term ""Food"" refers to anything consumed to provide nutritional support. It does not have a fixed essence that all its instances share in every possible world; rather, what qualifies as food varies by context, making it non-rigid. Food does carry an identity condition in some contexts, such as distinguishing between different types of nutrients and substances, but it does not typically supply its own unique identity criteria. Food instances are generally physical objects that can exist independently, implying independence. Food items do not form intrinsic unities as they lack a cohesive structure that defines their whole-part relationship consistently across instances."	
Animal	http://example.org/guarino-messy#Animal	-R	+I	-O	-U	+D	Sortal	"An ""Animal"" refers to a living creature belonging to the kingdom Animalia, which includes characteristics such as mobility, responsiveness, and the ability to grow and reproduce. This term is broadly used in contexts that discuss biological entities and is essential in defining these organisms. However, the term ""Animal"" itself is not rigid because it does not specify a necessary and sufficient condition that applies to all animals identically across all possible worlds; rather, it is a general category that includes many kinds of creatures with varying, yet interrelated, characteristics."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Mixin	"The term ""RedApple"" refers to a specific kind of apple that has the color red. Being an apple, it carries a certain set of properties that define the basic concept of an apple; however, the color red is not essential to what makes an entity an apple. Therefore, while we can talk about a RedApple, the redness itself is not rigidly tied to the apple's essence. In terms of identity condition, being a RedApple is related to the identity of apples in general, which means it is linked but not supplying its own unique IC. The unifying property here suggests that ""RedApple"" is a subset of a broader category such as ""Apple,"" implying some degree of unity. Lastly, the existence of an apple does not depend on having the color red, indicating that apples can still exist even if they aren't red. Thus, ""RedApple"" is an instance characterized by its color but is not rigid nor truly independent in existential dependence."	
Group	http://example.org/guarino-messy#Group	"The usage and definition of ""Group"" can vary greatly depending on the context. It can be a flexible term used in informal settings or a more rigid structure in formal organizations. In some contexts, a group may have established roles, rules, and regulations, whereas in others, it may be more fluid and informal."	"""Group"" as a term primarily defines a collective entity or set, but it does not carry an identity of its own. It is the combination of the identities of its members that gives it a unique identity in a given context."	"Since ""Group"" is a term rather than a specific entity, it does not have its own identity or definition beyond being a collection of members. The identity of a group is derived from the characteristics and attributes of its members or the purpose it serves."	"The term ""Group"" often implies a level of unity or cohesion among its members, even if that unity is loose or weak. Members of a group may share common interests, goals, or social ties that bind them together."	"In many applications of the term ""Group,"" there is an underlying concept of dependence or interdependence among its members. This dependence can range from the need for collaboration to achieve common goals, to the shared responsibilities within a social or organizational structure."	"Within the context of classification, ""Group"" is a way to categorize elements or entities based on common attributes or characteristics. This can be seen in various fields like mathematics (group theory), biology (classification of organisms), or social sciences (grouping people by demographics)."	"A ""Group"" is a collection of individuals or entities that share common characteristics, goals, or interactions. This concept can be applied in various contexts such as organizational settings, social networks, or scientific classification. In an organizational context, a group could be a team in a company working towards a common goal. In a social context, it might refer to a community of people with shared interests or backgrounds. In science, it can be a set of data points or organisms classified based on certain properties. The term ""Group"" is versatile and can be used to describe a wide range of collective formations."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	A country is a large territory with a government and inhabitants, recognized as a distinct political entity. Its instances do not change their identity by changing their status as a country; they remain the same country regardless of internal or external circumstances. The concept of a country is stable across possible worlds, making it rigid. Countries have their own unique identity condition, defined by their borders, government, and population. Furthermore, countries are intrinsic wholes because they are coherent units with their own properties and boundaries, although they may contain other entities (like cities, districts, etc.) that can be seen as non-unifying parts. They depend on the geopolitical and legal structures that define them, implying existential dependence.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	-U	-D	Attribute	AmountOfMatter refers to a measure of physical substance. It pertains to the quantitative aspect of matter, such as mass or volume, which is an attribute that can vary across different instances of matter without changing their essential nature. Since AmountOfMatter is not an essential feature that defines a rigid sortal (like a person or a specific type of organism), it is neither rigid nor anti-rigid. Instead, it can change while the entity itself remains the same. For identity, there is no unique identity condition provided by AmountOfMatter; changes in the amount of matter do not affect the identity of the substance. In terms of unity, amounts of matter do not form intrinsic wholes since they can be distributed across different parts. Finally, since the amount of matter can change independently of other properties, it is independent.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	-I	-O	-U	+D	Category	A PhysicalObject is a broad category that encompasses tangible entities having a specific location in space and time. This term is often used in everyday language but lacks precise essential characteristics that would make it a rigid or unifying concept according to Formal Ontology. PhysicalObjects do not supply their own unique identity condition and can consist of various collections of parts. Therefore, they do not exist independently but rather depend on the arrangement and physical properties of their components.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	-D	Role	"A ""GroupOfPeople"" refers to a collection of individuals who are brought together by some common characteristic, purpose, or association. This term does not describe a single individual but rather a relational assemblage where individuals stand in a specific social or logical relation to one another. Since the group can exist independently of any specific individual, who can join or leave the group without ceasing to be part of the same group, ""GroupOfPeople"" does not have an essential necessary feature that all its instances must maintain. It also does not carry an identity condition since there is no intrinsic criterion to specify when a collection of people forms the same group."	
