term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	As a category describing a specific type of process, an instance of an 'emotion process' cannot cease to be an emotion process without losing its identity. If the process occurred, it is defined by its emotional nature; it is not a phase or role that an entity can transition in and out of while remaining the same individual entity.	As a process, an 'emotion process' carries an identity condition based on its spatio-temporal boundaries, the specific experiencer (the agent), and its causal history. These allow for the re-identification and distinction of one instance of an emotion from another.	As a specific category of occurrence, an emotion process supplies its own criteria for individuation and diachronic identity (such as the specific participant, the intentional object, and the temporal boundaries) which are distinct from broader occurrences or physical processes.	An emotion process is an intrinsic functional whole consisting of interdependent components (e.g., appraisal, physiological response, expression) that must be integrated in a specific causal and temporal structure to constitute the process.	An emotion process is externally dependent on a sentient agent (the experiencer) to undergo the process; an emotion cannot exist as an independent entity in the world without a subject that experiences it.	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	+R	-I	-O	+U	+D	Attribution or Quality	A phenomenal cognitive experience (a 'qualia' or specific instance of subjective experience) is rigid because it is defined by its own essence. An instance of an experience cannot cease to be an experience and still exist as the same entity; it is not a role or phase that an object moves in and out of, but a fundamental ontological type.	A phenomenal cognitive experience (a 'qualia' or mental event) is typically considered a non-sortal property that characterizes an instance rather than providing the identity conditions for it. While we can describe the experience, there is no inherent global identity condition (like a unique identifier or spatio-temporal boundary) that allows us to distinguish or re-identify one specific instance of 'an experience' from another in a principled, diachronic way without referring to the agent (+I) having the experience.	Since the entity has already been determined to be -I (not carrying an identity condition), it logically cannot satisfy the +O meta-property, which requires a property to be both rigid and a carrier of an identity condition to function as its source.	Phenomenal cognitive experience carries unity because it is characterized by a 'unity of consciousness.' At any given time, the various components of an experience (visual, auditory, emotional) are integrated into a single, bounded conscious whole rather than being a mere collection of disconnected parts.	A phenomenal cognitive experience is externally dependent on a conscious subject or mind. It cannot exist in isolation; for an experience to occur, there must necessarily exist a sentient entity to undergo that experience.	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	+R	-I	-O	-U	+D	Attribution or Quality	An 'emotional experience' is rigid because if a particular instance of a feeling (e.g., a specific instance of joy) exists, it is necessarily an emotional experience. It cannot cease to be an emotional experience and become something else (like a physical object or a number) while maintaining its individual identity.	An emotional experience is a qualitative state that does not supply or carry its own principled identity condition for distinguishing or re-identifying instances over time. While an experience might be 'attached' to a person who has identity, the 'feeling' itself lacks a characteristic property (like fingerprints or spatio-temporal continuity of parts) to determine if 'Feeling A' at Time 1 is the identical instance as 'Feeling B' at Time 2.	Since the entity has already been determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O). According to the ontological definitions, +O implies +I.	Emotional experiences (feelings) lack a clear, intrinsic mereological structure or a consistent 'unifying relation' that defines them as discrete wholes. While a specific instance of a feeling might be bounded by time or intensity, the property itself does not carry a common unity condition (UC) for all instances, and its parts (sub-feelings or sensations) are not related by a stable topological, morphological, or functional unity.	An emotional experience is externally dependent on a sentient being (subject) to undergo the feeling. It cannot exist as an independent entity without an experiencer to manifest it.	
N60e98e6e8ce640618c0f042cb456fd3b	N60e98e6e8ce640618c0f042cb456fd3b	+R	-I	-O	-U	+D	Attribution or Quality	The provided identifier (N60e98e6e8ce640618c0f042cb456fd3b) functions as a specific instance label or constant. In formal ontological terms, individual identifiers are rigid because an individual cannot cease to be itself; it is the same identity across all possible worlds where it exists.	The term is a randomly generated hexadecimal string. As an opaque identifier, it represents an arbitrary sequence of characters rather than an ontological concept that supplies or carries a principled identity condition for its instances.	Since this entity was determined to be -I (not carrying an identity condition), it cannot fulfill the requirements for +O (supplying an identity condition), as the meta-property +O implies +I.	The term is an alphanumeric identifier (GUID/Hash) which functions as a designation for a data record rather than a physical or conceptual whole. While the identifier itself is a sequence of characters, it lacks an inherent unifying relation (omega) that binds parts into an intrinsic whole; it is essentially an arbitrary string mapping to an entity.	A student exists in that capacity only by virtue of an external relationship to an educational institution and/or a teacher; one cannot be a student without the necessary existence of some entity that provides the instruction or the institutional context for learning.	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	+R	-I	-O	-U	+D	Attribution or Quality	As a process, if an entity is categorized as an 'anxiety process', it is essential to its nature in all possible worlds. A specific instance of this process cannot cease to be an anxiety process and remain the same individual entity; if it were not an anxiety process, it would not exist.	As a process, anxiety does not supply or carry an inherent identity condition that allows for the principled re-identification of its instances across various contexts or over time, unlike a discrete sortal entity (e.g., a person). While instances occur, they lack the formal identity criteria required to be a +I property.	Since the entity was previously determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O), as supplying an IC requires both carrying it and being a rigid property.	As a process, anxiety is a temporal entity rather than a physical whole with a fixed mereological boundary. While it has a beginning and an end, it lacks a specific unifying relation (omega) that defines it as a discrete intrinsic whole across its duration, as its parts are temporal slices that do not necessarily form a maximal self-connected physical structure.	A psychological or physiological process like anxiety is externally dependent because it cannot exist without an agent (such as a Person or Organism) to undergo or host the process. It is not an independent entity that can exist on its own.	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	+R	-I	-O	+U	+D	Attribution or Quality	A process, like a 'fear process', is a rigid property because an instance of this process cannot cease to be that process without losing its identity or ending its existence. If an event is a fear process, it is essentially and necessarily a fear process throughout its duration.	As a process/eventuality, 'fear process' lacks a principled identity condition for distinguishing one occurrence from another without referring to a specific subject (e.g., a person) or a specific time-interval. While individual instances of fear can be identified via their participants, the property 'fear process' itself does not supply a global criterion for synchronic or diachronic identity.	Since this entity is determined to be -I (not carrying an identity condition), it is logically impossible for it to be +O, as supplying an identity condition (+O) requires both carrying one (+I) and being a rigid property (+R).	A fear process is a functional whole consisting of a coordinated sequence of physiological, cognitive, and behavioral parts that are integrated into a single, bounded temporal event. It is not an arbitrary aggregate, as its parts (e.g., stimulus detection, amygdala activation, physical response) must be specifically connected to function as a unified psychological process.	A psychological or physiological process like 'fear' is externally dependent because it cannot exist without an experiencer (an organism or sentient being) to undergo the process. It is a refinement of a state or activity that requires a subject.	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	+R	-I	-O	-U	+D	Attribution or Quality	A sensory experience is defined by its essential nature as an experience; it is not a phase or role that an entity can transition into and out of while remaining the same entity. If an instance of a sensory experience stopped being an experience, it would cease to exist.	Sensory experience is a phenomenal property that does not, in itself, provide a principled identity condition (IC) for distinguishing one instance from another or tracking it over time. While the person experiencing it may have identity, the experience itself lacks an internal mechanism to establish identity across different contexts or time intervals.	Since the entity is characterized as -I (not carrying an identity condition), it cannot fulfill the definition of +O, which requires a property to be rigid, carry an identity condition, and supply that condition to its instances.	Sensory experiences are often continuous and have arbitrary boundaries with no single inherent unifying relation that defines them as intrinsic wholes. While an experience may have a duration, it lacks a common, defined mereological structure to bind its 'parts' together as a consistent whole across all instances.	A sensory experience is externally dependent because it cannot exist without an experiencer (a sentient being or subject) and an object or stimulus that is being sensed. It is not part of the subject, but its existence is contingent upon the subject's capacity for perception.	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	A motoric response to emotion is a role or phase that a physical movement or physiological process plays in response to a specific affective stimulus. The underlying physical event (the movement) exists independently and does not necessarily have to be a response to an emotion, meaning all instances of this property are contingent and can cease to be such a response while remaining the same physical entity.	A 'motoric response to emotion' is a characterization of an occurrence or behavior rather than a sortal entity. It does not provide an inherent identity condition to distinguish one instance from another (e.g., where one response ends and another begins) without referring to the specific individual agent or the underlying physiological event that supplies the identity.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot supply an identity condition (+O). Only properties that supply a global identity condition are marked +O, and this must be supported by the presence of identity in the first place.	A motoric response to emotion is a process or behavior that lacks an intrinsic unifying relation (omega) to bind its temporal or physical parts into a single intrinsic whole. It can be a simple reflex or a complex sequence, and its boundaries are defined by external observation rather than an inherent, constant mereological structure typical of a +U entity.	A motoric response to emotion is externally dependent on the existence of an emotion to trigger or characterize the response. Without an antecedent or concurrent emotional state, a physical movement cannot be classified as an emotional response.	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	+R	-I	-O	+U	+D	Attribution or Quality	A psychophysiological response to emotion is defined by its origin and physiological nature. An instance of such a response (e.g., a specific galvanic skin response) holds this property necessarily from its inception and cannot cease to be a response to emotion without losing its ontological identity.	A psychophysiological response is a property or accidental occurrence that depends on a host (a person) for identity; it lacks its own intrinsic identity condition (IC) to distinguish one instance from another without referring to the specific individual or the temporal event it characterizes.	Since the entity is characterized as -I (not carrying an identity condition), it is logically impossible for it to supply an identity condition (+O). Furthermore, it represents a state or reaction that relies on the identity of the host organism and the specific temporal event rather than supplying an independent global condition for identification.	A psychophysiological response to emotion is considered a functional whole, as it consists of a specific, integrated set of biological and psychological changes (such as heart rate increase, hormonal shifts, and cognitive appraisal) that must occur together to constitute the specific response. It is not a mere aggregate of random physiological traits.	A psychophysiological response to emotion is externally dependent on the existence of an 'Emotion' entity; by definition, such a response cannot exist unless it is triggered by or directed toward a specific emotional state that is not a part or constituent of the response itself.	
N651bda404f004adfb405dcf1349eec4f	N651bda404f004adfb405dcf1349eec4f	+R	-I	-O	-U	+D	Attribution or Quality	This term appears to represent a specific, unique identifier (likely for a physical resource or person account in a controlled system). If an entity is identified as this specific instance, it is necessarily that instance in every possible world where it exists, as its identity is fundamentally tied to this designation.	The term provided is a randomly generated alphanumeric hash. It functions as a rigid identifier or label rather than a conceptual property that supplies or carries a principled identity condition for distinguishing world entities (like DNA for a person or spatio-temporal continuity for an object).	According to Definition 7, a property can only supply identity (+O) if it is a rigid property that carries an identity condition (+I). Since the entity is characterized as -I (not carrying an identity condition), it logically cannot supply its own identity condition.	The term provided is a non-semantic alphanumeric identifier (hexadecimal UID/hash). Such entities serve purely as identity pointers and do not, in themselves, carry a specific unity condition or represent an intrinsic whole with a defined mereological structure.	This term refers to a 'Parent', which is externally dependent on a 'Child'; an individual can only instantiate the property of being a parent if an instance of a child necessarily exists that is not a part or constituent of them.	
