term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	An entity that is an 'emotion process' is such by its fundamental nature; it cannot cease being an emotion process without ceasing to exist as that specific temporal entity.	As a process (percurant), an emotion process carries identity conditions typically defined by its participants (the person experiencing it), its temporal boundaries (start and end times), and its causal triggers, allowing it to be uniquely identified and tracked.	As a specific type of process, 'emotion process' supplies its own identity condition based on its unique temporal parts, causal triggers, and psychological components, rather than merely inheriting them from a more general class.	An emotion process is an integrated whole consisting of synchronized sub-components (cognitive appraisal, physiological arousal, motor expression, and subjective feeling) that function together under a specific temporal and causal structure to form a singular psychological event.	An emotion process is inherently dependent on a sentient agent to experience the process; it cannot exist autonomously without an underlying entity (host) in which the psychological and physiological states occur.	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	+R	-I	-O	+U	+D	Attribution or Quality	A phenomenal cognitive experience is defined by its existence as a subjective event; an entity that is a 'phenomenal cognitive experience' cannot cease to be one without ceasing to exist as that specific experience. It is an essential property of the instances it describes.	A phenomenal cognitive experience (a 'qualia' or mental event) does not inherently provide its own criteria for identity or re-identification over time; its boundaries are subjective and it typically relies on the subject (the 'Person') to provide an Identity Condition.	Since the entity is analyzed as -I (lacks an Identity Condition), it cannot satisfy the requirement to supply its own Identity Condition (+O). A property that does not carry identity cannot be the source of identity.	Phenomenal cognitive experience is characterized by 'phenomenal unity,' where various sensory and cognitive aspects are integrated into a single, cohesive 'field' of consciousness for a subject at a given time, rather than existing as a mere collection of disconnected mental states.	Phenomenal cognitive experience is existentially dependent on a conscious subject or sentient being (a substrate) to undergo the experience, as it cannot exist as an independent entity in isolation.	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	+R	-I	-O	-U	+D	Attribution or Quality	A particular emotional experience (this specific instance of fear or joy) cannot exist without being an emotional experience. It is not an identity that a phenomenon can gain or lose while remaining the same instance; it is essential to what that entity is.	Emotional experiences lack a principled identity condition for re-identification or individuation; there is no objective criterion (like a unique ID or spatio-temporal boundary) to distinguish one instance of 'sadness' from another in a way that allows it to be re-identified as the same specific instance over time.	Since the entity was determined to be -I (not carrying a consistent identity condition), it cannot supply its own identity condition (+O). It represents a qualitative state rather than a discrete entity with its own global identification criteria.	Emotional experiences lack a definite, uniform unity criterion; they can be perceived as distinct singular events, continuous states, or fragmented physiological and cognitive sets without a consistent mereological structure that defines a whole.	An emotional experience is inherently dependent on a sentient bearer (an agent) to experience it; it cannot exist as an independent entity in the world without an underlying subject.	
N88fe50714e934101a16b4416a91a0107	N88fe50714e934101a16b4416a91a0107	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	This term appears to be a unique, immutable identifier or a specific alphanumeric instance. In formal ontology, such identifiers are rigid because an entity assigned a specific identity code can never not be that code; it is essential to the identity of the data node itself across all possible states.	This term represents a specific, uniquely identified resource (likely an instance ID or URI), which carries a rigid identity condition allowing it to be distinguished and re-identified within its system or domain.	Since the entity carries identity (+I) and is a rigid property that does not inherit its identity condition from a parent class, it is considered to supply its own identity condition (+O).	The term provided is an alphanumeric hash or identifier string; as an abstract data token, it lacks an intrinsic mereological structure or functional wholeness defined by parts, making it non-unifying.	The term provided appears to be a unique identifier (hash or UUID). As a symbolic representation or an abstract entity, it does not intrinsically depend on the existence of another specific entity for its own ontological existence, unlike relational roles like 'Student' or 'Husband'.	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	An 'anxiety process' is a rigid type of process; if a specific event or sequence of events ceases to be an anxiety process, it loses its identity as that specific occurrence. It cannot undergo the process without being that process.	As a process, it carries identity conditions typically derived from its temporal parts, the participating agent, and its specific spatio-temporal boundaries, allowing a specific instance of an 'anxiety process' to be distinguished from another.	As a specific type of process, 'Anxiety Process' supplies its own identity conditions through the unique temporal and causal criteria that define its progression and boundaries, distinct from other types of mental or physiological processes.	As a process, it is a temporal whole with a specific internal structure and causal sequence of integrated psychological and physiological phases that constitute a unified event.	An 'anxiety process' is an occurrent or mental state that is existentially dependent on a sentient agent (host) to undergo or experience the process.	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	A 'fear process' is rigid because if a process is categorized as such, it must remain a fear process throughout its entire existence to be that specific process; it cannot cease being a fear process and become a different kind of process while maintaining its identity.	As a process, it carries identity conditions based on its temporal-spatial trajectory, its specific cause (the threat being processed), and the psychological or physiological components that define its start, duration, and end points.	A fear process supplies its own identity condition as a specific type of Occurrent; it establishes the criteria for its own beginning, end, and internal sequence of events, rather than inheriting these conditions from a parent category.	A process is characterized by a cohesive sequence of internal states and causal links that form a functional whole with a distinct beginning and end, rather than an arbitrary collection of unrelated events.	A 'fear process' is an occurrent that is ontologically dependent on at least one sentient subject (a host) to experience or undergo the process; it cannot exist autonomously without an entity to sustain the emotional or physiological state.	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	+R	-I	-O	-U	+D	Attribution or Quality	A sensory experience is defined by its phenomenological nature. If something is a sensory experience, it cannot cease to be one while still existing as that specific event or occurrence; its essence is defined by its character as an experience.	Sensory experience is a phenomenal occurrence or quality that lacks its own intrinsic identity condition for re-identification. While it can be characterized by its intensity or duration, it does not provide the criteria to distinguish one instance from another without referring to the specific subject or time (the bearer), making it an anti-rigid or non-identifying property.	Since the entity is analyzed as -I (lacks a consistent identity condition), it cannot supply its own identity condition (+O). It lacks a mechanism to distinguish or identify multiple instances over time or among others.	Sensory experience lacks an intrinsic, rigid mereological structure that defines a whole. It refers to a stream or qualitative state where parts (e.g., a specific visual sensation) do not necessarily form a unified, bounded individual with a fixed structural integrity like a physical organism or artifact.	Sensory experience is intrinsically dependent on a sensing subject (an observer or sentient being) and an object or stimulus that is being sensed; it cannot exist autonomously without these entities.	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	~R	-I	-O	+U	+D	Role (Anti-rigid, dependent)	A motoric response to emotion is a temporal state or manifestation. An entity (such as a muscle contraction or a person) can exhibit this response and subsequently stop exhibiting it without losing its fundamental identity, making the property contingent and anti-rigid.	A motoric response to emotion is a process or event type that characterizes the way an entity reacts, rather than a category that provides a principled basis for identifying and re-identifying individuals across time. It lacks a specific Identity Condition independent of the individual performing the action.	Since the entity is -I (lacks an Identity Condition), it cannot supply its own identity condition (+O). It represents a behavioral category that relies on the identity of the underlying process or organism rather than providing a global identity criterion itself.	A motoric response to emotion is a unified physiological and behavioral event with a specific temporal boundary and integrated functional parts (neural signaling, muscular coordination, and expressive output) that form a discrete whole rather than an arbitrary aggregate.	A motoric response to emotion is inherently dependent; it cannot exist without the prior existence of the emotion that triggers it and the biological organism that executes the response.	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	+R	+I	-O	+U	+D	Sortal (Rigid, carries identity)	A psychophysiological response to emotion is defined by its physiological and psychological nature; such a response cannot cease to be a psychophysiological response while continuing to exist. It is a rigid category describing the essential nature of the phenomenon.	As a specific occurrence (event), a psychophysiological response carries an identity condition based on its unique spatio-temporal coordinates, its duration, and its necessary connection to a specific biological subject.	While this entity carries an identity condition (+I), it does not supply one uniquely. It inherits its identity conditions from the more general ontological category of 'Event' or 'Process'.	A psychophysiological response is an integrated biological event where psychological and physiological components are functionally woven into a single, cohesive occurrence within an organism, rather than an arbitrary collection of parts.	A psychophysiological response is inherently dependent on both a sentient organism (the host) and an emotional stimulus/event. The response cannot exist in isolation as it is a bodily modification resulting from an internal or external trigger.	
Na29c146660bf492fae0b74e5ebff6121	Na29c146660bf492fae0b74e5ebff6121	+R	+I	+O	-U	+D	Sortal (Rigid, supplies identity)	Since this term appears to represent a specific, unique identifier (likely a hash, encoded ID, or persistent data object), it satisfies the condition of being essential to the identity of the specific instance it denotes. An entity identified by this unique string cannot cease to be that specific entity without losing its identity.	This term represents a specific, unique alphanumeric identifier (likely a hash, serial, or database primary key). Such identifiers carry inherent identity conditions as they are designed to uniquely distinguish a specific instance from any other entity.	Since the term is identified as a rigid substance or entity-level concept (implied by +I), it supplies its own criteria for identity rather than inheriting them from a more general supertype.	The term appears to be a synthetic opaque identifier or a specific data hash. As an abstract data string, it lacks an intrinsic, integrated mereological structure or functional wholeness associated with unified entities; it is an arbitrary representation of information.	This term appears to be a specific identifier or a data entity which depends on the existence of a parent system, database, or specific record to have meaning or existence.	
