term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	-O	+U	-D	Phase	The term 'Butterfly' refers to a specific phase in the metamorphic life cycle of an organism belonging to the order Lepidoptera. In this context, being a butterfly is not an essential property for all instances across all possible worlds, as an individual butterfly was once a caterpillar and could potentially be viewed as the same entity under different forms. This indicates the property is anti-rigid (~R). It carries an identity condition (+I), but this identity is more directly tied to the organism itself rather than the phase of being a butterfly, suggesting it does not supply its own identity condition (-O). A butterfly, considered as an individual entity, represents a unified whole (+U) and can exist independently of other butterflies (-D), though its development is dependent on its previous stages.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	The term 'Red' refers to a color property. Colors are not essential to the identities of objects they describe; an object can change color without changing its identity. Thus, 'Red' is non-rigid (-R). It does not carry an identity condition for objects because being red does not make something what it is; it merely describes a quality of the object (-I). It also does not supply its own identity condition (-O). 'Red' does not imply unity or a lack thereof; it is a property that can apply to wholes or parts alike, so it is not unifying or anti-unifying (-U). The property 'Red' does not depend on other properties to exist; it can be considered independently (-D).	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Mixin	The term 'Food' is a category of consumable items. Considering the Guarino and Welty framework, 'Food' is non-rigid (-R) because something can be food in one context but not in another (e.g., a specific item might be food for one species but not for another). It does not carry an identity condition (+I) as being food does not provide a unique identifier for an item across all possible worlds. It also does not supply its own identity condition (-O) because the identity of food items is determined by their intrinsic properties, not by being categorized as food. 'Food' is non-unifying (-U) since instances of food are not necessarily wholes or single items (e.g., a meal can be composed of many different foods). Lastly, 'Food' is independent (-D) as the existence of food does not intrinsically depend on the existence of another specific entity.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	The term 'Animal' represents a broad category of living organisms. In the context of formal ontology, 'Animal' is considered a sortal because it provides a principle of identity for its instances (living beings) across time and change. This property is rigid (+R) since being an animal is essential to all instances of animals in all possible worlds. It carries identity (+I) and supplies its own identity condition (+O) as being an animal defines a specific kind of entity with its own existence and continuity criteria. Animals are considered unifying (+U) as they are typically regarded as single, coherent organisms. However, the existence of an animal does not depend on the existence of another specific animal (-D), making it independent.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	The term 'RedApple' refers to a specific kind of apple characterized by its red color. In the context of formal ontology, 'RedApple' is a subkind of the more general category 'Apple', inheriting its identity conditions but adding a specific property (being red). This property is not essential to the apple's existence as an apple, as an apple can change color and still be the same apple. Thus, 'RedApple' isNon-Rigid (-R) because being red is not a necessary condition for something to be an apple. It carries identity (+I) since it inherits the identity condition from 'Apple', but it does not supply its own unique identity condition (-O) as it relies on the IC of 'Apple'. The unity of a 'RedApple' is considered Unifying (+U) since it typically refers to a single, whole object. However, the dependence is Independent (-D) because a 'RedApple' does not intrinsically depend on another specific entity to exist.	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	~U	+D	Collective	A 'Group' is a collection of individuals or entities that can vary over time, indicating that the property of being a group is not essential to its members in all possible worlds. This suggests that 'Group' is non-rigid (-R) since the individuals within it can change without the group ceasing to exist as a concept, but the essence of being a group does not inherently define the identity of its members. It carries an identity condition (+I) by virtue of defining a collective, but it does not supply its own unique identity condition for its members (-O). The unity of a group (~U) is anti-unifying because a group's existence is strictly the sum or aggregate of its members, lacking intrinsic wholeness as a singular entity. A group's existence depends on its members (+D), as without them, the group would not exist.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	The term 'Country' refers to a geopolitical entity with defined boundaries and governance. It is rigid (+R) because once an entity is a country, it remains a country regardless of changes in its government, economy, or other characteristics. A country carries its own identity condition (+I) and supplies its own identity condition (+O), as each country has a unique set of characteristics that distinguish it from others. It is unifying (+U) because a country is typically considered a single, cohesive entity. However, the existence of a country can be dependent on recognition by other countries or international organizations, suggesting a level of dependence (+D).	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	+D	Property	The term 'AmountOfMatter' refers to a quantity or measure of material substance. This concept is rigid (+R) because any instance of matter retains its essential characteristic of being matter across all possible worlds. It does not carry identity (+I) in the sense of distinguishing individual entities, as amounts of matter are typically quantified rather than identified. However, it doesn't supply its own identity condition (-O) since the identity of an amount of matter is derivative of its constituent parts or the whole it is part of. It is non-unifying (-U) because an amount of matter can be divided or aggregated without losing its essential nature. Finally, it is dependent (+D) on the existence of matter itself, as there cannot be an amount of matter without matter existing.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	The term 'PhysicalObject' is a fundamental concept in ontology, referring to entities that exist in the physical world. It is Rigid (+R) because being a physical object is essential to all instances in all possible worlds; something cannot be a physical object in one world and not in another. It carries identity (+I) and supplies its own identity condition (+O), as being a physical object is what distinguishes these entities from non-physical ones. Physical objects are typically considered unifying (+U) as they are discrete entities. However, the existence of a physical object does not depend on another specific object (-D), making them independent.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	+D	Collection	The term 'GroupOfPeople' refers to a collection of individuals. This entity is non-rigid (-R) because the membership of the group can change over time without changing the fact that it is a group. It does not carry an identity condition (-I) in the classical sense since the identity of the group is dependent on the identities of its members. It does not supply its own identity condition (-O) as its existence and identity are derived from its constituent members. A group of people is considered to be anti-unifying (~U) because it is an aggregate of separate entities rather than a single, intrinsic whole. The existence of a group of people is dependent (+D) on the existence of its members.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	-O	+U	-D	Sortal	The term 'LivingBeing' refers to any entity that has life, encompassing a broad range of organisms from simple bacteria to complex humans. This property is essential to all instances in all possible worlds where the concept of 'LivingBeing' applies, making it Rigid (+R). It carries an identity condition (+I) as being a living being distinguishes entities in a fundamental way. However, the identity condition it carries is not unique to 'LivingBeing' but is shared across various subordinate categories (like 'Animal' or 'Plant'), so it does not supply its own identity condition (-O). 'LivingBeing' is unifying (+U) because it refers to entities that are considered wholes in the biological sense. The existence of a living being does not intrinsically depend on another specific living being, making it independent (-D).	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	-O	+U	+D	Social Construct	The term 'SocialEntity' refers to an entity that exists within a social context, such as organizations, institutions, or social groups. This type of entity is not essential to all instances in all possible worlds because the existence of a social entity depends on the collective recognition and agreement of individuals within a society. Thus, its rigidity is non-rigid (-R). It carries an identity condition (+I) as social entities are distinguishable and have unique characteristics. However, the identity supplied is not its own but rather derived from the individuals and social structures that constitute it (-O). Social entities can be considered unifying (+U) as they often represent a collective whole. They are dependent (+D) on the individuals and social structures that form them.	
Location	http://example.org/guarino-messy#Location	-R	+I	-O	+U	+D	Mixin	'Location' refers to a spatial or situational context where something exists or occurs. In ontological terms, a location does not inherently carry an identity condition (+I) as it is often defined by its relations to other entities rather than having a unique, intrinsic identity. However, locations can be considered unifying (-U) as they can be conceived of as wholes, even though the unity might be more conceptual than physical. Locations are typically dependent (-D) on the existence of a spatial framework or other referencing entities to be meaningfully defined. The property of being a location is not rigid (+R) because an area can change its designation or characteristics over time.	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	-O	+U	-D	Sortal	The term 'Fruit' is a sortal concept, referring to the mature ovary of a plant, which contains seeds, typically sweet and fleshy. In the context of ontological analysis, 'Fruit' is a rigid designation (+R) since if something is a fruit, it is essentially a fruit across all possible worlds. It carries an identity condition (+I) that distinguishes fruits from other types of objects or entities. However, 'Fruit' itself does not supply a unique identity condition beyond its biological definition (-O), as the identity of a specific fruit (e.g., an apple) is determined by its inherent properties and relations (such as being a specific type of apple). 'Fruit' is unifying (+U) because it refers to a cohesive, bounded entity. Furthermore, 'Fruit' can exist independently (-D) as its existence does not intrinsically depend on the existence of another specific entity.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	The term 'Vertebrate' is a biological classification that denotes animals with backbones. This property is essential to all instances of vertebrates in all possible worlds, making it rigid. It carries an identity condition (+I) as being a vertebrate distinguishes certain animals from others, and it supplies its own identity condition (+O) because the presence of a backbone is a defining characteristic. Vertebrates are wholes and thus unifying (+U). However, the existence of a vertebrate does not intrinsically depend on another specific entity, making it independent (-D).	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	+D	Phase	'Caterpillar' is a phase in the life cycle of a butterfly or moth, indicating a specific developmental stage. This phase is transient, and an individual caterpillar will eventually transform into a pupa and then an adult. The property of being a caterpillar is not essential to the individual's existence across all possible worlds, as it changes form. Thus, it's anti-rigid (~R). It carries an identity condition (+I) because being a caterpillar distinguishes it from other phases or entities, but it doesn't supply its own unique identity condition (-O) since the identity is tied to the larger life cycle of the organism. A caterpillar is considered a unity (+U) as it refers to a single, coherent organism at a particular stage. However, its existence is dependent (+D) on the prior and subsequent stages of its life cycle, making it dependent.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal	The term 'Person' is analyzed as a sortal because it denotes a category of objects (human beings) that retain their identity over time despite changes. This property is considered Rigid (+R) since being a person is essential to all instances in all possible worlds; something is either a person or not. It carries an Identity Condition (+I) and supplies its own unique Identity Condition (+O), distinguishing one person from another. As a sortal, it is Unifying (+U), indicating that instances of persons are considered wholes. Lastly, a person's existence is Independent (-D) of other specific individuals, although they may be in relationships or depend on others for survival, their existence as a person does not inherently depend on another person.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	-R	+I	-O	+U	+D	Role	The term 'LegalAgent' refers to an entity that is recognized by law as capable of acting in a legal context. This can include individuals, corporations, or other organizations. The property of being a LegalAgent is not essential to the entity itself, as it can exist independently of its legal status. This makes the property non-rigid (-R). It carries identity (+I) because being a LegalAgent often involves specific rights and responsibilities that define its role within a legal framework. However, it does not supply its own unique identity condition (-O) since the identity of the LegalAgent is typically derived from the underlying entity (e.g., a person or corporation). It is considered unifying (+U) because a LegalAgent is treated as a single entity within the legal system. The existence of a LegalAgent is dependent (+D) on the legal framework that recognizes it.	
Entity	http://example.org/guarino-messy#Entity	+R	+I	-O	+U	-D	Sortal	The term 'Entity' is very general, encompassing anything that exists, whether physically or abstractly. In ontological analysis, an entity's existence or identity is not contingent on any specific property, making it Rigid (+R) as it applies to all instances in all possible worlds. However, 'Entity' itself does not carry a specific identity condition (+I) because it is too general and does not supply its own unique identity condition (-O). It is unifying (+U) since it refers to wholes, though abstractly. Entities, by definition, can exist independently (-D), as their existence is not inherently dependent on another entity.	
