term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a biological kind - a specific life stage (adult form) of certain insects in the order Lepidoptera. As a natural kind, it carries essential properties: something is a butterfly in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (species membership, developmental stage). Instances are intrinsic wholes (complete organisms with functional unity). Butterflies are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"""Red"" is a qualitative property - a visual perception or category. It's not essential to all instances, as something may appear red in one light but not another, or an object might initially be green but later appear red.  ""Red"" does not supply its own identity condition; The identity of things is tied to things like their physical composition,  shape, etc.  While a single red instance can be unified (+U), redness is not itself a unifying property: a red apple and a red rose are not unified as a whole. Redness is also independent (-D)."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	~U	-D	Category	"""Food"" is a general category that describes a broad range of substances consumed by living organisms for sustenance. Its meaning is context-dependent and can vary across cultures and biological species. While food provides a necessary function for survival, the concept of ""foodness"" is not essential to the existence of individual substances. Therefore, ""Food"" is a non-rigid property (-R). It does not inherently carry an identity condition (+I) as it is a descriptive category rather than a defining property of individual entities. It does not supply its own identity condition (-O), but instances might inherit identity conditions from their subclasses (like ""Apple"" or ""Meat""). ""Food"" is not inherently unitary (~U) as it encompasses diverse substances that can be individually consumed or combined. While organisms depend on consuming food for survival (-D), the concept of ""food"" itself is not predicated on any inherent dependence."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	+D	Sortal (Natural Kind)	"""Animal"" is a broad biological category denoting a kind of organism with defined biological characteristics. It signifies a natural kind, thus  its traits are essential to all instances across all possible worlds. ""Animal"" supplies its own identity condition based on shared biological features, distinguishing animals from other kingdoms of life. Instances of animals are generally considered unified wholes, functioning as complete organisms. Animals require a specific environment and resources to exist, making them dependent (+D) on their ecological niche."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Role	"""RedApple"" is a descriptive category combining the sortal ""Apple"" with the  qualitative characteristic ""red"".  While a specific red apple may exist, the property itself isn't rigid as apples can change color. It inherits the identity condition from ""Apple"", but doesn't have its own unique identity condition. Instances are unified as whole organisms. Their existence isn't dependent on anything external."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	~U	-D	Category/Mixin	"""Group"" is a general term referring to a collection of entities.  Whether a collection is a ""group"" depends on context and criteria for inclusion. There's no single, universally defined essence of a group. Its rigidity depends on the specific type of group (a soccer team *is* always that team, but a gathering of people at a park isn't necessarily a ""group"" except maybe in a very loose sense).  It carries identity criteria only insofar as it stands in for a concrete collection with shared characteristics (i.e., whatever makes *that* collection a group, like membership rules, goals, etc.).  ""Group"" doesn't supply its *own* identity condition. It's often used for collections that are unified wholes, like a band or a sports team, but not always, as in a random collection of street musicians. We can't define ""group"" as inherently dependent or independent because that depends on how the grouped entities function."	
Country	http://example.org/guarino-messy#Country	-R	+I	-O	+U	-D	Categorical	"""Country"" is a social and political construct. Its boundaries and identities can change over time and with different viewpoints. While there are certain criteria commonly associated with being a country (territory, population, government, etc.), these are not universally fixed. Therefore,  ""Country"" exhibits non-rigidity. 

It inherits its identity condition from the individuals, territories, and cultures it encompasses (+I) but doesn't possess a unique, overarching identity that makes ""country"" a fundamental category. It doesn't necessarily supply its own identity condition (-O) as the ""identity"" of a nation is a complex interplay of internal and external factors.

It can be argued that countries are unified wholes in the sense they represent a collective political and social entity. However, this unity is more of a construct than an intrinsic property.  Countries are generally independent entities (-D), capable of existing as distinct political formations."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	-D	Quantity	"""AmountOfMatter"" refers to a quantity, a measurable property of physical entities. It is rigid (+R) because the amount of matter an entity possesses does not change with changing possible worlds. The property does not carry its own identity condition (-I) as it is a measurement. It merely describes a quantitative aspect of a potentially identifiable object. It does not supply its own identity condition (-O) as it's a property, not a unique entity. The property itself does not possess unity (+U) or dependence (-D) as it is a property describing quantity, not a physical entity with intrinsic wholeness or external dependencies."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" is a broad category representing anything that occupies physical space and has mass. This encompasses a wide range of entities, from atoms to planets. As a fundamental concept in physics, it is considered rigid (+R) in the sense that physical objects are essential to the physical world.  It carries its own identity condition (+I) based on its spatial and mass properties, acting as a defining principle for individuating physical objects. ""PhysicalObject"" supplies its own identity condition (+O). Instances are unified wholes (+U), though they can be composed of simpler parts. Physical objects generally exist independently (-D), though their interactions and properties can depend on other physical objects."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	-U	+D	RoleCategory/Mixin	"""GroupOfPeople"" is a descriptive category referring to a collection of individuals.  Whether a gathering constitutes a ""GroupOfPeople"" is not strictly determined by essential properties; the grouping can be temporary, informal, or based on various criteria. This suggests non-rigidity. While it describes a common pattern, ""GroupOfPeople"" doesn't inherently supply its own identity condition (+I). Instances of a ""GroupOfPeople"" are aggregates—they exist by virtue of the individuals within them (+D, since individuals within it lack identity as ""members"" in isolation).   Their unity is based on the commonality or purpose in a specific context, not inherent wholeness (-U)."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	+D	Sortal	"""Living Being"" is a broadly defined concept referring to entities with essential characteristics of life (metabolism, growth, adaptation, reproduction). While some conceptualizations might include less essential aspects, the core definition points towards rigidity. It supplies specific identity conditions for entities classified as living beings, defining them as such within the framework of life. Instances of living beings are typically unified wholes (organisms), and while they might depend on an environment for sustenance, their existence isn't intrinsically dependent on other living beings."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	-O	~U	+D	Category	"""SocialEntity"" refers to a broad category of things that are defined by their social nature and interactions.  This term is inherently context-dependent. What constitutes a ""SocialEntity"" can vary greatly depending on the specific social context.  A corporation might be considered a SocialEntity in legal or economic contexts, while a family might be considered a SocialEntity in sociological studies, but the same entity might not be classed as such in other contexts. Also,  a SocialEntity could be formed or dissolved based on different social realities. This makes it Non-Rigid (-R). It inherits the identity criteria from its specific instances (families, societies, corporations, etc.),  but doesn't supply a unique global identity condition (-O). SocialEntities are not always unified wholes. They can be aggregates of individuals or collections with varying degrees of internal cohesion (~U).  Finally, they often depend on social structures, interactions, and norms for their existence (+D)."	
Location	http://example.org/guarino-messy#Location	~R	-I	-O	-U	+D	Relation	"""Location"" is a complex property that refers to a place or spatial position.  Its rigidity depends on the specific interpretation of ""location.""  A concrete, well-defined location like ""this office"" might be seen as rigid if it has a fixed point in space. But, a more abstract notion like ""home"" can be non-rigid as it might change based on context or an individual's experience.  In general, ""Location"" doesn't inherently supply its own identity condition (+I) but depends on the specific thing being located.  An instance of ""Location"" is not a unified whole itself, but rather describes the spatial relationship of another entity. ""Location"" is often considered a dependent property, as something needs an object to be located."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal	"""Fruit"" is a high-level sortal category denoting a broad biological grouping. While there are diverse characteristics within this category, things like being produced by a plant and having seeds are generally essential to all instances of fruit. This suggests rigidity (+R). As a sortal, it inherently carries an identity condition (+I) defined by its defining characteristics. ""Fruit"" itself provides this identity condition, not its specific instances (+O). Instances of fruit are generally unified wholes (+U) as they represent complete, self-contained biological organisms, though the concept could arguably encompass parts like a bunch of grapes.  Within the context of ""Fruit"" being a natural kind, it is independent (-D) in the sense that it doesn't arise from other entities."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Vertebrate"" is a biological sortal, signifying a distinct class of animals characterized by their possession of a backbone (vertebral column). This defining characteristic is essential to all members of the class across different possible worlds where vertebrates might exist. Therefore, ""Vertebrate"" is a rigid term (+R). As a kind, it supplies its own identity condition based on possessing a vertebral column (+I, +O). Vertebrates are unified wholes (+U) – they are complete organisms with integrated systems. They are independent entities (-D) capable of existing without relying intrinsically on other vertebrates."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	+R	+I	+O	+U	-D	Sortal (Life Stage)	"""Caterpillar"" refers to a life stage of certain insects, a specific, biologically defined phase in an organism's lifespan.  Like other biological terms, it carries essential properties – a caterpillar is, by definition, a particular developmental stage of an insect.  It inherits its identity from the fact of being a caterpillar, which is a natural kind. Caterpillar instances are intrinsic wholes representing a complete stage of development.+Although they undergo metamorphosis, their existence as a caterpillar is defined and independent."	
Person	http://example.org/guarino-messy#Person	~R (leaning towards +R)	+I	-O	+U	-D	Category/Role	"""Person"" is a complex entity concept generally referring to a type of being with certain attributes, including consciousness, rationality, and moral agency. The concept of a ""person"" carries strong connotations of individual identity and persistence over time.  It's likely that the essential traits associated with being a person (like consciousness) are rigid. However, the specific definition and criteria for personhood can be culturally and philosophically debated.  The exact boundaries of ""personhood"" are contested and subject to change.

This makes the rigidity of ""Person"" complex. While key features are probably stable across possible worlds, the overall concept might not be entirely rigid due to these definitional debates.

It's unclear if ""Person"" provides its own independent identity condition or inherits it from the properties it encompasses. Individual persons certainly maintain their identity over time, but the concept itself is abstract and might not have a singular, global identity condition."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	-R	+I	-O	+U	+D	Role	"""LegalAgent"" is a role concept, denoting an entity  having certain legal capacities and responsibilities. The property signifies a status or function rather than an inherent essence.  Whether something is a ""legal agent"" depends on the legal context and framework,  making it subject to change and varying across jurisdictions. It doesn't carry its own essential IC, but inherits the ICs of the entities fulfilling the role (individuals, corporations, etc). Individuals or entities acting as legal agents generally act as unified wholes within that legal context.  While individual legal agents are independent, their ability to act as agents often relies on legal structures and frameworks which provide the context for their agency."	
Entity	http://example.org/guarino-messy#Entity	~R	-I	-O	~U	~D	Concept	"""Entity"" is a very general term used to denote anything that exists or can be considered as an object of thought. It's a broad and abstract concept, making it hard to define rigidly.  Whether something is an ""entity"" depends on context and the specific framework being used. It doesn't inherently carry a specific identity criterion itself, but rather depends on the entities it refers to within a given context.  While many entities are unified wholes, the term ""entity"" itself doesn't imply unity. Entities can be independent (-D) or dependent on something else for their existence."	
Organization	http://example.org/guarino-messy#Organization	-R	-I	-O	+U	-D	Category/Role	"""Organization"" refers to a social construct, a collection of individuals or entities  functioning together for a common purpose. Its rigidity depends on the specific context. In some contexts, an organization might be considered rigid, as certain features like legal status or fundamental purpose might be seen as essential (e.g., a corporation). However, organizations can also be quite fluid, with members changing, objectives evolving, and structures transforming. 

This suggests a degree of non-rigidity (-R). In some cases, 'Organization' might carry its own identity condition (+I), denoted by institutional facts or legal records. However, depending on the specific context and how 'Organization' is used, it might inherit its identity from its members or its purpose  (-O). Organizations often exhibit unity (+U)  - their parts collaborate  towards a shared goal, but their exact nature can be debated. Organizations generally do not depend on other entities for their existence (-D), although they rely on external factors like resources, laws, and social structures."	
Agent	http://example.org/guarino-messy#Agent	-R	+I	-O	+U	-D	Category/Role	"""Agent"" is a term used to categorize entities that have the capacity to act or perform actions. Its meaning is context-dependent, and what constitutes an agent can vary depending on the situation. While something can be an agent in one context, it may not be an agent in another. This makes it a non-rigid concept. 

However, ""Agent"" is often used as a role or functional category, indicating that something is acting or has the potential to act.  The instances of ""agent"" (e.g., a person, a robot, a fictional character) inherit their identity from their underlying nature or  defining characteristics.  The concept of ""agent"" itself doesn't provide a unique, globally applicable identity condition. 

Instances of agents are generally considered unified wholes. An agent, whether physical or conceptual, is typically seen as a coherent entity with integrated components that work together to enable action. Agents are generally considered independent entities, capable of acting autonomously, though their actions may be influenced by external factors."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Apple"" refers to a sortal category of fruits, characterized by specific biological properties. Apples as a kind possess essential characteristics that are invariant across different worlds where they exist. Each apple instance has its own unique identity based on  its specific qualities and history. An apple, as a concrete entity, is a unified whole with its parts working together. It exists independently of other entities."	
