term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	-O	+U	-D	Phased Sortal	BUTTERFLY is a classic example of a phased sortal. It represents a temporal phase in the life cycle of a lepidopteran insect. An individual butterfly was previously a caterpillar and is the same organism throughout, but it is not *necessarily* a butterfly at all times of its existence - hence ~R (anti-rigid). It carries identity (+I) inherited from its subsuming type LEPIDOPTERAN, which supplies the global identity condition that allows us to track the same individual across metamorphosis. However, BUTTERFLY itself does not supply its own global identity condition (-O), only a local one valid during the butterfly phase. As a biological organism in a specific phase, instances are intrinsic wholes (+U). Butterflies are not existentially dependent on external entities beyond normal biological requirements (-D). The paper explicitly uses the caterpillar/butterfly example to illustrate phased sortals: 'an individual may at one time be a CATERPILLAR and at another time be a BUTTERFLY... it must be possible to determine that they are the same entity at these two times' through subsumption under LEPIDOPTERAN.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	+D	Attribution	RED is a color property that represents an attribution. It is anti-rigid (~R) because entities can change color - something can be red at one time and not red at another while remaining the same entity. It does not carry identity (-I, -O) because knowing something is red does not provide conditions for distinguishing one red thing from another or re-identifying it over time. It lacks unity criteria (-U) as it is an attribute that can be predicated of various kinds of things without imposing whole-part structure. It is dependent (+D) because redness cannot exist independently - it must inhere in some entity (an object must be red; redness requires a bearer). This fits the framework's example of attributions as 'non-sortal properties that are non-rigid, normally anti-rigid, representing values of attributes like COLOR-OF' with RED explicitly mentioned as an example attribution.	
Food	http://example.org/guarino-messy#Food	~R	+I	-O	-U	+D	Material Role	FOOD is anti-rigid (~R) because something is food only when it serves the functional role of being consumed for nutrition - an apple can cease being food after being eaten or rotting, yet remains the same object. It carries identity (+I) because it must be subsumed by types like FRUIT, VEGETABLE, or MEAT that supply identity conditions. It does not supply its own identity (-O) since the same physical object (e.g., an apple) has its identity determined by what it fundamentally is (a fruit), not by its role as food. Unity is non-unifying (-U) because food can be wholes (an apple) or non-wholes (a portion of rice, a pile of beans). It is dependent (+D) because food exists in relation to consumers - something is food only in the context of being edible/consumable by some organism. This matches the paper's explicit classification of FOOD as a material role that 'specializes formal roles and has specific meaning in a domain.'	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type	ANIMAL is a rigid property (+R) because something that is an animal is necessarily an animal in all possible worlds - an entity cannot cease to be an animal while remaining the same entity. It carries identity (+I) and supplies its own identity condition (+O) - animals have clear biological identity criteria (same genetic makeup, continuous biological organism). Animals possess unity (+U) as they are integrated biological wholes with functional organization and topological connectedness. They are independent (-D) as they do not require external entities beyond their parts to exist. As a rigid property that supplies its own identity (+O+R), ANIMAL classifies as a Type - one of the fundamental sortals that organizes the domain and provides identity criteria for its instances.	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phased Sortal	RedApple is anti-rigid (~R) because an apple can change color (from green to red, or red to brown) while remaining the same apple - being red is not essential to the apple's identity across all times. It carries identity (+I) inherited from APPLE, which supplies the identity condition for what makes something the same apple over time. It does not supply its own identity (-O) since the identity comes from APPLE as a type. RedApple has unity (+U) as each red apple is an intrinsic whole with clear boundaries. It is independent (-D) as a red apple does not require external entities for its existence beyond normal physical dependencies. This represents a phased sortal - a temporal phase in an apple's lifecycle where it exhibits the property of being red, similar to how CATERPILLAR and BUTTERFLY are phases of LEPIDOPTERAN in the paper's example.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	+U	-D	Type	GROUP is rigid (+R) because an entity that is a group is necessarily a group in all possible worlds - it cannot cease being a group while remaining the same entity. It carries and supplies its own identity condition (+I, +O): groups have identity criteria based on their membership constitution and organizational structure (e.g., 'having the same members under the same organizing principle'). GROUP exhibits unity (+U) as instances are intrinsic wholes - a group is unified by the organizational/social relations binding its members together, not merely an arbitrary collection. It is independent (-D) as groups can exist without being parts of other entities. Following the meta-property combinations, GROUP qualifies as a Type: a rigid property that supplies its own identity condition, representing a fundamental kind in the domain of collective entities.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type	Based on the paper's own analysis in the taxonomy cleaning example, COUNTRY (when properly disambiguated from geographic region) is treated as a rigid property that supplies its own identity condition. The paper states that 'COUNTRY is classified under SOCIAL ENTITY and LEGAL ENTITY' after splitting it from GEOGRAPHICAL REGION to resolve the initial inconsistency between +O and ~R. As a social-legal entity, a country maintains its identity through continuity of governance/sovereignty (not mere geographic boundaries). It carries +U as countries are unified wholes (not mere aggregates of land). Countries exist independently (-D) as sovereign entities. The combination +R+I+O-D classifies COUNTRY as a Type - the most fundamental kind of property that supplies identity to its instances.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	~U	-D	Type	AmountOfMatter is rigid (+R) because something that is an amount of matter is necessarily so in all possible worlds - it cannot cease to be an amount of matter while remaining the same entity. It carries and supplies its own identity (+I, +O) through mereological extensionality: two amounts of matter are the same iff they have the same parts (this is explicitly mentioned in the paper as an identity criterion for amounts of matter). It has anti-unity (~U) because amounts of matter are arbitrary mereological sums without intrinsic wholeness - they have no unifying relation binding their parts together (the paper explicitly states 'we assume that none of them has a unity condition, thus ~U'). It is independent (-D) as amounts of matter do not require external entities to exist. The combination +O, +I, +R, -D classifies it as a Type according to Table 3.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Type	PhysicalObject is a rigid property (+R) because anything that is a physical object is necessarily so in all possible worlds - if something exists as a physical object, it cannot cease to be a physical object while remaining the same entity. It supplies its own identity condition (+O, which implies +I) based on spatiotemporal continuity and material constitution - physical objects can be reidentified through space and time. The paper explicitly describes physical objects as 'isolated material entities' with unity (+U), meaning each instance constitutes an intrinsic whole with parts bound together (e.g., an apple is a unified physical object, but an arbitrary undetached part is not considered a separate physical object). Physical objects are independent (-D) as they don't require external entities beyond their parts to exist. As a rigid property supplying its own identity (+O +R), PhysicalObject qualifies as a Type - one of the fundamental categories in ontology that supplies identity conditions and forms part of the backbone taxonomy.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	-U	-D	Type	GroupOfPeople is rigid (+R) because any instance that is a group of people remains necessarily a group of people across all possible worlds - the group cannot cease to be a group of people while remaining the same entity. It supplies its own identity condition (+O, therefore +I) based on which specific people constitute the group at a given time - two groups are the same iff they are composed of the same members. However, it does not carry a common unity condition (-U) because different groups may be unified by different relations (e.g., a family vs. a committee vs. a crowd - each has different unifying principles, or some groups may be arbitrary collections). It is independent (-D) as groups of people do not intrinsically depend on external entities beyond their members (who are parts/constituents, not external). As a rigid property supplying its own IC, GroupOfPeople qualifies as a Type in the ontological framework.	
