term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
Nfc1c1816b8bc408a99ef4f234083bd16	Nfc1c1816b8bc408a99ef4f234083bd16								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
fear process	http://purl.bioontology.org/ontology/EMRO/0000004								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
Na3c64046677d4d2a9a131a95b6b3c0c6	Na3c64046677d4d2a9a131a95b6b3c0c6								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
Ndb7431c9c90d47a587ce4760e80140ea	Ndb7431c9c90d47a587ce4760e80140ea								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
sweat secretion response to emotion	http://purl.bioontology.org/ontology/EMRO/0000008								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
positive emotional valence	http://purl.bioontology.org/ontology/EMRO/0000009								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
muscle tension response to emotion	http://purl.bioontology.org/ontology/EMRO/0000010								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
increased heart response to emotion	http://purl.bioontology.org/ontology/EMRO/0000011								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
increased breathing rate response to emotion	http://purl.bioontology.org/ontology/EMRO/0000012								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
cognitive response to emotion	http://purl.bioontology.org/ontology/EMRO/0000013								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
cognitive appraisal process	http://purl.bioontology.org/ontology/EMRO/0000014								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
syncope response to emotion	http://purl.bioontology.org/ontology/EMRO/0000015								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
negative emotional valence	http://purl.bioontology.org/ontology/EMRO/0000016								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
neutral emotional valence	http://purl.bioontology.org/ontology/EMRO/0000017								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
muscle tension response to fear	http://purl.bioontology.org/ontology/EMRO/0000019								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
psychophysiological response to fear	http://purl.bioontology.org/ontology/EMRO/0000020								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
N2919f4fa6df34859a24af2b107af4774	N2919f4fa6df34859a24af2b107af4774								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
psychophysiological response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000021								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
Nbc1a94f13cfa4f8bbd3a6cf1944a6214	Nbc1a94f13cfa4f8bbd3a6cf1944a6214								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
muscle tension response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000022								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
cognitive response to fear	http://purl.bioontology.org/ontology/EMRO/0000023								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
cognitive response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000024								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
sweat secretion response to fear	http://purl.bioontology.org/ontology/EMRO/0000025								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
sweat secretion response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000026								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
increased heart response to fear	http://purl.bioontology.org/ontology/EMRO/0000027								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
increased heart response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000028								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
increased breathing rate response to fear	http://purl.bioontology.org/ontology/EMRO/0000029								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
increased breathing rate response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000030								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
syncope response to fear	http://purl.bioontology.org/ontology/EMRO/0000031								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
syncope response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000032								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
motoric response to fear	http://purl.bioontology.org/ontology/EMRO/0000033								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
motoric response to anxiety	http://purl.bioontology.org/ontology/EMRO/0000034								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
emotional valence	http://purl.bioontology.org/ontology/EMRO/0000035								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
process	http://purl.obolibrary.org/obo/BFO_0000015								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
characteristic	http://purl.obolibrary.org/obo/COB_0000502								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
system process	http://purl.obolibrary.org/obo/GO_0003008								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
muscle system process	http://purl.obolibrary.org/obo/GO_0003012								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
circulatory system process	http://purl.obolibrary.org/obo/GO_0003013								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
heart process	http://purl.obolibrary.org/obo/GO_0003015								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
respiratory system process	http://purl.obolibrary.org/obo/GO_0003016								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
transport	http://purl.obolibrary.org/obo/GO_0006810								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
muscle contraction	http://purl.obolibrary.org/obo/GO_0006936								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
respiratory gaseous exchange by respiratory system	http://purl.obolibrary.org/obo/GO_0007585								"Invalid format specifier ' ""+R"" | ""-R"" | ""~R"",
    ""identity"": ""+I"" | ""-I"",
    ""own_identity"": ""+O"" | ""-O"",
    ""unity"": ""+U"" | ""-U"" | ""~U"",
    ""dependence"": ""+D"" | ""-D""
  ' for object of type 'str'"
