term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Type/Sortal	Butterfly is a Type (Substantial Sortal). It is rigid (+R) because an entity that is a butterfly remains one for its entire existence; it cannot cease being a butterfly without ceasing to exist. It supplies its own identity conditions (+O, +I) allowing us to distinguish one butterfly from another. It possesses unity (+U) as it is a discrete living organism (a whole), and it is not inherently dependent (-D) on the existence of another specific individual entity in the way a role like 'Student' or 'Husband' is.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Attributive Mixin	Red is non-rigid because a red entity can change color without losing its identity. It does not carry or supply unique identity conditions (we do not identify objects based on 'redness' alone), and it is non-unifying as it can apply to both wholes and parts of wholes.	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	-U	+D	Role	Food is a role played by entities (like fruit or meat) rather than an essential property; an object can cease to be food without losing its identity. It does not provide its own identity conditions (we identify 'this apple' as food, not 'this food' as an apple) and it is externally dependent on a consumer for which it serves as nourishment.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type / Substantial Sortal	Animal is a rigid property because an instance cannot cease to be an animal without ceasing to exist. It supplies its own identity conditions (IC) for its instances and characterizes them as intrinsic wholes (unity). It is considered independent as it does not require the existence of another specific entity to exist, unlike a role.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Phased Sortal	RedApple is non-rigid because a specific apple can cease to be red (e.g., rot or be painted) without losing its identity as an apple. It carries identity (+I) inherited from the type 'Apple', but does not supply its own unique identity condition (-O). It is a whole (+U) and exists independently (-D).	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Collective	A Group is a Rigid property because a group cannot cease to be a group without losing its identity. It supplies its own identity condition (+O) based on its membership and structure. It is Anti-Unity (~U) because it is strictly an aggregate or collective of distinct parts rather than a single topological whole. It is Dependent (+D) because a group's existence necessitates the existence of its members.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type/Sortal	A Country is a rigid property because an instance of a country cannot cease to be a country without losing its identity. It supplies its own identity conditions (defined by borders, sovereignty, and international law) and implies unity as it is considered an intrinsic whole (a sovereign entity).	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Non-Sortal (Mass noun / Amount-property)	AmountOfMatter is Rigid because an amount of matter cannot cease to be an amount of matter without ceasing to exist. It is -I/-O because it lacks a clear Identity Condition for individuals (it is cumulative; the sum of two amounts of matter is still just an amount of matter). It is Anti-Unity (~U) because amounts of matter are divisible and do not possess an intrinsic whole-part structure (unlike discrete objects).	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Type / Base Sortal	PhysicalObject is a rigid property because an entity that is a physical object cannot cease to be one without ceasing to exist. It supplies its own globally unique identity conditions (+O, +I) based on spatial occupation and material continuity. It carries a unity condition (+U) because physical objects are perceived as discrete, integral wholes, and it is inherently independent (-D).	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	+D	Collective	A GroupOfPeople is rigid because its members cannot cease to be a group and remain the same entity. It supplies its own identity (e.g., via membership criteria), but it is anti-unified (~U) because its instances are mereological sums/aggregates of individuals rather than intrinsic wholes. It is dependent (+D) because the group cannot exist without the people that compose it.	
