term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Natural Kind (Sortal)	Butterfly is a rigid (+R) property because any instance that is a butterfly must be a butterfly in all possible worlds where it exists - it cannot cease being a butterfly and remain the same individual (biological identity is essential). It carries identity (+I) and supplies its own identity condition (+O) as a biological natural kind with clear criteria for individuation and persistence (genetic makeup, organism boundaries). It is unifying (+U) because each butterfly is an intrinsic whole - a complete organism with integrated parts forming a functional unity. It is independent (-D) because butterflies do not intrinsically depend on other entities for their existence; they are substance-like organisms that exist autonomously (though causally they need environment, they don't have essential intrinsic dependence like a quality depends on its bearer).	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Quality	Red is a quality (color property) that can be gained or lost by objects (non-rigid: an apple can become red when ripening, then lose redness when rotting). It does not carry identity conditions—we don't identify objects as 'the same red' based on their redness alone. It doesn't supply its own identity criterion. Red instances are not intrinsically wholes with unity conditions (multiple red things don't form a unified whole by virtue of being red). Red is dependent because color qualities cannot exist without a bearer—redness must inhere in some object. As a quality/attribute, it functions as a non-rigid, dependent property without identity-carrying capacity.	
Food	http://example.org/guarino-messy#Food	-R	+I	+O	-U	-D	Type/Sortal (Non-Rigid)	Food is non-rigid (-R) because entities can become or cease to be food - a piece of fruit can spoil and become non-food, or a substance may be food for one organism but not another, making it not essential across all possible worlds. Food carries identity (+I) and supplies its own identity condition (+O) as a material substance with spatio-temporal continuity - we can identify and track food items through time. Food is non-unifying (-U) because food can be a whole apple or a collection of crumbs; there's no intrinsic unity requirement. Food is independent (-D) as it exists as a material substance without requiring intrinsic dependence on being consumed or related to a consumer to exist (though its classification as 'food' may be relational, the substance itself exists independently).	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Natural Kind	Animal is a rigid property (+R) because any instance that is an animal must be an animal in all possible worlds where it exists - an animal cannot cease being an animal and continue to exist as the same individual. It carries identity (+I) and supplies its own identity condition (+O) based on biological/organismal criteria that distinguish one animal from another as continuous living organisms. Animal is unifying (+U) because each instance is an intrinsic whole - a complete organism with integrated biological systems, not merely an aggregate of parts. Finally, animals are independent entities (-D) as they do not intrinsically depend on other specific entities for their existence (though they may have ecological dependencies, these are not ontological dependencies in the strict sense). As a rigid property that supplies its own identity and is unifying, Animal qualifies as a Natural Kind or Substance Sortal in the Guarino-Welty framework.	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	RedApple is anti-rigid (~R) because an apple can become red or cease to be red (e.g., unripe green apple becomes red when ripe, or red apple turns brown when rotting) - the property 'being red' is not essential across all possible states. It carries identity (+I) inherited from Apple, which supplies the identity condition for what counts as the same apple over time. It does not supply its own identity (-O) since the identity comes from being an Apple, not from being red. RedApple has unity (+U) as instances are intrinsic wholes (complete fruits with spatial/functional unity). It is independent (-D) since a red apple does not intrinsically depend on other entities to exist. This classifies as a Phase - a temporary, anti-rigid specialization of Apple based on a contingent property (color) that the instance may acquire or lose while maintaining its identity as an apple.	
Group	http://example.org/guarino-messy#Group	-R	+I	+O	-U	-D	Sortal (Type)	Group is analyzed as a sortal with the following properties: (1) Rigidity: -R (Non-Rigid) because an entity can be part of a group contingently - the same collection of individuals may cease to form a group while the individuals persist, or individuals may leave/join groups. (2) Identity: +I (Carries Identity) because groups have clear identity conditions based on their membership criteria and organizational principles. (3) Own Identity: +O (Supplies Identity) because 'Group' provides its own identity condition - a group is identified by its members and the relationships among them at a given time. This is a global IC that distinguishes one group from another. (4) Unity: -U (Non-Unifying) because groups are collections of individuals that may not form intrinsic wholes - they can be dispersed, loosely organized, and lack the topological or functional connectedness required for unity. Groups are better characterized as structured collections rather than integrated wholes. (5) Dependence: -D (Independent) because while a group depends on having members, the group as an entity type does not have the intrinsic existential dependence characteristic of properties like 'Red' (which needs a bearer). The group exists as a collective entity. Classification: Group functions as a Sortal Type that supplies identity conditions for collections of individuals organized by some principle.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Natural Kind or Substance Sortal)	Country is +R (Rigid) because an entity that is a country in one possible world remains essentially a country - a geopolitical entity cannot cease being a country and remain the same entity (it would dissolve/transform). It is +I (carries identity) because countries have clear identity conditions based on territorial sovereignty, governance, and international recognition. It is +O (supplies own identity) because 'country' provides its own identity criteria - what makes one country distinct from another (borders, government, population). It is +U (unifying) because a country constitutes an intrinsic whole with unified governance, territory, and political structure, not merely an aggregate. It is -D (independent) because while countries have relationships with other countries, they exist as independent sovereign entities and do not intrinsically depend on other entities for their existence. This makes Country a Sortal - specifically a substance sortal that carries its own identity conditions and applies rigidly to its instances.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	-U	-D	Sortal (Substance Sortal / Material Sortal)	AmountOfMatter is +R (rigid) because any instance that is an amount of matter is essentially so in all possible worlds - matter cannot cease to be matter while remaining the same entity. It is +I (carries identity) and +O (supplies own identity) because amounts of matter have well-defined identity conditions based on their material constitution and spatiotemporal continuity - we can distinguish one amount of matter from another through material boundaries and composition. It is -U (non-unifying) because an amount of matter need not form an intrinsic whole; it can be scattered or dispersed (e.g., 'the water in the ocean' or 'the gold in this room') without requiring intrinsic structural unity. It is -D (independent) because amounts of matter are basic material entities that exist independently - they don't intrinsically depend on other entities for their existence. This classifies as a Substance Sortal, specifically a material sortal that provides identity criteria for portions of matter.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Natural Kind)	PhysicalObject is rigid (+R) because anything that is a physical object is essentially so across all possible worlds - an entity cannot lose its physical object status and remain the same individual. It carries identity (+I) and supplies its own identity criterion (+O) based on spatiotemporal continuity and material constitution. PhysicalObject is unifying (+U) as physical objects are paradigmatic examples of intrinsic wholes with spatial and functional unity. It is independent (-D) because physical objects exist without intrinsic dependence on other entities - they are ontologically foundational. This makes PhysicalObject a base-level sortal (Natural Kind) that provides essential classification and identity conditions for its instances.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	+O	~U	+D	Category	GroupOfPeople is non-rigid (-R) because being part of a group is not essential to people in all possible worlds - individuals can join or leave groups. It carries identity (+I) and supplies its own identity condition (+O) based on the specific composition of member people at any given time. It has anti-unity (~U) because a group is fundamentally a collection/aggregate of distinct individuals rather than an intrinsic whole - the members maintain their separate existence. It is dependent (+D) because a group cannot exist without the individual people who compose it. As a non-rigid property that carries its own identity, GroupOfPeople classifies as a Category in Guarino-Welty taxonomy.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal (Natural Kind)	LivingBeing is **+R (Rigid)** because being alive is an essential property - an entity cannot cease to be a living being and remain the same individual (death transforms it into a corpse, a different entity). It is **+I** and **+O** because it supplies its own identity condition based on biological continuity and functional organization of life processes. Living beings have clear identity criteria that distinguish them from non-living matter. It is **+U (Unifying)** because living beings are paradigmatic examples of intrinsic wholes - they possess functional unity through metabolic processes, self-regulation, and organized structure. Finally, it is **-D (Independent)** because living beings, while requiring environmental conditions, exist as independent substances and are not existentially dependent on other particulars in the ontological sense (they are not qualities, roles, or moments). LivingBeing functions as a natural kind that provides identity and unity to its instances.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	+O	-U	+D	Category	SocialEntity is a broad category encompassing various social constructs (organizations, institutions, groups, etc.). It is NON-RIGID (-R) because entities can gain/lose social entity status (e.g., a group of people may or may not constitute a social entity depending on social recognition). It CARRIES and SUPPLIES IDENTITY (+I, +O) as social entities have identity conditions based on their social structure, membership criteria, or constitutive rules that distinguish one from another. It is NON-UNIFYING (-U) because social entities can range from tightly integrated organizations to loose associations without intrinsic wholeness. It is DEPENDENT (+D) because social entities depend on the existence and recognition of individual persons or other entities that constitute them, plus social conventions that recognize them as entities. As a high-level, non-rigid category with identity but allowing diverse specializations, it functions as a Category in the ontological framework.	
Location	http://example.org/guarino-messy#Location	-R	+I	+O	-U	-D	Category	Location is non-rigid (-R) because an entity can be a location in some contexts but not necessarily in all possible worlds (e.g., a building is a location for offices but this is not essential to being a building). It carries identity (+I) and supplies its own identity condition (+O) through spatial coordinates or geographical references that uniquely identify a location. It is non-unifying (-U) because locations can be arbitrary regions of space without necessarily forming intrinsic wholes - they can be boundaries, areas, or points. Location is independent (-D) as spatial regions can exist independently of what occupies them. As a non-rigid property with its own identity, Location functions as a Category - a high-level ontological concept that subsumes various types of spatial entities.	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal (Natural Kind)	A Fruit is rigid (+R) because any instance that is a fruit must remain a fruit in all possible worlds where it exists - an apple cannot cease to be a fruit and continue existing as the same individual. It carries identity (+I) and supplies its own identity condition (+O) as a biological category with clear criteria for what constitutes a fruit (mature ovary of a flowering plant containing seeds). Fruit has unity (+U) as individual fruits are intrinsic wholes with natural boundaries (skin/peel) and functional integration. It is independent (-D) because a fruit can exist without depending on other entities for its existence (though historically it developed from a flower, once formed it exists independently). As a natural kind with essential properties, rigidity, own identity, and unity, Fruit qualifies as a Sortal.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Natural Kind	Vertebrate is a biological taxonomic category (subphylum) that represents organisms with a backbone/spinal column. It is +R (Rigid) because having a vertebral column is an essential property - an organism cannot gain or lose vertebrate status across possible worlds; it's intrinsic to what it is. It carries +I (Identity) as a biological kind with clear identity conditions based on anatomical structure and evolutionary lineage. It supplies +O (Own Identity) as a fundamental natural kind that establishes its own identity criteria through specific anatomical features (vertebral column, notochord development). It has +U (Unity) because individual vertebrates are intrinsic wholes - complete organisms with integrated physiological systems, not mere aggregates. It is -D (Independent) as vertebrate organisms exist as independent entities, not requiring external entities for their fundamental existence (though they may have biological dependencies, these are not constitutive of the kind itself). As a rigid natural kind that supplies its own identity and unity criteria, Vertebrate qualifies as a Natural Kind in the ontological framework.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phase	A caterpillar is the larval phase of a butterfly or moth. It is ~R (Anti-Rigid) because being a caterpillar is a temporary, essential phase that the organism must eventually cease to be while remaining the same individual - no caterpillar can remain a caterpillar in all possible worlds where it exists. It carries identity (+I) as biological organisms have clear identity conditions, but does not supply its own identity (-O) since it inherits identity from the broader sortal 'Lepidopteran organism' or 'Animal'. Caterpillars are unifying (+U) as they are intrinsic wholes - complete organisms with functional integrity. They are independent (-D) as individual caterpillars exist as distinct organisms without intrinsic dependence on other entities. This analysis classifies 'Caterpillar' as a Phase - a temporal, anti-rigid restriction of a substance sortal that applies to the same individual during a specific life stage.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal (Natural Kind)	Person is a rigid property (+R) because once something is a person, it remains a person in all possible worlds where it exists - personhood is essential to the identity of its instances. It carries identity (+I) and supplies its own identity criteria (+O) based on biological/psychological continuity that distinguishes one person from another. Person is unifying (+U) as each person constitutes an intrinsic whole with clear biological and cognitive boundaries (not merely a sum of parts). Finally, Person is independent (-D) because persons are substantial entities that do not intrinsically depend on other entities for their existence - they are self-standing particulars. As a rigid property that supplies its own identity and unity criteria, Person qualifies as a Sortal, specifically a Natural Kind in Guarino and Welty's taxonomy.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	+U	-D	Role	LegalAgent is anti-rigid (~R) because an entity (person, organization) can gain or lose the status of being a legal agent - it's not essential to their identity across all possible worlds. It carries identity (+I) inherited from its foundation (Person, Organization), but doesn't supply its own identity condition (-O) - a legal agent's identity comes from the underlying entity playing this role. It is unifying (+U) as legal agents are discrete wholes with legal personhood. It is independent (-D) in the sense that while the *role* depends on a legal system context, the instances themselves (the entities playing the role) are substantial individuals. As an anti-rigid property that can be acquired/lost and depends on external conditions (legal recognition), LegalAgent is classified as a Role.	
Entity	http://example.org/guarino-messy#Entity	+R	-I	-O	-U	-D	Category	Entity is the most general, top-level ontological concept representing anything that exists. It is +R (Rigid) because being an entity is essential to all its instances across all possible worlds - nothing can exist without being an entity. It is -I (does not carry identity) because Entity itself is too general to provide identity conditions; specific subtypes must supply these. Consequently, it is -O (does not supply own identity). It is -U (non-unifying) because entities can be wholes, parts, or aggregates - the concept doesn't impose unity constraints. It is -D (independent) as Entity represents the broadest existential category without inherent dependence requirements. As a rigid, non-identity-carrying universal, Entity functions as a Category in Guarino-Welty taxonomy - the highest level sortal that subsumes all other categories and sortals.	
Organization	http://example.org/guarino-messy#Organization	+R	+I	+O	+U	-D	Sortal (Natural Kind or Category)	Organization is analyzed as follows: (1) Rigidity: +R because an entity that is an organization is essentially an organization in all possible worlds where it exists - if Microsoft ceased being an organization, it would cease to exist as that entity. (2) Identity: +I because organizations carry identity conditions - we can distinguish one organization from another through criteria like legal registration, purpose, structure, and continuity. (3) Own Identity: +O because 'Organization' supplies its own identity condition globally - organizational identity is not inherited from a more general property but is intrinsic to what it means to be an organization (defined by formal/informal structure, collective purpose, membership). (4) Unity: +U because an organization constitutes an intrinsic whole - its members, structure, and purpose form a unified entity with emergent properties beyond mere aggregation. An organization is not just a sum of people but an integrated functional unit. (5) Dependence: -D because while organizations depend on members to exist, this is not an intrinsic individual dependence on a specific other entity - organizations can persist through member changes and exist as independent legal/social entities. This makes Organization a Sortal, specifically a substance sortal that provides criteria of identity and unity for its instances.	
Agent	http://example.org/guarino-messy#Agent	+R	+I	+O	+U	-D	Sortal (Natural Kind or Sortal Type)	Agent is analyzed as a rigid property because being an agent is essential to all its instances across all possible worlds - an entity that is an agent cannot cease to be one without losing its identity as that specific entity. It carries identity (+I) as it provides criteria for recognizing and distinguishing agents from non-agents. It supplies its own identity condition (+O) based on the capacity for intentional action, autonomy, and goal-directed behavior. Agent has unity (+U) because instances are intrinsic wholes with integrated capacities for perception, decision-making, and action. It is independent (-D) as agents can exist without necessarily depending on other entities for their existence (though they may have functional relationships, their ontological existence is not dependent). This makes Agent a sortal - specifically a substance sortal that provides identity and persistence conditions for its instances.	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Natural Kind (Sortal)	Apple is a rigid property (+R) because anything that is an apple is essentially an apple in all possible worlds where it exists - an apple cannot cease being an apple and remain the same individual. It carries identity (+I) and supplies its own identity condition (+O) as a natural kind with clear criteria for what makes something an apple (biological/botanical essence). Apple is unifying (+U) as each apple instance is an intrinsic whole with natural boundaries and unity as a discrete fruit. It is independent (-D) because an apple can exist without intrinsically depending on other specific entities for its existence (though causally it depends on an apple tree for its origin, this is not intrinsic existential dependence). As a natural kind sortal, Apple provides essential classification with strong identity and unity conditions.	
