agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-critic-no-files,overall,all,all,0.87,0.76,0.84,0.77,105,88,17,130,17
gemini-critic-no-files,macro_avg,rigidity,all,0.94,0.81,0.90,0.82,21,19,2,40,2
gemini-critic-no-files,per_class,rigidity,+R,0.95,0.93,1.00,0.96,13,13,1,7,0
gemini-critic-no-files,per_class,rigidity,-R,0.95,0.50,1.00,0.67,1,1,1,19,0
gemini-critic-no-files,per_class,rigidity,~R,0.90,1.00,0.71,0.83,7,5,0,14,2
gemini-critic-no-files,macro_avg,identity,all,0.90,0.75,0.95,0.81,21,19,2,19,2
gemini-critic-no-files,per_class,identity,+I,0.90,1.00,0.89,0.94,19,17,0,2,2
gemini-critic-no-files,per_class,identity,-I,0.90,0.50,1.00,0.67,2,2,2,17,0
gemini-critic-no-files,macro_avg,own_identity,all,0.81,0.80,0.80,0.80,21,17,4,17,4
gemini-critic-no-files,per_class,own_identity,+O,0.81,0.85,0.85,0.85,13,11,2,6,2
gemini-critic-no-files,per_class,own_identity,-O,0.81,0.75,0.75,0.75,8,6,2,11,2
gemini-critic-no-files,macro_avg,unity,all,0.84,0.64,0.68,0.65,21,16,5,37,5
gemini-critic-no-files,per_class,unity,+U,0.81,0.92,0.80,0.86,15,12,1,5,3
gemini-critic-no-files,per_class,unity,-U,0.90,0.75,0.75,0.75,4,3,1,16,1
gemini-critic-no-files,per_class,unity,~U,0.81,0.25,0.50,0.33,2,1,3,16,1
gemini-critic-no-files,macro_avg,dependence,all,0.81,0.80,0.87,0.80,21,17,4,17,4
gemini-critic-no-files,per_class,dependence,+D,0.81,0.60,1.00,0.75,6,6,4,11,0
gemini-critic-no-files,per_class,dependence,-D,0.81,1.00,0.73,0.85,15,11,0,6,4
