term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is a rigid property because any entity that is a butterfly is necessarily a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and remain the same individual - it is an essential biological kind. While a caterpillar can transform into a butterfly, they are not the same individual persisting through change but rather different life stages of the same organism (the organism itself might be the rigid sortal, not the stage). Once something is a butterfly (the adult form of Lepidoptera), it cannot become a non-butterfly while remaining the same entity. This is similar to how PERSON is rigid - it's a sortal that carries identity conditions.	Butterfly carries an identity condition. As a biological organism, individual butterflies can be distinguished and re-identified through various means including physical characteristics (wing patterns, DNA), spatio-temporal continuity, and biological identity. Each butterfly is a discrete living organism with its own continuous existence from emergence through death. Like PERSON in the examples, Butterfly is a sortal property that provides principled ways to distinguish one butterfly from another and track the same butterfly over time, even as it undergoes changes (e.g., wing wear, movement). The property inherits identity conditions from subsuming biological categories like ORGANISM or ANIMAL.	Butterfly supplies its own identity condition as a biological organism. As a distinct natural kind (species-level biological entity), it provides its own IC based on biological continuity - the same butterfly maintains identity through having the same continuous biological life history and physical constitution. This IC is not inherited from more general properties like 'Living Thing' or 'Animal' but is specific to the butterfly as an individual organism. The identity of a particular butterfly is tracked through its continuous existence as that specific organism, distinguishing it from other butterflies through spatio-temporal continuity and biological sameness.	A butterfly is an intrinsic whole with a highly integrated biological structure. Its parts (wings, body, antennae, legs) are bound together through both topological connection (physical attachment) and functional unity (coordinated biological system). The parts work together as a single organism with clear boundaries distinguishing what is part of the butterfly from what is not. A butterfly maintains this unity condition throughout its existence as a butterfly - if parts are removed or the functional integration is destroyed, it ceases to be a butterfly. This satisfies the definition of carrying a unity condition (+U), where all instances are intrinsic wholes under a common equivalence relation of biological integration.	A butterfly, as a biological organism, does not intrinsically depend on other specific entities external to itself for its existence. While butterflies require environmental conditions (food sources, habitat) and have evolutionary relationships with plants, these are not constitutive dependencies - a butterfly can exist as an individual organism without any particular external entity necessarily existing. The butterfly's parts (wings, body) are constituents of it, not external dependencies. Unlike PARENT (which requires CHILD) or STUDENT (which requires SCHOOL), there is no necessary external entity that must exist for something to be a butterfly. Therefore, Butterfly carries -D (Independent).	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because an object can be red at one time and not red at another time while remaining the same object. For example, a car can be painted red and later painted blue, or an apple can be red when ripe and green when unripe, yet the car and apple remain the same individual entities. The property of being red is not essential to any of its instances - nothing that is red must necessarily be red in all possible worlds or at all times. While Red is not rigid, it is also not anti-rigid (~R), as there could be entities whose nature essentially involves being red (though in practice most red things are contingently red). Therefore, Red carries -R (non-rigid).	Red is a quality or attribute that does not carry an identity condition. There is no principled way to distinguish or re-identify one instance of redness from another instance of redness over time. If we consider two red objects, we cannot meaningfully ask 'is this the same red?' in the way we can ask 'is this the same person?' Red is a non-sortal property - it describes characteristics that instances may have, but provides no criteria for individuating or tracking those instances. As stated in the background material, Red is explicitly given as an example of a -I property because there is no answer to 'what makes one instance of red the same over time?'	Red is a quality/property that cannot supply its own identity condition. As determined in the Identity analysis, Red is -I (does not carry identity), and since +O requires +I, Red must be -O. Qualities like colors do not provide criteria for distinguishing or reidentifying their instances over time - there is no meaningful identity condition for 'being red' that would allow us to say 'this redness is the same redness as before.' Red describes a feature that entities may have, but does not supply any global identity criterion.	Red is a color property that can apply to arbitrary collections of objects without any unifying relation between them. Instances of 'red things' (objects that are red) do not form intrinsic wholes - a red car and a red apple share the property of being red but have no mereological unity binding them together. The parts of red things are not bound by the property of redness itself; rather, redness is a qualitative property that can be exhibited by both integrated wholes (a red ball) and arbitrary aggregates (scattered red pixels). Since there is no common equivalence relation ω that makes all red things intrinsic wholes under Red qua Red, the property does not carry a unity condition.	Red is a color property (quality) that cannot exist independently - it must inhere in some physical object or surface. A particular instance of redness (e.g., the red of this apple) is existentially dependent on the colored object itself. There cannot be 'free-floating' redness without something being red. This is a classic case of external dependence where the quality depends on its bearer for existence.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because something can be food at one time and not food at another time while remaining the same entity. For example, a piece of bread is food, but if it becomes moldy and inedible, it ceases to be food while remaining the same physical object. Similarly, an apple can be food when fresh but stops being food when it rots, without losing its identity as that particular piece of fruit. Entities move in and out of the Food property while maintaining their identity, but it's not anti-rigid because not all instances must possibly not be food (some things are essentially consumable/nutritive items). Therefore, Food is non-rigid (-R).	FOOD does not carry an identity condition. While individual food items (like 'this apple' or 'that sandwich') might be identifiable as physical objects, the property FOOD itself doesn't provide a principled way to determine when we have the same food versus different food. Consider: if I eat half an apple, is it still the same food? If I combine ingredients into a meal, when does it become 'the same food'? If milk spoils, is it the same food or different food? The boundaries and identity criteria for food as a property are context-dependent and don't provide a stable IC across time and change. FOOD would need to be subsumed by a more specific rigid property (like PHYSICAL OBJECT or PORTION OF MATTER) to inherit an identity condition.	Food cannot supply its own identity condition because it was determined to be -I (does not carry identity). The constraint states that +O requires +I - you cannot supply an identity condition without carrying one. Food is a functional/role-based property that depends on context (what counts as food varies by organism, culture, and circumstance), and lacks intrinsic criteria for distinguishing one food instance from another across time and change. Any identity would be inherited from what the food is made of (e.g., physical matter, biological substance) rather than supplied by the property Food itself.	FOOD does not carry a common unity condition for all its instances. While some food instances may be intrinsic wholes (an apple with topological unity, a sandwich with functional unity), others are clearly not wholes (a pile of rice, a glass of milk, scattered popcorn). Food instances can range from integrated biological organisms to arbitrary amounts of matter to functional assemblies. There is no single equivalence relation ω that makes all instances of FOOD intrinsic wholes throughout their existence. However, FOOD is not anti-unity (~U) since some instances (like fruits or prepared dishes) can be intrinsic wholes. Therefore, FOOD is -U: it does not carry a unity condition, but doesn't exclude its instances from being wholes under various different unity relations.	Food instances do not intrinsically depend on other entities for their existence. A piece of bread, an apple, or any food item exists as a physical object independently, regardless of whether there are consumers, eaters, or any other entities. While food may be relationally defined by its potential to nourish (depending on the conceptualization), the instances themselves - the physical substances - exist independently. Food is not externally dependent because it doesn't require the necessary existence of some other entity (like an eater or consumer) that is not part of or constituent of the food itself. Unlike PARENT (which requires CHILD) or STUDENT (which requires SCHOOL), food instances are self-standing physical objects.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because anything that is an animal is necessarily an animal in all possible worlds throughout its existence. An entity cannot cease to be an animal while continuing to exist as the same individual - it is an essential biological classification. Once something is an animal, it remains an animal for its entire existence. This is similar to the Person example given in the framework, where being a person is a necessary property that cannot be lost while the entity continues to exist.	Animal carries an identity condition. As a biological kind, instances of Animal can be distinguished and re-identified through biological criteria such as genetic makeup (DNA), continuous spatio-temporal existence, and biological continuity. Individual animals maintain their identity through time despite changes in their properties (growth, aging, etc.). The property provides clear criteria for distinguishing one animal from another and for recognizing the same animal at different times, satisfying the requirements for carrying an identity condition.	Animal supplies its own identity condition. As a biological natural kind, Animal provides a fundamental level of identity based on biological criteria such as genetic composition, continuous biological processes, and spatio-temporal continuity of living organisms. This is distinct from more general categories like Physical Object (which would have different identity criteria based on material constitution) and more specific than its subtypes like Dog or Cat (which inherit and potentially specialize this IC). Animal establishes the biological basis for distinguishing one animal from another across time, making it a sortal that supplies rather than merely inherits its identity condition.	Animal carries a unity condition (+U) because all instances of Animal are intrinsic wholes with a clear biological unity condition. Each animal is a maximally self-connected biological organism where parts (organs, tissues, cells) are bound together by biological relations such as metabolic interdependence, shared circulatory systems, and coordinated physiological functions. These parts are connected to each other and nothing else through these biological relations. An animal maintains this unity condition throughout its existence - a dog, cat, or bird remains a biological whole with integrated parts from birth until death. The unity is based on functional/biological connection rather than arbitrary aggregation, and this distinguishes animals from mere amounts of matter or scattered collections. Every instance of Animal satisfies the definition of an intrinsic whole under a biological unity relation ω.	Animal is independent (-D). Individual animals exist as autonomous biological organisms that do not intrinsically depend on specific other entities for their existence. While animals depend on environmental conditions (oxygen, food, water) for survival, these are not the kind of specific entity dependencies that characterize +D. The definition of external dependence requires that 'for all instances x, necessarily some instance of another property must exist, which is not a part nor a constituent of x.' Animals do not have this kind of necessary dependence on specific other entities - an animal can exist (at least at a given moment) without necessarily requiring another specific entity (like a parent, child, or host) to exist simultaneously. This contrasts with properties like PARENT (which requires CHILD) or PARASITE (which requires HOST), where the very nature of being that kind of thing necessitates the existence of another specific entity.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because an individual apple can be red at one time and not red at another time (e.g., when it ripens from green to red, or when it rots and turns brown), while still being the same apple. The property 'being red' is not essential to the apple's identity - an apple can lose its redness and remain the same apple. This makes RedApple a non-rigid property, as it is not necessary for all its instances across all possible worlds or times.	RedApple carries an identity condition inherited from its subsuming rigid properties. As a specialized kind of apple (and ultimately a physical object), instances of RedApple can be distinguished and re-identified through spatio-temporal continuity and physical persistence criteria. While RedApple itself is anti-rigid (an apple can become red or cease being red while remaining the same apple), it carries the identity condition supplied by its rigid subsumer APPLE or PHYSICAL OBJECT. Each red apple instance maintains identity through time via physical continuity, allowing us to track 'the same red apple' even as its exact shade changes or if it eventually becomes non-red.	RedApple does not supply its own identity condition. As a property that combines color (Red) with a kind (Apple), it inherits its identity condition from Apple, which in turn inherits from more fundamental rigid properties like Physical Object or Material Object. The 'red' aspect is a quality/attribute that does not contribute to identity - the identity of a red apple is determined by it being that particular apple (a physical object with certain material composition), not by its redness. Therefore, RedApple carries an IC (+I, as previously determined) but does not supply it (-O).	RedApple denotes instances that are individual apples (which happen to be red). Each apple is an intrinsic whole with clear mereological structure - it has integrated parts (skin, flesh, core, seeds) bound together by both topological connection and functional organization as a biological fruit. The parts of an apple form a unified biological entity rather than an arbitrary collection. While the color 'red' itself doesn't contribute to unity, the underlying concept 'Apple' carries a unity condition based on the integrated structure of the fruit as a single biological object.	RedApple is independent (-D) because instances of red apples do not intrinsically depend on other entities for their existence. A red apple exists as a physical object with its own intrinsic properties (being an apple with red coloring). While it may have historically depended on an apple tree during its growth, once it exists as a red apple, it does not necessarily require any specific external entity to continue existing as a red apple. The redness is a property of the apple itself, not a relation requiring another entity. This is analogous to Person or Physical Object, which are independent properties.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	Group is a rigid property because anything that is a group is necessarily a group in all possible worlds where it exists. A group's identity as a collection of members bound together by some unifying relation is essential to what it is. While the membership of a group may change over time (members can join or leave), and a group may cease to exist entirely, an entity cannot be contingently a group - if something is a group, it must be a group essentially. The entity itself, qua group, cannot transition into being a non-group while remaining the same entity. This differs from roles like 'populated group' or phases like 'active group', which would be anti-rigid. The property Group itself captures what something fundamentally is, not a temporary state or role it plays.	Group carries an identity condition. A group can be distinguished and re-identified through its membership composition and organizational structure. For example, 'The Beatles' remains identifiable as the same group through criteria such as having the same founding members, organizational continuity, or historical lineage. Even when membership changes, groups maintain identity through institutional continuity (e.g., 'The Supreme Court' remains the same institution despite member turnover). The identity condition might be based on: founding members, organizational charter, historical continuity, or specific membership composition at a given time. Groups are discrete, countable entities that can be tracked through time, making them sortals that carry identity conditions.	Group supplies its own identity condition. A group's identity is determined by its membership composition - having the same members constitutes the same group. This is a distinct identity criterion from other properties like Physical Object (same matter) or Person (same fingerprints/DNA). While groups may be composed of persons or other entities, the identity condition 'having the same members' is specific to and supplied by Group itself. This makes Group a rigid sortal that provides its own global identity criterion rather than inheriting it from a more general property.	Group is a paradigmatic example of anti-unity (~U). Instances of Group are collections of members where the parts (individual members) are not integrated into a unified whole through any topological, morphological, or functional connection. A group's members can be spatially scattered and lack any binding relation that unifies them beyond mere membership. The parts of a group are arbitrary aggregates rather than intrinsic wholes - for example, a group of students can be geographically distributed with no physical or functional integration connecting them. Groups explicitly fail to satisfy the unity condition that requires all parts to be bound by an equivalence relation that creates maximal self-connectedness.	Group is independent (-D) because while a group requires members to exist, it does not depend on any specific external entities that are not parts or constituents of it. The members are parts/constituents of the group itself, not external entities. According to the definition, external dependence requires dependence on entities that are 'not a part nor a constituent' of the instance. Since group members are constituents of the group, Group does not meet the criteria for external dependence (+D).	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because anything that is a country is necessarily a country in all possible worlds where it exists. While the borders, government, or name of a country might change, and a country can cease to exist, an entity cannot be a country at one time and not a country at another time while remaining the same entity. If something is a country, it is essentially a country - it cannot transition to being a non-country while maintaining its identity as that same entity. This differs from properties like 'independent nation' or 'member of UN' which are non-rigid attributes that countries can gain or lose.	Country carries an identity condition. Countries can be distinguished and re-identified through various criteria such as: territorial boundaries, sovereignty recognition, government structure, or international identification codes (ISO country codes). A country like France remains identifiable as the same country over time despite changes in government, population, or even minor border adjustments. The property supplies clear identity conditions that allow us to distinguish one country from another and re-identify the same country across time, making it a sortal property with +I.	Country supplies its own identity condition. Countries have unique, globally recognizable identity criteria that are not inherited from more general properties. These include: having the same sovereign government, the same internationally recognized borders, the same territory under unified jurisdiction, or being recognized as the same political entity by international law. While Country may be subsumed by more general properties like 'Geopolitical Entity' or 'Region', those general properties do not supply the specific identity conditions needed to distinguish one country from another. The identity criteria for what makes France the same country over time (continuous sovereignty, territorial integrity, international recognition) are supplied at the Country level itself, not inherited from above.	Country carries a unity condition as its instances are intrinsic wholes unified by geopolitical boundaries and sovereign authority. A country's parts (territories, regions) are bound together by legal-political relations that define jurisdictional unity - all territory within the borders is connected through shared governance structures. While the physical land masses may be topologically disconnected (islands, exclaves), countries exhibit functional and institutional unity through their political organization. The parts of a country (its territories) are maximally self-connected under the equivalence relation of 'being under the same sovereign jurisdiction' and this unifying relation persists throughout the country's existence as a political entity.	Country is independent (-D). A country as a geopolitical entity does not intrinsically depend on any specific external entity for its existence. While countries may have relationships with other countries, international organizations, or governments, these are not necessary existential dependencies. A country can exist as a territorial and political entity without necessarily requiring any particular external entity to exist. Unlike dependent properties such as PARENT (which requires CHILD) or STUDENT (which requires SCHOOL), a country's existence is not contingent upon instances of other specific properties existing outside of itself. The land, population, and political organization that constitute a country are parts or constituents of the country itself, not external dependencies.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Attribution or Quality	AmountOfMatter is a rigid property because anything that is an amount of matter is necessarily an amount of matter in all possible worlds. An amount of matter cannot cease to be an amount of matter while remaining the same entity - it maintains its identity through mereological extensionality (having the same parts). If something is an amount of matter, this is an essential characteristic that holds necessarily across all possible worlds. This aligns with the paper's example where AMOUNT OF MATTER is treated as having mereological extensionality and is contrasted with PERSON, which can replace its parts. The property describes a fundamental metaphysical category that applies rigidly to its instances.	AmountOfMatter does not carry an identity condition. As explicitly mentioned in the background text, amounts of matter follow mereological extensionality - they are identified purely by their parts. If any part changes, it becomes a different amount of matter. There is no principled way to re-identify an amount of matter over time if its composition changes, as the identity is strictly tied to the exact collection of parts at any given moment. This contrasts with properties like PERSON, which can maintain identity despite changing parts.	AmountOfMatter was determined to be -I (does not carry identity), therefore it cannot be +O. By constraint (10), a property cannot supply an identity condition (+O) without carrying one (+I). Since AmountOfMatter fails to carry identity conditions, it cannot supply one. The fundamental issue is that amounts of matter lack stable identity through compositional change - they are individuated purely by their mereological composition at each time slice, making persistent identity problematic.	AmountOfMatter is explicitly mentioned in the background as a canonical example of anti-unity (~U). Instances of AmountOfMatter (e.g., a quantity of water, a heap of sand, an amount of clay) are not intrinsic wholes - they lack any unifying relation that binds their parts together in a principled way. The parts are arbitrary and can be divided or combined without affecting the identity of being 'an amount of matter.' There is no equivalence relation ω that makes all parts of an amount of matter maximally self-connected. Unlike properties such as Person or Vase that carry unity conditions defining what counts as the whole entity, amounts of matter are mere mereological aggregates where any proper subset is equally an amount of matter.	AmountOfMatter is independent (-D) because instances of amounts of matter do not intrinsically depend on other entities for their existence. An amount of matter (like a quantity of water, a lump of clay, or a piece of gold) exists as a material substance in its own right without necessarily requiring the existence of any specific external entity. While matter may be organized into physical objects or have various properties, the amount of matter itself is a fundamental material entity that can persist independently. It does not exhibit the kind of existential dependence seen in dependent properties like Student (which requires an educational institution) or Parasite (which requires a host). The matter simply exists as material substance, regardless of how it may be arranged or what forms it may take.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because anything that is a physical object is necessarily a physical object in all possible worlds. An entity cannot cease to be a physical object while remaining the same entity - if something is physical, this characteristic is essential to its identity. An entity cannot transition from being physical to non-physical (or vice versa) while maintaining its identity as the same individual. This is a fundamental categorical distinction that holds necessarily for all instances.	PhysicalObject carries an identity condition. Physical objects can be distinguished and re-identified through spatio-temporal continuity - they occupy specific locations in space and persist through time along continuous paths. Each physical object maintains identity through change by occupying a continuous spatio-temporal region, allowing us to track the same object across different times despite changes in its properties. This satisfies the requirement for both synchronic identity (distinguishing one physical object from another at the same time through spatial location) and diachronic identity (re-identifying the same physical object across time through spatio-temporal continuity).	PhysicalObject supplies its own identity condition based on spatio-temporal continuity and material composition. It provides a fundamental IC that could be formulated as 'occupying the same space-time trajectory' or 'having continuous existence through space and time'. This is a global, rigid identity criterion that is not inherited from a more general property - PhysicalObject establishes the baseline for individuating physical entities in the domain. Properties like Person, Animal, or Artifact that subsume under PhysicalObject may add additional or more specific ICs, but PhysicalObject itself supplies the foundational IC for physical things.	PhysicalObject does not carry a common unity condition for all its instances. While some physical objects are intrinsic wholes with clear mereological structure (e.g., a person with biological integration, a car with functional unity), others lack such unified structure (e.g., scattered piles of sand, arbitrary collections of rocks). The instances of PhysicalObject can have topological, morphological, or functional unity, or they may have none at all. Since there is no single equivalence relation ω that makes all instances intrinsic wholes, and instances need not be wholes at all, PhysicalObject is -U rather than +U. It is not ~U because many of its instances (organisms, artifacts) are indeed intrinsic wholes, just not all of them under a common unity condition.	PhysicalObject is independent (-D). Instances of PhysicalObject can exist without necessarily depending on other specific entities for their existence. A rock, tree, or any physical object exists in virtue of its own material constitution and does not require the existence of another distinct entity (outside of its parts or constituents) to maintain its existence. While physical objects may have parts and be constituted of matter, these are not external dependencies in the sense defined - they are internal components or constituents. PhysicalObject represents a foundational category whose instances are ontologically self-sufficient entities.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	~U	+D	Category or Mixin (Non-rigid)	GroupOfPeople is non-rigid because while a collection of people may constitute a group at one time, the same collection can cease to be a group (e.g., when members disperse or the group dissolves) without those entities ceasing to exist. The individual people continue to exist, but they are no longer instances of GroupOfPeople. Additionally, the same people can move in and out of being a group - they might form a group, dissolve it, and form it again. However, it's not anti-rigid (~R) because it's not inherently contingent in the way roles are - once formed, a group doesn't necessarily have to stop being a group. Therefore, GroupOfPeople is non-rigid (-R): not essential to all its instances, but not necessarily contingent either.	GroupOfPeople carries an identity condition. A group of people can be distinguished and re-identified based on its membership composition - that is, which specific persons constitute the group. The identity condition would be something like 'having the same members' or 'consisting of the same set of persons'. For example, 'The Beatles' can be identified as consisting of John, Paul, George, and Ringo; this membership criterion allows us to distinguish this group from other groups and re-identify it over time. While groups may have fuzzy boundaries regarding when membership changes result in a different group (Ship of Theseus problems), they do carry a principled way of distinguishing instances based on who the members are, making this +I.	GroupOfPeople does not supply its own identity condition. Groups are collections of people, and their identity depends on either: (1) the identity of their members (mereological composition), or (2) some organizational principle or criterion that defines membership. In either case, the identity condition is not intrinsic to being a group itself but is inherited from more fundamental properties like Collection, Set, or Organization. The group's identity ultimately reduces to either the identity of the constituent people (who supply their own IC as +O entities) or to some external organizing principle. Therefore, GroupOfPeople carries identity (+I) but does not supply it (-O).	GroupOfPeople has anti-unity because its instances are collections of persons without a unifying relation that binds all parts together as an intrinsic whole. A group of people is a mereological sum where the parts (individual persons) maintain their own unity conditions as biological wholes, but the group itself lacks an integrated structure. The group can gain or lose members, and there is no single equivalence relation omega that makes all parts of the group necessarily connected to each other and nothing else throughout the group's existence. Unlike a functional whole (like a team performing a coordinated task), a mere group of people represents an aggregate without the morphological, topological, or essential functional integration required for intrinsic wholeness.	GroupOfPeople is externally dependent on Person. A group cannot exist without persons as members - for any instance of GroupOfPeople, there must necessarily exist instances of Person that are not parts or constituents of the group itself, but rather are the entities that the group is composed of. The group's existence intrinsically depends on the existence of individual persons, making it a dependent property (+D).	
