term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"""Butterfly"" is a natural kind representing a specific type of insect. It is rigid (+R) because something that is a butterfly is essentially a butterfly in all possible worlds where it exists. It carries identity (+I) as butterflies have clear identity conditions based on biological/genetic criteria. It supplies its own identity condition (+O) as being a butterfly provides the criteria for distinguishing one butterfly from another. It has unity (+U) as a butterfly forms an intrinsic whole with integrated parts forming a complete organism. It is independent (-D) as a butterfly does not intrinsically depend on other entities to exist - it is a self-standing biological entity."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Phase	"""Red"" is a color property. It is non-rigid (-R) because an object can exist without being red (it could be blue, green, etc.). It does not carry identity (-I) as being red does not provide criteria for distinguishing one object from another. It does not supply its own identity condition (-O) because the identity of an object is not determined by its color. It is non-unifying (-U) because the property of being red does not imply that the instances are intrinsic wholes. It is independent (-D) because the property of being red does not intrinsically depend on other entities to exist."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Mixin	"""Food"" is a category that encompasses a wide range of substances that are consumed to provide nutritional support for an organism. It is not essential to all instances across all possible worlds - something can cease being food (e.g., a plant that is not edible) or become food (e.g., a plant that becomes edible when cooked). This makes it non-rigid (-R). The property does not carry identity (-I) as food does not provide criteria for distinguishing one entity from another. It does not supply its own identity condition (-O) because being food does not define the identity of an entity. Instances of food are not necessarily intrinsic wholes (-U) as food can be composed of various parts or ingredients. Food does not intrinsically depend on other entities to exist (-D) as it can exist independently."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" is a natural kind representing biological organisms. It is essential to all its instances across all possible worlds - something cannot be an animal in one world and not in another (rigid). As a biological kind, it carries and supplies its own identity condition based on biological/genetic criteria (own identity). Animals are intrinsic wholes with biological unity - they have integrated parts forming a complete organism (unifying). Animals do not intrinsically depend on other entities to exist - they are substances in themselves (independent)."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	"""RedApple"" is a property that combines a color attribute (""Red"") with a natural kind (""Apple""). An apple can exist without being red (it could be green, yellow, etc.), so being a red apple is not essential to all instances across all possible worlds - an apple can lose or gain the property of being red (e.g., ripening from green to red). This makes it non-rigid (-R). The property carries identity inherited from ""Apple"" as a natural kind (+I), but does not supply its own identity condition - the identity comes from being an apple, not from being red (-O). Instances of red apples are intrinsic wholes with clear physical boundaries (+U). Red apples do not intrinsically depend on other entities to exist beyond normal material constitution (-D)."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	~U	+D	Mixin	"""Group"" is a collective entity that represents a set of individuals or objects. Analyzing its meta-properties: It is anti-rigid (~R) because something that is a group in one context can cease being a group and remain the same set of individuals (e.g., a group of friends can disband but the individuals still exist). It does not carry identity (-I) as groups do not have intrinsic identity conditions - the identity of a group is derived from its members. It does not supply its own identity condition (-O) because the identity of a group is dependent on the identity of its members. It is anti-unity (~U) as groups are aggregates of individuals rather than intrinsic wholes. It is dependent (+D) as groups intrinsically depend on their members to exist - without members, there is no group."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" is a geopolitical entity that represents a sovereign state or nation. Analyzing its meta-properties: It is rigid (+R) because something that is a country is essentially a country in all possible worlds where it exists - a country cannot cease being a country and remain the same entity. It carries identity (+I) as countries have clear identity conditions based on territorial boundaries, sovereignty, and governmental structure. It supplies its own identity condition (+O) as being a country provides the criteria for distinguishing one country from another. It has unity (+U) as a country forms an intrinsic whole with defined borders and unified governance structure. It is independent (-D) as a country does not intrinsically depend on other entities to exist - it is a self-standing sovereign entity."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	~U	+D	Mixin	"""AmountOfMatter"" refers to a quantity of physical substance. It is anti-rigid (~R) because it is essential *not* to be essential - an amount of matter can cease to be an amount of matter and become something else (e.g., a solid turning into a liquid or gas). It does not carry identity (-I) as it does not provide criteria for distinguishing one amount of matter from another. It does not supply its own identity condition (-O) as it does not provide a global identity condition. It is anti-unity (~U) as an amount of matter is strictly an aggregate of particles or molecules. It is dependent (+D) as an amount of matter intrinsically depends on the particles or molecules that constitute it."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" is a broad category that encompasses all entities that have physical existence and occupy space. It is rigid (+R) because something that is a physical object is essentially a physical object in all possible worlds where it exists. It carries identity (+I) as physical objects have clear identity conditions based on their material constitution and spatial boundaries. It supplies its own identity condition (+O) as being a physical object provides the criteria for distinguishing one physical object from another. It has unity (+U) as a physical object forms an intrinsic whole with defined physical boundaries. It is independent (-D) as a physical object does not intrinsically depend on other entities to exist - it is a self-standing entity with its own material constitution."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	+D	Mixin	"""GroupOfPeople"" is a collective entity that represents a set of individuals. It is anti-rigid (~R) because the same set of individuals can exist without being grouped together in all possible worlds - the grouping is not essential to the individuals. It does not carry identity (-I) as the group's identity is not intrinsic but rather depends on the individuals that make it up. It does not supply its own identity condition (-O) because the identity of the group is derived from the identities of the individuals within it. It is anti-unity (~U) as a group of people is strictly an aggregate of individuals, not an intrinsic whole. It is dependent (+D) as the group intrinsically depends on the existence of the individuals that compose it."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"""LivingBeing"" is a broad category that encompasses all organisms that are alive. It is rigid (+R) because something that is a living being is essentially a living being in all possible worlds where it exists. It carries identity (+I) as living beings have clear identity conditions based on biological criteria. It supplies its own identity condition (+O) as being a living being provides the criteria for distinguishing living entities from non-living ones. It has unity (+U) as a living being forms an intrinsic whole with integrated biological processes. It is independent (-D) as a living being does not intrinsically depend on other entities to exist - it is a self-standing biological entity."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	-I	-O	~U	+D	Mixin	"""SocialEntity"" is a broad category that encompasses various types of entities that exist within a social context, such as organizations, groups, or institutions. It is anti-rigid (~R) because something that is a social entity in one context might not be in another - for example, a group of friends might dissolve and no longer be a social entity. It does not carry identity (-I) as social entities do not have a unified identity condition - what makes a social entity is context-dependent. It does not supply its own identity condition (-O) as the identity of a social entity is derived from its specific type and context. Social entities can be either intrinsic wholes or aggregates, depending on the specific type (~U). They are typically dependent (+D) on the individuals or other entities that constitute them."	
Location	http://example.org/guarino-messy#Location	~R	-I	-O	~U	+D	Role	"""Location"" is a property that refers to a position or place. It is anti-rigid (~R) because it is essential *not* to be essential - something can exist without having a specific location, and locations can change over time. It does not carry identity (-I) as locations do not provide criteria for distinguishing one entity from another. It does not supply its own identity condition (-O) because it does not provide a global identity condition. It is anti-unity (~U) because locations are not intrinsic wholes - they can be sums or aggregates of spatial points. Locations are dependent (+D) as they intrinsically depend on the existence of the space they occupy and the entities they refer to."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal	"""Fruit"" is a natural kind representing a category of plant products. It is rigid (+R) because something that is a fruit is essentially a fruit in all possible worlds where it exists. It carries identity (+I) as fruits have clear identity conditions based on biological characteristics. It supplies its own identity condition (+O) as being a fruit provides the criteria for distinguishing one fruit from another. It has unity (+U) as a fruit forms an intrinsic whole with defined physical boundaries. It is independent (-D) as a fruit does not intrinsically depend on other entities to exist - it is a self-standing biological entity."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	"""Vertebrate"" is a biological classification that refers to animals possessing a vertebral column or spine. It is rigid (+R) because having a vertebral column is an essential characteristic for all instances of vertebrates across all possible worlds. It carries identity (+I) as vertebrates have a distinct identity condition based on their anatomical features. It supplies its own identity condition (+O) as being a vertebrate provides the criteria for distinguishing vertebrates from other animals. Vertebrates are intrinsic wholes with integrated anatomical structures (+U). Vertebrates do not intrinsically depend on other entities to exist beyond normal biological dependencies (-D)."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phase	"""Caterpillar"" is a phase in the life cycle of certain insects, particularly butterflies and moths. It is anti-rigid (~R) because it is essential *not* to be essential - a caterpillar must transform into a butterfly or moth, ceasing to be a caterpillar. It carries identity (+I) as caterpillars have distinct identity conditions based on their biological characteristics. However, it does not supply its own identity condition (-O) - the identity comes from being a specific type of insect, not from being in the caterpillar phase. Caterpillars are intrinsic wholes with clear physical boundaries (+U). Caterpillars do not intrinsically depend on other entities to exist beyond normal biological development (-D)."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal	"""Person"" is a fundamental sortal term that refers to human beings. It is rigid (+R) because something that is a person is essentially a person in all possible worlds where it exists. It carries identity (+I) as persons have unique identity conditions based on biological and psychological continuity. It supplies its own identity condition (+O) as being a person provides the criteria for distinguishing one person from another. It has unity (+U) as a person forms an intrinsic whole with a unified consciousness and biological structure. It is independent (-D) as a person does not intrinsically depend on other entities to exist - they are self-standing individuals."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	-U	+D	Role	"""LegalAgent"" is a role that an entity can play within a legal framework. It is anti-rigid (~R) because something that is a legal agent in one context or time may not be in another - the role can be acquired and relinquished. It carries identity (+I) as legal agents have specific identity conditions based on legal criteria and documentation. However, it does not supply its own identity condition (-O) - the identity comes from the underlying entity (person, corporation, etc.) playing the role. Legal agents are not necessarily intrinsic wholes (-U) - they can be composed of multiple entities or parts. Legal agents are dependent (+D) as they intrinsically depend on legal frameworks and the entities playing the role to exist."	
Entity	http://example.org/guarino-messy#Entity	-R	-I	-O	-U	-D	Mixin	"""Entity"" is a fundamental concept in ontology representing anything that exists. It is not rigid (-R) because something can exist without being an entity in a specific context (e.g., a fictional character is not an entity in the real world). It does not carry identity (-I) as it does not provide criteria for distinguishing one entity from another. It does not supply its own identity condition (-O) because it is a broad category that encompasses many specific kinds of entities. It is not unifying (-U) as entities can be diverse and not necessarily form intrinsic wholes. It is independent (-D) as entities, by definition, exist in their own right."	
