term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is a rigid property because any entity that is a butterfly is necessarily and essentially a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and remain the same individual - it is a biological kind/species category. While an individual organism goes through developmental stages (caterpillar, chrysalis, butterfly), once it has reached the butterfly stage, it is essentially a butterfly. The transformation from caterpillar to butterfly represents the emergence of a new individual entity (or a fundamental change in essential properties), not the same individual gaining a new accidental property. The property 'being a butterfly' is thus essential and rigid to its instances.	BUTTERFLY is a biological entity that carries an identity condition. Individual butterflies can be distinguished and re-identified through various means including: genetic makeup (DNA), specific physical characteristics (unique wing patterns, markings), and spatio-temporal continuity as a physical organism. Like other organisms, butterflies maintain identity through their life cycle (egg, larva, pupa, adult) despite undergoing metamorphosis. As a natural kind and living organism, BUTTERFLY inherits identity conditions from more general rigid properties like ORGANISM or LIVING BEING, which supply identity criteria based on biological continuity and genetic constitution. Therefore, BUTTERFLY carries an identity condition (+I).	Butterfly supplies its own identity condition as a biological organism. As a natural kind representing the adult life stage of lepidopteran insects, it provides identity conditions based on being a specific individual organism with continuous biological identity (same DNA, developmental history from a particular larva/pupa, spatiotemporal continuity). While it inherits some identity aspects from more general properties like Organism or Animal, Butterfly as a sortal supplies its own identity criterion for what makes a particular butterfly the same individual butterfly over time - distinct from just being an insect, an animal, or physical object. The identity of a specific butterfly is tied to its existence as that particular organism, not merely shared properties with other butterflies.	A butterfly is an intrinsic whole with a highly integrated biological structure. Its parts (wings, thorax, abdomen, antennae, legs) are bound together by both topological connection (physically connected tissue) and functional unity (coordinated biological systems for flight, metabolism, reproduction). The parts of a butterfly cannot be arbitrarily selected - they form a maximal self-connected whole under biological organization. A butterfly maintains this unity condition throughout its existence as a butterfly (post-metamorphosis), and ceasing to be a unified whole (e.g., losing critical body parts) means ceasing to be a butterfly. This satisfies the definition of carrying a unity condition (+U).	A butterfly, as a biological organism and physical entity, does not exhibit external notional dependence. Once it exists as a butterfly (post-metamorphosis), it can exist independently without necessarily requiring the existence of any specific other entity that is not a part or constituent of itself. While butterflies interact with their environment (flowers, plants, air), they are not existentially dependent on any particular external entity in the way that, for example, a PARENT depends on a CHILD or a STUDENT depends on a SCHOOL. A butterfly is a complete, self-contained organism whose existence does not require the necessary existence of some other specific instance that is external to it.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because it is not essential to all its instances across all possible worlds. An object can be red at one time and cease to be red at another time (e.g., through painting, fading, or natural color change) while remaining the same individual object. For example, a car that is red can be painted blue and still be the same car. Since instances can gain or lose the property of being red without losing their identity, Red is non-rigid (-R) rather than anti-rigid (~R), as not all instances must necessarily lose this property - some things could theoretically remain red throughout their existence.	Red is a quality or property that does not carry an identity condition. There is no principled way to distinguish one instance of redness from another instance of redness across time or space. If we have two red objects, we cannot speak of 'the same red' in a meaningful way - we can only say they share the property of being red. Red lacks the necessary identity criteria to track and re-identify its instances as the same entity over time. As mentioned in the background text, Red is explicitly given as an example of a -I property with the question 'what makes one instance of red the same over time?' highlighting the absence of identity conditions for such qualities.	Red does not supply its own identity condition. As a quality/property that entities can possess (e.g., a red apple, a red car), Red itself is not a sortal and cannot provide a criterion for distinguishing one instance from another. Red things are not identifiable as 'the same red' through any intrinsic identity condition supplied by redness itself - their identity comes from the substrates that carry the color (the physical objects, amounts of matter, etc.). Since the Identity analysis determined Red is -I (carries no identity condition), it necessarily cannot supply one either, as +O requires +I.	Red is a property that can be instantiated by entities with vastly different mereological structures - from integrated wholes (a red apple, a red car) to arbitrary collections (red things scattered across a room) to parts of larger objects (a red stripe). The property itself does not impose or require any unity condition on its instances. There is no equivalence relation ω that binds the parts of all red things as intrinsic wholes. Red things do not share a common unity criterion - they can be topologically connected, scattered, functional wholes, or mere aggregates. Therefore, Red does not carry a unity condition.	Red is a color property (quality) that cannot exist independently - it must inhere in some entity (a red apple, red paint, red light, etc.). Following the definition of external dependence, Red necessarily requires the existence of some instance that bears this quality. A color cannot exist floating free; it must be the color of something. This makes Red externally dependent on entities that can bear color properties.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because whether something is food is not an essential property of that entity across all possible worlds. An entity (like an apple or grain of wheat) can exist as food when it serves a nutritional purpose for consumption, but the same entity could exist without being food (e.g., when it's still growing on a tree/plant, or after it has spoiled and is no longer consumable). The property of being food is contingent on its relationship to consumption and nutrition, not intrinsic to the entity itself. Some instances can be food while the same entities in different contexts or times are not food, making it non-rigid rather than anti-rigid.	FOOD does not carry an identity condition. There is no principled way to distinguish one instance of food from another or to re-identify the same food over time, especially as food undergoes consumption and transformation. Unlike PERSON (which has DNA/fingerprints) or PHYSICAL OBJECT (which has spatio-temporal continuity), food lacks a stable criterion for identity. When food is partially consumed, divided, or mixed with other food, there is no clear answer to 'is this the same food?' The property is more like a role or functional classification rather than a sortal that provides identity conditions for its instances.	Food does not supply its own identity condition. As determined by the Identity analysis, Food is -I (does not carry identity). Since +O requires +I (cannot supply an IC without carrying one), Food must be -O. Food is a role-like property - the same physical substance can transition in and out of being food based on context (edibility, cultural norms, intended use). It lacks the rigid nature required to supply an identity condition, and any identity would need to be inherited from what the food is made of (e.g., AMOUNT OF MATTER, PHYSICAL OBJECT).	FOOD does not carry a common unity condition for all its instances. While some food items are intrinsic wholes with clear mereological structure (e.g., an apple as a biological organism, a sandwich as a functional whole), other instances are arbitrary portions or aggregates (e.g., a pile of rice, scattered berries, a cup of sugar). The property FOOD groups together entities with vastly different unity characteristics - some are topologically unified wholes, some are morphologically defined portions, and some are mere arbitrary amounts. Since there is no single equivalence relation ω that makes all instances of FOOD intrinsic wholes, FOOD is -U rather than +U. However, it's not ~U because some instances (like whole fruits or prepared dishes) can be intrinsic wholes, even though the property as a whole doesn't guarantee this.	Food is independent (-D). While food items may depend on various processes for their creation (farming, cooking, etc.), once something exists as food, it does not intrinsically depend on other entities for its continued existence. A piece of bread, an apple, or a prepared meal can exist as food without necessarily requiring the existence of any specific external entity. The property FOOD does not require its instances to have an external dependence on other entities - food can exist independently, even if it may eventually be consumed. This is unlike properties such as PARENT (which requires a child) or PARASITE (which requires a host). Food items are physical objects that maintain their existence autonomously.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because anything that is an animal is necessarily an animal in all possible worlds. An entity cannot cease to be an animal while remaining the same entity - this is an essential biological classification. If something is an animal, it must be an animal throughout its entire existence across all possible worlds. It cannot transition into or out of being an animal while maintaining its identity, unlike contingent properties such as being a pet or being wild.	ANIMAL carries an identity condition. As a biological entity, each animal instance can be distinguished and re-identified through various criteria including: genetic identity (DNA sequence), spatio-temporal continuity (tracking the same organism through space and time), and biological continuity (maintaining functional and organizational integrity despite cellular replacement). These criteria allow us to answer questions like 'Is this the same cat I saw yesterday?' Animals maintain their identity through time despite changes in properties (growth, aging, healing). ANIMAL is a rigid sortal that supplies or carries identity conditions inherited from more general properties like ORGANISM or LIVING THING, or may supply its own based on biological individuation principles. The fact that we can meaningfully track individual animals, recognize them across time, and distinguish one animal from another demonstrates that ANIMAL is +I.	Animal supplies its own identity condition. As a fundamental biological category, Animal provides a distinct identity criterion based on biological continuity - being the same living organism over time, with continuous biological functioning and physical/functional organization. While Animal may inherit some general spatiotemporal criteria from Physical Object, it adds and supplies its own specific biological identity condition: the continuity of a self-organizing, metabolically active biological system. This is a global IC that distinguishes one animal from another and tracks identity through biological changes (growth, cell replacement, etc.). Animal is rigid (an animal cannot stop being an animal and remain the same entity) and thus can supply an IC, which it does through biological individuation.	Animal carries a unity condition. All instances of Animal are intrinsic wholes with integrated parts bound together by biological and functional relations. An animal's parts (organs, limbs, cells) are connected through physiological systems (circulatory, nervous, digestive) that constitute a self-organizing, functionally integrated biological organism. The parts are not arbitrary - they must be unified by these biological relations throughout the animal's existence. An arbitrary collection of animal parts does not constitute an animal; the parts must form a coherent, living whole under a biological unity condition (omega). This biological unity persists throughout the animal's lifetime, making instances intrinsic wholes rather than merely contingent wholes.	Animal is independent (-D) because instances of Animal do not intrinsically depend on other entities for their existence. An animal can exist as a complete entity without necessarily requiring the existence of any specific other entity that is not a part or constituent of itself. While animals may have ecological relationships (predator-prey, symbiosis) or biological dependencies (requiring food, oxygen), these are contingent relationships rather than notional dependencies - the animal itself exists as an entity independently. An animal is not like a Parent (which requires a Child) or Student (which requires an Educational Institution) where the very concept necessitates another external entity. The animal has all necessary parts and constituents within itself to exist as an animal.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because being a red apple is not essential to all its instances in all possible worlds. An apple can be red at one time and then ripen or change color to become non-red while remaining the same individual apple. The property 'red' is an accidental property that an apple can gain or lose (e.g., through ripening from green to red, or from spoiling). Since instances can move in and out of this property while maintaining their identity as the same physical object, RedApple is -R (non-rigid).	RedApple carries an identity condition inherited from the rigid property Physical Object (and more specifically, Apple). Individual red apples can be distinguished and re-identified through spatio-temporal continuity and their material composition. Even though 'Red' itself doesn't carry identity (-I), when combined with 'Apple' (which is a kind of physical object), the resulting property RedApple inherits the identity condition from Apple/Physical Object. Each red apple is a distinct physical object that can be tracked through space and time, making it a sortal property (+I).	RedApple does not supply its own identity condition. As a phase sortal (objects can gain/lose the property of being red), it is non-rigid and therefore cannot supply an IC - only rigid properties can supply identity conditions. RedApple inherits its identity condition from the rigid property APPLE (or more generally PHYSICAL OBJECT), which supplies the IC based on spatio-temporal continuity or material constitution. The redness is merely a phase/state of an apple, not what makes it identifiable as a distinct entity.	RedApple inherits the unity condition from Apple, which is a natural kind with clear topological and functional unity. Each instance is a biological whole with integrated parts (skin, flesh, core, seeds) that are bound together by biological organization and topological connection. The parts form a maximal self-connected entity under biological and topological relations, making each red apple an intrinsic whole throughout its existence as an apple.	RedApple instances (red apples) are physical objects that can exist independently without necessarily depending on other entities external to themselves. While a red apple may have originated from an apple tree, once it exists as a discrete physical object, it does not intrinsically require the existence of any specific external entity (not a part or constituent of itself) to continue existing. Unlike PARENT which requires CHILD, or STUDENT which requires SCHOOL, a red apple simply exists as a complete physical entity. Its existence is self-contained and does not necessitate the existence of other separate entities.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	Group is a rigid property because anything that is a group is necessarily a group in all possible worlds. A group is defined by a collection of entities standing in certain relations to each other - while the membership may change over time, the entity itself either is or is not fundamentally a group. An entity cannot be contingently a group - if something is a group at one time, it is essentially a group (though its members may change). This is similar to how a Person remains a Person - the identity of being a group-type entity is essential to it. Groups don't cease being groups while remaining the same entity; rather, if group structure dissolves, the group entity ceases to exist entirely.	Group carries an identity condition. A group can be distinguished and re-identified over time through its membership composition and organizational structure. For instance, a specific group (like 'The Beatles' or 'the board of directors of Company X') maintains identity through criteria such as having the same members or being constituted by the same organizational charter. While membership may change gradually (as with sports teams that replace players), there are principled ways to track diachronic identity - either through rigid membership (this exact set of people) or through continuity of institutional structure. Groups can be re-identified across time ('Is this the same team we saw last year?'), making them sortals with identity conditions, even if those conditions may vary by the type of group (formal organizations vs. informal gatherings).	Group supplies its own identity condition. A group is identified by its specific membership composition - the particular set of members that constitute it. The identity condition 'having the same members' is supplied by Group itself, not inherited from a more general property. While Group may subsume from more abstract properties, the criterion for what makes one group identical to another (same membership) is fundamental to the concept of Group. This is distinct from, say, individual persons (who have different ICs like same DNA/fingerprints) or organizations (which may have institutional ICs). Group provides the base-level IC for group entities.	Group is a paradigmatic example of anti-unity. Instances of Group are collections of members that lack inherent mereological integration. The parts (members) of a group are not bound together by topological, morphological, or functional unity relations—they remain distinct, potentially scattered entities whose connection is merely conventional or relational rather than intrinsic. A group does not form an integrated whole; it is fundamentally an aggregate where members can be spatially and functionally independent. This directly satisfies the definition of ~U: none of its instances can be intrinsic wholes under any unifying equivalence relation.	Group is externally dependent because a group cannot exist without members (instances of some other entity type, such as Person, Organization, etc.). For any instance of Group, there must necessarily exist other entities that constitute its membership, and these members are not parts of the group itself but separate entities that the group depends upon for its existence. An empty group with no members is a contradiction - the very nature of being a group requires having members.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because anything that is a country is necessarily a country in its essential nature. While the territorial boundaries, government, or name of a country may change over time, and a country may cease to exist as a political entity, when something IS a country, it cannot be the same individual entity while not being a country. A country cannot temporarily stop being a country and then become one again while maintaining its identity - if a political entity loses its status as a country (e.g., through dissolution or merger), it ceases to exist as that particular country. The property of being a country is essential to the identity of any instance that has it, making it rigid (+R).	Country carries an identity condition. Countries can be reliably distinguished and re-identified through multiple criteria: geographical boundaries (territorial extent), sovereignty recognition by international bodies, governmental continuity, and legal/political identity maintained through constitutional frameworks. A country like France can be re-identified over time despite changes in government, population, or even minor border adjustments, because it maintains a persistent political and territorial identity. The property supplies sufficient and necessary conditions for distinguishing one country from another (e.g., having the same internationally recognized sovereign territory and governmental authority). Therefore, Country is a sortal property carrying +I.	Country supplies its own identity condition. A country is distinguished by its own sovereign territorial and political identity criteria, such as recognized borders, sovereignty, and political organization. These are not inherited from a more general property but are specific to what makes something a country rather than just a geographic region or political entity. The identity condition for a country (e.g., having the same territorial sovereignty, same government continuity, same international recognition) is supplied at this level, making it +O.	Country carries a unity condition. Instances of Country are intrinsic wholes unified by a combination of political-legal, territorial, and administrative relations. The parts of a country (regions, provinces, municipalities, citizens, institutions) are bound together by constitutional and jurisdictional frameworks that define membership and territorial boundaries. A country maintains its wholeness through political sovereignty and legal continuity - its parts are not arbitrary but are integrated through governance structures, legal systems, and recognized territorial limits. While the specific unity relation is political-legal rather than physical, it satisfies the requirement that all instances are intrinsic wholes under a coherent equivalence relation (political-juridical integration).	A Country is an independent geopolitical entity that does not intrinsically depend on other entities for its existence. While countries exist within a system of international relations and may have diplomatic, economic, or cultural relationships with other countries, these are not existential dependencies in the ontological sense. A country can exist as a sovereign territorial entity without necessarily requiring any specific other entity to exist. The land, territory, and political organization that constitute a country are not externally dependent on entities outside of themselves. This contrasts with properties like PARENT (which requires CHILD) or STUDENT (which requires EDUCATIONAL INSTITUTION). Therefore, Country carries the meta-property -D.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Attribution or Quality	AmountOfMatter is a rigid property because anything that is an amount of matter is necessarily so in all possible worlds. The document explicitly uses 'AMOUNT OF MATTER' as an example when discussing identity and mereological properties. An amount of matter cannot cease to be an amount of matter while remaining the same entity - its identity is tied to its mereological composition. If the matter changes (loses or gains parts), it becomes a different amount of matter, not the same amount that has changed properties. This is in contrast to properties like Person, where an entity can remain the same person while changing its material composition. The document's discussion of mereological extensionality for amounts of matter supports this rigid classification.	AmountOfMatter does not carry an identity condition. While amounts of matter can be measured and quantified, there is no principled way to distinguish one instance from another or re-identify it over time, especially as matter is subject to mereological extensionality (identity based purely on parts). If any part changes, it becomes a different amount of matter. The background explicitly uses 'Amount of Matter' as a canonical example of a -I property, contrasting it with Person which does carry identity conditions. Without a stable criterion for distinguishing one amount from another across time and change, AmountOfMatter fails to supply the necessary or sufficient identity conditions required for +I.	Since AmountOfMatter was determined to be -I (does not carry identity), it cannot supply its own identity condition. The constraint states that +O implies +I, therefore -I implies -O. AmountOfMatter represents bare physical substance without inherent identity criteria - different amounts of the same matter type are not distinguished by identity conditions but rather by quantitative measures.	AmountOfMatter is explicitly cited in the background text as a paradigmatic example of anti-unity (~U). Instances of AmountOfMatter have no intrinsic unity condition - they are arbitrary quantities of substance without any principled way to determine what counts as a part versus what is external. An amount of matter can be divided arbitrarily, merged with other amounts, or have portions removed without ceasing to be an amount of matter. There is no equivalence relation ω that binds the parts of an amount of matter into an intrinsic whole throughout its existence. The text states: 'Amount of Matter is usually an example of the latter kind, since none of its instances can be intrinsic wholes.'	AmountOfMatter is independent (-D) because instances of matter can exist without necessarily depending on other entities external to themselves. An amount of matter (such as a lump of clay, a volume of water, or a piece of gold) exists based on its own material constitution and does not require the existence of other separate entities. While matter may have parts and constituents, these are internal to the matter itself, not external dependencies. The definition of external dependence requires that an instance necessarily depend on some other instance that is not a part or constituent of it - AmountOfMatter does not have this characteristic, as matter can exist independently in the world.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because anything that is a physical object is necessarily a physical object in all possible worlds where it exists. An entity cannot cease to be a physical object while remaining the same entity - if something stops being a physical object, it ceases to exist as that individual. For example, a particular rock or tree cannot become a non-physical object (like an abstract concept or process) while remaining the same individual entity. This is a fundamental ontological category that defines the essential nature of its instances across all possible worlds.	PhysicalObject carries an identity condition. Physical objects can be distinguished and re-identified through spatio-temporal continuity - they occupy specific locations in space and time, and maintain continuity through their existence. A physical object at time t1 can be re-identified at time t2 based on its continuous spatio-temporal path. This allows us to answer questions like 'Is this the same chair I saw yesterday?' Physical objects are explicitly mentioned in the background text as examples of properties carrying identity conditions, and they satisfy the requirement that instances can be principally distinguished from one another and tracked over time.	PhysicalObject supplies its own identity condition. As a fundamental rigid property in ontological hierarchies, it provides a global identity criterion based on spatio-temporal continuity - a physical object at time t is the same as a physical object at time t' if they occupy a continuous spatio-temporal path. This is the foundational IC for physical entities, not inherited from a more general property. PhysicalObject is typically a top-level sortal that establishes identity for all physical entities that subsume it.	PhysicalObject does not carry a common unity condition because its instances vary widely in their mereological structure. Some instances are intrinsic wholes with integrated parts (e.g., a person with biological unity, a car with functional unity), while others are arbitrary aggregates or scattered objects (e.g., a pile of sand, a scattered collection of rocks). Since there is no single equivalence relation ω that applies to all instances of PhysicalObject, it fails to satisfy the requirement for +U. However, it is not ~U because some of its instances (those that are specific kinds of physical objects) can be intrinsic wholes. PhysicalObject is too general and subsumes properties with incompatible or no unity conditions.	PhysicalObject is independent (-D) because instances of physical objects can exist without necessarily depending on other specific entities for their existence. A rock, a tree, or a piece of metal can exist autonomously without requiring the existence of other particular entities. While physical objects may interact with or be composed of parts, they do not intrinsically require external entities (non-parts, non-constituents) to exist. This is a fundamental category whose instances are self-sufficient in their existence, unlike dependent properties such as Parent (which requires Child) or Student (which requires Educational Institution).	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	+D	Attribution (Non-rigid, no identity)	GroupOfPeople is non-rigid because while a collection of people exists as a group at a given time, the same individuals can cease to form that group (e.g., when they disband or separate) while still existing as individuals. Additionally, new groups can form from the same people. The group membership itself is not essential to the identity of the collection in all possible worlds - the individuals could exist without forming that particular group, and the group could potentially gain or lose members while remaining the same group (depending on the conceptualization). This makes it a non-rigid property, as instances can move in and out of being a group while remaining the same collection of entities.	GroupOfPeople does not carry an identity condition. While individual persons have clear identity criteria (DNA, fingerprints, spatio-temporal continuity), a group of people faces fundamental identity problems: (1) membership changes don't provide clear identity (if one person leaves and another joins, is it the same group?), (2) there's no principled criterion for when a collection of people constitutes 'the same' group over time, and (3) unlike formal organizations or legal entities which may have institutional identity conditions, a mere 'group of people' lacks inherent re-identification criteria. The identity of the group would need to be supplied by a more specific rigid property like Organization, Team, or Family that provides proper identity conditions based on institutional, functional, or relational criteria.	GroupOfPeople does not supply its own identity condition. Since the Identity analysis determined this entity is -I (does not carry identity), it cannot supply an identity condition (+O implies +I). Groups of people typically have problematic identity conditions - they can change membership while remaining 'the same group' under some conceptualizations, or be considered different groups under others. The identity condition, if any, would need to be supplied by a more specific subtype (like 'Committee with fixed charter' or 'Family') rather than by the general concept of GroupOfPeople itself.	GroupOfPeople is anti-unity (~U) because its instances are strictly aggregates of persons without intrinsic integration. A group of people consists of multiple distinct wholes (individual persons) that remain independent entities. The parts (people) are not bound by a unifying equivalence relation that makes the group itself an intrinsic whole - members can be arbitrarily collected, removed, or replaced without affecting the wholeness of the individual persons themselves. Unlike a single Person (which is +U with integrated biological parts), a GroupOfPeople is merely a sum or collection where the constituents maintain their own separate unity conditions. The group lacks the topological, morphological, or necessary functional unity that would make it an intrinsic whole.	GroupOfPeople is externally dependent because any instance of a group necessarily requires the existence of Person instances that are not parts or constituents of the group itself, but rather independent entities that the group relates to. A group cannot exist without people existing as separate entities - the group is a collection that depends on its members. Following the definition: for all instances x of GroupOfPeople, necessarily some instance of Person must exist which is not a part of x (people exist independently), making GroupOfPeople carry +D.	
