term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	'Butterfly' is a rigid property (+R) because if an entity is a butterfly, it is essentially a butterfly in all possible worlds where it exists (it cannot cease to be a butterfly without ceasing to exist as that biological entity). It carries and supplies its own identity condition (+I, +O), allowing us to distinguish one butterfly from another and re-identify it over time. It exhibits unity (+U) because a butterfly is considered an intrinsic whole with a functional/organic structure. Finally, it is independent (-D) as it does not require the existence of another specific entity to exist.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Non-Sortal	'Red' is a property that can be applied to various entities and is not essential to any particular instance in all possible worlds, making it non-rigid (-R). It does not carry its own identity condition (-I) and does not supply its own identity (-O), as it is a quality that can be shared by many different types of entities. It is non-unifying (-U) because it does not inherently form a whole but rather is a characteristic that can be part of a larger whole. It is independent (-D) because the existence of the color red does not depend on the existence of any specific entity.	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	-D	Mixin	'Food' is a non-rigid property (-R) because an entity can cease to be food (e.g., through spoilage or transformation) without ceasing to exist. It carries an identity condition (+I) inherited from its more specific types (e.g., specific food items like apples or bread), but it does not supply its own unique identity condition separate from these specific types (-O). It is generally non-unifying (-U) because food can be composed of various parts and does not necessarily form a single, indivisible whole. It is independent (-D) as food items can exist without depending on the existence of another specific entity.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	'Animal' is a rigid property (+R) because if an entity is an animal, it is essentially an animal in all possible worlds. It carries and supplies its own identity condition (+I, +O), allowing for the identification and re-identification of specific animals. It has unity (+U) because animals are considered intrinsic wholes with functional and organic structures. Finally, it is independent (-D) because the existence of an animal does not depend on the existence of another specific entity.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	'RedApple' is a specialization of the sortal 'Apple' by the attribute 'Red'. It is non-rigid (-R) because an apple can change its color (e.g., from red to brown) without ceasing to be the same apple. It carries an identity condition (+I) inherited from 'Apple', but it does not supply its own unique identity condition (-O). As an object, it represents a whole (+U) and does not intrinsically depend on the existence of another specific entity to exist (-D).	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	~U	+D	Mixin	'Group' is a non-rigid property (-R) because the individuals that constitute a group can change over time without the group ceasing to be the same group. It does not carry its own identity condition (-I) and does not supply its own identity condition either (-O), as the identity of the group is often determined by the identity of its members. It is typically a sum or aggregate of individuals (~U) rather than a unified whole. It is dependent (+D) because the group's existence relies on the existence of its members.	
Country	http://example.org/guarino-messy#Country	-R	+I	+O	+U	+D	Social Sortal	'Country' is a non-rigid property (-R) because a country can change its status (e.g., through dissolution or new formation) without the territory or people ceasing to exist. It carries identity (+I) and typically supplies its own identity condition (+O) based on political and geographical criteria. A country is considered a unifying entity (+U) because it is a coherent and integrated system with a government, territory, and population. It is dependent (+D) because its existence is often contingent on the recognition and interaction with other countries and the international community.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Phase/Quality	'AmountOfMatter' is a non-rigid property (-R) because the amount of matter can change (e.g., through processes like evaporation or combustion) without the entity ceasing to exist. It does not carry an identity condition of its own (-I) because the identity of the entity is not bound to a specific amount of matter. It does not supply its own identity condition (-O) and is typically considered a property of a more fundamental entity (like an object or substance). It lacks unity (-U) because it can be a part of different aggregates or wholes and is not necessarily a whole itself. It is dependent (+D) on the existence of a specific entity or substance to which the amount of matter pertains.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	'PhysicalObject' is a rigid property (+R) because if something is a physical object, it remains a physical object in all possible worlds where it exists. It carries and supplies its own identity condition (+I, +O), allowing us to distinguish one physical object from another. It exhibits unity (+U) because physical objects are typically considered intrinsic wholes with a coherent structure. It is independent (-D) because a physical object can exist on its own without intrinsically depending on another specific entity.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	-U	-D	Collective	'GroupOfPeople' is a non-rigid property (-R) because it is possible for a group to change its composition and still be considered the same group (e.g., people can join or leave). It carries an identity condition (+I) but does not supply its own unique identity condition (-O); the identity is often derived from the composition of individuals. A group of people is not a single intrinsic whole and is typically seen as a collection or aggregate (-U). It is independent (-D) because a group of people can exist without depending on the existence of a specific individual.	
