term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Substantial Sortal (Type)	Butterfly is a rigid property because an instance cannot cease to be a butterfly without ceasing to exist (it is essential). It supplies its own identity condition (+O) derived from biological species criteria and defines the unity (+U) of the organism as a discrete whole. It is independent (-D) as it does not rely on the existence of another specific entity to exist, unlike a role.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Attribution	Red is anti-rigid (~R) because an object can change color without losing its identity (it is not essential to its instances). It does not provide identity conditions (-I/-O) because we do not identify 'a red' independently of the object that is red; it is not a sortal. It is non-unifying (-U) as it does not dictate the structural wholeness of its instances, and it is considered independent (-D) in this context because its definition doesn't require a specific external witness beyond the instance itself.	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	~U	+D	Non-rigid Role (Phased Sortal/Mixin)	Food is anti-rigid (~R) because it is a role a substance or object plays; an apple can cease to be food (by rotting) without ceasing to be an apple. It does not supply its own identity (+O) because it can apply to liquids, solids, or aggregates (like 'water' or 'bread'), which have different identity conditions. It is anti-unity (~U) because any portion of food is still food (divisive), and it is dependent (+D) because it requires an organism/consumer to define its purpose.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type/Sortal	Animal is a rigid property because an instance of an animal cannot cease to be an animal without ceasing to exist. It supplies its own identity conditions (it is a base sortal) and defines instances that are intrinsic wholes with specific unity criteria.	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	RedApple is a Phase because it is anti-rigid (~R); an instance of an Apple can change from Green to Red without losing its identity. It carries identity (+I) inherited from the Kind 'Apple', but does not supply its own Identity Condition (-O). It is unifying (+U) because an apple is an intrinsic whole, and it is independent (-D) as its existence does not require the presence of a specific separate external object.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	-D	Non-Unitary Sortal	A Group is a rigid property because an entity that is a Group cannot cease to be one without losing its identity. It supplies its own Identity Condition (usually defined by membership criteria or social cohesion), making it +O and +I. It is Anti-Unity (~U) because groups are aggregates or sums of members rather than single intrinsic wholes with a topological boundary, distinguishing them from individuals or singular objects.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type / Sortal	A Country is a Rigid property because a specific country cannot cease to be a country without losing its identity. It supplies its own identity conditions (+O) such as geopolitical boundaries and sovereignty, and imposes unity (+U) as it is conceived as a single whole entity rather than a mere aggregate of land.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Non-sortal (Substance/Mass)	AmountOfMatter is Rigid (+R) because if something is an amount of matter, it cannot cease to be so and still exist. It does not carry or supply specific identity conditions (-I, -O) because matter is cumulative and divisible without preserving a distinct identity of individuals (one chunk of matter plus another is just more matter). It is Anti-Unity (~U) because substances are typically mereological sums rather than intrinsic wholes (no unified boundary). It is Independent (-D) as it does not require a specific hole or host to exist.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Type / Basic Sortal	A PhysicalObject is Rigid because an entity cannot cease to be a physical object without ceasing to exist. it is +O because it supplies its own criteria for identity (spatio-temporal tracking) and is +U because a physical object is inherently a unified whole rather than an arbitrary sum of matter.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	-D	Collective	A GroupOfPeople is Rigid (+R) because if an instance ceases to be a group, it ceases to exist as that specific entity. It supplies its own Identity (+O) based on the membership criteria of the collection. It is Anti-Unity (~U) because, as a collection, its instances are mereological sums/aggregates of parts (people) rather than intrinsic wholes with a topological structure.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Type / Sortal	Being a LivingBeing is essential to all its instances (a cat cannot stop being a living being without ceasing to exist), making it Rigid. It provides a common identity condition and is a primary supplier of that identity (+O, +I). Living beings are intrinsic wholes (+U) and do not require the existence of another specific entity to exist (-D).	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	-I	-O	-U	+D	Non-Sortal Rigidity / Mixin	SocialEntity is Rigid because if an entity is social, it is essentially social within its ontological context. However, it does not supply its own Identity Condition (+O) or even carry a shared one (+I) because social entities can be individuals (Persons) or collectives (Organizations), which use different criteria for identity. It is Dependent (+D) as it requires a social system or agreement to exist, and Non-Unifying (-U) because it encompasses both unified wholes and non-unified groups.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	-D	Non-Sortal Mixin	Location is typically viewed as a rigid property (if something is a location, it cannot cease to be one without losing its essence), but it does not provide a common identity condition for its members (e.g., a GPS coordinate and a street address are identified differently). As it carries no identity of its own and can apply to diverse entities, it serves as a Mixin or Category.	
Fruit	http://example.org/guarino-messy#Fruit	+R	-I	-O	+U	-D	Non-substantial Sortal (Category)	Fruit is a rigid property because an instance of a fruit cannot cease to be a fruit without ceasing to exist as that entity. It carries Unity because fruits are considered discrete integral wholes with internal boundaries. However, it does not supply its own unique identity condition (+O) or even carry a unified one (+I) at this level, as the identity criteria (how to distinguish one from another) are typically inherited from more specific types like 'Apple' or 'Orange'.	
