agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini_BootstrapFewShot_gpt4o-mini,overall,all,all,0.65,0.57,0.58,0.5,110,64,46,108,46
gemini_BootstrapFewShot_gpt4o-mini,macro_avg,rigidity,all,0.64,0.69,0.67,0.48,22,10,12,32,12
gemini_BootstrapFewShot_gpt4o-mini,per_class,rigidity,~R,0.91,1.0,0.67,0.8,6,4,0,16,2
gemini_BootstrapFewShot_gpt4o-mini,per_class,rigidity,+R,0.55,1.0,0.33,0.5,15,5,0,7,10
gemini_BootstrapFewShot_gpt4o-mini,per_class,rigidity,-R,0.45,0.08,1.0,0.14,1,1,12,9,0
gemini_BootstrapFewShot_gpt4o-mini,macro_avg,identity,all,0.73,0.54,0.56,0.54,22,16,6,16,6
gemini_BootstrapFewShot_gpt4o-mini,per_class,identity,+I,0.73,0.88,0.79,0.83,19,15,2,1,4
gemini_BootstrapFewShot_gpt4o-mini,per_class,identity,-I,0.73,0.2,0.33,0.25,3,1,4,15,2
gemini_BootstrapFewShot_gpt4o-mini,macro_avg,own_identity,all,0.45,0.49,0.49,0.45,22,10,12,10,12
gemini_BootstrapFewShot_gpt4o-mini,per_class,own_identity,-O,0.45,0.4,0.67,0.5,9,6,9,4,3
gemini_BootstrapFewShot_gpt4o-mini,per_class,own_identity,+O,0.45,0.57,0.31,0.4,13,4,3,6,9
gemini_BootstrapFewShot_gpt4o-mini,macro_avg,unity,all,0.82,0.46,0.5,0.48,22,16,6,38,6
gemini_BootstrapFewShot_gpt4o-mini,per_class,unity,+U,0.82,0.8,0.92,0.86,13,12,3,6,1
gemini_BootstrapFewShot_gpt4o-mini,per_class,unity,-U,0.73,0.57,0.57,0.57,7,4,3,12,3
gemini_BootstrapFewShot_gpt4o-mini,per_class,unity,~U,0.91,0.0,0.0,0.0,2,0,0,20,2
gemini_BootstrapFewShot_gpt4o-mini,macro_avg,dependence,all,0.55,0.67,0.71,0.54,22,12,10,12,10
gemini_BootstrapFewShot_gpt4o-mini,per_class,dependence,+D,0.55,0.33,1.0,0.5,5,5,10,7,0
gemini_BootstrapFewShot_gpt4o-mini,per_class,dependence,-D,0.55,1.0,0.41,0.58,17,7,0,5,10
