term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a biological kind - a specific life stage (adult form) of certain insects in the order Lepidoptera. As a natural kind, it carries essential properties: something is a butterfly in all possible worlds where it exists as such, making it a rigid kind. It provides its own identity condition based on biological criteria (species membership, developmental stage). Instances are intrinsic wholes (complete organisms with functional unity). Butterflies are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Quality	"""Red"" refers to a color property, which acts as a quality that can be attributed to various objects but is not essential to their identity. It does not possess intrinsic identity conditions on its own, as it does not exist independently from the objects it describes. This indicates that ""Red"" is Non-Rigid (-R). It does not carry its own identity condition (-I) since it is a quality rather than a distinct entity. Being a quality, it does not supply its own identity condition either (-O). The instances of ""Red"" can be seen as aggregates of qualities without intrinsic unity across different contexts (-U). Additionally, color properties are dependent upon the objects they describe and become relevant only in that context (+D)."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Mixin	"""Food"" is a broad category that encompasses a variety of substances consumed for nourishment by living organisms. It is not rigid (+R) because what qualifies as food can change based on cultural, contextual, and individual preferences—certain items may be considered food in some circumstances but not in others. ""Food"" carries an identity condition (+I) since it can be defined by its functional role in sustaining life. However, it does not supply its own identity condition (-O) since the specific identity would depend on the type of food (e.g., fruits, vegetables, meat). Instances of food can be seen as unified wholes (+U) as a meal made of multiple components is considered a whole. Food items can be independent (-D) in the sense that they can exist separately from the act of being consumed."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	+D	Sortal (Natural Kind)	"""Animal"" is a biological category that encompasses a wide range of living organisms that share certain essential characteristics, including multicellularity, heterotrophy, and the ability to move at some life stage. As a natural kind, it is rigid (+R), meaning all instances of animals possess these essential properties across all possible worlds. The term ""Animal"" carries an identity condition (+I), meaning it has criteria that establish what qualifies as an animal. Given that all animals share inherent characteristics of this classification, it supplies its own identity condition (+O). Instances of animals are unified wholes (+U), meaning they are complete organisms. Animals are dependent entities (+D) in terms of their biological and ecological context, as they require specific environments and resources for survival."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" is a phase-like property that combines a sortal (Apple) with a contingent quality (Red). An apple can be red at one time and turn green or yellow at another while remaining the same apple. The property ""being red"" is not essential to being that particular apple - it's a temporary state. Therefore, RedApple is Anti-Rigid (~R). It inherits the identity condition from Apple (+I), but does not supply its own identity condition (-O) since the identity comes from being an apple, not from being red. RedApples maintain unity (+U) as they are intrinsic wholes, and they are independent (-D) since a red apple does not intrinsically depend on other entities to exist."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	-U	+D	Mixin	"""Group"" refers to a collection of individuals that can act or share common characteristics, but its exact members can change over time. This suggests that ""Group"" is non-rigid (-R) since it is not essential to be a member of a specific group in all possible worlds; memberships can shift. It carries an identity condition as a collection of individuals, thus it has identity (+I). However, ""Group"" does not supply its own distinct identity condition (-O) because its identity derives from the individuals that comprise it. In terms of unity, groups can be seen as non-unifying (-U) since they can be thought of merely as aggregates of members without intrinsic wholes. Lastly, groups are typically dependent entities (+D), as their existence relies on the members that constitute them."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Political Entity)	"""Country"" refers to a political entity that has defined borders, governance, and a populace. It is considered a rigid entity because a country is defined as such in all possible worlds where it exists; it doesn't change its essential identity across different contexts. ""Country"" carries its own identity condition based on its defined legal and social frameworks (+I) and supplies its own identity condition (+O) through its established governance and population criteria. Countries are intrinsic wholes (+U) as they are structured and unified entities with distinct political, social, and cultural identities. They are also independent (-D) since a country exists as a distinct entity regardless of external influences, though it may have dependencies in terms of trade, international laws, or global recognition."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	-O	+U	+D	Mixin	"""AmountOfMatter"" refers to a measurable quantity of matter, which is a property that can vary depending on the context (e.g., how much matter is present in a given space). This non-rigid characteristic indicates that it isn't essential to all instances of matter across all possible worlds, as the same substance could exist in different amounts. Although the amount of matter has identity conditions (it can be quantified), it does not supply its own identity condition, as the identity derives from the physical matter itself. The concept of ""AmountOfMatter"" is considered unifying, as instances of a specific amount can represent intrinsic wholes related to physical properties. However, the notion of amount is dependent on the existence of matter, thus making it intrinsically dependent."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" refers to entities that have a tangible presence in the physical world and can be perceived through the senses. As a broad classification of entities, it is rigid (+R) as all instances qualify as physical objects across various possible worlds where they exist. This term carries an identity condition (+I) since being a physical object allows us to distinguish these entities from non-physical ones. Additionally, it provides its own identity condition (+O), as it defines itself through its intrinsic properties. Instances of physical objects are unifying (+U) in the sense that each physical object is an intrinsic whole rather than a mere aggregate of parts. They are generally independent (-D), as physical objects can exist by themselves without requiring other entities to confer their existence."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	+U	+D	Mixin	"""GroupOfPeople"" refers to an aggregation of individuals identified as a collective for certain purposes. It is not rigid since the same individuals can form different groups in various contexts, hence it embodies non-rigidity (-R). The group itself carries an identity condition based on the identity of the individuals composing it, which means it has some identity (+I). However, it does not supply its own unique identity condition, as it derives its identity from the individuals in the group (-O). While it represents a collection, instances of groups can be seen as unified wholes (+U) based on their common characteristics or goals. Groups are dependent on the individuals that constitute them for their existence (+D)."	
