agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-critic-no-intro,overall,all,all,0.84,0.76,0.76,0.75,105,83,17,123,22
gemini-critic-no-intro,macro_avg,rigidity,all,0.92,0.95,0.88,0.91,21,18,2,38,3
gemini-critic-no-intro,per_class,rigidity,+R,0.86,0.86,0.92,0.89,13,12,2,6,1
gemini-critic-no-intro,per_class,rigidity,-R,1.00,1.00,1.00,1.00,1,1,0,19,0
gemini-critic-no-intro,per_class,rigidity,~R,0.90,1.00,0.71,0.83,7,5,0,13,2
gemini-critic-no-intro,macro_avg,identity,all,0.83,0.64,0.67,0.64,21,17,3,17,4
gemini-critic-no-intro,per_class,identity,+I,0.81,0.94,0.84,0.89,19,16,1,1,3
gemini-critic-no-intro,per_class,identity,-I,0.85,0.33,0.50,0.40,2,1,2,16,1
gemini-critic-no-intro,macro_avg,own_identity,all,0.78,0.78,0.74,0.76,21,16,4,16,5
gemini-critic-no-intro,per_class,own_identity,+O,0.80,0.85,0.85,0.85,13,11,2,5,2
gemini-critic-no-intro,per_class,own_identity,-O,0.76,0.71,0.62,0.67,8,5,2,11,3
gemini-critic-no-intro,macro_avg,unity,all,0.82,0.63,0.72,0.64,21,15,5,35,6
gemini-critic-no-intro,per_class,unity,+U,0.76,1.00,0.67,0.80,15,10,0,6,5
gemini-critic-no-intro,per_class,unity,-U,0.85,0.57,1.00,0.73,4,4,3,13,0
gemini-critic-no-intro,per_class,unity,~U,0.85,0.33,0.50,0.40,2,1,2,16,1
gemini-critic-no-intro,macro_avg,dependence,all,0.83,0.82,0.82,0.81,21,17,3,17,4
gemini-critic-no-intro,per_class,dependence,+D,0.85,0.71,0.83,0.77,6,5,2,12,1
gemini-critic-no-intro,per_class,dependence,-D,0.81,0.92,0.80,0.86,15,12,1,5,3
