term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a specific life stage of a Lepidopteran insect, characterized by its unique form, function, and developmental trajectory. A butterfly's existence is contingent on its lifecycle - it starts as a caterpillar, undergoes metamorphosis to become a butterfly, and eventually dies. The property of being a butterfly is not essential to the individual insect's existence, as it can change significantly through its life stages. This makes it ~R (Anti-Rigid). As a natural kind, ""Butterfly"" carries identity inherited from its underlying biological processes (+I) and supplies its own identity condition based on its unique characteristics (+O). Butterflies are intrinsic wholes with functional integration of their parts, making them +U (Unifying). As a developmental stage, a butterfly's existence depends on its earlier life stages (caterpillar) and later life stage (adult insect), but not intrinsically on other specific entities (-D)."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	+U	-D	Quality/Attribute	"""Red"" refers to a property of being characterized by a specific wavelength of light. This property is typically observed as an attribute of objects or substances, not as an essential characteristic of their identity. It does not carry criteria for identifying instances across time or possible worlds (-I). Furthermore, redness is not a property that supplies its own identity condition; it merely attributes a color quality to an object or substance, making it dependent on the entity it is attributed to (-O). As a color, red does not represent a unified whole but rather an attribute that can be applied to various objects or substances independently (+U), and an object or substance can exist independently without intrinsic dependence on its color (-D). However, ""Red"" itself is not essential to its instances - the same object or substance can change color or exist without being red, indicating it is anti-rigid (~R)."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	~U	-D	Mixin	"""Food"" is a broad category that encompasses a wide range of substances that serve as nutrition for various organisms. It is often defined by its function and usage rather than an inherent essential property. As a functional or mixed category, ""Food"" can be essential to the existence of some organisms (e.g., human sustenance) but not others (e.g., some plants that obtain nutrients differently). This makes it non-rigid (-R). Food carries identity conditions, as it is typically defined by its role in nourishing organisms, making it +I. However, ""Food"" does not supply its own unique identity condition but inherits it from its various definitions and uses (-O). Food can exist as a collection of substances, and its unity is often relative to the specific organism consuming it (~U). Organisms or entities dependent on food cannot exist without it (-D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Animal"" is a fundamental biological category. Rigidity: Being an animal is an essential property that defines an organism's nature and cannot be lost without ceasing to be that organism. However, individual animals can evolve, grow, or change states without losing their essential identity as animals. But the criteria for being an animal remain constant. Therefore, ""Animal"" is essentially rigid (+R) in its core definition, but nuanced in its instantiation across different species and life stages. Identity: ""Animal"" carries identity conditions based on biological criteria such as genome, embryonic development, and morphological characteristics, making it +I (Identity). Own Identity: As a fundamental biological category, ""Animal"" supplies its own identity condition, which is inherent in the biological and morphological characteristics that define it (+O). Unity: Animals are intrinsic wholes, consisting of integrated biological systems that function together as a unit (+U). Dependence: While animals may interact with their environment and depend on it for survival, they can exist independently as self-sustaining organisms without intrinsically depending on other specific entities (-D)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	-I	-O	-	-D	Phase	"""RedApple"" is a complex property combining the sortal ""Apple"" with the quality ""Red"". Although an apple can change color, the redness is an attribute of the apple, and the apple's identity is primarily based on being a fruit of a certain kind (i.e., its sortal ""Apple""). The redness, being a quality, does not supply a new identity condition beyond what ""Apple"" provides. This indicates that ""RedApple"" inherits its identity from ""Apple"" (-I). Furthermore, the combination of ""Red"" and ""Apple"" suggests a phase-like property, as apples can change color over time. The redness is not essential to the apple's existence as an individual entity, making it anti-rigid (~R). As a phase-like property, ""RedApple"" represents a specific state or condition of an apple rather than a unified, self-sufficient whole."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	~U	-D	Collective	"A ""Group"" is a collective entity consisting of individuals or other entities that form a cohesive whole. Groups are not necessarily rigidly defined; their membership can change over time, and the very concept of a group can be subjective. However, a group's existence depends on the collective identity of its members, implying that it carries identity inherited from the individuals within it (+I). Groups can exist independently without intrinsically depending on specific other entities (-D). Given that a group's identity is derivative from its members, it does not supply its own identity condition beyond what the members provide (-O). Groups can exhibit unity through shared goals, values, or characteristics, but this unity can also be relative or subject to interpretation (+U and ~U)."	
Country	http://example.org/guarino-messy#Country	+R	+I	-O	+U	-D	Sortal (Geopolitical)	"""Country"" refers to a geographically defined entity occupied by a sovereign government. Countries can vary greatly in size, shape, and governance. Rigidity: A country's status can change over time (e.g., merger, secession, dissolution), but the underlying territory, culture, or governance can remain. However, a country is more than just a collection of features - the very idea of a country is tied to its existence as a unified political entity. Therefore, a country cannot be reclassified as a different entity while retaining the same core features, making it rigid (+R). Identity: Countries have clear criteria for individuation, boundaries, and persistence, making them +I (carry identity). Own Identity: The concept of a country inherits its identity from more fundamental entities like territories and governance structures, rather than supplying a unique identity condition, making it -O. Unity: Countries are unified wholes with clear boundaries and functions, making them +U (Unifying). Dependence: Countries are fundamentally dependent on their territories and populations to exist (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	+U	+D	Quality/Attribute	"""AmountOfMatter"" is often considered as a quality or attribute that describes the quantity and physical presence of a substance in a given space. This quality can vary and exist independently from other properties like shape, color, or form. Given its quality-like nature, it lacks rigidity, as the quantity of matter can change without the fundamental nature of the entity changing (~R). This property lacks inherent identity criteria, as different amounts of matter are not defined by a single, consistent criterion for identity (-I). It also does not provide its own identity condition, inheriting its identity from related concepts like ""Quantity"" or ""Property"" (-O). As a quality, it can be part of an aggregate or exist independently, forming a unified whole with its parts (+U), but it depends on the underlying physical entities with mass, which makes it dependent on the existence of such entities (+D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	+I	-O	+U	-D	Sortal (General Kind)	"""PhysicalObject"" is a broad category encompassing anything with physical existence and extension in space. Physical objects can be rigid or non-rigid, but the category itself is non-rigid since its application can change (e.g., a non-rigid object like a jelly can change shape, but still be a physical object). Physical objects carry identity conditions - they maintain spatiotemporal continuity and have criteria for individuation and persistence (+I). However, ""PhysicalObject"" does not supply its own identity condition but inherits it from its subclasses and instances (-O). Physical objects are generally considered unified wholes, though some can be aggregates or collections, the default assumption is that they are +U (Unifying). Physical objects can exist independently without intrinsically depending on other specific entities, though some may be dependent on others for certain properties or functionality (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	~U	+D	Collective	"A ""GroupOfPeople"" can be understood as a collection or aggregation of individuals rather than a unified entity with intrinsic parts. Its rigidity is non-rigid (-R) because the group's composition can change (e.g., members leave or join), but the individuals within it can maintain their identity. The group carries identity inherited from its individual members (+I), but it does not supply its own identity condition beyond what those individuals provide (-O). A group of people does not form a cohesive, intrinsic whole but can be considered as an aggregate or collection (~U). Moreover, the existence of a group of people inherently depends on the existence of its constituent individuals, making them dependent (+D)."	
