term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	rigidity_attempts	identity_attempts	own_identity_attempts	unity_attempts	dependence_attempts	total_critique_attempts	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	+R	+I	-O	+U	+D	Sortal (Rigid, carries identity)	Determining an entity to be an 'emotion process' identifies the essential nature of the occurrence. A process that is categorized as an emotional one cannot cease to be an emotional process without ceasing to exist as that specific occurrence; it is not a phase or role that an underlying process can transition in and out of.	As a process, an emotion process carries identity conditions based on spatio-temporal continuity, the specific agent experiencing the emotion, and the causal link to a triggering event or stimulus.	While 'emotion process' is a rigid property (+R) and carries an identity condition (+I), it does not supply its own unique identity condition. Instead, it inherits the identity conditions for processes (typically based on participant involvement, temporal extension, and mereological structure) from the more general category 'process'. Since it does not introduce a new, non-inherited criterion for distinguishing individuals, it is marked -O.	An emotion process is an intrinsic whole characterized by functional and temporal unity. Its constituent parts (appraisal, physiological response, expression, and subjective feeling) are bound by a specific causal and temporal relation (omega) that integrates them into a single coherent occurrence rather than a mere arbitrary collection of sensations.	An 'emotion process' is externally dependent on a sentient agent because, for any instances of an emotion process to exist, there must necessarily exist an experiencer (the agent) who is undergoing the process, and this agent is neither a part nor a constituent of the process itself.	1	1	2	1	1	6	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	+R	-I	-O	+U	+D	Attribution or Quality	A phenomenal cognitive experience is defined by its subjective qualities and presence in consciousness. If an entity is a phenomenal cognitive experience, it cannot cease to be one without ceasing to exist as that specific experience; it is an essential property of the instance in all possible worlds.	A phenomenal cognitive experience (a 'qualia' or subjective feeling) lacks a formal identity condition (IC) to distinguish or re-identify discrete instances over time. While the subject having the experience may have an IC, the experience itself is not a sortal and does not provide a principled way to determine if one 'instance' of a specific feeling is numerically identical to another.	Since the entity was previously determined to be -I (not carrying an identity condition), it logically cannot be +O, as supplying an identity condition (+O) implies carrying one (+I) and being rigid (+R).	A phenomenal cognitive experience possesses intrinsic unity as a 'stream of consciousness' or 'phenomenal field' where parts are functionally and topologically integrated into a single conscious whole at any given time, satisfying the criteria for morphological or functional unity.	A phenomenal cognitive experience is externally dependent on a conscious subject (an experienceer) to exist. Since an experience cannot exist without being instantiated by a distinct entity that is not its part or constituent, it is considered dependent.	1	1	1	1	1	5	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	+R	-I	-O	-U	+D	Attribution or Quality	A property like 'emotional experience' or 'feeling' is rigid because if a particular instance (an entity) is a feeling, it cannot cease to be a feeling without ceasing to exist as that entity. While a person's state may change, the entity itself—the specific instance of a 'feeling'—is defined by its nature as an experience.	Emotional experiences are non-rigid, qualitative states that lacked principled, inherent identity conditions (ICs) to distinguish one specific instance of 'feeling' from another over time or across contexts without being subsumed by a higher-level physical or psychological entity (like the Person experiencing them).	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition. Only properties that carry identity (+I) and are rigid (+R) can be marked +O.	Emotional experiences lack a common equivalence relation (omega) that defines them as intrinsic wholes with a fixed mereological structure. Unlike biological organisms (+U), which have topological or functional unity, or amounts of matter (~U), which are strictly non-wholes, a feeling is an abstract event that may or may not be viewed as a unified temporal segment, but it does not carry a formal unity condition for all its instances.	An emotional experience is externally dependent on a sentient subject (such as a person or animal) to experience it. By definition, a feeling cannot exist in isolation without being grounded in an experiencing entity that is not a part nor a constituent of the experience itself.	1	1	1	1	1	5	
N5ba1a8fc268a4df98df16d23afaabf16	N5ba1a8fc268a4df98df16d23afaabf16	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	As a specific identifier (UID), this term functions as an extensional identity criterion rather than a rigid universal. If interpreted as a property ('being the entity with this ID'), it is non-rigid because the assignment of a specific alphanumeric string to an entity is usually accidental; the entity could exist in other possible worlds without this specific tag being its primary designator. Furthermore, a UID is not a sortal or essence that defines 'what' an entity is, but rather a tool for tracking 'which' entity it is.	The provided term 'N5ba1a8fc268a4df98df16d23afaabf16' appears to be a randomly generated alphanumeric hash or identifier. It does not map to a recognized rigid or non-rigid property (such as a sortal like 'Person' or 'Physical Object') that carries a principled condition for synchronic or diachronic identity.	A property can only supply its own identity condition (+O) if it is rigid (+R) and carries an identity condition (+I). Since the entity is determined to be -I, it cannot supply an identity condition, satisfying the constraint that +O implies +I.	As an opaque identifier devoid of explicit semantic constraints, the property lacks a common unity condition (omega relation) that would apply to all its potential instances to make them intrinsic wholes (+U). Furthermore, since the category does not explicitly define its instances as strictly divisible mass nouns or arbitrary sums, it cannot be definitively categorized as Anti-Unity (~U). Therefore, it is classified as -U because it does not carry a specific criterion for wholeness that holds for all instances throughout their existence.	The provided entity is an opaque alphanumeric identifier. Without external context or specific domain semantics identifying it as a role or a relation-dependent concept, it is treated as a self-contained individual/object by default, thus not carrying the meta-property of external dependence (+D).	3	1	1	3	1	9	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	~R	+I	+O	-U	+D	Role (Anti-rigid, dependent)	An 'anxiety process' is an anti-rigid property (~R) because it is a phase or state of an organism. No entity that undergoes an anxiety process is inherently defined by that process in all possible worlds; an individual experiencing anxiety can cease the process while remaining the same individual.	As a process, it carries identity conditions based on its spatiotemporal boundaries, its participants (the person experiencing it), and its temporal unfolding, allowing it to be identified and re-identified as a specific occurrence.	As a process, an 'anxiety process' supplies its own identity condition based on its temporal parts, causal origin, and psychological manifestation. While it is a type of process, it is not simply inheriting its identity from a broader rigid category like 'Person'; rather, it defines what constitutes the synchronic and diachronic unity of that specific psychological phenomenon.	As a process, anxiety lacks a single, uniform equivalence relation (omega) that defines it as an intrinsic whole across all instances. While individual episodes may exhibit functional or temporal continuity, 'anxiety process' as a general property can apply to scattered psychological states or fragmented physiological responses that do not necessarily form a maximal self-connected whole.	An 'anxiety process' is externally dependent on a sentient agent (a host) to undergo the process. While it is not a part of the agent in a mereological sense, the process cannot exist without the presence of an experiencer who is not identical to the process itself.	1	1	1	1	1	5	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	The term 'fear process' denotes a specific type of biological or psychological process. An instance of this process cannot cease to be a fear process without losing its identity as that specific occurrence; it is defined by its inherent functional and physiological characteristics.	As a process, it carries an identity condition based on spatio-temporal continuity, a specific causal origin (the triggering stimulus), and the identity of the experiencing subject.	A 'fear process' identifies a specific category of occurrences defined by a distinct causal and physiological structure (input, internal state change, and behavioral output). Unlike roles like 'Student' which inherit identity from 'Person', 'fear process' is a fundamental type of occursent that supplies its own identity conditions based on its unique spatiotemporal and functional boundaries.	A fear process is a functional whole consisting of causal, temporal, and biological sequences (e.g., stimulus perception, physiological arousal, and behavioral response) that are integrated into a single systemic occurrence; it is not a mere collection of disconnected events.	A fear process is externally dependent on a sentient agent acting as its host; the process cannot occur or exist without an entity capable of experiencing fear, and this host is neither a part nor a constituent of the process itself.	1	1	1	1	1	5	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	+R	-I	-O	+U	+D	Attribution or Quality	Sensory experience refers to a particular class of mental states or occurents. An instance of a sensory experience (e.g., a specific visual perception of red) is essentially that experience; it cannot cease to be a sensory experience and remain the same individual entity, as its identity as an entity is defined by its being a sensory phenomenal event.	Sensory experience is a non-sortal property. While it describes a phenomenon, it does not supply or carry a specific identity condition that allows us to distinguish between two qualitatively identical experiences or re-identify a single instance over time without referring to the agent (Person) or the specific event that possesses the IC.	Since the entity was previously determined to be -I (not carrying an identity condition), it logically cannot satisfy the requirements for +O, as supplying an identity condition (+O) implies carrying one (+I) and remains a property exclusive to rigid sortals.	A sensory experience is an intrinsic whole characterized by functional and temporal unity. It constitutes a discrete phenomenal event with internal structure (qualia and duration) that is maximally self-connected within a specific consciousness, rather than being a mere arbitrary aggregate of perceptions.	A sensory experience is externally dependent on a percipient agent (such as a person or animal) that undergoes the experience. One cannot have a sensory experience without the existence of an entity that experiences it, which is not a part nor a constituent of the experience itself.	1	1	1	1	1	5	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	~R	+I	-O	-U	+D	Role (Anti-rigid, dependent)	A motoric response to emotion is a contingent behavioral event or functional state. It describes an entity (e.g., a person) in a specific phase of physical reaction that can begin and end without the entity losing its fundamental identity. As a phase or role of an individual's behavior, it is anti-rigid.	A motoric response to emotion is a sortal property because it refers to a specific occurrence (an event or process) that can be individuated and tracked over time. It carries identity conditions through its spatio-temporal boundaries, the specific biological agent performing it, and the causal link to a particular emotional state.	While 'motoric response to emotion' carries an identity condition (+I), it is a sub-type of physical or physiological responses. It inherits its global identity conditions (e.g., spatiotemporal occurrence and physiological markers) from more general categories like 'Response' or 'Biological Process' rather than supplying a unique global identity condition for the first time in the hierarchy.	A motoric response to emotion describes an event or behavior that lacks a single, common intrinsic unity condition (omega). While individual instances may have specific durations and physiological boundaries, the property itself includes diverse occurrences that may be simple reflexes, complex sequences of actions, or varied physiological outputs that do not necessarily constitute an intrinsic whole with a shared topological, morphological, or functional unity across all instances.	A motoric response to emotion is externally dependent on the existence of an emotion; the response cannot exist unless there is an emotional state that triggers it, and the emotion is not a part nor a constituent of the motoric action itself.	1	1	1	1	1	5	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	+R	-I	-O	-U	+D	Attribution or Quality	A psychophysiological response to emotion is defined by its origin and character. If an entity is such a response, it cannot cease to be that response while remaining the same entity; it is a type/sortal for the phenomena it categorizes.	A psychophysiological response to emotion is a characterizing property or event-type that lacks a built-in identity condition (IC) to distinguish one instance of 'elevated heart rate' from another without referring to a specific host (Person) or a specific temporal event (Process). Since it does not supply its own IC and is not a sortal, it is marked -I.	Since the entity was determined to be -I (not carrying an identity condition), it is logically impossible for it to be +O, as supplying an identity condition (+O) implies carrying one (+I) and being rigid (+R).	A psychophysiological response to emotion is a complex phenomenon comprised of various physiological events (e.g., heart rate increase, hormonal shifts) and psychological states. While these components are temporally correlated, the property itself does not prescribe a specific morphological, topological, or functional equivalence relation that would define every instance as an intrinsic whole across its existence.	A psychophysiological response to emotion is externally dependent on the property of Emotion. For an instance of such a response to exist, an instance of an emotion must necessarily exist (as its cause or correlate), and the emotion is not a part nor a constitution of the physiological response itself.	1	1	1	1	1	5	
N54b7d7030a9946a7ae7cefc055e2c79f	N54b7d7030a9946a7ae7cefc055e2c79f	+R	-I	-O	-U	-D	Attribution or Quality	Since N54b7d7030a9946a7ae7cefc055e2c79f is identified as a syntactic identifier (a blank node or instance ID) rather than a concept or class, and given that the OntoClean framework requires assigning a meta-property to unary predicates in a taxonomy, this specific ID acts as a singleton property (a nominal) representing the state of being that specific individual. In formal ontology, the property of being identical to a specific individual is essential to that individual in all possible worlds where it exists, thus behaving as a rigid property (+R).	The term is an opaque alphanumeric identifier without an ontological context or sortal classification. Because it lacks a rigid property or a defined domain that supplies an identity condition (e.g., spatio-temporal continuity or specific attributes like a serial number in a known class), it cannot be determined to carry identity (+I) on its own.	Since the entity is marked as -I, it does not carry an identity condition. By definition, a property can only supply an identity condition (+O) if it is rigid and carries one (+I).	The provided string appears to be a generated alphanumeric identifier or hash. Such identifiers typically lack inherent mereological structure or intrinsic unity conditions because they represent arbitrary data or abstract references rather than integrated wholes.	The provided entity is an opaque alphanumeric identifier lacking a semantic label or definition. Applying the principle of ontic parsimony, in the absence of evidence for external notional dependence (i.e., requiring the existence of a distinct entity that is not a part nor a constituent), the entity is defaulted to independent. A specific +D assignment requires a defined relational role which is not present here.	2	1	1	1	2	7	
