term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Type/Sortal	'Butterfly' is a rigid property (+R) because if an entity is a butterfly, it is essentially a butterfly in all possible worlds where it exists. It carries identity (+I) and supplies its own identity condition (+O), allowing us to distinguish one butterfly from another and re-identify them over time. It exhibits unity (+U) because a butterfly is considered an intrinsic whole with a functional/organic structure. Finally, it is independent (-D) as it does not require the existence of another specific entity to exist.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Phase	'Red' is a non-rigid property (-R) because an entity can change from being red to not being red without ceasing to exist. It does not carry an identity condition (-I) because being red does not help in distinguishing or re-identifying an entity over time. It does not supply its own identity condition (-O) because it does not provide a unique identity criterion. It is non-unifying (-U) because being red does not imply that the entity is a whole or an intrinsic unity. It is independent (-D) because the existence of redness does not depend on the existence of another specific entity.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	~U	+D	Mixin	'Food' is a non-rigid property (-R) because an entity can cease to be food without ceasing to exist (e.g., an apple can become inedible or rotten). It does not carry an identity condition (-I) because it does not allow us to distinguish or re-identify instances over time (e.g., what makes something food can change). It does not supply its own identity condition (-O) because it does not provide a unique identity condition. It exhibits anti-unity (~U) because food can be an aggregate or sum of parts (e.g., a meal, a recipe). It is dependent (+D) as its existence as food depends on the existence of entities that consume it (e.g., animals, humans).	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type/Sortal	'Animal' is a rigid property (+R) because if an entity is an animal, it is essentially an animal in all possible worlds where it exists. It carries identity (+I) and supplies its own identity condition (+O), allowing us to distinguish one animal from another and re-identify them over time. It exhibits unity (+U) because an animal is considered an intrinsic whole with a functional/organic structure. Finally, it is independent (-D) as it does not require the existence of another specific entity to exist.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	'RedApple' is a non-rigid property (-R) because an apple can cease to be red (e.g., by rotting or being painted) without ceasing to be the same apple. It carries an identity condition (+I) inherited from 'Apple' but does not supply its own unique identity condition (-O). As an object, it represents a whole (+U) and does not intrinsically depend on the existence of another specific entity to exist (-D). It is a subkind of 'Apple' and is not a fundamental sortal in its own right.	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	~U	+D	Mixin	'Group' is an anti-rigid property (~R) because an entity can enter and leave a group without ceasing to exist. It does not carry an identity condition (-I) because it does not provide a way to distinguish or re-identify individual members of the group. It does not supply its own identity condition (-O) because the identity of a group is typically derived from its members. It exhibits anti-unity (~U) because a group is an aggregate of individuals rather than an intrinsic whole. It is dependent (+D) because the existence of a group depends on the existence of its members.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Collective	'Country' is a rigid property (+R) because if an entity is a country, it is essentially a country in all possible worlds where it exists. It carries identity (+I) and supplies its own identity condition (+O), allowing us to distinguish one country from another and re-identify them over time. It exhibits unity (+U) because a country is considered an intrinsic whole with defined borders and governance. However, it is dependent (+D) as its existence and recognition often depend on the acknowledgment of other countries or international bodies.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	~U	-D	Mixin	'AmountOfMatter' is a non-rigid property (-R) because a specific amount of matter can change (e.g., through chemical reactions or phase changes) without ceasing to exist as that amount. It does not carry an identity condition (-I) because it does not allow for the distinction and re-identification of individual instances over time. It does not supply its own identity condition (-O) because it does not provide a unique identity criterion. It exhibits anti-unity (~U) because an amount of matter is typically considered an aggregate or sum of parts rather than an intrinsic whole. It is independent (-D) as it does not require the existence of another specific entity to exist.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Substantial Sortal	'PhysicalObject' is a rigid property (+R) because if an entity is a physical object, it is essentially a physical object in all possible worlds where it exists. It carries identity (+I) but typically inherits its identity conditions from a more general sortal like 'Object' or 'Entity' rather than supplying its own (+O vs -O depends on the specific ontology hierarchy, but usually, it is seen as a sub-type). It possesses Unity (+U) because physical objects are discrete entities (wholes). It is independent (-D) as its existence does not intrinsically depend on the existence of another specific individual (unlike a role or a part).	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	~U	+D	Collective	'GroupOfPeople' is anti-rigid (~R) because a group of people can cease to be a group without ceasing to exist as individuals (e.g., people can disperse and still exist as individuals). It carries an identity condition (+I) because we can identify and re-identify specific groups of people. However, it does not supply its own identity condition (-O) because the identity of the group is derived from the identity of its members. It exhibits anti-unity (~U) because a group is an aggregate of individuals rather than an intrinsic whole. It is dependent (+D) because the existence of the group depends on the existence of its member individuals.	
