term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"The term ""Butterfly"" refers to a specific type of insect that undergoes a complete metamorphosis from egg to larva to pupa and finally to adult. This transformation and the distinct characteristics of butterflies, such as their colorful wings and unique life cycle, provide a basis for analyzing their meta-properties."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"The term ""Red"" refers to a color, which is a property or attribute that can be applied to various objects or substances. Colors are generally considered non-rigid properties because an object can change color without ceasing to exist. Furthermore, colors do not provide a means to identify specific instances of objects as being the same, nor do they define a specific whole or unity. Dependence is also not applicable in the traditional sense since the existence of red does not inherently depend on another specific entity for its existence."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	~U	-D	Mixin	"The term ""Food"" refers to any substance consumed to provide nutritional support for the body. It is a broad category that encompasses various types of edible materials, from plants and animals to fungi and microorganisms. Given its wide scope and the fact that being food is not an intrinsic property of an entity but rather a role it plays in relation to consumption and nutrition, we analyze its meta-properties accordingly."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"The term ""Animal"" is analyzed based on its inherent properties and existence conditions. As a general category, ""Animal"" encompasses a wide range of organisms, from simple beasts to complex mammals. This term is essential for defining the existence and characteristics of its instances, which are living beings."	
RedApple	http://example.org/guarino-messy#RedApple	+R	+I	-O	+U	-D	Sortal	The term 'RedApple' refers to a specific type of fruit, characterized by its red color. To analyze this term, we consider the essential properties that define it. Being an apple is an essential property (+R), as a red apple cannot cease to be an apple without ceasing to exist. The property of being red, however, is not essential for being an apple, but in the context of 'RedApple', it is defining. Identity is determined by the object itself, not by its color or type, suggesting that 'RedApple' does not provide a new way to identify instances (+I, but inherited). The unity of a 'RedApple' is that of a discrete object (+U), a single, whole entity. Lastly, a 'RedApple' does not depend on another entity for its existence (-D), as it can exist independently.	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	+U	-D	Sortal	"The term ""Group"" can refer to a collection of individuals, entities, or objects that share a common characteristic, interest, or purpose. In evaluating its meta-properties, we consider the essential and optional aspects of being a group, how groups are identified, their unity, and dependence on other entities."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"A country is a geographical and political entity that has defined boundaries and is recognized by the international community. The concept of a country is essential to the existence of nations and international relations. The evaluation of the term ""Country"" against the OntoClean methodology involves analyzing its rigidity, identity, own identity, unity, and dependence."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	+U	-D	Mixin	"The term ""AmountOfMatter"" refers to a quantity of material or substance. This concept does not inherently imply a specific, unchanging essence across all instances, as amounts of matter can vary greatly in their properties and composition. However, the concept itself does imply a certain unity, as it refers to a quantifiable whole. The existence of an amount of matter does not depend on another specific entity, but rather on the existence of the matter itself. In terms of identity, amounts of matter can be identified and distinguished from one another, but this identification is not necessarily intrinsic to the concept of AmountOfMatter itself. The concept does not supply its own means of identification but relies on external measures or properties."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	The term 'PhysicalObject' implies an entity that exists in the physical world, occupying space and having a defined boundary. This classification is based on the inherent characteristics of physical objects, which include their material existence, spatial occupancy, and potential for interaction with other physical entities. Given these attributes, we can infer that being a physical object is an essential, inherent property that defines the entity's existence and identity.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	+U	+D	Sortal	"The term ""GroupOfPeople"" refers to a collection of individuals. This concept does not inherently imply a specific, unchanging essence that defines all its instances throughout their existence, as groups can change members. However, it does imply a form of unity as it refers to a collective. The identity of a group can be determined by its members, but the group itself does not supply a new way of identifying individuals. Dependence is also a factor since a group's existence depends on the existence of its members."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"The term ""LivingBeing"" refers to any entity that possesses the characteristics of life, such as growth, reproduction, and response to stimuli. This concept is fundamental and essential to all its instances, implying certain inherent properties. The analysis of ""LivingBeing"" under the OntoClean methodology involves evaluating its rigidity, identity, own identity, unity, and dependence to determine its classification."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	-O	+U	-D	Sortal	"The term ""SocialEntity"" refers to an entity that exists within a social context, which can include organizations, groups, or roles that individuals play within society. Given the broad and abstract nature of this concept, we can analyze its meta-properties to understand its ontological classification."	
Location	http://example.org/guarino-messy#Location	-R	+I	-O	+U	-D	Sortal	The term 'Location' refers to a point or area in space where something exists or occurs. It is a general concept that can be applied to various entities, such as objects, events, or individuals. In evaluating the meta-properties of 'Location', we consider its essential characteristics and how it relates to its instances.	
