term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	-O	+U	-D	Phased Sortal	BUTTERFLY is anti-rigid (~R) because it represents a temporal phase in the life cycle of a lepidopteran - the same individual exists as a caterpillar at one stage and a butterfly at another, so being a butterfly is not essential throughout existence. It carries identity (+I) inherited from its subsumer LEPIDOPTERAN, but does not supply its own global identity condition (-O) since the identity persists across metamorphosis phases. It has unity (+U) as butterfly instances are intrinsic wholes with topological and functional unity. It is independent (-D) as butterflies don't intrinsically depend on external entities for existence. This matches the paper's explicit example: 'an individual may at one time be a CATERPILLAR and at another time be a BUTTERFLY' with local ICs that change across phases while global IC from LEPIDOPTERAN persists.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	+D	Attribution	Red is a color property that is anti-rigid (~R) because entities can gain or lose redness while remaining the same entity (a flower can change from red to white). It does not carry identity conditions (-I, -O) since 'being red' does not provide criteria for individuating or re-identifying instances - two red things are not the same thing merely by virtue of being red. It lacks unity (-U) as it is a quality that characterizes surfaces or objects rather than defining wholes with internal structure. It is dependent (+D) because redness cannot exist independently - it must inhere in some entity (a surface, object, etc.). According to the paper's taxonomy, Red is classified as an Attribution: a non-sortal property that is non-rigid (typically anti-rigid) and represents values of attributes like color. The paper explicitly mentions RED as an example of an Attribution.	
Food	http://example.org/guarino-messy#Food	~R	+I	-O	-U	+D	Material Role	FOOD is anti-rigid (~R) because entities can move in and out of being food - an apple is food when intended for consumption but ceases to be food when it rots or is used for decoration. It carries identity (+I) inherited from its subsuming types (e.g., APPLE, MEAT), but does not supply its own identity (-O) since the identity conditions come from what the food IS (the material object), not from its role as food. It lacks a common unity condition (-U) because food can be discrete wholes (an apple) or arbitrary amounts (sugar, water). It is dependent (+D) because something is food only in relation to potential consumers and the function of nourishment - this is external notional dependence on consumers/eating events. As noted in the paper's example, FOOD is explicitly identified as a material role that 'normally specializes formal roles and has specific meaning in a domain.'	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Type	ANIMAL is a rigid property (+R) because anything that is an animal is necessarily an animal in all possible worlds - an entity cannot cease to be an animal while remaining the same entity. It supplies its own identity condition (+O) through biological criteria (same organism, continuous biological life), which also means it carries identity (+I). Animals are intrinsic wholes (+U) with functional and topological unity - they have organized biological structures that persist through their existence. Animals are independent (-D) as they do not require external dependence on other entities for their existence (beyond constitutive parts). As a rigid property that supplies its own identity, ANIMAL is classified as a Type - one of the fundamental natural kind properties in an ontology.	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phased Sortal	RedApple is anti-rigid (~R) because an apple can change color (e.g., from green to red or vice versa during ripening/aging) while remaining the same apple - being red is not essential to the apple's identity across all times. It carries identity (+I) inherited from its supersort APPLE (a type), which supplies the global identity condition for the fruit. However, RedApple does not supply its own identity (+O=false) - two red apples are distinguished by being different apples, not by redness criteria. It has unity (+U) as red apples are individual whole fruits with topological/morphological unity. It is independent (-D) as red apples don't intrinsically depend on external entities for existence. This combination (~R, +I, -O, -D) classifies RedApple as a Phased Sortal - representing a temporal phase (color stage) of an apple's existence, similar to how CATERPILLAR is a phase of LEPIDOPTERAN.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	+U	-D	Type	GROUP is analyzed as a rigid property (+R) because an entity that is a group remains a group in all possible worlds where it exists - the group itself doesn't cease being a group, though its members may change. It carries identity (+I) and supplies its own identity condition (+O) based on the collective identity of its constituting structure and purpose. For example, a rock band maintains its identity as that specific group even with member changes, distinguished by founding context, name, and continuity. GROUP exhibits unity (+U) as instances are intrinsic wholes - a group is bound together by social, organizational, or functional relationships that unify the members into a single entity (similar to ORGANIZATION in the paper). It is independent (-D) as groups can exist without depending on other external entities for their existence, though they depend on having members (which are parts, not external dependencies). As a rigid property supplying its own IC, GROUP qualifies as a Type in the ontological classification system.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Type	Following the paper's own analysis (Section 'A Taxonomy Cleaning Example'), COUNTRY is a rigid property that supplies its own identity condition. The paper explicitly resolves an initial inconsistency by splitting the concept into GEOGRAPHICAL REGION and COUNTRY, where COUNTRY is classified as +R+O (rigid, supplies own identity). Countries have clear identity conditions (e.g., territorial sovereignty, political boundaries, international recognition) that persist essentially - once established as a country, the entity remains identifiable as that specific country. Countries are intrinsic wholes (+U) with political and territorial unity binding their parts. They are independent entities (-D) in the ontological sense - while politically they may depend on recognition, ontologically a country exists as a unified entity without requiring another entity for its existence. As a rigid property supplying its own identity, COUNTRY is classified as a Type - the most fundamental kind of property in the ontology.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	~U	-D	Type	AmountOfMatter is rigid (+R) because matter remains matter in all possible worlds - an instance cannot cease to be an amount of matter while continuing to exist. It supplies its own identity condition (+O, thus +I) based on mereological extensionality: two amounts of matter are identical iff they have the same parts at the same time. This contrasts with objects like persons or vases that can survive part replacement. AmountOfMatter has anti-unity (~U) because its instances are not intrinsic wholes - they are mere mereological sums without any unifying relation binding their parts (as explicitly stated in the paper's example where it contrasts with physical objects). It is independent (-D) as amounts of matter do not depend on other entities for their existence. The combination +O, +I, +R, -D classifies it as a Type - a fundamental rigid property that supplies identity and serves as the backbone of ontological taxonomies.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Type	PhysicalObject is a rigid property (+R) because any instance that is a physical object is necessarily so in all possible worlds - it cannot cease to be a physical object while remaining the same entity. It carries identity (+I) and supplies its own identity condition (+O) based on spatiotemporal continuity and material constitution - two physical objects are the same if they occupy the same space-time region and maintain material continuity. PhysicalObject exhibits unity (+U) as instances are conceived as isolated material entities with topological/morphological wholeness (as noted in the paper: 'an apple is a physical object, but an undetached part of it is not'). It is independent (-D) as physical objects do not require external entities to exist - they are self-subsistent material entities. This combination of +O, +I, +R makes PhysicalObject a Type - the most fundamental kind of property that supplies identity and serves as a backbone of the ontology.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	-U	-D	Type	GroupOfPeople is rigid (+R) because anything that is a group of people remains so essentially - if it ceases to be a group of people, it ceases to exist as that entity. It supplies its own identity condition (+O, thus +I) based on which specific people constitute the group at any given time. However, it lacks a common unity condition (-U) because different groups can have different binding relations (a family vs. a committee vs. a crowd have different unifying relations). It is independent (-D) as groups can exist without depending on external entities beyond their members (who are parts/constituents, not external dependencies). As a rigid property supplying its own identity, GroupOfPeople classifies as a Type - it represents a fundamental kind of social entity with clear identity criteria based on membership composition.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Type	LivingBeing is a rigid property (+R) because an entity that is a living being is necessarily so in all possible worlds where it exists - if something ceases to be alive, it ceases to exist as that entity (it becomes a corpse, which is a different kind of thing). It supplies its own identity condition (+O) based on biological continuity and organization (e.g., maintaining the same biological processes and functional organization over time), which makes it also carry identity (+I). Living beings are intrinsic wholes (+U) unified by their biological organization and metabolic processes - they have clear boundaries defined by their functional unity. Living beings are independent (-D) as they do not require external dependence on another specific entity to exist (though they need environmental conditions, this is not the notional dependence meant here). As a rigid property supplying its own IC, LivingBeing qualifies as a Type in the formal ontology framework.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	+I	+O	+U	-D	Type	SocialEntity is analyzed as a rigid property (+R) because social entities (organizations, institutions, communities) maintain their identity necessarily across possible worlds - a particular organization remains that organization. It carries identity (+I) and supplies its own identity condition (+O) - social entities have specific ICs based on their constitutive structure, membership rules, or founding documents, distinct from the mere sum of their members. For unity (+U), social entities exhibit 'social unity' as mentioned in the paper - they are intrinsic wholes bound by social relationships, governance structures, or shared purposes, not mere aggregates of people. They are independent (-D) as they don't require external entities beyond their constitutive members to exist. This combination (+O, +I, +R, -D) classifies SocialEntity as a Type - a rigid property that supplies its own identity, representing a fundamental kind in the social domain.	
Location	http://example.org/guarino-messy#Location	+R	-I	-O	-U	-D	Category	Location is a rigid property that applies necessarily to its instances across all possible worlds - a spatial or temporal region does not cease to be a location. However, it does not carry identity conditions, as there is no clear criterion for when two locations are the same location (locations can overlap, be contained within each other, etc.). As stated in the paper's example, locations 'can be either connected or not,' so no unity condition holds for all instances. The property is independent as locations can exist without depending on other entities. This combination (+R, -I, -O, -U, -D) classifies Location as a Category - a top-level rigid property that carves the domain into useful segments but does not provide identity conditions.	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Type	FRUIT is a rigid property (+R) because an entity that is a fruit is necessarily a fruit in all possible worlds where it exists - a particular apple cannot cease to be a fruit while remaining the same entity. It carries identity (+I) and supplies its own identity condition (+O) - fruits have specific botanical identity criteria (e.g., being the mature ovary of a flowering plant containing seeds). Each fruit instance is an intrinsic whole (+U) with morphological and functional unity (a bounded botanical structure). Fruits are independent entities (-D) that do not require essential external dependence on other entities to exist (though they develop from flowers, once formed they exist as independent objects). As a rigid property that supplies its own identity (+O+R), FRUIT qualifies as a Type - a fundamental sortal category in the ontology.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Type	Vertebrate is a rigid biological classification - an animal that is a vertebrate cannot cease to be one while remaining the same individual (an organism cannot lose its vertebral column and remain the same organism). It supplies its own identity condition based on biological/taxonomic criteria (having a backbone/vertebral column as part of its essential structure). Vertebrate instances are unified wholes (individual organisms with coherent biological organization). They are independent entities that don't require external dependence beyond normal biological needs. As a rigid property that supplies identity (+O, +I, +R), carries unity (+U), and is independent (-D), Vertebrate qualifies as a Type - a fundamental natural kind in biological taxonomy.	
