term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"To determine the meta-properties of the term ""Butterfly,"" we need to analyze its essential characteristics and identity conditions.

1. **Rigidity (+R)**: Butterflies are inherently rigid entities. An instance of a butterfly must always be a butterfly in all possible worlds. This is because the essence of being a butterfly is fixed and does not change.

2. **Identity (+I)**: Butterflies carry an identity condition that allows us to distinguish one butterfly from another and track them over time. This is evident because we can identify and track individual butterflies based on their unique physical characteristics.

3. **Own Identity (+O)**: Butterflies provide their own identity condition. The concept of a butterfly inherently supplies the criteria for distinguishing one butterfly from another without needing to inherit these criteria from a parent concept.

4. **Unity (+U)**: Butterflies are unified wholes. Each butterfly is a single, coherent entity with a common unifying relation, making it a topological unity.

5. **Dependence (-D)**: Butterflies are independent entities. Their existence does not depend on the existence of any other specific entity (beyond general ecological dependencies, which are not specific to the concept of a butterfly)."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Attributive/Mixin	"The term ""Red"" refers to a specific color. To determine its meta-properties, we need to analyze its essentiality, identity conditions, and structural characteristics.

1. **Rigidity**: The property of being red is not essential to any instance. An object can change from red to another color without ceasing to exist. Therefore, ""Red"" is anti-rigid (~R).

2. **Identity**: The property of being red does not carry an identity condition. Two red objects can be distinct and tracked over time based on other properties, not just their color. Therefore, ""Red"" is -I.

3. **Own Identity**: Since ""Red"" does not carry an identity condition, it does not provide its own identity condition. Therefore, ""Red"" is -O.

4. **Unity**: The property of being red does not imply any common wholeness or unifying relation among instances. Therefore, ""Red"" is -U.

5. **Dependence**: The property of being red does not depend on the existence of another specific entity. Therefore, ""Red"" is -D."	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	~U	-D	Mixin	"To determine the meta-properties of the term ""Food,"" we need to analyze its essentiality, identity conditions, unity, and dependence.

1. **Rigidity (R)**: Food is not an essential property for all instances in all possible worlds. For example, an object can exist without being food (e.g., a rock). Therefore, ""Food"" is not rigid.
2. **Identity (I)**: Food does not carry an identity condition that allows us to distinguish two instances and track them over time. For example, a piece of bread today is not the same piece of bread tomorrow, even if it looks identical. Therefore, ""Food"" does not carry an identity condition.
3. **Own Identity (O)**: Since ""Food"" does not carry an identity condition (+I), it cannot provide its own identity condition. Therefore, ""Food"" does not supply its own identity condition.
4. **Unity (U)**: Food does not imply a common wholeness. Different types of food can be aggregated without forming a single unified whole. Therefore, ""Food"" is anti-unity.
5. **Dependence (D)**: Food does not depend on the existence of another specific entity (not a part) to exist. Therefore, ""Food"" is independent."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"To determine the meta-properties of the term ""Animal,"" we need to analyze its essential characteristics and identity conditions.

1. **Rigidity (+R)**: The property of being an animal is essential to every instance of an animal. An entity that is an animal must always be an animal in all possible worlds. This is a rigid property because it is part of the essence of what it means to be an animal.

2. **Identity (+I)**: The term ""Animal"" carries an identity condition. We can distinguish between different animals and track them over time based on their biological characteristics and genetic makeup.

3. **Own Identity (+O)**: The term ""Animal"" provides its own identity condition. Being an animal is not inherited from a more general category but is a fundamental property that defines what an animal is.

4. **Unity (+U)**: Every instance of an animal is a single whole with a common unifying relation. Animals have a topological unity, meaning they are individual organisms with a coherent structure.

5. **Dependence (-D)**: The term ""Animal"" is independent. An animal does not require the existence of another specific entity to exist. It is a self-contained biological entity."	
RedApple	http://example.org/guarino-messy#RedApple	+R	+I	+O	+U	-D	Sortal	"To determine the meta-properties of ""RedApple,"" we need to analyze its essential characteristics and identity conditions.

1. **Rigidity (+R)**: An apple that is red must always be red in all possible worlds where it exists as a red apple. The color red is an essential property for identifying it as a red apple. If it ceases to be red, it ceases to be a red apple.

2. **Identity (+I)**: ""RedApple"" carries an identity condition because we can distinguish between different red apples and track them over time based on their properties, including their color.

3. **Own Identity (+O)**: ""RedApple"" provides its own identity condition. The property of being a red apple is sufficient to identify and track instances of red apples independently of other properties.

4. **Unity (+U)**: A red apple is a single, unified whole. It has a common unifying relation that makes it a single entity.

5. **Dependence (-D)**: A red apple does not depend on the existence of another specific entity to exist. It is an independent entity."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	~U	+D	Collective	"To determine the meta-properties of the term ""Group,"" we need to analyze its essential characteristics:

1. **Rigidity (R)**: A ""Group"" is not an essential property of its members. An entity can exist independently of being part of a group. Therefore, ""Group"" is not rigid in the sense that it is not essential to every instance in all possible worlds.

2. **Identity (I)**: A ""Group"" carries an Identity Condition (IC) because we can distinguish between different groups and track them over time. For example, we can identify ""Group A"" as distinct from ""Group B.""

3. **Own Identity (O)**: A ""Group"" does not provide its own IC; rather, it inherits the IC from its members. The identity of a group is derived from the identity of its constituent members.

4. **Unity (U)**: A ""Group"" is an aggregate of individuals and does not imply a common wholeness. It is a collection of entities that can be separated without losing their individual identities. Therefore, ""Group"" exhibits anti-unity.

5. **Dependence (D)**: A ""Group"" is dependent on the existence of its members. Without the members, the group cannot exist. Therefore, ""Group"" is dependent."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"To determine the meta-properties of the term ""Country,"" we need to analyze its essential characteristics and identity conditions.

1. **Rigidity (+R)**: A country is an entity that, once it exists, must continue to be a country in all possible worlds where it exists. This is because the concept of a country is inherently tied to its political and geographical essence. Therefore, ""Country"" is rigid.

2. **Identity (+I)**: Countries have distinct identity conditions that allow us to track them over time. For example, we can identify and distinguish between France and Germany based on their unique characteristics, borders, and political systems.

3. **Own Identity (+O)**: The concept of ""Country"" provides its own identity conditions. These conditions are not inherited from a more general concept but are intrinsic to what it means to be a country.

4. **Unity (+U)**: A country is a unified whole with a common unifying relation. It has a defined territory, government, and population, all of which contribute to its topological unity.

5. **Dependence (-D)**: A country does not depend on the existence of another specific entity to exist. It is an independent political entity."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	+U	-D	Sortal	"The term ""AmountOfMatter"" refers to a quantity of matter, which is a fundamental concept in physics and chemistry. To determine its meta-properties:

1. **Rigidity**: The concept of ""AmountOfMatter"" is essential to any instance that possesses it. An instance with a certain amount of matter must always have that amount in all possible worlds where it exists. Therefore, it is rigid (+R).

2. **Identity**: ""AmountOfMatter"" carries an Identity Condition (IC) because it allows us to distinguish between different quantities of matter and track them over time. For example, 10 grams of water can be distinguished from 20 grams of water. Thus, it is +I.

3. **Own Identity**: Since ""AmountOfMatter"" provides its own IC (it is inherently about the quantity of matter), it supplies its own identity condition. Therefore, it is +O.

4. **Unity**: ""AmountOfMatter"" implies a single, unified whole. For instance, 5 grams of a substance is a single, unified quantity. Therefore, it is +U.

5. **Dependence**: ""AmountOfMatter"" does not depend on the existence of another specific entity to exist. It is an independent concept. Therefore, it is -D."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"To determine the meta-properties of the term ""PhysicalObject,"" we need to analyze its essential characteristics:

1. **Rigidity (R)**: A ""PhysicalObject"" is inherently rigid because it must possess physical properties in all possible worlds. If an entity is not physical, it cannot be a ""PhysicalObject."" This indicates that the property is essential to every instance.

2. **Identity (I)**: ""PhysicalObject"" carries an Identity Condition (IC) because we can distinguish and track physical objects over time based on their physical properties and spatial location. This means that ""PhysicalObject"" has a +I value.

3. **Own Identity (O)**: Since ""PhysicalObject"" provides its own IC based on physical properties, it supplies its own identity. Therefore, it has a +O value.

4. **Unity (U)**: Every instance of a ""PhysicalObject"" is a single whole with a common unifying relation, such as spatial coherence and physical boundaries. This indicates that ""PhysicalObject"" has a +U value.

5. **Dependence (D)**: A ""PhysicalObject"" does not depend on the existence of another specific entity to exist. It is independent in this regard, so it has a -D value."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	~U	-D	Collective	"To determine the meta-properties of ""GroupOfPeople,"" we need to analyze its essential characteristics:

1. **Rigidity (R)**: A ""GroupOfPeople"" is not an essential property of any individual person. People can exist independently of being part of a group. Therefore, it is not rigid.
2. **Identity (I)**: A ""GroupOfPeople"" carries an Identity Condition (IC) because we can distinguish between different groups of people and track them over time. For example, ""Group A"" can be distinguished from ""Group B.""
3. **Own Identity (O)**: A ""GroupOfPeople"" does not provide its own IC; it inherits the IC from the individuals that make up the group. Therefore, it does not supply its own IC.
4. **Unity (U)**: A ""GroupOfPeople"" is strictly a collection or aggregate of individuals. It does not have a common unifying relation that makes it a single whole.
5. **Dependence (D)**: A ""GroupOfPeople"" does not depend on the existence of another specific entity (not a part) for its existence. The group exists as long as the individuals are considered together."	
