term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a biological kind - a specific life stage (adult form) of certain insects in the order Lepidoptera. As a natural kind, it carries essential properties: something is a butterfly in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (species membership, developmental stage). Instances are intrinsic wholes (complete organisms with functional unity). Butterflies are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"""Red"" is a quality or property that can be applied to various entities. It is not essential to any particular entity (e.g., an apple can be red, green, or yellow). Therefore, it is non-rigid. It does not carry an identity condition on its own (-I), nor does it supply its own identity condition (-O). It is non-unifying (-U) because being red does not make something an intrinsic whole. It is independent (-D) as the color red does not depend on other entities to exist."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Mixin	"""Food"" is a term that refers to substances consumed to provide nutritional support for an organism. It is not an essential property of any particular entity, as something can be food in one context but not in another (e.g., a plant is not food to itself but can be food to an animal). Therefore, it is non-rigid. ""Food"" does not carry its own identity condition (-I) because it does not provide criteria for distinguishing individual instances. It does not supply its own identity condition (-O) since it is a mixin. Instances of food can be unified wholes or parts of wholes (-U), and food items are independent entities (-D) that do not intrinsically depend on other entities to exist."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Animal"" is a term that refers to a broad biological category encompassing all members of the kingdom Animalia. As a natural kind, it carries essential properties that define what it means to be an animal. It provides its own identity condition based on biological criteria (membership in the kingdom Animalia). Instances are intrinsic wholes (complete organisms with functional unity). Animals are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" is a term that combines a sortal (Apple) with a contingent quality (Red). An apple can be red at one time and turn green or yellow at another time while remaining the same apple. The property ""being red"" is not essential to being that particular apple - it's a temporary state. Therefore, RedApple is Anti-Rigid (~R). As a restriction of the sortal ""Apple"", it inherits the identity condition from Apple (+I), but does not supply its own identity condition (-O) since the identity comes from being an apple, not from being red. It maintains unity (+U) as apples are intrinsic wholes. It is independent (-D) as red apples don't intrinsically depend on other entities to exist."	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	+U	+D	Collective	"""Group"" refers to a collection of individuals that are considered as a single entity. The term ""group"" is not rigid because the same set of individuals can form different groups in different contexts or at different times. For example, a set of people can be a family group in one context and a work group in another. The property does not carry its own identity condition (-I) because the identity of a group is derived from its members. It does not supply its own identity condition (-O) since the identity comes from the members of the group. Groups are typically considered as unified wholes (+U) because they are treated as single entities. However, groups are dependent (+D) on their members to exist, as without members, there is no group."	
Country	http://example.org/guarino-messy#Country	+R	+I	-O	+U	-D	Sortal (Political Entity)	"""Country"" refers to a political and geographical entity that is typically defined by borders, government, and population. The term is rigid because something is a country in all possible worlds where it exists as such. It carries an identity condition based on political and geographical criteria (+I), but does not supply its own unique identity condition (-O) since the identity comes from being a political entity with specific characteristics. Instances of countries are unified wholes (+U), and countries are independent entities that don't intrinsically depend on other countries to exist (-D), though they may have political or economic dependencies."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Mixin	"""AmountOfMatter"" refers to a quantity of matter, which is a non-rigid property because something can be an amount of matter in some contexts but not in others (e.g., a lump of clay can be molded into different shapes, each being a different amount of matter). It does not carry an identity condition on its own (-I) because it does not define what makes something the same amount of matter over time. It does not supply its own identity condition (-O) since it is a measure rather than a definer of identity. Instances of amounts of matter are not necessarily unified wholes (-U) as they can be aggregated or divided. Amounts of matter are dependent (+D) on the matter they quantify and the context in which they are measured."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal (Category)	"""PhysicalObject"" refers to entities that have physical properties and occupy space. This term is rigid because something that is a physical object in one possible world is a physical object in all possible worlds where it exists. It carries an identity condition (+I) because physical objects have criteria for identity (e.g., spatiotemporal continuity). However, it does not supply its own unique identity condition (-O) as the specific identity criteria come from more specific sorts (e.g., rock, tree). Physical objects are intrinsic wholes (+U) and are independent entities (-D) that do not intrinsically depend on other entities to exist."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	+D	Collection	"""GroupOfPeople"" refers to a collection of individuals that are considered together as a single entity. The property is anti-rigid (~R) because the same individuals can form different groups or no group at all in different contexts. It does not carry its own identity condition (-I) since the identity of a group is derived from its members. It does not supply its own identity condition (-O) because the identity of a group is dependent on the identities of its members. It is anti-unity (~U) because a group is strictly an aggregate of its members. It is dependent (+D) because the existence of a group depends on the existence of its members."	
