agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-critic-with-intro,overall,all,all,0.87,0.75,0.79,0.75,105,88,17,130,17
gemini-critic-with-intro,macro_avg,rigidity,all,0.90,0.79,0.86,0.77,21,18,3,39,3
gemini-critic-with-intro,per_class,rigidity,+R,0.90,0.87,1.00,0.93,13,13,2,6,0
gemini-critic-with-intro,per_class,rigidity,-R,0.95,0.50,1.00,0.67,1,1,1,19,0
gemini-critic-with-intro,per_class,rigidity,~R,0.86,1.00,0.57,0.73,7,4,0,14,3
gemini-critic-with-intro,macro_avg,identity,all,0.86,0.64,0.70,0.66,21,18,3,18,3
gemini-critic-with-intro,per_class,identity,+I,0.86,0.94,0.89,0.92,19,17,1,1,2
gemini-critic-with-intro,per_class,identity,-I,0.86,0.33,0.50,0.40,2,1,2,17,1
gemini-critic-with-intro,macro_avg,own_identity,all,0.86,0.86,0.84,0.84,21,18,3,18,3
gemini-critic-with-intro,per_class,own_identity,+O,0.86,0.86,0.92,0.89,13,12,2,6,1
gemini-critic-with-intro,per_class,own_identity,-O,0.86,0.86,0.75,0.80,8,6,1,12,2
gemini-critic-with-intro,macro_avg,unity,all,0.87,0.67,0.77,0.70,21,17,4,38,4
gemini-critic-with-intro,per_class,unity,+U,0.86,1.00,0.80,0.89,15,12,0,6,3
gemini-critic-with-intro,per_class,unity,-U,0.90,0.67,1.00,0.80,4,4,2,15,0
gemini-critic-with-intro,per_class,unity,~U,0.86,0.33,0.50,0.40,2,1,2,17,1
gemini-critic-with-intro,macro_avg,dependence,all,0.81,0.77,0.82,0.79,21,17,4,17,4
gemini-critic-with-intro,per_class,dependence,+D,0.81,0.62,0.83,0.71,6,5,3,12,1
gemini-critic-with-intro,per_class,dependence,-D,0.81,0.92,0.80,0.86,15,12,1,5,3
