term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	+O	+U	-D	Phase	'Butterfly' is a phase of a biological organism's life cycle (specifically of the order Lepidoptera). According to the Guarino and Welty framework, since an entity (the organism) can be a butterfly at one time and not another (e.g., it was previously a caterpillar/larva), the property is Anti-Rigid (~R). It carries (+I) and supplies (+O) its own identity conditions for distinguishing one butterfly from another. As a biological individual, it constitutes a whole (+U). It is independent (-D) as its existence does not intrinsically depend on another specific individual.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Quality	'Red' is a property that can apply to various entities in different contexts. It is not essential for all instances to remain red in all possible worlds (e.g., a red apple can turn brown), making it non-rigid (-R). It does not carry its own identity (+I) nor does it supply its own identity condition (-O) as it is a quality that can apply to various entities without changing their fundamental identity. Red is not a unifying property in itself; it can apply to individual parts or wholes (-U). It is independent (-D) as its existence does not depend on another specific entity.	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Sortal	'Food' is a general term that refers to any substance that can be consumed to provide nutritional support for an organism. It is non-rigid (-R) because an entity can be food in one context and not in another (e.g., a plant can be food for one organism but not for another). It carries identity (+I) but does not supply its own identity condition (it inherits identity from the specific instances, like an apple or a steak, which are food). It is unifying (+U) as it typically refers to a whole substance. It is independent (-D) as the concept of food can exist without relying on any specific instance.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	'Animal' is a broad category of living organisms characterized by certain essential attributes that define them across all possible worlds (e.g., multicellularity, heterotrophy). Being an animal is rigid (+R) because an entity that is an animal will always be an animal in all possible worlds. It carries identity (+I) and provides a unique identity condition (+O) for distinguishing one animal from another. Animals are unifying entities (+U) as they are intrinsic wholes. They are independent (-D) because their existence does not depend on another specific entity.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	'RedApple' is a combination of the rigid property 'Apple' and the non-rigid property 'Red'. An apple can cease to be red without ceasing to be the same apple, making the property non-rigid (-R). It carries identity (+I) as it inherits the identity conditions from 'Apple', but it does not supply its own unique identity condition (-O). It is unifying (+U) as it refers to a discrete physical object and is independent (-D) as its existence does not depend on another specific entity.	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	-U	+D	Mixin	'Group' refers to a collection of individuals that come together for a common purpose or in a specific context. This collection can vary and is not fixed, meaning it can change in composition over time. Therefore, it is non-rigid (-R) because it is not essential for the group to have the same members in all possible worlds. It carries identity (+I) but does not supply its own identity condition (-O), as the identity is derived from the individuals within the group. It is non-unifying (-U) because the group is not a single intrinsic whole but a collection of parts. It is dependent (+D) because the group's existence is contingent on the individuals it comprises.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	'Country' is a sortal entity that refers to a geopolitical entity with a defined territory, government, and population. The property of being a country is rigid (+R) because a country remains a country in all possible worlds. It carries (+I) and supplies (+O) its own identity conditions, as each country has a distinct identity based on its name, territory, and government. Countries are unifying entities (+U) as they encompass a coherent whole with a defined structure. They are independent (-D) as they can exist without necessarily depending on another specific entity for their existence.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	-D	Mixin	'AmountOfMatter' refers to a quantity of physical material. It is rigid (+R) because it is essential to be an amount of matter in all possible worlds. It does not carry its own identity (+I) or supply its own identity condition (-O) because the identity of an amount of matter is typically derived from the material it is composed of, rather than an intrinsic identity. It is non-unifying (-U) because it can consist of multiple parts or aggregates and does not necessarily form a single, intrinsic whole. It is independent (-D) as it can exist without depending on another specific entity.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	'PhysicalObject' is a broad term that refers to any entity that occupies space and has mass. It is rigid (+R) because being a physical object is an essential property that must hold in all possible worlds for the entity to be considered the same identity. It carries identity (+I) and supplies its own identity condition (+O) as it defines a distinct class of entities. As a physical object, it is unifying (+U) because it constitutes a whole, and it is independent (-D) as it does not intrinsically depend on another entity for its existence.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	-D	Mixin	'GroupOfPeople' refers to a collection of individuals. In ontological terms, it is non-rigid (-R) because a group can exist even if its members change over time. It does not carry its own identity condition (-I) and does not supply its own identity condition (-O). It is anti-unity (~U) because it is a sum or aggregate of individuals, not a single intrinsic whole. It is independent (-D) as the group can exist without depending on any specific individual.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	'LivingBeing' is a broad category that encompasses all entities that are living. The property of being a living being is rigid (+R) because an organism that is a living being will always be a living being in all possible worlds. It carries its own identity (+I) and supplies its own identity condition (+O) as it is a fundamental characteristic of biological entities. Living beings are unifying (+U) as they are intrinsic wholes, and they are independent (-D) as they do not intrinsically depend on other specific entities for their existence.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	+O	+U	+D	Social	'SocialEntity' refers to a construct that is defined and exists within a social or institutional context, such as a corporation, government, or club. Social entities are typically dependent on social structures and agreements for their existence. They are non-rigid (-R) because they can change their properties without ceasing to be the same entity (e.g., a company can change its name or structure). They carry identity (+I) and often supply their own identity conditions (+O) based on legal or institutional definitions. They are typically unifying (+U) as they are considered wholes (e.g., a company is a single entity). They are dependent (+D) because they rely on social agreements and contexts for their existence.	
Location	http://example.org/guarino-messy#Location	-R	-I	-O	-U	+D	Mixin	'Location' refers to a place or position where something is situated. It is not rigid (+R) because the same entity can occupy different locations at different times without changing its identity. It does not carry identity (-I) as it does not provide a unique identity condition for the entities that occupy it. It does not supply its own identity condition (-O) as it relies on the identity of the entities or objects it locates. It is non-unifying (-U) because it does not form a whole in the same sense as a concrete object. It is dependent (+D) because it always depends on some spatial entity to exist.	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal	'Fruit' is a sortal term that refers to a category of biological entities. It is rigid because being a fruit is essential to all instances of fruit in all possible worlds. Fruits carry their own identity conditions and supply their own global identity conditions, making them individuated wholes. They are unifying because each fruit is a discrete, whole entity. Fruits can exist independently and do not intrinsically depend on another entity for their existence.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	'Vertebrate' refers to a biological classification of animals that have a backbone. Being a vertebrate is a rigid property because it is essential to the identity of the animal in all possible worlds. Vertebrates carry and supply their own identity conditions, as each vertebrate is a distinct individual and can be distinguished from other vertebrates. Vertebrates are unifying entities as they are whole organisms and not mere aggregates. They are independent as their existence does not intrinsically depend on another specific entity.	
