term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a specific type of insect characterized by its life cycle, morphology, and behavior. Rigidity: Being a butterfly is essential to an entity's existence as that particular kind of organism. If an entity ceases to be a butterfly, it no longer exists as the same kind of entity, making it +R (Rigid). Identity: Butterflies carry identity conditions based on their biological continuity and developmental stages (+I). Own Identity: ""Butterfly"" supplies its own identity condition based on its unique biological characteristics and life cycle (+O). Unity: Butterflies are intrinsic wholes with functional integration of their parts, making them +U (Unifying). Dependence: Butterflies can exist independently as self-sufficient organisms without intrinsically depending on other specific entities (-D)."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Quality/Attribute	"""Red"" is a color property that can be applied to various objects. It is not essential to any particular object - an object can exist and be identified without being red. This makes it non-rigid (-R). ""Red"" does not carry identity conditions; an object's redness does not provide criteria for tracking its identity over time or across possible worlds (-I). Consequently, it does not supply its own identity condition (-O). Redness can apply to unified objects or scattered collections of red things, making it non-unifying (-U). Redness depends on objects to exist; it cannot exist independently of colored objects (+D)."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	+D	Role	"""Food"" refers to any substance consumed to provide nutritional support for an organism. It is not an essential property of any particular entity, as something can be food in one context (e.g., an apple) and not food in another (e.g., an apple seed). This makes it non-rigid (-R). Food does not carry identity conditions on its own; it is a role or phase that entities can enter and exit (-I). It does not supply its own identity condition (-O). Food instances can be unified wholes (e.g., an apple) or arbitrary collections (e.g., a mix of ingredients), making it non-unifying (-U). Food instances depend on other entities (e.g., organisms that consume them) to exist as food (+D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Animal"" refers to any member of the kingdom Animalia, characterized by being multicellular, eukaryotic organisms that are heterotrophic and motile. Rigidity: Being an animal is essential to an entity's existence as that entity - if an entity is an animal, it cannot cease to be an animal without ceasing to exist (e.g., death = non-existence as that entity), making it +R (Rigid). Identity: Animals carry identity conditions - they maintain continuity through biological processes and have clear criteria for individuation and persistence (+I). Own Identity: ""Animal"" supplies its own identity condition based on biological organization and life processes (+O). Unity: Animals are intrinsic wholes with functional integration of their parts, making them +U (Unifying). Dependence: Animals can exist independently as self-sufficient organisms without intrinsically depending on other specific entities (-D)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" is a phase-like property combining the sortal ""Apple"" with the contingent property ""Red"". An apple can be red at one time and not red at another (e.g., a green apple that ripens to red, or a red apple that rots and changes color). The redness is not essential to being that particular apple - the same individual apple can exist while being green or red. This makes it anti-rigid (~R). As a sortal-based concept, it carries identity inherited from ""Apple"" (+I), but does not supply its own identity condition beyond what ""Apple"" provides (-O). Apples are intrinsic wholes with clear boundaries (+U), and they can exist independently without intrinsic dependence on other entities (-D)."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	~U	+D	Collective	"The term ""Group"" refers to a collection of individuals or entities that are considered together due to shared characteristics, interactions, or purposes. Rigidity: Being part of a group is not essential to the existence of its members; individuals can enter and leave groups without ceasing to exist, making it anti-rigid (~R). Identity: Groups carry identity conditions, as they can be tracked across time and possible worlds based on their members and purposes (+I). Own Identity: ""Group"" does not supply its own identity condition; it inherits identity from its members (-O). Unity: Groups are essentially collections or aggregates of individuals, making them anti-unity (~U). Dependence: Groups depend on their members for existence; without members, a group ceases to exist (+D)."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Social Kind)	"""Country"" refers to a political entity with defined borders, a government, and a population. Rigidity: A country is essentially a country - if an entity is a country, it cannot cease to be one without ceasing to exist as that entity (e.g., if a country dissolves, it no longer exists as that country), making it +R (Rigid). Identity: Countries carry identity conditions - they maintain continuity through political and legal processes and have clear criteria for individuation and persistence (+I). Own Identity: ""Country"" supplies its own identity condition based on political and legal organization (+O). Unity: Countries are intrinsic wholes with functional integration of their parts, making them +U (Unifying). Dependence: Countries can exist independently as self-sufficient political entities without intrinsically depending on other specific entities (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Quantity	"""AmountOfMatter"" refers to a quantity of physical substance, which can vary and is not essential to any particular entity. Rigidity: An amount of matter is not rigid because the same quantity can be part of different objects or exist independently. For example, a specific amount of matter can be part of a table at one time and part of a chair at another, making it -R (Non-Rigid). Identity: Amounts of matter do not carry identity conditions on their own; they are portions of substance that can be re-aggregated or divided without affecting the identity of any particular entity (-I). Own Identity: Since amounts of matter do not carry their own identity, they do not supply their own identity condition (-O). Unity: Amounts of matter are not necessarily unified wholes; they can be arbitrary collections or parts of other objects (-U). Dependence: Amounts of matter depend on the existence of physical substances and objects to constitute them (+D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""PhysicalObject"" refers to any entity that occupies space and has mass. This is a fundamental ontological category. Rigidity: Something is essentially a physical object - if an entity is a physical object, it cannot cease to be one without ceasing to exist (e.g., a physical object ceasing to exist would mean it no longer occupies space and has mass), making it +R (Rigid). Identity: Physical objects carry identity conditions - they maintain continuity through spatial and temporal persistence and have clear criteria for individuation and persistence (+I). Own Identity: ""PhysicalObject"" supplies its own identity condition based on spatial and temporal continuity (+O). Unity: Physical objects are intrinsic wholes with clear boundaries and spatial coherence, making them +U (Unifying). Dependence: Physical objects can exist independently as self-sufficient entities without intrinsically depending on other specific entities (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	~U	+D	Collective	"""GroupOfPeople"" refers to a collection of individuals who are considered together as a single entity. This is an anti-rigid concept because the same individuals can form or leave the group without ceasing to exist as individuals (~R). A group carries identity conditions, as it can be tracked across time and possible worlds (+I), but it does not supply its own identity condition; rather, it inherits identity from its members (-O). Groups are essentially collections or aggregates of individuals, making them anti-unity (~U). Groups depend on their members for existence; without the individuals, the group ceases to exist (+D)."	
