term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	-O	+U	-D	Sortal	"""Butterfly"" is a natural kind representing a specific class of insects. Analyzing its meta-properties: It is rigid (+R) because being a butterfly is essential to all instances across all possible worlds - a thing cannot be a butterfly and not a butterfly at the same time. It carries identity (+I) as butterflies have clear identity conditions based on morphological and behavioral characteristics. However, it does not supply its own identity condition (-O) - the identity comes from being a butterfly, not from some inherent property of the individual. Instances of butterflies are intrinsic wholes (+U) with clear physical boundaries and a unified body structure. Butterflies do not intrinsically depend on other entities to exist (-D) - they are self-contained living organisms."	
Red	http://example.org/guarino-messy#Red	-	-	-	-	-	Sortal	"""Red"" is a color property that is not essential to all instances across all possible worlds - a thing can be red or not, and still be the same thing (e.g., a red car is still a car). It does not carry identity (+I) as it does not define a natural kind or a substance. It does not supply its own identity condition (-O) as it is not a property that defines a thing's existence or nature. Red is not an intrinsic whole (+U) as it can be applied to various things, not just a single entity. Red does not intrinsically depend on other entities to exist (-D) as it is a property that can exist independently. It is a sortal (-) as it is a property that categorizes things into a class."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Mixin	"""Food"" is a broad category that encompasses a wide range of substances that are consumed for nutrition or pleasure. It is non-rigid (-R) because different types of food can exist without being classified as food in all possible worlds (e.g., a rock can be considered food in a survival context). The property carries identity (-I) as food does not have a clear, inherent identity condition - it is a category that can be applied to various substances. Food does not supply its own identity condition (-O) as its identity is not inherent to the property itself. Food instances are not necessarily wholes (+U) as they can be composed of multiple substances. Food instances do not intrinsically depend on other entities to exist (-D) as they can exist independently as a category. Food is a mixin (-U) as it is a category that can be applied to various substances without implying a unified whole."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" is a natural kind representing biological organisms. It is rigid (+R) because something that is an animal is essentially an animal in all possible worlds - a creature cannot cease being an animal and remain the same entity. It carries identity (+I) as animals have clear identity conditions based on biological/genetic criteria. It supplies its own identity condition (+O) as being an animal provides the criteria for distinguishing one animal from another. It has unity (+U) as an animal forms an intrinsic whole with integrated parts forming a complete organism. It is independent (-D) as an animal does not intrinsically depend on other entities to exist - it is a self-standing living being."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Subkind	"""RedApple"" is a property that combines a color attribute (""Red"") with a natural kind (""Apple""). An apple can exist without being red (it could be green, yellow, etc.), so being a red apple is not essential to all instances across all possible worlds - an apple can lose or gain the property of being red. The property carries identity inherited from ""Apple"" as a natural kind."	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	-U	-D	Mixin	"""Group"" is a social entity that represents a collection of individuals sharing common characteristics or interests. Analyzing its meta-properties: It is non-rigid (-R) as groups can change over time (members join or leave) and still remain a group. It carries identity (-I) as groups do not have a clear, inherent identity condition - their identity comes from their membership and shared characteristics. It does not supply its own identity condition (-O) as being a group does not provide the criteria for distinguishing one group from another. Groups are not necessarily wholes (+U) as they can be seen as collections of individuals rather than a unified entity. Groups can exist independently (-D) as they can function and maintain their structure without relying on external factors. Groups are typically classified as Mixins, as they are composed of individuals with shared characteristics."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" is a geopolitical entity that represents a sovereign state or nation. Analyzing its meta-properties: It is rigid (+R) because something that is a country is essentially a country in all possible worlds where it exists - a country cannot cease being a country and remain the same entity. It carries identity (+I) as countries have clear identity conditions based on territorial boundaries, sovereignty, and governmental structure. It supplies its own identity condition (+O) as being a country provides the criteria for distinguishing one country from another. It has unity (+U) as a country forms an intrinsic whole with defined borders and unified governance structure. It is independent (-D) as a country does not intrinsically depend on other entities to exist - it is a self-standing sovereign entity."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	-O	+U	-D	Quantity	"""AmountOfMatter"" is a property that represents a quantity of matter, which is a fundamental aspect of physical objects. It is rigid (+R) because the amount of matter in an object is an essential characteristic that defines its identity and existence. It carries identity (+I) as the amount of matter is a crucial property that distinguishes one object from another. However, it does not supply its own identity condition (-O) - the identity of an object is determined by its matter, not the other way around. Amounts of matter are intrinsic wholes (+U) as they are an inherent property of the object itself. Amounts of matter do not intrinsically depend on other entities to exist (-D) - they are a fundamental property of the object's material constitution."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal	"""PhysicalObject"" is a broad category that encompasses a wide range of entities, including but not limited to tangible, material things. It is rigid (+R) because a physical object is an essential characteristic of the entity across all possible worlds where it exists. It carries identity (+I) as physical objects have clear identity conditions based on their material constitution and existence. However, it does not supply its own identity condition (-O) - the identity comes from being a physical object, not from any inherent property. Physical objects are intrinsic wholes (+U) as they have clear boundaries and are self-contained entities. They are independent (-D) as they can exist on their own without relying on external factors to be what they are."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	-U	-D	Mixin	"""GroupOfPeople"" is a social concept representing a collection of individuals. Analyzing its meta-properties: It is non-rigid (-R) as the number of people in a group can change over time, and the group can exist without all its members present. It carries identity (-I) as a group does not have a clear, inherent identity condition like a natural kind. It does not supply its own identity condition (-O) as the identity of the group comes from the individuals that make it up, not from the group itself. Instances of groups are not necessarily wholes (+U) as they can be seen as mere aggregates of individuals. Groups do not intrinsically depend on other entities to exist (-D) as they can exist independently of external factors."	
