agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini_MIPROv2_gpt4o-mini,overall,all,all,0.73,0.57,0.62,0.57,110,75,35,119,35
gemini_MIPROv2_gpt4o-mini,macro_avg,rigidity,all,0.73,0.47,0.67,0.49,22,13,9,35,9
gemini_MIPROv2_gpt4o-mini,per_class,rigidity,~R,0.64,0.33,0.33,0.33,6,2,4,12,4
gemini_MIPROv2_gpt4o-mini,per_class,rigidity,+R,0.68,0.83,0.67,0.74,15,10,2,5,5
gemini_MIPROv2_gpt4o-mini,per_class,rigidity,-R,0.86,0.25,1.0,0.4,1,1,3,18,0
gemini_MIPROv2_gpt4o-mini,macro_avg,identity,all,0.82,0.61,0.61,0.61,22,18,4,18,4
gemini_MIPROv2_gpt4o-mini,per_class,identity,-I,0.82,0.33,0.33,0.33,3,1,2,17,2
gemini_MIPROv2_gpt4o-mini,per_class,identity,+I,0.82,0.89,0.89,0.89,19,17,2,1,2
gemini_MIPROv2_gpt4o-mini,macro_avg,own_identity,all,0.59,0.6,0.6,0.59,22,13,9,13,9
gemini_MIPROv2_gpt4o-mini,per_class,own_identity,+O,0.59,0.7,0.54,0.61,13,7,3,6,6
gemini_MIPROv2_gpt4o-mini,per_class,own_identity,-O,0.59,0.5,0.67,0.57,9,6,6,7,3
gemini_MIPROv2_gpt4o-mini,macro_avg,unity,all,0.76,0.43,0.45,0.43,22,14,8,36,8
gemini_MIPROv2_gpt4o-mini,per_class,unity,+U,0.77,0.83,0.77,0.8,13,10,2,7,3
gemini_MIPROv2_gpt4o-mini,per_class,unity,-U,0.64,0.44,0.57,0.5,7,4,5,10,3
gemini_MIPROv2_gpt4o-mini,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
gemini_MIPROv2_gpt4o-mini,macro_avg,dependence,all,0.77,0.71,0.78,0.73,22,17,5,17,5
gemini_MIPROv2_gpt4o-mini,per_class,dependence,-D,0.77,0.93,0.76,0.84,17,13,1,4,4
gemini_MIPROv2_gpt4o-mini,per_class,dependence,+D,0.77,0.5,0.8,0.62,5,4,4,13,1
