agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_claude_gpt4o-mini,overall,all,all,0.54,0.49,0.55,0.39,110,48,60,94,62
dspy_agent_critic_claude_gpt4o-mini,macro_avg,rigidity,all,0.52,0.52,0.48,0.26,22,6,16,28,16
dspy_agent_critic_claude_gpt4o-mini,per_class,rigidity,+R,0.50,1.00,0.27,0.42,15,4,0,7,11
dspy_agent_critic_claude_gpt4o-mini,per_class,rigidity,-R,0.32,0.06,1.00,0.12,1,1,15,6,0
dspy_agent_critic_claude_gpt4o-mini,per_class,rigidity,~R,0.73,0.50,0.17,0.25,6,1,1,15,5
dspy_agent_critic_claude_gpt4o-mini,macro_avg,identity,all,0.39,0.59,0.63,0.37,22,8,13,9,14
dspy_agent_critic_claude_gpt4o-mini,per_class,identity,+I,0.36,1.00,0.26,0.42,19,5,0,3,14
dspy_agent_critic_claude_gpt4o-mini,per_class,identity,-I,0.41,0.19,1.00,0.32,3,3,13,6,0
dspy_agent_critic_claude_gpt4o-mini,macro_avg,own_identity,all,0.41,0.20,0.50,0.29,22,9,13,9,13
dspy_agent_critic_claude_gpt4o-mini,per_class,own_identity,+O,0.41,0.00,0.00,0.00,13,0,0,9,13
dspy_agent_critic_claude_gpt4o-mini,per_class,own_identity,-O,0.41,0.41,1.00,0.58,9,9,13,0,0
dspy_agent_critic_claude_gpt4o-mini,macro_avg,unity,all,0.67,0.54,0.53,0.45,22,11,11,33,11
dspy_agent_critic_claude_gpt4o-mini,per_class,unity,+U,0.64,1.00,0.38,0.56,13,5,0,9,8
dspy_agent_critic_claude_gpt4o-mini,per_class,unity,-U,0.64,0.45,0.71,0.56,7,5,6,9,2
dspy_agent_critic_claude_gpt4o-mini,per_class,unity,~U,0.73,0.17,0.50,0.25,2,1,5,15,1
dspy_agent_critic_claude_gpt4o-mini,macro_avg,dependence,all,0.66,0.61,0.62,0.60,22,14,7,15,8
dspy_agent_critic_claude_gpt4o-mini,per_class,dependence,+D,0.68,0.38,0.60,0.46,5,3,5,12,2
dspy_agent_critic_claude_gpt4o-mini,per_class,dependence,-D,0.64,0.85,0.65,0.73,17,11,2,3,6
