term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"]
""Butterfly"" refers to a biological kind - a specific life stage (adult form) of certain insects in the order Lepidoptera. As a natural kind, it carries essential properties: something is a butterfly in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (species membership, developmental stage). Instances are intrinsic wholes (complete organisms with functional unity). Butterflies are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	+U	-D	Quality	"]
""Red"" is a property that describes the color of an object. It is not a rigid property since an object can change color without changing its identity. For example, a ripe tomato is red, but when it turns overripe or rotten, it may lose its red color. Red does not carry its own identity condition, as it is a property that is instantiated by other entities. It maintains unity as a property since it is a characteristic that applies to a whole object. Red is an independent property, as it does not depend on other entities to exist."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	+U	Can be both +D or -D depending on the specific type of food	Category (or Genus)	"]
""Food"" is a general category that includes various substances or organisms consumed for nutritional support. It doesn't carry essential properties as different types of food have distinct identity conditions. Food doesn't provide its own identity condition (-O), but inherits it from the specific type of food it represents. Food maintains unity (+U) as individual food items are intrinsic wholes. It can be independent (-D) or dependent (+D) depending on the specific type of food."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Biological Kind)	"]
""Animal"" is a broad biological category that includes multicellular organisms possessing a body plan that is bilaterally symmetrical, a nervous system with a brain, and muscles for movement. Animals are characterized by their ability to move, sense their environment, and respond to stimuli. As a natural kind, it carries essential properties: something is an animal in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (species membership, body plan, etc.). Instances are intrinsic wholes (complete organisms with functional unity). Animals are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"]
""RedApple"" is a compound property consisting of a sortal term ""Apple"" and a contingent property ""Red"". While an apple can be red at one point in time and change color later, it remains the same apple. The property ""being red"" is not essential to the apple's identity, making RedApple Anti-Rigid (~R). It inherits the identity condition from the sortal term ""Apple"" (+I), but does not provide its own identity condition (-O). RedApples maintain unity (+U) as apples are intrinsic wholes. They are independent entities (-D) that don't intrinsically depend on other entities to exist."	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	-U	Can be either +D or -D, depending on the context.	Role (Collection)	"]
""Group"" is a term used to describe a collection of distinct entities, often referred to as a set or a collection. The identity of a group comes from the set of entities it contains, not from any inherent property of the group itself. Groups are not intrinsic wholes, as they don't have functional unity or a specific identity beyond their members. They can be dependent or independent depending on the context. For example, a group of people can exist independently, but a group of hydrogen atoms in a molecule of water cannot exist without the water molecule."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Political and Geographical Entity)	"]
""Country"" is a term used to denote a political and geographical entity, often identified by its borders, government, and population. It is a sortal term that carries essential properties, such as a name, location, and political structure. Countries have their own identity conditions based on these properties. Instances of countries are intrinsic wholes, as they have functional unity and are considered complete entities. They are independent entities that don't intrinsically depend on other individuals to exist, but they do have interdependencies with other countries due to international relations."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	+U	-D	Mixin (Property)	"]
""AmountOfMatter"" is a general term used to describe a quantity of matter, regardless of its specific composition or form. It does not carry essential properties and can take on various forms and identities depending on the matter it represents. Since it doesn't have a fixed identity, it is Non-Rigid (-R). It does not supply its own identity condition (-O), as its identity comes from the matter it represents. It maintains unity (+U) as a quantity of matter is an intrinsic whole. It is independent (-D) as an amount of matter doesn't intrinsically depend on other entities to exist."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Broad Category)	"]
""PhysicalObject"" is a broad category that includes all tangible entities in the world. It is a sortal term, carrying essential properties that define what it means to be a physical object. Physical objects have identity conditions based on their spatiotemporal continuity and material composition. They maintain unity as intrinsic wholes, and are independent entities that don't intrinsically depend on other individuals to exist."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	+U	+D	Role	"]
""GroupOfPeople"" refers to a collection of individuals, typically humans, gathered together for a common purpose or shared activity. It is not a natural kind, but rather a role or a property that can be applied to a collection of individuals. The group itself does not carry essential properties, as its identity and composition can change over time. The group does not supply its own identity condition, as its identity comes from the individuals that make it up. It maintains unity as a group is a collective whole, but it is not an intrinsic whole like a biological organism. Groups are dependent entities, as they rely on the existence of the individuals that make them up."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal (Biological Kind)	"]
""LivingBeing"" is a broad category that includes all organisms capable of growth, metabolism, and response to stimuli. As a category, it carries essential properties: something is a living being in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (presence of certain characteristics like metabolism, growth, and response to stimuli). Instances are intrinsic wholes (complete organisms with functional unity). Living beings are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
