term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	+R	-I	-O	-U	+D	Non-Sortal / Type	As a process, it is rigid (+R) because if something is an 'emotion process', it cannot cease to be one without losing its identity as that specific occurrence. It lacks its own global identity conditions (-O) because 'emotion process' is a general category that typically inherits identity from more specific types or the participants involved. It is non-unifying (-U) as processes are often cumulative or lack a strict formal boundary of a 'whole'. It is dependent (+D) because a process cannot exist without a participant or substrate (e.g., an organism) undergoing the emotion.	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	+R	-I	-O	-U	+D	Rigid Property / Attributive	It is Rigid (+R) because if an entity is a phenomenal experience, it cannot cease to be one without ceasing to be that specific experience. It lacks its own identity conditions (-I/-O) because we cannot distinguish between Two 'experiences' based on the property alone; identity is usually inherited from the subject (experiencer) or the temporal event. It is Non-Unifying (-U) as experiences can be part of a stream or fragmented without a clear formal whole. It is Dependent (+D) because a phenomenal experience cannot exist without a conscious subject to undergo it.	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	~R	-I	-O	-U	+D	Phased-Sortal / Processual Property	Emotional experiences are anti-rigid (~R) because an event or temporal slice is essentially categorized as an 'experience' only for its duration. It lacks own identity (+O) because it typically inherits identity from the subject/agent and the specific event context. It is dependent (+D) because a feeling cannot exist without an experiencer (subject). It is non-unifying (-U) as feelings often fluctuate and blur into one another without strict discrete boundaries for every instance.	
N385f4471082f48f8af32ca48a3ece82d	N385f4471082f48f8af32ca48a3ece82d	+R	+I	+O	+U	-D	Sortal	Since the term is a cryptographic hash (Hexadecimal UUID/URI-like identifier), it functions as a rigid designator. It is Rigid (+R) as the string cannot exist without being that specific identity. It Supplies Identity (+O) and carries it (+I) by providing a unique global identifier for an entity. It possesses Unity (+U) as it is a discrete atomic string, and it is Independent (-D) as its existence as a value does not require a specific external host.	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	+R	+I	-O	-U	+D	Non-substantial Sortal	As a 'process', it is rigid because once an instance is an anxiety process, it cannot cease to be one without losing its identity. It carries identity (+I) via the temporal and causal boundaries of the 'anxiety' state, but likely inherits its primary IC from the broader category of 'Process' (-O). It is non-unifying (-U) as processes are often cumulative or divisible rather than intrinsic wholes. It is dependent (+D) because a process requires an agent or subject (the experiencer) to exist.	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	+R	+I	+O	+U	+D	Rigid Sortal (Type)	A 'fear process' is rigid because if a process is a fear process, it must be so in every possible world where it exists. It supplies its own identity (criteria to distinguish one instance from another) and unity (a discrete beginning and end). It is dependent because a psychological process cannot exist without a sentient bearer (subject).	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	+R	-I	-O	-U	+D	Rigid Property / Attributive	Sensory experience is Rigid (+R) because if an entity is a sensory experience, it cannot cease to be one without ceasing to exist. It lacks its own Identity Conditions (-I, -O) as it is typically identified via the subject experiencing it or the period of occurrence rather than a unique internal identifier. It lacks a specific whole-part Unity condition (-U) because experiences can be fragmented or continuous. It is Externally Dependent (+D) because a sensory experience cannot exist without a sentient subject/bearer.	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	~R	-I	-O	-U	+D	Role	A 'motoric response to emotion' is anti-rigid because a physical movement (like a hand movement) is not essentially a response to emotion; it can occur without that context. It lacks its own identity condition as it inherits identity from the underlying physical action. It is dependent because the response cannot exist without the specific emotion that triggers it.	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	~R	-I	-O	-U	+D	Phased-Role / Role-Mixin	This term represents a transient state or event (Non-Rigid) rather than a base type. It is Anti-Rigid because an instance of a physiological state only becomes a 'response' in the presence of an emotional stimulus. It does not supply its own Identity Condition, but inherits identity from the underlying physiological processes. It is Externally Dependent because a 'response to emotion' cannot exist without the specific emotion that triggered it.	
N2914da6c08ff4286a5b722953e7be39d	N2914da6c08ff4286a5b722953e7be39d	+R	+I	+O	+U	-D	Type	This term represents a unique, persistent identifier (UUID/HASH). As a rigid property (+R), an entity defined by this specific ID cannot cease to be this ID while it exists. It supplies its own identity (+O) and identity conditions (+I) because it is a globally unique singular referent. It is defined as a unified whole entity (+U) and does not intrinsically depend (+D) on the existence of other specific entities to be what it is.	
