term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	A butterfly is a biological organism with specific characteristics like wings, metamorphosis, and its role in pollination. These characteristics are essential to its identity and define its category as a sortal entity.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Quality/Mixin	The color red is a quale, a property of objects that is experienced as a sensory perception. It does not define a rigid identity condition for objects, as many things can be red in different contexts (a rose, an apple, a car). Similarly, it doesn't inherently imply unity or dependence.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Category	"The term ""Food""  refers to a broad category of substances consumed to provide nutritional support for living organisms. While  its essential properties (being edible, providing nutrients) are consistent across instances, the specific composition and characteristics of food vary greatly.  ""Food"" itself doesn't inherently define a unique identity condition for individual items."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	+D	Sortal	"""Animal"" is a general biological sortal. It denotes a kind of entity with shared essential characteristics, making it rigid across possible worlds.  While individual animals can change their physical properties, their core biological nature as animals remains constant. Since ""Animal"" categorizes entities based on a set essential features, it carries an identity condition determining when two entities are considered the same kind of animal. This identity condition is general and not derived from any specific subclass. Animals are typically considered intrinsic wholes, though the degree of unity can vary between species. Generally, they are dependent on their environment for survival."	
RedApple	http://example.org/guarino-messy#RedApple	-R	-I	-O	-U	+D	Mixin	"""RedApple"" is a kind of category used to describe a specific type of apple based on both its color and its inherent apple-ness.  Its redness is a property that is contingent, meaning it can change, but the core concept of ""apple"" remains constant.  It does not exist independently and relies on the pre-existing concepts of ""apple"" and ""red""."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	~U	+D	Category	A group is a collection of entities considered as a unit.  It lacks intrinsic unity; its existence depends on the entities it comprises.  The identity of a group is not determined by inherent properties but rather by the membership of its constituent elements. Groups are generally non-rigid, as the membership can change.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	A country is a political entity with defined borders, a government, and a population. It's a persistent concept across different time frames, though its boundaries and makeup can change.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	+D	Mixin	"""AmountOfMatter"" is a property that quantifies the mass or quantity of matter in a physical object. Its essential nature resides in the inherent property of 'matter' to have a quantity. This quantity is necessary for all instances of 'AmountOfMatter' across different possible worlds. However, it doesn't inherently define individuation or part-whole relationships."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal	"Physical objects are typically considered rigid entities. This means their essential properties remain constant across all possible worlds.  While their location or state might change, their core physical nature persists.  

Physical objects also carry an identity condition based on their unique spatiotemporal properties,  like their shape, mass, and location.  Furthermore, they are considered independent entities that can exist without depending on anything else."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	+D	Mixin	"A ""GroupOfPeople"" is a collection of individuals who share some common characteristic or purpose. The existence of a ""GroupOfPeople"" is dependent on the individuals composing it.  There is no inherent essential property that defines a ""GroupOfPeople"" as distinct from any other kind of collection. Identity hinges on the individual members and their specific constellation, not on a rigid property inherent to the group itself.  The notion of unity is weak, as groups can form and dissolve readily."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"Living beings are generally understood to be things that exhibit essential characteristics associated with life, such as metabolism, growth, adaptation, and reproduction. These characteristics are consistently present in all instances that are considered living beings.  Therefore, ""Living Being"" is rigid. It also carries an identity condition, as the determination of whether something is a living being is based on these defining characteristics.  Since this concept defines a category with its own essential criteria, it provides its own identity condition. It is unifying, as living beings are typically understood as complex organized wholes.  They are not wholly dependent on something else for their existence."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	-I	-O	-U	+D	Category	SocialEntity is a broad term encompassing any entity that is socially constructed or recognized. Its properties depend on the specific social context, making it inherently flexible and context-dependent. Therefore, it lacks essential necessity across all instances and worlds. While instances might share some common characteristics, they don't possess a universal identity condition. The concept of sociality often arises from interactions and relationships, implying dependence on other social entities.	
Location	http://example.org/guarino-messy#Location	~R	-I	-O	-U	-D	Category	"The term ""Location"" refers to a place or position in space. It is a fundamental concept used to describe the whereabouts of objects or events. 

While specific locations (e.g., ""Paris"", ""the library"") carry identity information, the general concept of ""Location"" itself does not possess an inherent identity condition. 

The concept of Location can apply to things that exist independently (a park) or things that depend on something else for existence (a book's location on a shelf).  

Therefore, ""Location"" is best classified as a **Category** or  **Abstract Sortal**, as it represents a general type that can apply to various concrete and abstract entities."	
Fruit	http://example.org/guarino-messy#Fruit	+R	-I	-O	-U	-D	Category	"The term ""Fruit"" refers to a common categorization of botanical objects based on shared characteristics like being the mature ovary of a flowering plant and containing seeds.  While there can be diverse types of fruit, the essential traits define its membership in this category across various instances. Fruits generally don't possess a unique identity condition that distinguishes them from other botanical classes; rather, their identity is determined by other characteristics like species or genetic makeup."	
