term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	An emotion process is non-rigid because it represents a temporally-bounded occurrence that entities (typically organisms or persons) undergo contingently. An entity that instantiates an emotion process (e.g., a person experiencing fear) does not do so essentially - the same person exists before, during, and after the emotion process without the process being necessary for their identity. Emotion processes are events/occurrences that entities participate in temporarily, making them contingent properties that can be gained and lost while the entity persists.	An emotion process does not carry an identity condition. While we can identify that an emotion process is occurring (e.g., 'I am experiencing fear'), we cannot principally distinguish one instance of fear from another instance of fear in the same person, or re-identify 'the same' fear process over time. Emotion processes are occurrents/perdurants that unfold temporally but lack clear individuation criteria - there's no principled way to determine where one emotion process ends and another begins, or whether a recurring emotion is 'the same' process or a new instance. Unlike physical objects with spatio-temporal continuity or persons with biological identity, emotion processes have vague boundaries and no intrinsic identity criteria.	An emotion process does not supply its own identity condition. As a process, it would inherit any identity conditions from more general properties (like 'process' or 'psychological process'). Individual emotion processes are identified by their temporal boundaries, the experiencer, and the specific emotion type, but these criteria come from the nature of processes in general rather than being uniquely supplied by 'emotion process' itself. Since the entity was determined to be -I (does not carry identity), it cannot be +O, as supplying an identity condition requires first carrying one.	An emotion process lacks the unified mereological structure characteristic of integrated wholes. While an emotion process has temporal phases (appraisal, physiological response, expression, regulation), these components do not form a functionally integrated whole with fixed spatial boundaries. The process is a temporally extended phenomenon with somewhat arbitrary boundaries—when exactly does an emotion process begin or end? The parts (cognitive appraisal, autonomic arousal, behavioral tendency) are interconnected but not unified in the way a physical object or organism is. Different instances of emotion processes can vary significantly in their component structure without ceasing to be emotion processes, indicating lack of essential mereological unity.	An emotion process can exist independently without intrinsically depending on specific other entities for its existence. While emotion processes occur in organisms and may be triggered by stimuli, the process itself as a type of phenomenon does not have an essential dependence on any particular other entity. Each instance of an emotion process is a self-contained occurrence that manifests its essential properties (physiological changes, subjective experience, behavioral responses) without requiring identity-preserving relationships to specific external entities. The process is inherently independent even though it necessarily occurs within a subject.	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Phenomenal cognitive experience is anti-rigid because it represents a contingent, temporary state or phase of conscious beings. An entity (e.g., a person) can have phenomenal cognitive experiences at some times and not at others (e.g., during dreamless sleep, unconsciousness, or potentially death). The property is not essential to the entity across all possible worlds - a person remains a person whether or not they are currently having phenomenal cognitive experiences. This is a phase-like property that entities can enter and exit while maintaining their identity, making it anti-rigid by definition.	Phenomenal cognitive experiences (like 'what it's like' to think, understand, or reason) do not carry their own identity condition. There is no principled way to distinguish when one phenomenal cognitive experience ends and another begins, or what makes 'this' experience of understanding the same experience over time versus a different one. Unlike physical objects or persons that have spatio-temporal continuity or biological criteria, phenomenal experiences lack intrinsic boundaries for individuation. Two seemingly identical moments of understanding the same concept cannot be re-identified as the 'same' experience versus 'different but qualitatively identical' experiences. Identity depends on the experiencing subject (a person) or the cognitive event, not on the phenomenal quality itself.	Phenomenal cognitive experience does not supply its own identity condition. As determined by the Identity analysis, this entity is -I (does not carry identity), which means it cannot be +O. Even conceptually, phenomenal cognitive experiences do not provide their own criteria for distinguishing one instance from another—they would need to inherit any identity conditions from more general categories (like 'mental state' or 'event') or from their bearers (the subjects having the experiences). A phenomenal cognitive experience cannot individuate itself; its identity depends on external factors such as the experiencing subject, temporal boundaries, or phenomenal content.	Phenomenal cognitive experiences (like thinking, perceiving, understanding) lack the mereological unity required for +U. While a particular cognitive experience may have temporal and qualitative aspects, these components do not form an intrinsic whole with integrated parts in the way a physical object does. The parts of a cognitive experience (attention, sensation, conceptualization) are not structurally integrated like organs in a body, but rather aspects or dimensions of the experience. Cognitive experiences are events or occurrences with phenomenal character, not wholes with clear part-whole relationships. They are not anti-unifying (~U) as they are not mere aggregates, but they lack the robust mereological structure characteristic of unifying entities.	Phenomenal cognitive experience is intrinsically dependent on a conscious subject (experiencer) to exist. There cannot be an experience without someone or something having that experience - the 'what it is like' quality of phenomenal experience necessarily requires a bearer. Unlike independent entities such as physical objects that can exist on their own, a cognitive experience is ontologically dependent on the existence of a cognitive agent or consciousness that undergoes it.	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	An emotional experience is a non-rigid property because while something may be an emotional experience at a given time, it is not essential to its instances to always be emotional experiences. A particular mental state can cease to be an emotional experience (e.g., when the feeling passes) while the underlying entity (the person or mental state) continues to exist. Additionally, entities can gain the property of having an emotional experience contingently. The property is not essential to all instances in all possible worlds, nor is it anti-rigid since it's not a definitionally temporary role or phase - it's simply contingent.	Emotional experiences do not carry a clear identity condition. There is no principled way to distinguish one instance of 'feeling happy' from another instance of 'feeling happy' either within the same person or across different people. While we can temporally bound an emotional episode ('I felt sad from 2pm to 3pm'), there are no intrinsic criteria to determine whether an emotion that recurs is the same emotional experience continuing or a new instance. Emotional experiences lack the spatio-temporal continuity of physical objects and the definitional identity criteria of entities like Person. They are more akin to qualities or states that can be instantiated multiple times without clear individuation principles.	Since this entity was determined to be -I (does not carry identity), it cannot supply its own identity condition. Emotional experiences like feelings are temporal, subjective states that depend on experiencers for their identity. They do not have intrinsic identity conditions - a feeling of joy is not individuated by its own properties but by the person experiencing it, the time of experience, and context. As per the constraint: if -I, then necessarily -O.	An emotional experience is not a unified whole with integrated parts in the mereological sense. While emotions may have multiple aspects (physiological responses, cognitive appraisals, subjective feelings), these components don't form a structured whole with clear mereological boundaries. Different emotional experiences can overlap, blend, or occur simultaneously without clear individuation criteria. The 'parts' of an emotion (e.g., physiological arousal, facial expression, subjective feeling) are not integrated into a single functional or structural unity the way bodily organs form a person. Emotional experiences are better characterized as processes or states rather than wholes with determinate mereological structure.	Emotional experiences are dependent entities as they cannot exist without an experiencer (a conscious being or person). A feeling necessarily requires someone to feel it - there is no such thing as an emotion that exists independently of a subject having that emotional experience. The emotional experience is intrinsically dependent on the existence of a conscious entity to whom it occurs.	
N566c89ba29214b51a4b7441a3cea04eb	N566c89ba29214b51a4b7441a3cea04eb	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	This appears to be a UUID/identifier rather than a semantic term, making traditional ontological analysis inapplicable. However, if we interpret this as referring to an entity that could be identified by this token, the identifier itself is non-rigid. An entity could be assigned or unassigned this particular identifier, and having this specific identifier is not essential to the entity's existence across all possible worlds. The entity could exist with a different identifier or without this particular identification system.	This appears to be a system-generated identifier or hash code rather than a meaningful ontological entity. It does not represent a property or concept that could carry an identity condition. It's a technical artifact (likely a UUID or hash) used for referencing, not an entity type whose instances would need to be distinguished or re-identified based on intrinsic criteria. Without knowing what actual concept this identifier represents, it cannot be said to carry identity conditions in the ontological sense.	Since the Identity analysis determined this entity is -I (does not carry identity), it cannot supply its own identity condition. The constraint '+O implies +I' means that -I implies -O. An entity that doesn't carry identity cannot supply an identity condition to others.	The term appears to be an identifier or hash code rather than a meaningful concept with instances. As an abstract identifier, it does not denote entities with mereological structure or integrated parts. If instances existed, they would be arbitrary designations without inherent unity or functional integration.	The term 'N566c89ba29214b51a4b7441a3cea04eb' appears to be an arbitrary identifier or hash code rather than a meaningful concept. Without semantic content indicating what this identifier represents, we cannot determine any inherent dependence relationships. If treated as a pure identifier or code itself, it would be independent (-D) as identifiers exist autonomously without intrinsic dependence on other entities. However, this analysis is limited by the lack of semantic information about what this term actually denotes.	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	An anxiety process is a psychological/physiological process that occurs temporarily in individuals. It is not essential to any instance that experiences it - an entity (typically a person or organism) can undergo an anxiety process at certain times and not at others. The process has temporal boundaries (beginning and ending), making it non-essential to its participants. Something experiencing anxiety now was not necessarily experiencing it before and may not experience it in the future, while remaining the same entity throughout.	An anxiety process does not carry an identity condition. While we can identify when someone is experiencing anxiety, there is no principled way to distinguish one anxiety process from another or re-identify the same anxiety process over time. If someone feels anxious on Monday and again on Wednesday, we cannot determine whether it's the same anxiety process continuing, two distinct processes, or one process with an interruption. Anxiety processes lack the definitional criteria needed to establish identity across instances - unlike entities with clear spatio-temporal continuity (like a person) or unique identifying characteristics, anxiety processes blend into one another and have no intrinsic boundaries that allow us to say 'this is anxiety process #1' versus 'this is anxiety process #2' in any meaningful way.	The term 'anxiety process' was determined to be -I (does not carry identity), therefore it cannot be +O. By the logical constraint that +O requires +I, and given that anxiety processes do not supply their own identity conditions (they would depend on the broader framework of mental or psychological processes for any identity considerations), this entity is -O. Anxiety processes are occurrents that unfold over time without providing their own stable identity criteria.	An anxiety process is a temporal occurrence involving physiological, cognitive, and behavioral components, but it lacks the mereological integration characteristic of unity. While anxiety has multiple aspects (e.g., increased heart rate, worried thoughts, avoidance behaviors), these parts are not unified as an intrinsic whole with a clear structural organization. The process is more accurately characterized as a pattern or syndrome of co-occurring phenomena rather than a single integrated entity. Different manifestations of anxiety can vary independently, and there's no single principle that makes the parts form a necessary whole. Therefore, anxiety process is non-unifying.	An anxiety process is a psychological/physiological process that occurs within an organism, but the process itself does not intrinsically depend on other specific entities beyond its bearer (the organism experiencing it). While anxiety may be triggered by external stimuli or situations, the process as an occurrence can exist independently once instantiated. The anxiety process is a self-contained phenomenological and biological event that, once occurring, does not require other specific entities to maintain its existence during its duration. It is ontologically independent in the same way other processes like 'digestion' or 'thinking' are independent, even though they require a bearer.	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	A fear process is a non-rigid property because it is a contingent occurrence that an entity (typically an organism) can experience or not experience across different times and possible worlds. An organism that undergoes a fear process at one moment is not essentially or necessarily undergoing that process at all times - the fear process has a beginning and end, and the same individual can exist without experiencing fear. Unlike rigid properties such as 'organism' or 'physical object' that are essential to their instances, being in a fear process is a temporary state that instances can gain and lose while maintaining their identity.	A fear process does not carry an identity condition. While individual occurrences of fear can be temporally bounded, there is no principled way to distinguish one fear process from another or to re-identify the same fear process over time. What makes one instance of fear the 'same' fear versus a different fear? Is fear of heights on Monday the same process as fear of heights on Tuesday, or two different processes? The boundaries and identity criteria for fear processes are vague and context-dependent. Unlike physical objects or persons that have clear spatio-temporal continuity or biological identity conditions, fear processes lack intrinsic criteria for individuation and re-identification.	A fear process does not supply its own identity condition. As a process or mental state occurrence, it inherits its identity from more general concepts like 'mental process' or 'psychological state'. Individual fear processes are typically identified by their temporal boundaries, the experiencer (who is afraid), and possibly the object of fear (what is feared), but these identification criteria come from the general category of mental processes, not from 'fear process' itself supplying a unique identity principle. Additionally, since this entity was determined to be -I (does not carry identity), it cannot be +O, as supplying an identity condition (+O) requires carrying one (+I).	A fear process is a temporal sequence of psychological and physiological events (arousal, cognitive appraisal, behavioral response) that unfolds over time. While these components are causally connected and functionally related, they do not form an intrinsic whole with integrated parts in the mereological sense. The 'parts' of a fear process (e.g., initial stimulus detection, amygdala activation, cortisol release, fight-or-flight response) are temporal phases rather than spatial components that unify into a single integrated entity. Like other processes, fear processes have temporal boundaries but lack the kind of structural integration that characterizes unifying entities. The instance depends on temporal continuity rather than mereological unity.	A fear process is a psychological/physiological process that occurs within an organism. While it requires a bearer (an organism experiencing fear) to instantiate, the process itself does not intrinsically depend on other specific entities external to the organism for its existence. Once instantiated in an organism, the fear process exists as a genuine occurrence independent of external entities. This is similar to other processes like 'digestion' or 'thinking' - they require a bearer but are not dependent on specific external entities for their existence once occurring.	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Sensory experience is anti-rigid because it represents a contingent occurrence or phase that entities undergo temporarily. An entity (like a person) can have sensory experiences at some times and not at others - the experience of seeing red, feeling pain, or hearing a sound are episodic events that begin and end. No entity is necessarily always having a sensory experience in all possible worlds where it exists, and the property of 'being a sensory experience' or 'having a sensory experience' is inherently temporary and contingent. This makes it anti-rigid, as instances can exist without this property holding at all times.	Sensory experience does not carry an identity condition. There is no principled way to distinguish when one sensory experience ends and another begins, or to re-identify 'the same' sensory experience over time. For example, if you experience the taste of coffee, it's unclear what would make that specific taste-experience identifiable as a distinct individual entity versus a continuation or repetition of a previous taste experience. Sensory experiences are qualitative occurrences that lack clear boundaries and criteria for counting or re-identification - we cannot definitively say where one instance of 'hearing a sound' ends and another begins, or what would make today's experience of 'seeing red' the same particular experience as yesterday's.	Since this entity was determined to be -I (does not carry an identity condition), it cannot be +O. The constraint states that +O requires +I. Sensory experiences are transient mental states or events that lack inherent identity conditions - we cannot definitively distinguish one sensory experience from another except by their temporal occurrence or the subject experiencing them. They do not supply their own identity criteria and inherit whatever identity conditions might apply from more general concepts like 'mental event' or 'experience', if any exist at all.	Sensory experience lacks intrinsic unity as a property. While individual instances (e.g., 'the taste of coffee,' 'the sound of rain') may have temporal boundaries, the property itself doesn't determine what constitutes a unified whole versus arbitrary segments. A sensory experience could be analyzed as a continuous flow or divided into discrete moments without clear mereological principles inherent to the concept. The parts (individual sensations, qualitative aspects) don't integrate into a functional or structural whole in the way biological or artifactual objects do. Different sensory experiences are not unified with each other, and even a single experience's boundaries are phenomenologically and conceptually fluid.	Sensory experience is inherently dependent on other entities for its existence. A sensory experience cannot occur without: (1) a subject/experiencer (a conscious being having the experience), and (2) sensory input or stimuli (either external objects/events or internal neural processes). For instance, a visual experience of seeing red depends on both an experiencing subject and something that triggers that visual perception. Without these foundational entities, a sensory experience cannot exist - there cannot be an experience floating independently without an experiencer or any sensory content to be experienced.	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	A motoric response to emotion is a contingent property. An entity (such as a person or animal) can exhibit motoric responses to emotions at some times but not others - for example, a person may show physical reactions when experiencing fear in one situation but not in another, or may suppress such responses through training or circumstance. The property is not essential to all instances across all possible worlds; entities can gain or lose the disposition to display motoric emotional responses without ceasing to be what they fundamentally are. This is a non-rigid property that instances can instantiate contingently.	A motoric response to emotion does not carry an identity condition. It represents a type of behavioral reaction (like facial expressions, gestures, or body movements in response to emotional states) rather than an individuated entity. There is no principled way to distinguish one instance of 'motoric response to emotion' from another as the same response over time - each occurrence is a new event or manifestation. Unlike entities such as 'a person' or 'a physical object' that maintain identity through time, motoric responses are transient occurrences without persistent identity criteria. We cannot meaningfully ask 'is this the same motoric response I observed yesterday?' in the way we can ask 'is this the same person?'	Motoric response to emotion does not supply its own identity condition. As established in the Identity analysis, this entity is -I (does not carry identity), therefore it cannot be +O since +O requires +I. A motoric response to emotion (such as trembling when afraid or smiling when happy) is a transient occurrence or manifestation that depends on the identity of the organism experiencing it and the specific emotional episode. It inherits whatever identity criteria might apply from the broader context (the person experiencing the emotion, the specific emotional episode) rather than providing its own global identity condition.	A motoric response to emotion (such as trembling when afraid, smiling when happy, or clenching fists when angry) lacks intrinsic unity as a whole. While individual instances may involve coordinated muscular movements, these responses do not constitute integrated wholes with necessary mereological structure. The parts (specific muscle contractions, neural signals, physical movements) can vary arbitrarily depending on the emotion and individual, and there is no essential unity that makes any particular set of motor actions form a single integrated entity. Different motor responses are simply collections of physiological reactions rather than unified wholes with integrated parts.	A motoric response to emotion is intrinsically dependent on both an emotion (the stimulus) and a subject experiencing that emotion. The response cannot exist independently - it requires the prior existence of an emotional state to which it responds. Without an emotion occurring, there can be no motoric response to it. This represents a necessary existential dependence on other entities (the emotion and the experiencing subject).	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	A psychophysiological response to emotion is a contingent state or process that occurs when an organism experiences emotional stimuli. An instance of such a response (e.g., increased heart rate during fear, sweating during anxiety) is not essential to its existence - the same physiological event could potentially exist without being emotionally triggered, and the response itself is temporary and dependent on emotional context. The entity can lose this property when the emotional trigger ceases, making it non-rigid rather than essential to all instances across all possible worlds.	A psychophysiological response to emotion does not carry an identity condition. These are instances of reactions or states (e.g., increased heart rate, sweating) that occur as effects of emotional experiences. There is no principled way to distinguish one instance of 'psychophysiological response' from another as a persistent, re-identifiable entity - we cannot say 'this is the same psychophysiological response I experienced yesterday.' Each occurrence is a new manifestation or event. While the underlying person or the emotion may have identity conditions, the response itself is a dependent, transient phenomenon without its own identity criteria. It shares characteristics with other process-like or state-like entities that lack intrinsic identity conditions.	This entity was determined to be -I (does not carry identity), therefore it cannot be +O. Since it lacks an identity condition altogether, it cannot supply one. Psychophysiological responses to emotion are occurrents (processes/events) that are identified through their participants, temporal extent, and causal relations rather than having intrinsic identity criteria. They do not supply their own identity condition.	A psychophysiological response to emotion (e.g., increased heart rate, sweating, hormonal changes) consists of multiple physiological processes that may occur simultaneously but lack the intrinsic mereological integration characteristic of unifying entities. These responses are scattered across different bodily systems (cardiovascular, endocrine, nervous) without forming a single integrated whole. The various components (elevated cortisol, increased heart rate, pupil dilation) are causally related through emotional states but don't constitute parts of a unified object with clear boundaries. Rather, they represent a collection of co-occurring processes that can vary independently and lack the tight functional integration of truly unifying entities.	A psychophysiological response to emotion is intrinsically dependent on the existence of an emotion. By definition, this type of response cannot exist without there being an emotion that triggers or causes it. The response is a reaction or effect that necessarily requires the presence of an emotional state as its basis - without the emotion, there would be no psychophysiological response to that emotion. This makes instances of this entity necessarily dependent on other entities (emotions) to exist.	
N4a8e0f748f6243769462cec5542eb3ee	N4a8e0f748f6243769462cec5542eb3ee	~R	-I	-O	-U	-D	Role or Phase (Anti-rigid)	This appears to be a UUID or hash identifier rather than a meaningful ontological entity. If interpreted as an identifier or label, it represents an Anti-Rigid property because: (1) it's a contingent designation assigned to something rather than an intrinsic property, (2) the same entity could exist without this particular identifier, and (3) identifiers are typically relational/external properties that don't constitute the essential nature of their referents. The entity being identified necessarily doesn't require this specific identifier to exist.	This appears to be a system-generated identifier or hash value rather than a meaningful ontological entity. As an identifier itself, it does not carry an identity condition - it is merely a symbolic reference without inherent properties that would allow its instances to be distinguished or re-identified based on intrinsic criteria. It lacks the ontological depth needed to carry identity conditions for its instances.	Since this entity was determined to be -I (does not carry an identity condition), it cannot supply its own identity condition. The constraint '+O implies +I' means that -I entails -O. An entity that does not carry an identity condition has no identity condition to supply.	The term appears to be a hash identifier or system-generated code rather than a conceptual entity with semantic content. Such identifiers do not denote entities with mereological structure or integrated parts - they are atomic symbolic references. Without knowing what this identifier refers to in its domain, we cannot determine if instances would be wholes, but the identifier itself as a linguistic/symbolic entity lacks unity properties. If this references an actual entity type, the unity value would depend on that entity's nature, not the identifier.	This appears to be a system-generated identifier or UUID-like code rather than a semantic entity. However, analyzing it as a potential entity reference: identifiers of this type are typically independent entities that exist as data objects without intrinsically depending on other specific entities for their existence. The identifier itself can exist and maintain its value independently, even if it may reference or be associated with other entities in a system context.	
