term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"""Butterfly"" refers to a specific biological kind of insect. It is essential to all its instances across all possible worlds – a butterfly in one world cannot be something other than a butterfly in another world, making it rigid (+R). Being a butterfly carries its own identity condition (+I) as it individuates based on shared biological and morphological characteristics. As a specific natural kind, it supplies its own identity condition (+O). Butterflies are intrinsic wholes with unified parts forming a functioning organism (+U). Butterflies, as independent biological entities, do not intrinsically depend on other entities to exist (-D)."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"""Red"" is a color, which is a visual perception and a property of objects.  Its application is relative to observers and interpretations, hence it lacks the essential nature across all possible worlds to qualify as rigid (+R). While color can contribute to an object's identity, it doesn't inherently supply its own identity condition. ""-I"""	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	~U	-D	Mixin	"""Food"" is a general term referring to substances consumed to provide nourishment. While it is a widely understood concept, its essential nature is not absolute across all possible worlds. Food in one world might not have the same definition in another, as cultures and needs vary. Therefore, it is non-rigid (-R).  ""Food"" possesses inherent identity (+I) as it designates a distinct category with recognizable criteria, such as biological function and consumption. However, it does not provide its own unique identity condition (-O) - the identity comes from the substance's properties and its role in nourishment. ""Food"" itself is not an intrinsic whole (~U), as it encompasses a diverse range of substances with varying compositions and structures. Finally, ""food"" is not inherently dependent on other entities (-D) to exist - it can exist independently of its relationship to consumers."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" as a general term refers to a biological kind, a category of organisms characterized by shared properties like mobility, sentience, and biological reproduction.  These characteristics are essential to all instances of animals across all possible worlds, making it rigid (+R). The term ""Animal"" carries an identity condition (+I) because it defines a category with specific, defining features that distinguish animals from other kinds of entities. Since it represents a fundamental biological category, ""Animal"" supplies its own identity condition (+O). Animals are unified (+U) as they are complex, organized beings with integrated parts functioning as a whole organism. They are not dependent (-D) on other entities for their existence; they are independent substances."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	"""RedApple"" combines the sortal concept of ""Apple"" with the property of being ""Red"". While ""Apple"" is rigid, the redness is a quale, a non-essential, perceptible attribute.  Therefore, ""RedApple"" inherits  an identity from ""Apple"" but is not rigid itself. Although it possesses identity, it doesn't supply its own independent identity condition because  its identity is derived from the underlying ""Apple"" concept. As a concretization of ""Apple"", it maintains the unity inherent in that natural kind."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	~U	~D	Mixin	"""Group"" is a general term for a collection of individuals or things. Its meaning is inherently flexible and context-dependent.  A ""group"" can be rigid or non-rigid depending on the specific context. For example, a ""group"" of musicians playing a specific song in a specific place at a time is relatively rigid, but a ""group"" of friends could change its composition fluidly. As a general concept, it does not inherently carry its own identity condition (+I) but borrows identity from the specific things grouped together. It does not supply its own identity condition (-O) as its identity is contingent on the constituent elements.

A group can be a unifying entity (+U) if the elements are intrinsically connected, forming a whole, but it can also be non-unifying (-U) if it is simply a loose aggregation. Groups can be dependent (+D) or independent (-D) based on their nature.  A team depends on its members to exist, while a ""group"" of stars in a galaxy might be considered independent."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" refers to a politically organized territorial entity with defined borders, a government, and a population. It's a rigid concept (+R) as the essential properties of a country (sovereignty, territory, population, etc.) hold true across all possible worlds where it exists. It carries identity (+I) because countries possess unique defining characteristics (history, culture, borders) that distinguish them.  Countries supply their own identity condition (+O) as their inherent properties form the basis for their unique identification. They function as unified wholes (+U) with internal structures and systems that contribute to their existence as a single entity. Countries are independent (-D) in the sense that they are self-governing entities not intrinsically dependent on other countries for existence."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	-O	-U	-D	Mixin	"""AmountOfMatter"" refers to the quantitative measure of physical matter in an object or region. It's a non-rigid property (-R) because the amount of matter can change (through processes like addition, subtraction, decay, etc.) without changing the object's essential nature. While it contributes to an object's identity, it's not the defining characteristic (+I).  It doesn't supply its own identity condition (-O) as the identity of an object is determined by other properties like material composition and shape, even if its amount of matter fluctuates.  The amount of matter is not necessarily an intrinsic whole (+U), as it can be distributed or aggregated in various ways.  It's not independent (-D) as the existence of matter itself depends on a physical context and interactions with other entities."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal	"""PhysicalObject"" is a broad term representing any entity that has a physical existence and occupies space.  It is rigid (+R) as we generally conceptualize physical objects as existing consistently across possible worlds.  It carries identity (+I) as physical objects have definable physical properties that contribute to their individuality.  However, the specific properties that define identity can vary widely between different types of physical objects. Since it's a general concept, it does not supply its own identity condition (-O) but rather inherits aspects of identity from its more specific instances. Physical objects are generally considered to have unity (+U) in that they are spatially bounded and unified wholes.  They also tend to be independent (-D) in existence, not relying on other entities to come into being."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	~U	-D	Role	"""GroupOfPeople"" describes a collection of individuals that forms a unit for some purpose or shared characteristic.  While individuals within a group have their own identity, the group itself is not rigidly essential. A group can change composition over time (people joining or leaving) without fundamentally ceasing to exist. It carries identity (+I) derived from the individuals it comprises, but does not supply its own independent identity condition (-O). The unity of a group isdependent on the shared purpose or characteristic; it is not a strict biological or physical whole (~U). Groups can exist independently of other entities (-D) or potentially depend on other factors, like shared goals or a common location, depending on the specific context."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	-O	+U	+D	Sortal	"""Living Being"" is a broad term encompassing all organisms that exhibit life processes.  While essential to the instances it covers (rigid +R), it is not a strict prerequisite for existence as there are theoretical realms without life.  As a general category, it carries identity (+I) for creatures fulfilling specified life criteria but doesn't define its own unique conditions – individual identity depends on species, individual development, etc.  Living beings as a whole are intrinsically unified (+U) as they possess emergent properties and organization not found in their non-living parts. Living beings, however, do not exist independently; they depend on an environment for sustenance, growth, and reproduction (+D)."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	+I	-O	~U	-D	Role*	"""SocialEntity"" is a broad term referring to entities that are structured and defined by social interactions and relationships. Its rigidity is debatable (-R): while some social entities like nations might be considered rigid, others like trends or movements can be less so. It carries identity (+I) as social entities have criteria for identification based on shared characteristics, roles, or functions. However, ""SocialEntity"" itself doesn't provide a specific, universal identity condition, may rely on more specific social constructs for those conditions (-O). Social entities exhibit varying degrees of unity (~U): while some might be highly cohesive (communities), others are more fluid and loosely connected (online forums). They don't inherently depend on other entities for existence (-D) as they arise from social interactions and agreements."	
Location	http://example.org/guarino-messy#Location	~R	-I	-O	~U	~D	Mixin (with potential to be Sortal or Role depending on context)	"""Location"" is a very general term referring to a place or position. Its rigidity is debatable as it depends on the specific context. In a purely spatial sense, location might be rigid (+R) as a point in space exists necessarily. However,  the concept of ""location"" can also encompass more abstract notions like ""location in time"" or ""location in a social structure,"" which introduce  flexibility and could be considered non-rigid (-R). As a general concept, ""Location"" itself does not necessarily carry a specific identity condition (+I)  but might derive it from the context – a specific location like ""Paris"" does carry identity. Since it often lacks a concrete, defining IC, ""Location"" likely does not supply its own identity condition (-O). It can be unifying (+U) when referring to a specific place with boundaries, like a city or a country. However, it can also be non-unifying (-U) when referring to an abstract or fluid concept like ""location in the mind."" Lastly, Location's dependence (-D) depends on the context again."	
