agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_gemini_gpt4o-mini,overall,all,all,0.69,0.63,0.61,0.55,110,69,41,113,41
dspy_agent_gemini_gpt4o-mini,macro_avg,rigidity,all,0.67,0.69,0.62,0.45,22,11,11,33,11
dspy_agent_gemini_gpt4o-mini,per_class,rigidity,+R,0.68,1.00,0.53,0.70,15,8,0,7,7
dspy_agent_gemini_gpt4o-mini,per_class,rigidity,-R,0.50,0.08,1.00,0.15,1,1,11,10,0
dspy_agent_gemini_gpt4o-mini,per_class,rigidity,~R,0.82,1.00,0.33,0.50,6,2,0,16,4
dspy_agent_gemini_gpt4o-mini,macro_avg,identity,all,0.59,0.56,0.62,0.51,22,13,9,13,9
dspy_agent_gemini_gpt4o-mini,per_class,identity,+I,0.59,0.92,0.58,0.71,19,11,1,2,8
dspy_agent_gemini_gpt4o-mini,per_class,identity,-I,0.59,0.20,0.67,0.31,3,2,8,11,1
dspy_agent_gemini_gpt4o-mini,macro_avg,own_identity,all,0.59,0.67,0.64,0.58,22,13,9,13,9
dspy_agent_gemini_gpt4o-mini,per_class,own_identity,+O,0.59,0.83,0.38,0.53,13,5,1,8,8
dspy_agent_gemini_gpt4o-mini,per_class,own_identity,-O,0.59,0.50,0.89,0.64,9,8,8,5,1
dspy_agent_gemini_gpt4o-mini,macro_avg,unity,all,0.73,0.42,0.40,0.41,22,13,9,35,9
dspy_agent_gemini_gpt4o-mini,per_class,unity,+U,0.77,0.83,0.77,0.80,13,10,2,7,3
dspy_agent_gemini_gpt4o-mini,per_class,unity,-U,0.64,0.43,0.43,0.43,7,3,4,11,4
dspy_agent_gemini_gpt4o-mini,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_gemini_gpt4o-mini,macro_avg,dependence,all,0.86,0.82,0.77,0.79,22,19,3,19,3
dspy_agent_gemini_gpt4o-mini,per_class,dependence,+D,0.86,0.75,0.60,0.67,5,3,1,16,2
dspy_agent_gemini_gpt4o-mini,per_class,dependence,-D,0.86,0.89,0.94,0.91,17,16,2,3,1
