term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"The term ""Butterfly"" refers to a specific type of insect characterized by its unique wing structure and developmental life cycle. It is essential for all instances of butterflies to possess wings and undergo metamorphosis, thus indicating that the concept is heavily associated with its biological characteristics and cannot lose its identity features across different contexts or scenarios. Therefore, it is classified as rigid since every butterfly must be a member of its specific biological category."	
Red	http://example.org/guarino-messy#Red	~-R	-I	-O	~U	-D	Mixin	"The term ""Red"" refers to a color property rather than an entity with a concrete existence. As a property, ""Red"" can be experienced or instantiated in various objects but does not carry a strict identity condition across instances (e.g., two different red objects do not identity as a single entity simply due to their color). It also lacks intrinsic unity, as it can apply to any number of objects independently. Given these points, ""Red"" is non-rigid since it doesn't define any object inherently (it can exist in many instances), it does not carry an identity condition on its own, does not supply its own identity condition, is not unifying in terms of creating a whole out of instances, and is independent as a quality that can exist without requiring material dependence."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	+D	Mixin	Food is a category that encompasses a variety of substances consumed by organisms for nourishment. As a general property, it is not essential to all instances (e.g., different dietary choices, non-food items serving as meals), which indicates that it is non-rigid. Food does not carry a unique identity condition on its own but is instead dependent on specific instances (like apples, bread, etc.), so it also lacks its identity condition. Food items can exist as wholes (a meal can be considered a unifying instance), but they may also refer to aggregates (such as a collection of groceries) which suggests that unity may not be essential. Lastly, food items typically depend on various biological and agricultural processes, indicating that they are dependent entities. Therefore, food is largely defined and classified as non-rigid, lacking a unique identity, capable of certain unities depending on context, and generally dependent.	
Animal	http://example.org/guarino-messy#Animal	-R	+I	-O	+U	-D	Sortal	"The term ""Animal"" refers to a category of living organisms that exhibit certain biological properties, but it is not an essential property for every instance of animality as there may be instances or categories that fall outside of this definition (e.g., extinct animals or hypothetical beings). Therefore, animals can also lose their specifications (like species) and still retain their identity as 'animals' in different contexts. This suggests that ""Animal"" does not have a universally essential property across all possible instances. Thus, ""Animal"" is classified as non-rigid. It carries an identity condition that distinguishes one animal from another. The identity condition is not unique solely to ""Animal,"" as it is shared within broader biological classifications. Furthermore, ""Animal"" does not supply its own identity condition as its definition is dependent on biological taxonomy. Individuals identified as animals can exist independently of the classification, as they are living beings. However, they also belong to the unity of the concept of 'animality,' suggesting they can be construed as unified entities though there could be many varying sub-categories. Consequently, while they exist as individuals, they are part of a larger whole. Overall, this classification leads ""Animal"" to be seen as a sortal entity with specific rich properties."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	-U	+D	Mixin	"The term ""RedApple"" refers to a specific type of object, which is an instance of apples characterized by the red color. While redness is a property that can vary between instances of apples, all instances of ""RedApple"" are apples that possess the property of being red at a given time. This indicates that ""RedApple"" is an anti-rigid entity, as instances can vary in color (e.g., becoming green or yellow) and still remain apples. Furthermore, ""RedApple"" has identity conditions because one can distinguish one ""RedApple"" from another. However, it doesn't supply its own identity condition; instead, it relies on the concept of apples in general. Instances of ""RedApple"" do not possess intrinsic unity as they can exist as individual pieces of fruit, not contributing to a whole or integrated unity. Lastly, a ""RedApple"" is dependent on being part of, and identified with, the broader category of apples, which means it cannot exist independently."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	~U	+D	Mixin	"A ""Group"" is an assembly of individuals or entities that is characterized primarily by its aggregate nature rather than a unified identity. The members of a group can vary in composition over time; thus, a group lacks rigidity. It does not possess a distinct identity condition as the collection of members can change. The unity of a group is also questioned as it may not be considered an intrinsic whole, but rather a collection of individual members. Thus, a group does not have a unique identity criterion and can be viewed as an aggregate. Therefore, it is non-rigid, lacking a self-sufficient identity condition and exhibiting dependence on its members for existence."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	A country is a defined geopolitical entity characterized by specific borders, governance, and an organized society. It is considered a rigid entity because, in all possible worlds, every instance of a country maintains its essential properties that classify it as such. Countries carry identity conditions indicating that two instances are the same if they refer to the same political unit. They also supply their own identity conditions as each country has unique attributes defining it, such as a name, governance structure, and nature of its society. Countries represent unifying entities as they are whole societies that exist as single political units, not mere collections of individuals without structure. Finally, countries are dependent entities because they rely on institutions, resources, and international recognition to exist meaningfully; without these, a country's status may be compromised.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	-D	Mixin	Amount of Matter is a property that quantifies the material existence of objects. It does not represent a specific instance but instead describes a measurable characteristic of physical objects. Therefore, it can vary between instances, making it a non-rigid property. The identity of 'Amount of Matter' does not carry a unique identity condition; it simply describes a measurable aspect of entities that can change without losing the identity of those entities. 'Amount of Matter' does not supply its own identity condition; it is a characteristic derived from the entities themselves. The concept does not imply mereological wholeness, as it can apply to parts of matter or independent entities. Finally, the amount of matter can exist independently of specific entities, meaning it can be situated in a variety of contexts or forms.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	+I	-O	- U	- D	Physical Object	A Physical Object refers to tangible entities that occupy space and can be observed. In ontological terms, physical objects are not rigid as they can change properties without losing their identity (e.g., a chair can be painted a different color). They possess an identity condition since they can be distinguished from other objects. However, they do not supply their own unique identity condition as their identity can be based on physical traits or properties. Physical objects exhibit unity when they maintain their form as a whole but can also exist in a fragmented state. Instances can exist independently of other entities, indicating that they are not dependent on other objects for their existence.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	+D	Aggregate	"The term ""GroupOfPeople"" refers to an aggregate of individuals that does not carry a strict identity condition that distinguishes one group from another beyond the aggregation of its members. Its essence and identity depend on the individuals that compose it, allowing for fluid membership. Therefore, ""GroupOfPeople"" does not have a rigid essence; it is not necessary for all instances in all possible worlds. Instead, it varies based on its constituents, which also means it does not supply its own identity but instead relies on its members. The unity is not intrinsic since a group is fundamentally an aggregate of individuals; it lacks a firm wholeness. Consequently, it is also dependent on its members for existence."	
