term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is rigid (+R) because anything that is a butterfly is necessarily a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and remain the same individual - it is an essential property of the organism. While a caterpillar can become a butterfly through metamorphosis, once something IS a butterfly, it cannot lose that property while maintaining its identity as the same entity. The transformation from caterpillar to butterfly represents a change in which property the organism instantiates, not a loss of the butterfly property by something that was a butterfly.	BUTTERFLY carries an identity condition. As a biological organism, each butterfly instance can be distinguished and re-identified over time through various criteria including: DNA sequence (genetic identity), continuous spatio-temporal trajectory throughout its lifecycle (from egg through larva, pupa to adult), and physical continuity of the organism. While a butterfly undergoes metamorphosis and changes significantly, it maintains diachronic identity - the same organism persists through these transformations. This is analogous to PERSON maintaining identity through physical changes. Being a rigid biological kind, BUTTERFLY supplies sufficient criteria to distinguish one butterfly from another and track the same butterfly over time, satisfying the requirements for +I.	Butterfly supplies its own identity condition as a biological kind. While it inherits some aspects from more general properties like Animal or Organism, Butterfly provides its own specific criteria for identity based on the continuity of a particular organism through its life stages (egg, larva, pupa, adult). The identity of a specific butterfly is determined by tracking the same biological individual through metamorphosis, which is a condition supplied at the level of this natural kind, not merely inherited from broader categories. As a rigid natural kind (+R) that carries identity (+I), Butterfly qualifies as supplying its own identity condition (+O).	A butterfly is an intrinsic whole with a clearly integrated mereological structure. Its parts (wings, thorax, abdomen, head, legs, antennae) are bound together by both topological connection (physical attachment) and functional unity (coordinated biological system). The parts work together as an integrated organism - wings for flight, sensory organs for perception, digestive system, etc. A butterfly maintains this unity condition throughout its existence as a butterfly (post-metamorphosis). Removing parts would destroy the butterfly or significantly compromise its nature as a functional whole. The unity is essential to being a butterfly - scattered butterfly parts do not constitute a butterfly.	A butterfly, as a biological organism, does not exhibit external notional dependence. While butterflies depend on environmental factors (air, food sources, etc.) for survival, they do not intrinsically depend on any specific other entity that is not a part or constituent of them. A butterfly exists as a complete, independent organism - it is not defined by a necessary relationship to another entity (like PARENT depends on CHILD, or STUDENT depends on SCHOOL). The butterfly's heart, organs, and body are parts or constituents of it, not external dependencies. Therefore, butterfly carries -D (independent).	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because it is not essential to all its instances. An object can be red at one time and cease to be red at another time (e.g., through painting, fading, or natural color change) while remaining the same individual object. A red apple can turn brown, a red car can be repainted blue, yet these objects persist as the same entities. Since instances can gain or lose the property of being red without losing their identity, Red is non-rigid (-R). It is not anti-rigid (~R) because there could be objects that are essentially red in some conceptualizations, though typically redness is an accidental property.	Red is a quality or attribute that does not carry an identity condition. There is no principled way to distinguish one instance of red from another instance of red, or to reidentify the same instance of red over time. Red lacks criteria for individuation - we cannot ask 'is this the same red?' in a meaningful way that would allow us to track a particular instance of redness across time or distinguish it from other instances of red. Red is explicitly mentioned in the background material as an example of a property that does not carry identity (-I). As a quality, it can only be instantiated by entities that do carry identity conditions (like red objects), but red itself provides no basis for counting or reidentifying its instances.	Red is a quality or property of objects, not an entity that requires its own identity condition. As established in the Identity analysis, Red is -I (does not carry identity), and since +O requires +I, Red must be -O. Red does not supply an identity condition - it cannot individuate instances as 'the same red' or 'different reds' in any meaningful way. Red is better understood as a value that entities can exhibit rather than as a sortal that supplies identity criteria.	Red is a quality or property that can be instantiated by various entities without any intrinsic mereological structure or unity condition. Instances of red things (red apples, red cars, red patches) do not share a common unifying relation that binds their parts together. A red object's parts are not unified by virtue of being red - the redness itself imposes no constraint on what counts as a whole. Red can apply to scattered objects, arbitrary collections, or integrated wholes indifferently. Therefore, Red does not carry a unity condition (+U), nor does it anti-carry unity (~U) since some red things can be wholes (though not by virtue of being red).	Red is a color quality that cannot exist independently - it must inhere in some physical object or surface. A red entity is externally dependent because the redness necessarily requires a bearer (something that is red) to exist. Red cannot exist on its own without being instantiated in some substance or object, making it externally dependent on those bearers.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because something can be food at one time and cease to be food at another time while remaining the same entity. For example, a piece of bread that is food can become moldy and spoil, no longer being food, yet it remains the same physical object. Similarly, edible plants in a field become food when harvested and prepared, but weren't necessarily food before. The property of being food is not essential to all instances across all possible worlds - an entity can gain or lose the property of being food while maintaining its identity as the same entity.	Food does not carry an identity condition. Food is a role or functional property - the same physical matter can be food at one time and not food at another (e.g., fresh bread vs. moldy bread). Additionally, there is no principled way to distinguish one 'food' from another as the same food over time, as food is consumed and transformed. What makes 'this apple' identifiable is that it's a physical object (which carries +I), not that it's food. The property 'being food' itself provides no identity criteria - it's a classificatory property based on edibility and nutritional function rather than a sortal that individuates its instances.	Food does not supply its own identity condition. As established in the Identity analysis, Food is -I (does not carry identity). Since +O requires +I (you cannot supply an IC without carrying one), and Food is -I, it must be -O. Food is a role-like property that various substances can play - the same physical matter can be food at one time and not food at another. Identity conditions would need to be supplied by more fundamental properties like Physical Object or Amount of Matter that the food substance instantiates, not by the Food property itself.	Food does not carry a common unity condition across all its instances. While some foods are intrinsic wholes (an apple, a chicken), others are arbitrary aggregates (a pile of rice, a bowl of soup, scattered crackers). The property encompasses both integrated wholes with specific morphological or functional unity conditions and mere amounts or collections of edible matter. Since there is no single equivalence relation that makes all instances of Food intrinsic wholes under a common unity criterion, Food is -U (does not carry unity).	Food is independent (-D) because instances of food can exist without depending on other specific entities for their existence. While food is typically produced, consumed, or related to eaters, the existence of a particular food item (an apple, a loaf of bread, a piece of cheese) does not intrinsically require the existence of any other specific entity. A food item can exist as a physical object independent of whether there are consumers, producers, or any other entities. The relationship between food and eater is external and contingent - the food exists independently even if never consumed. This contrasts with truly dependent entities like Student (which cannot exist without an educational institution) or Parasite (which cannot exist without a host).	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because anything that is an animal is necessarily an animal in all possible worlds where it exists. An entity cannot cease to be an animal while remaining the same entity - if something is an animal, it is essentially and necessarily an animal throughout its existence. This is a biological/natural kind property that defines the fundamental nature of its instances, similar to Person being rigid. An animal cannot become a non-animal or vice versa while maintaining its identity.	Animal carries an identity condition. Each animal instance can be distinguished and re-identified over time through biological identity criteria such as genetic makeup (DNA), continuous physical form, and spatio-temporal trajectory. As a biological organism, an animal maintains its identity through life processes despite changing properties (growth, aging). The IC for Animal would include having the same biological organism/body continuity over time. This is a rigid property that supplies sufficient conditions for distinguishing one animal from another across time, satisfying the requirements for +I. Like Person (which is subsumed by Animal), it provides principled ways to answer questions like 'Is this the same animal I saw yesterday?'	Animal supplies its own identity condition as a rigid natural kind. Animals have biological identity based on continuous life processes and genetic constitution - an animal maintains identity through metabolic continuity and biological organization even as its matter changes. This is distinct from mere amounts of matter (which have mereological identity) or artifacts (which have functional/intentional identity). Since Animal is a fundamental sortal category that supplies this biological IC rather than inheriting it from a more general property, it is +O.	Animal carries a unity condition (+U). All instances of Animal are intrinsic wholes with a biological unity condition based on functional and topological integration. An animal maintains a coherent mereological structure throughout its existence - its parts (organs, limbs, cells) are bound together by biological processes and functional relationships that distinguish them from the rest of the world. The parts of an animal are not arbitrary; they form an integrated biological system where organs and tissues work together as a unified organism. This unity persists throughout the animal's existence, making each animal instance an intrinsic whole under a biological unity relation.	Animal is independent (-D) because instances of Animal can exist without necessarily depending on any external entities that are not parts or constituents of themselves. While animals depend on various things for survival (food, water, oxygen), these are not specific entities that must exist for the animal to be an animal. An animal is not intrinsically dependent on any particular external entity in the way that a Student depends on an Educational Institution or a Parent depends on a Child. Animals are complete, self-standing entities whose existence and identity do not require reference to other specific entities outside themselves.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because being a red apple is not essential to all its instances across all possible worlds. An apple can lose the property of being red (e.g., through ripening, rotting, or painting) while remaining the same individual apple. The redness is an accidental property that an apple can gain or lose, making RedApple a non-rigid property. It's not anti-rigid (~R) because there's no requirement that instances must possibly not be red apples - some apples could theoretically remain red throughout their existence in some possible world.	RedApple is a sortal property that carries an identity condition inherited from its rigid supertype APPLE (and ultimately PHYSICAL OBJECT). Each red apple can be distinguished and re-identified over time through spatio-temporal continuity, even if its color changes (becoming less red). The property carries IC from PHYSICAL OBJECT (having the same spatio-temporal location and material continuity), allowing us to track individual red apples through time and distinguish one red apple from another. While RedApple itself may not supply its own IC (as it's a restriction of APPLE), it inherits and carries the IC from its subsuming rigid properties.	RedApple does not supply its own identity condition. As a specialized combination of Apple and Red, it inherits its identity condition from Apple (or more generally from Physical Object). The redness is a property that an apple may have at certain times, but the identity condition for what makes a red apple the same red apple over time comes from its nature as an apple/physical object, not from the combination itself. The property RedApple carries an IC (+I as determined) but does not supply it - it merely inherits the IC from its more general rigid properties.	RedApple instances are intrinsic wholes with clear mereological structure. Each red apple is a unified biological entity with integrated parts (skin, flesh, core, seeds, stem) that are topologically and functionally connected. The parts are bound together by biological organization and physical structure, forming a maximal self-connected whole under topological and functional unity relations. An apple maintains this wholeness throughout its existence as an apple - if you remove significant parts, it ceases to be a (complete) apple. This satisfies the definition of carrying a unity condition (+U), as all instances are intrinsic wholes under a common equivalence relation of biological and topological connectedness.	RedApple is independent (-D) because instances of red apples do not intrinsically depend on other entities for their existence. A red apple can exist as a physical object without necessarily requiring any external entity beyond itself. While red apples may have originated from apple trees and depend on various factors for their creation, once they exist as physical objects, they maintain their existence independently. The redness is a quality inhering in the apple itself, not requiring a separate external entity. This is similar to other physical objects like Person or Physical Object mentioned in the examples, which are considered independent.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	Group is a rigid property because anything that is a group is necessarily a group in all possible worlds. A group is defined by a collection relationship among its members - while the specific members may change over time, the entity itself remains essentially a group. The group doesn't cease to be a group and become something else; rather, it either exists as a group or ceases to exist entirely. An entity cannot be contingently a group - if something is a group, it is necessarily so, even though its membership may vary. This is analogous to how a person remains a person despite changes in properties.	Group carries an identity condition. A group can be distinguished and re-identified over time through its membership composition and organizational structure. While the individual members may change, there are principled ways to determine if we are talking about 'the same group' - for example, 'the same band' even if members are replaced, or 'the same committee' across different terms. The identity condition might be based on factors like: having the same founding members, maintaining organizational continuity, having the same charter/purpose, or institutional registration. Groups are countable entities ('three groups') and we can meaningfully ask 'Is this the same group?' which indicates an identity condition exists, even if it may be inherited from a more fundamental property like Social Entity or Collective.	Group supplies its own identity condition. A group is identified by having the same members (or membership composition), which is a distinct identity criterion that is not inherited from a more general property. This IC is specific to the nature of groups: two groups are the same if and only if they have the same members. This is different from, say, Physical Object (which might use spatiotemporal continuity) or Person (which might use biological continuity or SSN). Since Group carries an IC (+I as determined) and supplies this membership-based criterion uniquely at this level of generality, it is +O.	Group is a paradigmatic example of anti-unity (~U). Instances of Group are collections of entities that lack intrinsic mereological integration - the parts (members) are not bound together by any intrinsic unifying relation like topological connection, morphological unity, or functional unity. A group's members can be spatially scattered and arbitrarily chosen. The relationship between members is external and contingent, not based on any equivalence relation that would make the group an intrinsic whole. Groups are mere aggregates where parts lack the kind of integration required for wholeness.	Group is externally dependent because a group necessarily requires the existence of members (individuals that compose the group) that are distinct from the group itself. A group cannot exist without having at least some members - there can be no empty group in any meaningful sense. The members are not parts or constituents of the group in the strict mereological sense, but rather separate entities upon which the group's existence depends. This matches the definition of external dependence: for any instance of Group, there must necessarily exist instances of some other property (e.g., Person, Organization, etc.) that serve as its members, and these members are external to the group entity itself.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because anything that is a country is necessarily a country in its essence as a geopolitical entity. While the territories, governments, and names of countries may change over time, and countries can cease to exist or come into being, an entity that IS a country at any point must be a country essentially - it cannot be the same entity and become something other than a country (like a person or a rock). The geopolitical nature that makes something a country is essential to its identity as that particular kind of entity. An instance of Country cannot continue to exist as the same entity while losing the property of being a country - if it loses that property, it ceases to be that country entirely.	Country carries an identity condition. Countries can be distinguished and re-identified over time through multiple criteria: geographical boundaries/territory, sovereignty/government recognition, international legal status, and official names. A country maintains its identity even as it undergoes changes (population shifts, border adjustments, government changes). For example, France remains France despite changes in government, population, or even minor territorial adjustments. The identity criteria include: same recognized territorial boundaries, same sovereignty status, and same international recognition. Countries are re-identifiable entities with clear conditions for determining if two references point to the same country at different times.	Country supplies its own identity condition as a rigid geopolitical entity. A country maintains identity through formal criteria such as recognized sovereignty, established territorial boundaries, and governmental continuity - even when these elements undergo changes (border adjustments, governmental transitions). The IC is global and distinct from more general properties like Physical Object or Geopolitical Entity. For example, France remains the same country through regime changes, minor border adjustments, and time, based on formal recognition, historical continuity, and sovereignty. Country does not merely inherit its IC from a more general sortal but establishes its own socio-political identity criteria that transcend mere physical or spatial considerations.	Country carries a unity condition. Each country is an intrinsic whole unified by political-administrative and territorial relations. The parts of a country (regions, provinces, territories) are bound together by a common legal framework, sovereignty, and governmental structure that applies maximally to all parts within its borders and nothing outside them. This satisfies the requirement that each part is bound by an equivalence relation (political jurisdiction, legal authority) to all other parts and nothing else. A country maintains this unity condition throughout its existence - if the territorial or political unity dissolves, it ceases to be that country (e.g., Yugoslavia, USSR). The unity is primarily functional-political rather than purely topological, as countries can have non-contiguous territories (e.g., USA with Alaska, France with overseas territories), yet remain unified wholes under the same sovereignty and legal system.	Country is independent (-D). While countries have governments, territories, and populations as parts or constituents, they do not intrinsically depend on external entities that are neither parts nor constituents of themselves. A country exists as a sovereign geopolitical entity without necessarily requiring the existence of other separate entities. The territory, government, and population are internal to or constitute the country itself, not external dependencies. Even international recognition, while practically important, is not a strict ontological requirement for a country's existence as a geographical and political entity.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Attribution or Quality	AmountOfMatter is rigid because any instance of an amount of matter is necessarily an amount of matter in all possible worlds. The document explicitly discusses this property, noting that amounts of matter follow mereological extensionality - if any part changes, it becomes a different amount of matter. An amount of matter cannot cease to be an amount of matter while remaining the same individual; any change in composition results in a different entity. This is in contrast to properties like PERSON, which can lose parts while maintaining identity. Therefore, being an amount of matter is an essential property that holds necessarily for all its instances.	AmountOfMatter does not carry an identity condition. Amounts of matter are individuated purely by their mereological composition at a given time - they are identical if and only if they have exactly the same parts. However, this makes identity through time problematic: if any particle is added or removed, we have a different amount of matter. There is no principled way to re-identify the 'same' amount of matter after any change in composition, as amounts of matter follow strict mereological extensionality. The background text explicitly uses 'Amount of Matter' as an example of a property that is incompatible with Person precisely because it lacks the kind of identity condition that would allow tracking the same entity through mereological change.	While AmountOfMatter carries an identity condition (+I was determined in previous analysis), it does not supply its own identity condition in the ontological sense. AmountOfMatter inherits its identity from the more fundamental property PhysicalObject. The identity of an amount of matter is determined by mereological extensionality (same parts = same matter), which is a general principle applicable to all physical objects, not something unique to amounts of matter. The property itself is a way of considering physical objects from a compositional perspective, rather than supplying a novel identity criterion. Therefore, it is -O.	AmountOfMatter is explicitly cited in the ontological literature as a canonical example of anti-unity (~U). Instances of AmountOfMatter are not intrinsic wholes - they lack a unity condition that integrates their parts into a unified whole. An amount of matter can be arbitrarily divided or combined without affecting its identity as that same amount of matter. For example, a portion of water remains water whether unified in a glass or scattered as droplets. The parts of an amount of matter are not bound together by any topological, morphological, or functional unity relation - they are mere mereological sums. This directly contrasts with properties like Vase or Person, whose instances maintain specific unity conditions throughout their existence.	AmountOfMatter is independent (-D) because instances of matter can exist without necessarily depending on other entities external to themselves. A lump of clay, a quantity of water, or a pile of sand exists as matter regardless of whether other entities exist. While matter may have parts (atoms, molecules), these are constituents of the matter itself, not external entities. The existence of an amount of matter does not require the existence of any external entity that is neither a part nor a constituent of it. Unlike PARENT which requires CHILD, or STUDENT which requires SCHOOL, matter simply exists as a material substance without such external dependencies.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because anything that is a physical object is necessarily a physical object in all possible worlds. An entity cannot cease to be a physical object while remaining the same entity - it is an essential property that defines the fundamental nature of its instances. If something exists as a physical object, it cannot lose this property and still be the same individual. This aligns with the example given in the background text where physical objects are considered rigid properties.	PhysicalObject carries an identity condition. Physical objects can be distinguished and re-identified through spatio-temporal continuity - having the same location and continuous spatiotemporal path through time. This allows us to track a specific physical object as the same entity across time, even as it may undergo certain changes. The text explicitly mentions 'Physical Object (has spatio-temporal continuity)' as an example of a +I property. Physical objects have principled ways to be individuated and re-identified, satisfying the requirement for carrying an identity condition.	PhysicalObject supplies its own identity condition. As a fundamental rigid property, it establishes the global identity criteria for physical entities - typically based on spatio-temporal continuity (occupying the same spatial location through continuous temporal existence). This is not inherited from a more general property but is intrinsic to what it means to be a physical object. Physical objects have their own necessary and sufficient identity conditions that distinguish one physical object from another across time and space.	PhysicalObject does not carry a common unity condition for all its instances. While some physical objects are intrinsic wholes with clear mereological structure (like a person or a car with functional/morphological unity), others lack such unity (like an arbitrary amount of matter, a heap of sand, or a scattered collection of rocks). The property encompasses both integrated wholes and mere aggregates. Since there is no single equivalence relation ω that makes all instances of PhysicalObject intrinsic wholes, it does not carry unity (+U). However, it is not anti-unity (~U) either, as some instances ARE intrinsic wholes. Therefore, PhysicalObject is -U: it does not carry a unity condition, though individual instances may have their own specific unity conditions under more specialized properties.	PhysicalObject is independent (-D) because instances of physical objects do not intrinsically depend on other specific entities for their existence. A physical object can exist in and of itself without necessarily requiring the existence of any other particular entity that is not a part or constituent of it. While physical objects may have parts (like atoms, molecules) or be constituted by matter, these are parts/constituents, not external dependencies. The definition of external dependence explicitly excludes parts and constituents. Unlike dependent entities such as PARENT (which requires CHILD) or STUDENT (which requires an educational institution), a physical object's existence is not predicated on the existence of some other distinct entity external to it.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	+D	Attribution (Non-rigid, no identity)	GroupOfPeople is non-rigid because while a collection of individuals may constitute a group at one time, the same collection can cease to be a group (e.g., when members disperse or the group disbands) while the individuals themselves continue to exist. A group of people is not necessarily a group in all possible worlds - the same entities can exist without forming a group. However, it's not anti-rigid (~R) because when something IS a group of people, it's not required that it must possibly not be one (unlike roles like Student). The property is contingent for its instances but not definitionally so.	GroupOfPeople does not carry an identity condition. While individual persons have clear identity conditions (e.g., DNA, fingerprints), a group lacks a principled way to determine identity through change. Key problems: (1) It's unclear which changes in membership preserve group identity - if members are replaced, is it the same group? (2) There's no inherent criterion for what makes one group the same as another group across time. (3) Groups depend on their members for identity, but the relationship between member changes and group identity is not specifiable without additional rigid constraints. A group could be the same organization (which would be +I), but GroupOfPeople as a general property lacks the structure to carry identity conditions. It's a collective that doesn't supply criteria for re-identification independent of some more specific sortal like Organization, Team, or Family.	GroupOfPeople does not supply its own identity condition. Since it was determined to be -I (does not carry identity), it cannot supply an identity condition per the constraint that +O implies +I. Groups of people do not have inherent criteria for determining when two groups are the same group - this would need to be supplied by more specific properties like Organization, Team, or Family, which might define identity through membership criteria, founding documents, or other mechanisms. GroupOfPeople is too general to supply a global identity condition.	GroupOfPeople is anti-unity (~U) because its instances are strictly aggregates of persons without intrinsic integration. A group's 'parts' (individual people) are themselves complete wholes with their own unity conditions, and the group itself lacks a unifying relation that binds these parts into an intrinsic whole. People in a group can be spatially scattered, have no topological, morphological, or functional integration, and the mereological boundaries are arbitrary. Unlike a functional whole (like a Team organized for a purpose), a mere GroupOfPeople is simply a collection where the membership is the only criterion, making it a paradigmatic case of an aggregate rather than an integrated whole.	GroupOfPeople is externally dependent on PERSON. By definition, a group of people cannot exist without the existence of persons who are members of that group. For any instance of GroupOfPeople (x), there must necessarily exist instances of PERSON that are not parts of x but are required for x to exist as a group. The persons are the constituents that the group depends upon - while the group is composed of persons, it is externally dependent on them as the group itself is a collective entity distinct from its individual members.	
