constraint	severity	sub_label	sub_rigidity	sub_identity	sub_own_id	sub_unity	sub_dep	sub_class	sup_label	sup_rigidity	sup_identity	sup_own_id	sup_unity	sup_dep	sup_class	description	sub_uri	sup_uri
R1	VIOLATION	Smooth Muscle Contraction	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0006936	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	Transport of small molecules	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0006810	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	anxiety process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000003	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	behavior	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0007610	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	biological regulation	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0065007	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	biological_process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0008150	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	body fluid secretion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0007589	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	circulatory system process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003013	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	cognition	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0050890	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	cognitive appraisal process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000014	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	cognitive response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000024	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	cognitive response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000013	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	cognitive response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000023	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	emotion process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000000	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	emotional experience (feeling)	+R	+I	+O	+U	-D	Sortal	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000002	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	establishment of localization	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0051234	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	fear process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000004	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	heart process	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.obolibrary.org/obo/GO_0003015	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	increased breathing rate response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000030	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	increased breathing rate response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000012	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	increased breathing rate response to fear	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000029	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	increased heart response to anxiety	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000028	http://purl.obolibrary.org/obo/BFO_0000015
R1	VIOLATION	increased heart response to emotion	+R	-I	-O	~U	+D	Process	process	~R	-I	-O	~U	+D	Process	+R(sub) subsumed by ~R(super): rigid class under anti-rigid parent	http://purl.bioontology.org/ontology/EMRO/0000011	http://purl.obolibrary.org/obo/BFO_0000015
