term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	+O	+U	+D	Role (Anti-rigid, dependent)	"rigidity: ]
The term 'Butterfly' refers to a specific stage in the life cycle of certain insects. While an individual organism goes through various stages (egg, larva, pupa, and imago), it is only classified as a butterfly during the imago stage. This property is not essential to the identity of the underlying entity, as it can exist in other stages without being a butterfly. Therefore, the property 'Butterfly' is classified as Anti-Rigid. | identity: ]
The term 'Butterfly' refers to a biological species and carries a principled identity condition based on biological and spatio-temporal continuity. This allows for individual butterflies to be uniquely identified, distinguished from one another, and tracked as the same individual throughout their life cycle. | own_identity: ]
The term 'Butterfly' refers to a biological species, which acts as a substance sortal. It provides a specific, global identity condition (IC) for its instances, allowing us to distinguish one butterfly from another and track their persistence over time through metamorphism. Since it carries identity (+I) and is the source of that identity condition rather than inheriting it from a more general sortal like 'Insect' or 'Animal' in a way that those parents exhaust the identity, it is considered to supply its own IC. | unity: ]
A Butterfly is a biological organism that constitutes a concrete individual with a highly integrated structure. Its parts (wings, thorax, abdomen, antennae) are functionally and physically interdependent, forming an intrinsic whole. According to the OntoClean methodology, biological entities are prototypical examples of +U because they possess a clear principle of unity that defines their boundaries and the relationship between their parts. | dependence: ]
The term 'Butterfly' refers to a biological organism that is capable of flying. Ontologically, a butterfly is not an independent entity in the same way that a physical object is. A butterfly's existence is intrinsically linked to its life cycle, which includes stages that depend on other entities, such as a caterpillar's dependence on a plant for food and a chrysalis' dependence on a protected environment to undergo metamorphosis. Therefore, a butterfly is a dependent entity."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	~U	-D	Attribution (Non-rigid, no identity)	"rigidity: ]
The term 'Red' refers to a color property. While it is possible for an entity to be red in one context and not in another, the property of being red itself is not contingent. Instead, it is a quality that can be possessed by various entities, such as apples, paint, or light. However, being red is not essential to the identity of any particular entity. For example, an apple can be red, but it can also be green. Therefore, the property 'Red' is classified as Non-Rigid. | identity: ]
The term 'Red' is a quality or attribute, and it does not carry an identity condition. There is no principled way to distinguish instances of red from one another based on their inherent properties. Red is a property that can be instantiated by various objects, and it does not provide a basis for re-identification or distinction between instances. | own_identity: ]
The term 'Red' is a property, not a substance or a role. It does not carry an identity condition (+I) and does not supply its own global identity condition. Instead, it relies on the identity of the entity it is associated with. | unity: ]
The term 'Red' is a property or attribute, not an entity. It does not possess a clear mereological structure or unity characteristics on its own. | dependence: ]
The term 'Red' is a property or attribute, and it does not have an inherent existence or identity separate from the entities it describes. It is not an entity that can exist independently, but rather a characteristic that can be attributed to various entities, such as an apple or a rose."	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	+U (for individual food items)	-D	Role or Phase (Anti-rigid)	"rigidity: ]
The term 'Food' is a broad category that encompasses various substances consumed for nutritional support and energy by organisms. Food is not an inherent property of any specific entity; rather, it is a relationship between an entity and a context. For example, an apple can be food for a human but not for a cat. Therefore, the property 'Food' is Anti-Rigid. | identity: ]
The term 'Food' is a general category of entities that can be consumed for nutritional support by a living organism. While it does not carry an identity condition in and of itself, the specific instances of food that are consumed (such as apples, chicken, or rice) do carry identity conditions based on their unique physical and chemical properties. | own_identity: ]
The term 'Food' is an abstract concept and does not carry an identity condition (+I) because it does not refer to specific entities but rather to a category of entities. It does not supply its own identity condition, as it does not define a new way of identifying individuals but rather describes a quality or characteristic that can be applied to various entities. | unity: ]
Food is a category of substances that can be consumed for nutritional support and energy by organisms. It is not a singular entity but rather a collection of various edible items. However, individual food items, such as an Apple or a Carrot, possess a clear principle of unity and are intrinsic wholes. The mereological structure of food items is defined by their parts, which are functionally and physically interconnected to form a cohesive whole. | dependence: ]
The term 'Food' refers to any substance that organisms consume to maintain life and provide energy. While food is essential for the existence and functioning of living organisms, it does not have an intrinsic dependence on any specific entity or instance for its identity or existence. Instead, it is a category or type of substance that can be instantiated by various specific foods."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	-O	+U	-D	Sortal (Rigid, carries identity)	"rigidity: ]
The term 'Animal' refers to a broad category of multicellular, eukaryotic organisms that possess a body plan, a nervous system, and a complex set of behaviors. Being an animal is not essential to the identity of an individual organism; many organisms that are not animals exist (e.g., bacteria, fungi), and some organisms that are animals can lose the property (e.g., if they are killed). However, all instances of animals share certain fundamental characteristics, such as being multicellular and eukaryotic. Since the property of being an animal is essential to all instances in all possible worlds given these characteristics, it is classified as Rigid. | identity: ]
The term 'Animal' is a general category of living organisms that have a body, a metabolic process, a mode of nutrition, and a response to stimuli. It carries an identity condition because instances of animals are discrete, identifiable, and re-identifiable entities that can be distinguished from one another based on their unique biological characteristics. | own_identity: ]
The term 'Animal' is a biological category that represents a group of organisms that share common characteristics, such as multicellularity, ability to move, and complex organization. It carries an identity condition (+I) because it is a substance sortal, but it does not supply its own global identity condition. Instead, identity is usually inherited from the underlying species or individual organisms that fall under the category of 'Animal'. | unity: ]
An Animal is a biological organism that is characterized by a high level of organization and integration. Its parts (organs, tissues, cells) are functionally interconnected and work together to maintain the organism's existence and survival. Animals possess a clear principle of unity that defines their boundaries and the relationship between their parts, making them intrinsic wholes. | dependence: ]
The term 'Animal' refers to a broad category of multicellular, eukaryotic organisms that possess a body plan, a nervous system, and a capacity for movement. Ontologically, an animal is not defined by its dependence on another specific entity for its identity or existence. While animals may require an environment to survive, they do not have a specific ontological dependence on another individual entity in the way a 'Student' depends on a 'School'."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	"rigidity: ]
The term 'RedApple' represents a specific instance of an apple with the color property 'Red'. While the property of being an 'Apple' might be considered rigid, being 'Red' is not. An individual apple can be red at one point and then change color (e.g., as it rots or if it is painted), or it could have been a green variety of the same species. Since an instance of a RedApple can cease to be red while maintaining its identity as the same physical object (an apple), the property 'Red' is not essential to all its instances in all possible worlds. Therefore, it is Non-Rigid. | identity: ]
The term 'RedApple' represents a specific type of Apple, characterized by the property 'Red'. As a count noun, it refers to a discrete physical entity, and thus carries an identity condition based on spatio-temporal continuity and physical characteristics. This allows for individual instances of a red apple to be distinguished from one another and re-identified over time. | own_identity: ]
Although 'RedApple' is a specialized subclass of 'Apple' and carries an identity condition (+I), it does not supply its own global identity condition. The identity conditions for a RedApple are inherited from the rigid sortal 'Apple'. Therefore, it is -O. | unity: ]
An instance of a RedApple is a discrete physical object with a clearly defined boundary and an integrated internal structure. Every instance is an intrinsic whole where the parts (skin, flesh, core, seeds) are functionally and spatially connected to form a single entity. The addition of the property 'Red' does not change the ontological status of the 'Apple' as a unifying whole. | dependence: ]
A RedApple is a specific type of physical object (Apple) characterized by its color. While it may be part of a larger system or context, such as a fruit basket or a grocery store, its existence does not depend on the existence of another specific entity or instance in the way that an agent depends on the actions it performs or the entities it represents. It is an independent substance."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	-U	"+D (depends on members)
-D (not dependent on the group itself)"	Role or Phase (Anti-rigid)	"rigidity: ]
The term 'Group' refers to a collection of distinct entities that share a common property or relationship. Being a member of a group is not an inherent property of an entity; an entity can belong to multiple groups, and it can cease to be a member of a group while still remaining the same entity. Since every instance of 'Group' is a collection of entities that could potentially exist without this property (as they could belong to other groups or no group at all), it is classified as Anti-Rigid. | identity: ]
The term 'Group' is a collective noun that refers to a collection of distinct entities. While the members of a group may share certain properties, the group itself does not carry an identity condition. The identity of a group is determined by the identity of its members, and the group can change membership over time. | own_identity: ]
The term 'Group' does not carry an identity condition (+I) because it is a collective noun that refers to a collection of individuals or objects. The identity of a group is determined by the identity of its members, not by the group itself. | unity: ]
A Group is a collection of distinct entities that can be aggregated based on a common property or function. However, it does not possess a clear mereological structure that defines it as an intrinsic whole. Instead, the unity of a group is derived from the external relationship between its members. As a result, it is classified as a non-unifying entity. | dependence: ]
The term 'Group' refers to a collection of distinct entities that are associated with each other based on a common property or shared membership. While a group cannot exist without its members, the existence of each member does not depend on the group itself. Instead, the group is a construct that emerges from the relationships between its members."	
Country	http://example.org/guarino-messy#Country	-R	+I	+O	~U or -U (depending on the specific political and administrative structure)	-D	Category or Mixin (Non-rigid)	"rigidity: ]
The term 'Country' refers to a political and geographical entity that is often considered to be a sovereign state under international law. While the concept of a country is relatively stable, the specific instances of countries can change over time due to various reasons such as territorial disputes, political upheavals, or natural disasters. For example, the borders of a country can shift, or new countries can emerge. Since the instances of countries can change while still retaining their essential characteristics as political and geographical entities, they are classified as Non-Rigid. | identity: ]
The term 'Country' refers to a political and geographical entity that is sovereign and occupies a distinct territory. It carries an identity condition because instances of countries can be uniquely identified, distinguished from one another, and re-identified over time based on their distinct territories, governments, and cultural characteristics. | own_identity: ]
The term 'Country' refers to a political and geographical entity, which acts as a substance sortal. It provides a specific, global identity condition (IC) for its instances, allowing us to distinguish one country from another and track their persistence over time. Unlike a region or a part, 'Country' identifies the fundamental nature of the entity. Since it carries identity (+I) and is the source of that identity condition rather than inheriting it from a more general sortal like 'Region' or 'GeographicalArea' in a way that those parents exhaust the identity, it is considered to supply its own IC. | unity: ]
A Country is a political and geographical entity that is not necessarily an intrinsic whole. Its parts (regions, cities, people) may not have a clear mereological structure, and their integration depends on the political and administrative boundaries. In some cases, a country can be considered a mere collection or a sum of its parts, making it a non-unifying or even anti-unifying entity. | dependence: ]
The term 'Country' refers to a political and geographical entity. It is defined by its borders, government, population, and other characteristics. While a country may depend on other entities for various functions (e.g., trade with other countries, diplomatic relations), its existence as a country is not intrinsically dependent on another specific country or instance. It is an independent entity."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	"rigidity: ]
The term 'AmountOfMatter' refers to a quantity of matter, which is a physical substance that has mass and takes up space. This property is not essential to the identity of the matter itself, as the same matter can exist in different amounts or forms. For instance, a certain amount of matter can be transformed into another substance, or it can be combined with other amounts to form a larger quantity. Since the property of having a specific amount of matter is not essential to all instances of matter in all possible worlds, it is classified as Anti-Rigid. | identity: ]
The term 'AmountOfMatter' does not carry an identity condition. It represents a quantity or a mass that can be measured, but it does not inherently have a discrete identity or the ability to be re-identified over time. | own_identity: ]
The term 'AmountOfMatter' does not carry an identity condition (-I) because it is an abstract concept that does not represent a specific entity. Instead, it is used to quantify the identity of physical objects or substances. | unity: ]
An AmountOfMatter is a collection of discrete physical objects without a clear principle of unity. It does not possess a mereological structure that defines it as a whole, and its parts can be arbitrarily selected or rearranged without changing the identity of the amount. | dependence: ]
The term 'AmountOfMatter' refers to a quantity of matter, which is a physical substance. It does not have an identity or existence independent of the matter it represents. The amount of matter depends on the existence and properties of the matter it quantifies."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	"rigidity: ]
The term 'PhysicalObject' refers to any tangible entity that occupies space and has mass. Being a physical object is an essential property, as it is a defining characteristic for all instances of this term. A physical object cannot exist without occupying space and having mass. Therefore, it is classified as Rigid. | identity: ]
The term 'PhysicalObject' is a general category that includes all non-abstract, tangible entities. It carries an identity condition because physical objects have spatio-temporal continuity, meaning they occupy a specific location in space and exist over a certain period of time. This continuity allows for individual physical objects to be distinguished and re-identified from one another. | own_identity: ]
The term 'PhysicalObject' is a foundational category that provides a global identity condition for all physical entities. It is a substance sortal that defines the fundamental nature of physical objects, allowing us to distinguish one physical object from another and track their persistence over time. Since it carries identity (+I) and is the source of that identity condition, it is considered to supply its own IC. | unity: ]
A PhysicalObject is a category of entities that exist in the physical world and have a clear principle of unity. Instances of PhysicalObjects are intrinsic wholes with a defined boundary and a mereological structure that integrates their parts. The unity of a PhysicalObject is determined by the spatial and/or functional relationships between its parts. | dependence: ]
The term 'PhysicalObject' refers to a broad category of entities that have a tangible or material existence. According to the OntoClean methodology, physical objects are considered independent entities, as they do not require the existence of another specific entity or instance to define their identity or existence."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	"rigidity: ]
The term 'GroupOfPeople' refers to a collection of individuals, and being part of a group is not an essential property of an individual person. People can form and dissolve groups, and they can belong to multiple groups at once. Therefore, the property 'GroupOfPeople' is classified as Anti-Rigid. | identity: ]
The term 'GroupOfPeople' refers to a collection of individuals, each carrying their own identity. As a group, it does not have an identity in and of itself, but rather is a composition of distinct, identifiable entities. Therefore, it does not carry an identity condition. | own_identity: ]
The term 'GroupOfPeople' does not carry an identity condition (+I) because it is a collective noun that represents a collection of individuals, rather than a single entity. The identity of a GroupOfPeople is determined by the identities of its constituent members. | unity: ]
A GroupOfPeople is a collection of individuals, not an intrinsic whole. The parts of a group are arbitrary and can be added or removed without affecting the identity of the group as a whole. The unity of a group is derived from the unity of its members, not from an inherent principle of unity within the group itself. | dependence: ]
The term 'GroupOfPeople' refers to a collection of individuals. Ontologically, a group is not an independent entity but rather a collection of entities (individual people) that share a common property or relationship. The existence of a group is dependent on the existence of the individuals that make it up."	
