term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	+O	+U	+D	Phase	'Butterfly' is a specific phase in the life cycle of an organism (usually within the order Lepidoptera). As a phase, it varies over time (e.g., an organism can transition from a caterpillar to a butterfly). This means that the entity is not essential in all possible worlds; the same organism might not always exist as a butterfly, thus making the property Anti-Rigid (~R). However, it does carry identity (+I) since we can distinguish one butterfly from another based on specific characteristics. Furthermore, it supplies its own identity condition (+O) as it has distinct features that differentiate individual butterflies. The instances of butterflies are unifying (+U) as they are considered integral entities. Lastly, they are dependent (+D) on the biological process that brings about their formation.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Quality	'Red' is a color property that describes a certain aspect of objects but does not indicate a specific object or entity. It is not essential for any specific instance to be red, as there are many instances that can exist without possessing this property, rendering it non-rigid (-R). It does not carry its own identity condition (-I), as it merely describes the quality of color without specifying an entity. It does not supply its own identity condition (-O) since it cannot be an individual by itself but can only refer to qualities of objects. It is not an intrinsic whole, implying that it does not unify instances as a distinct entity (-U). Furthermore, it is independent (-D) since colors can exist as concepts without depending on particular objects to manifest.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	+D	Mixin	The term 'Food' refers to a general category of substances that provide nutritional support for an organism. It is not rigid (-R) because there can be various types of food that can change over time or context (e.g., foods that are available in one season may not be in another). 'Food' does not carry a distinct identity across all possible worlds, as what constitutes food can vary significantly. Therefore, it carries identity (-I) and does not supply its own identity condition (-O), inheriting it from the broader category. Food is considered non-unifying (-U) since it refers to a collection of consumable items rather than a singular whole. Additionally, food is dependent (+D) as it requires an organism to exist or be consumed.	
Animal	http://example.org/guarino-messy#Animal	-R	+I	-O	+U	-D	Sortal	'Animal' is a general category used in biology to classify living organisms in the kingdom Animalia. As a taxonomic category, it encompasses a diverse range of entities. The property is considered non-rigid (-R) because an instance can exist as an animal in one context and potentially change in a different classification (e.g., being regarded differently in various taxonomies). It carries identity (+I) as 'Animal' possesses identifiable characteristics to distinguish instances. However, it does not supply its own identity condition (-O) since it relies on the underpinning classifications. It is a unifying concept since instances of 'Animal' represent wholes (+U) and is independent (-D), as animals can exist independently of a specific category or classification.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	'RedApple' is a combination of a Rigidity property ('Apple') and a non-rigid property ('Red'). The entity's capacity to change color indicates it is non-rigid (-R). However, it maintains identity as an apple regardless of the change in its color, meaning it carries an identity condition (+I), yet does not supply its own identity condition (-O). It is considered unifying because it refers to a specific physical object (+U), and it exists independently of other entities (-D).	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	+U	+D	Collective	The term 'Group' refers to a collection of individual entities that share certain attributes or properties. Since the existence of a 'Group' as a social construct is not essential to all possible worlds (as groups can dissolve or re-form), it is classified as non-rigid (-R). A group carries identity (+I) because a specific group can be identified and distinguished from other groups. However, it does not supply its own identity condition (-O) as its identity is contingent on its members. In terms of unity, a 'Group' acts as an intrinsic whole (+U) since it possesses cohesiveness based on shared characteristics. Finally, it is dependent (+D) since a 'Group' cannot exist without its members.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	'Country' refers to a defined geographical and political entity characterized by a specific governance and population. As a property, 'Country' is rigid (+R) because any instance of a country exists as such in all possible worlds where it remains recognized as a country, regardless of other attributes it may have (e.g., government form, size). It carries an identity condition (+I) as it represents a specific state or nation. It supplies its own identity condition (+O) by distinguishing between different countries. In terms of unity, a country can be viewed as a unifying entity (+U) because it typically has intrinsic attributes that bind its properties together. Finally, a country is dependent on international recognition and governance for its existence (+D).	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Quantity	'AmountOfMatter' refers to a measurable quantity of matter, which represents a numerical value and does not intrinsically define a specific identity beyond its numerical representation. It is non-rigid (-R) because the quantity can change while still referring to the same physical substance. It does not carry identity (+I) as its existence is contingent on the matter it quantifies and does not provide its own distinct identity condition (-O). It is non-unifying (-U) since it represents a quantity rather than an individual object and is dependent (+D) on the existence of the matter to which it refers for its definition.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	'PhysicalObject' refers to entities that occupy space and have mass. As every physical object is contingent upon physical existence, it is considered rigid (+R), as physical objects maintain their identity across all possible worlds. Furthermore, they carry identity (+I), as each physical object is distinct and identifiable. Additionally, they supply their own identity condition (+O), because their physical properties determine their identity. Physical objects are unifying (+U) since any instance is an intrinsic whole rather than a mere sum of parts. Lastly, they can exist independently of other entities, meaning they are independent (-D).	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	-U	+D	Mixin	'GroupOfPeople' refers to an aggregate of individuals who come together for a purpose or share a common characteristic. This entity is not essential in all possible worlds, as the same individuals can exist without forming a group, making it non-rigid (-R). While a group can be distinguished by its members, it does not carry a unique identity condition on its own, inheriting identity from the individuals involved (-I). It does not supply its own identity condition (-O) and is primarily a sum of its constituents, indicating it is non-unifying (-U). Moreover, it is dependent (+D) because the existence of a group relies on the individuals that constitute it.	
