agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_gemini_gpt4o-mini,overall,all,all,0.73,0.62,0.65,0.58,110,74,36,118,36
dspy_agent_critic_gemini_gpt4o-mini,macro_avg,rigidity,all,0.85,0.66,0.82,0.66,22,17,5,39,5
dspy_agent_critic_gemini_gpt4o-mini,per_class,rigidity,+R,0.82,0.92,0.80,0.86,15,12,1,6,3
dspy_agent_critic_gemini_gpt4o-mini,per_class,rigidity,-R,0.86,0.25,1.00,0.40,1,1,3,18,0
dspy_agent_critic_gemini_gpt4o-mini,per_class,rigidity,~R,0.86,0.80,0.67,0.73,6,4,1,15,2
dspy_agent_critic_gemini_gpt4o-mini,macro_avg,identity,all,0.59,0.56,0.62,0.51,22,13,9,13,9
dspy_agent_critic_gemini_gpt4o-mini,per_class,identity,+I,0.59,0.92,0.58,0.71,19,11,1,2,8
dspy_agent_critic_gemini_gpt4o-mini,per_class,identity,-I,0.59,0.20,0.67,0.31,3,2,8,11,1
dspy_agent_critic_gemini_gpt4o-mini,macro_avg,own_identity,all,0.64,0.76,0.69,0.62,22,14,8,14,8
dspy_agent_critic_gemini_gpt4o-mini,per_class,own_identity,+O,0.64,1.00,0.38,0.56,13,5,0,9,8
dspy_agent_critic_gemini_gpt4o-mini,per_class,own_identity,-O,0.64,0.53,1.00,0.69,9,9,8,5,0
dspy_agent_critic_gemini_gpt4o-mini,macro_avg,unity,all,0.73,0.42,0.40,0.41,22,13,9,35,9
dspy_agent_critic_gemini_gpt4o-mini,per_class,unity,+U,0.77,0.83,0.77,0.80,13,10,2,7,3
dspy_agent_critic_gemini_gpt4o-mini,per_class,unity,-U,0.64,0.43,0.43,0.43,7,3,4,11,4
dspy_agent_critic_gemini_gpt4o-mini,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_critic_gemini_gpt4o-mini,macro_avg,dependence,all,0.77,0.69,0.71,0.70,22,17,5,17,5
dspy_agent_critic_gemini_gpt4o-mini,per_class,dependence,+D,0.77,0.50,0.60,0.55,5,3,3,14,2
dspy_agent_critic_gemini_gpt4o-mini,per_class,dependence,-D,0.77,0.88,0.82,0.85,17,14,2,3,3
