term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	-O	+U	-D	Sortal	"""Butterfly"" is a sortal term denoting a type of insect. Semantically, it refers to a species with specific characteristics such as wings, a body structure, and the ability to metamorphose from a caterpillar to an adult flying stage. Being a sortal, ""Butterfly"" would be expected to be rigid, as the essence of what a butterfly is remains constant regardless of its current appearance or behavior. It also carries identity criteria across time, such as continuity of species membership. However, the property of ""being a butterfly"" is not itself providing a unique identity condition but rather inheriting a more generic sortal identity supplied by ""Organism"" or ""Insect"". Instances of butterflies are unified whole organisms with distinct physical boundaries, and they can exist independently of other specific entities."	
Red	http://example.org/guarino-messy#Red	-R	+I	-O	-U	-D	Quality/Attribute	"""Red"" is a quality that characterizes objects based on their color. Since color is a contingent attribute, an object can change its color from red to another color without losing its identity. For example, a red apple can turn green as it ripens. This indicates that redness is not essential to the existence of any particular object in the way that being a person, for instance, is: red objects exist independently of their color. Thus, ""Red"" is not +R (rigid) since objects can exist as the same entity without retaining this property. It is, however, +I (identifies instances across time and space) because we can distinguish red objects from non-red ones regardless of changes in their color. Moreover, ""Red"" does not supply its own identity condition, but relies on other properties like ""object"" or more specific sortals to maintain an identity. Color, including red, is also not an unifying whole; it is a feature that can be applied to various objects in a non-wholesome way. Finally, being red does not intrinsically depend on any other entity, which makes it -D (independent)."	
Food	http://example.org/guarino-messy#Food	~R	+I	-O	+U	+D	Mass Term (General Kind)	"The term ""Food"" refers to any substance consumed to provide nutritional support for the body. It can be broadly classified into natural and manufactured substances. Food has a clear category of what it is, but this term is flexible enough to include a wide range of items, making it a category rather than a specific individual with fixed properties. This suggests that ""Food"" is not rigid (~R) as it encompasses a variety of objects. As a broad category, it does not necessarily supply its own identity conditions beyond what the individual food items carry (+O). Food items can be parts of larger wholes (like meals), and they are often dependent on their cultural, social, and nutritional context for their classification as food (+D). Identity and unity are still present in the category sense, but they are not uniquely defined by the term ""Food"" itself (+I, +U)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	-O	+U	-D	Sortal (Natural Kind)	"""Animal"" is a sortal term that denotes a biological category of organisms characterized by various distinguishing traits such as the ability to respond to stimuli, grow and reproduce, obtain and assimilate food, and eliminate wastes from the body. The category of animals is unifying and rigid, as it maintains a consistent criteria for being an animal throughout an individual's life (+R, +U)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Role	"The term ""RedApple"" refers to an apple that has the qualitative property of being red. It is not a rigid property because an apple can change its color over time without ceasing to be an apple. Rather, it represents a phase that an individual entity (the apple) can be in. ""RedApple"" carries the identity criteria derived from ""Apple"", indicating +I (it inherits identity from the sortal ""Apple""), but it does not supply its own unique identity condition, thus -O. Apples are unifying, forming integrated wholes with clear boundaries, and an apple's color does not intrinsically depend on anything outside of the apple itself, making it independent (-D)."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	~U	-D	Collective	"A ""Group"" is a collection of individuals united by a common purpose, characteristic, or interest. Unlike a ""Sortal"" which defines a continuous substance or entity (e.g., ""Person""), a ""Group"" is more of an aggregate or collective concept. Groups are typically composed of individuals who share some attribute or interact in a specific way. Rigidity suggests that groups are not essential to their members' identities since members can join and leave groups without losing their personal identity. Identity is carried by the group concept as part of its definition, so it could be considered +I although it is not unique to the group itself. Own Identity means that the property doesn't supply an independent criterion for identity; instead, it relies on the individuals who comprise the group (+O is not applicable here as the property itself isn't a substance defining its own identity). Unity indicates that while the group is more than just a loose collection of individuals, it doesn't form a cohesive whole in the same sense as a person or building, placing it as ~U. Dependence shows that groups can function and exist independently of external entities, even though their internal coherence might require some minimal context."	
Country	http://example.org/guarino-messy#Country	+R	+I	-O	+U	-D	Sortal	"""Country"" refers to a sovereign state that has defined borders and a government. It is a sortal kind as it involves persistent entities like nations which are recognized across time and across possible worlds. It is rigid (+R) because once a country exists, it persists unless it ceases to exist as a sovereign entity, such as through dissolution or reunification. Countries have definable identity criteria based on territory, governance, and population, making them identifiable instances (+I). However, these criteria are primarily inherited from the sortal ""State"" rather than supplied uniquely by ""Country"" itself (-O). Countries tend to form cohesive territories with inherent unity (+U), and they can exist independently as sovereign entities (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	-O	+U	-D	Mixin	"""AmountOfMatter"" refers to a measurement or quantification of the physical quantity of matter present in an object or system. This property is non-essential to the existence of matter itself, as the same amount of matter can change in other ways without changing its quantitative measure of material substance. However, it is a property that can be used to track and identify different quantities of matter within various contexts and systems. Rigidity: It is not an absolute criterion for the continued existence of matter, but rather a descriptive property. Thus, it is non-rigid (-R). Identity: While ""AmountOfMatter"" helps in distinguishing different quantities of matter, it alone does not establish unique identity criteria across all instances of matter. It relies on qualitative properties for full identification (+I, -O). Unity: Amounts of matter do not form an integrated whole with intrinsic unity, as they do not necessarily imply a bounded system or functional interconnection (+U, ~R). Dependence: The concept of ""AmountOfMatter"" is independent of other entities, as it pertains to a measurable attribute of physical existence. Even if a particular quantity of matter is lost or distributed, the same physical substance can exist independently (-D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal	"""PhysicalObject"" is a broad category referring to anything that occupies space and has mass (matter). It includes specific instances of objects that persist over time and maintain certain physical properties but does not specify those properties. Rigidity: Being a physical object is an intrinsic quality that an entity must have to exist as such - if an entity stops being a physical object, it no longer exists as itself (+R). Identity: Physical objects have a stable identity over time and space based on their material composition and spatial boundaries (+I). Own Identity: While physical objects rely on their material composition to establish identity, they inherit identity based on their physical properties rather than supplying unique identity criteria themselves (-O). Unity: Physical objects are cohesive entities with defined boundaries and internal coherence (+U). Dependence: While physical objects do not intrinsically depend on other entities to exist as physical objects, they often need other objects to occupy space (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	~U	-D	Collective	"""GroupOfPeople"" is a phrase denoting a collection of individual persons. Unlike ""Person"" which denotes a sortal entity with intrinsic unity and identity, a group is more about a sum of individuals rather than a unified whole. Therefore, it is ~R (anti-rigid), as groups can be disaggregated into individuals and reassembled differently over time. It has inherited identity from ""Person"" but does not supply its own specific identity condition (+I, -O). Groups do not form cohesive wholes inherently (+~U), and they can exist as arbitrary collections without intrinsic dependence on other entities (-D)."	
