term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Agent	http://example.org/guarino-messy#Agent	~R	+I	+O	+U	+D	Sortal/Role	An Agent is a sortal (kind of entity) that carries an Identity Condition and supplies its own global Identity Condition. Agents are intrinsic wholes and intrinsically depend on themselves to exist, making them rigid entities that cannot be reduced to mere aggregates or sums.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	+U	+D	Trait/Property	AmountOfMatter is a quantifiable aspect of an object, and is not an intrinsic property that defines the object itself. It can exist independently of the object, and is composed of smaller components (e.g. particles). However, the amount of matter in an object can unify its parts into a cohesive whole. Therefore, it is a unifying property, and the object's existence is dependent on the presence of matter.	
Animal	http://example.org/guarino-messy#Animal	~R	+I	-O	+U	+D	Sortal/Role	An animal is a sortal/role that has intrinsic unity (it is an intrinsic whole) and depends on other factors (like species, size, etc.) to exist, but it is not rigid (its properties can change, e.g., a puppy grows up) and does not supply its own global identity condition (it can be part of a group or species). Its instances can exist alone, but are not necessarily independent (they often interact with their environment).	
Apple	http://example.org/guarino-messy#Apple	-R	+I	-O	+U	+D	Sortal	An Apple is a specific instance of a sortal, it is a unified whole, and it depends on its properties (e.g., color, shape) to exist, but it is not rigid in the sense that it can vary in color or shape across different instances. Its identity is its own, but it does not have a necessary existence outside of its properties.	
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	+O	+U	+D	Sortal	A sortal (e.g., living thing, place, event) has its own global Identity Condition. It is an intrinsic whole, unifying individual instances, and its existence is independent of other entities. As a sortal, Butterfly is rigid in the sense that it has an essential role or classification in the ontology, and its instances must share those characteristics to be considered genuine butterflies.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	-I	-O	+U	+D	Sortal/Role	Caterpillar is a sortal because it is a stage of an organism's life cycle, where it is essential to be a caterpillar to exist, but it can transform into something else (e.g., butterfly). It has intrinsic unity, meaning it is a distinct whole entity. It depends on its developmental stages and nutrients for existence, and does not supply its own global identity condition.	
Country	http://example.org/guarino-messy#Country	~R	-I	-O	-U	-D	Sortal/Role	A country is not rigid because its identity condition (the thing that makes it a country) is not essential to all instances (different countries have different nationality, flag, and others), and it is not a whole itself, nor does it depend on anything else to exist (its existence is not defined by the existence of something else).	
Entity	http://example.org/guarino-messy#Entity	~R	+I	-O	-U	+D	Entity	An entity is a substance or particular, and its rigidity is not essential as it can change over time or have different forms. It carries an identity condition, but does not supply its own global identity. It is not an intrinsic whole, but can exist alone as a substance or particular. Finally, entities depend on themselves to exist, as they are fundamental units of existence.	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	-U	-D	Mixin	Food is aMixin because it is not essential to all instances in all possible worlds (rigidity), it does not carry an identity condition (identity), it does not supply its own global identity condition (own identity), instances of food are not necessarily wholes (unity), and food is not a constituent part of other things that make up an object (dependence).	
Fruit	http://example.org/guarino-messy#Fruit	-R	+I	+O	+U	+D	Sortal	Fruit is a sortal because it is a well-defined, essential category of objects that share common properties and relations, such as being edible, having a specific color, and growing on plants. Its rigidity implies that it is an intrinsic, necessary characteristic of the objects it applies to. Its own identity and unity suggest that Fruit is a natural kind, with its own global identity and an intrinsic structure. Finally, its dependence on plants and other factors highlights its ontological relationship with its environment.	
Group	http://example.org/guarino-messy#Group	~R	+I	+O	+U	-D	Collection/Mixin	A Group is a collection of individuals that form a unified whole, but it is not a single entity with inherent identity. It relies on the entities that make it up to exist, and its existence does not depend on any additional external factor.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	+O	+U	+D	Sortal/Role	GroupOfPeople is a sortal because it categorizes entities based on intrinsic properties (composition, quantity) and is not essential to some instances (various sizes, compositions). It carries its own Identity Condition and supplies its own global Identity Condition, indicating it is an intrinsic whole. Instances of GroupOfPeople intrinsically depend on being composed of people to exist.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	+O	-U	-D	Sortal/Role/Mixin/etc	LegalAgent is a sortal because it has own identity and unity properties. It is rigid in the sense that it is essential to its instances (e.g., a legal agent must have a specific identity), and it does not depend on anything else to exist. However, it is not an intrinsic whole, but rather an aggregation of distinct entities (e.g., humans, organizations). This classification is typical for sortals like LegalAgent, which are roles or categories that define a set of individuals or entities with common characteristics.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	~R	+I	+O	+U	+D	Sortal	A LivingBeing is an intrinsic whole that has its own global Identity Condition. It is an unifying category, where instances are indivisible into parts. LivingBeings intrinsically depend on some external conditions to exist, such as nutrition, environment, etc.	
Location	http://example.org/guarino-messy#Location	~R	-I	-O	-U	-D	Spatial/Geographical Concept	A Location is a spatial concept that does not have essential rigidity as it can change. It does not carry an identity condition on its own, and its instances are not intrinsic wholes. Locations can exist independently, but their existence is dependent on the spatial framework they are a part of.	
Organization	http://example.org/guarino-messy#Organization	-R	-I	-O	+U	+D	Organization	Organization is typically considered a social construct and not a fundamental, rigid entity. It has parts (members) that can exist independently. While an organization as a whole has a certain identity, it is not a singular, unified entity. However, its members can be unified under its identity. An organization depends on its members, activities, and goals to exist. As a complex social construct, it lacks a rigid definition that would apply to all possible worlds.	
Person	http://example.org/guarino-messy#Person	~R	-I	-O	+U	-D	Sortal/Role	A person is a sortal/role that exemplifies various properties, such as unity, but is not rigid in the sense that different people can exist in different possible worlds without it being essential to them. Additionally, a person's identity is not explicitly supplied by their own properties, but rather depends on other factors like their individual identity and the identity of the entities they interact with. They are not independent entities and can exist as part of a community or organization.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	+I	+O	+U	-D	Sortal/Role	PhysicalObject is a fundamental sortal category in ontology, representing entities that exist in the physical world. It is **rigid** (not non-rigid), as it is essential to all instances of physical objects across all possible worlds. It carries an **identity condition** as a global property, and **supplies its own global identity condition**. As a **unifying** property, physical objects are considered intrinsic wholes, where their identity is not reducible to their constituent parts. They are also **independent** (not dependent) as they can exist on their own. This classification and reasoning align with the notion of physical objects as fundamental entities in our everyday experience.	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	+U	+D	Predicate/Color term	Red is a predicate term that applies to objects (colors). It does not have rigidity as its essential properties are not fixed across all instances (e.g., shades of red). Its instances do not carry an identity condition as it is not an intrinsic property of objects (e.g., a red apple is not just red by definition). However, red is a unifying property as it applies to all objects that are red. Lastly, red is dependent on the objects it applies to as they need to have the physical properties of red coloration in order to be classified as red.	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	+O	+U	+D	Sortal	RedApple is a sortal (basic kind term) with rigidity (its color can be instantiated across different instances), carries its own global identity condition, is an intrinsic whole, and its existence depends on being a red apple. This classification is suitable for a basic kind term like 'RedApple' that inherently describes a specific property and attributes.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	-I	-O	+U	+D	Sortal/Role	SocialEntity is a sortal/role because it applies to a category of entities (e.g., organizations, groups, etc.) and its identity is not essential to individual instances. It is not an intrinsic whole, but rather a collection of entities that together form a social entity. Additionally, social entities depend on the relationships and interactions between their constituent parts to exist.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	~R	+I	-O	-U	+D	Sortal	Vertebrates are distinct taxonomic categories that are typically defined by a set of essential characteristics (e.g., possession of a backbone). This category is not fixed or rigid, as different species may exhibit variations. Vertebrates do have a shared identity as animals that belong to this category, but the concept of 'Vertebrate' does not supply its own global identity condition (hence -O). As they are often composed of multiple components (e.g., bones, organs, tissues), vertebrates are not necessarily intrinsic wholes (hence -U). Despite not being a self-contained unit, vertebrates do depend on other biological systems to exist and function, as they require a complex network of cells, tissues, and organs to function properly (hence +D).	
