term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	-O	+U	-D	Sortal	"""Butterfly"" is a natural kind representing a specific type of insect. It is essential to butterflies across all possible worlds, making it rigid (+R). It carries identity based on its intrinsic characteristics (rigid natural kinds do), indicating +I. It inherits its identity from being a butterfly itself, not supplying its own identity condition (-O). Butterflies are intrinsic wholes with specific body structures and behaviors (+U). They are independent in the sense that they can exist as individual butterflies without depending on other entities beyond their biological requirements (-D)."	
Red	http://example.org/guarino-messy#Red	-R	+I	-O	+U	-D	Property (Attribute)	"""Red"" is a color property. It is not rigid (-R) because an object can change from being red to another color while still being the same object. It carries identity (+I) through a specific color attribute but does not supply its own identity condition (-O); instead, the identity condition is primarily about the object itself rather than the color property. The property of being red applies to an intrinsic whole object (+U), meaning the redness is part of the object’s properties making up its unity. Finally, the redness of an object does not inherently depend on the existence of other objects, only on the material object itself existing under certain conditions (-D)."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Sortal	"""Food"" is a general categorization that includes any substance consumed to maintain the health and growth of living beings. Being food is not rigid (-R) because it can be applied to a wide variety of different substances, not all of which are essential across different contexts or possible worlds. It carries identity (+I) as being food is based on chemical and nutritional properties, but these properties do not individually define it; rather, the concept of ""food"" itself supplies an overarching identity condition. Food does not supply its own identity condition (-O), as the properties needed to classify something as food are more about biological utility rather than a unique identity condition. Food forms integral components or items that can stand as individual entities (+U), though they may also combine to form larger wholes such as meals. Finally, being part of the natural world, food intrinsically depends on natural processes and entities (-D) to exist and function."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Natural Kind	"""Animal"" is a natural kind representing biological organisms. It is rigid (+R) because something that is an animal is essentially an animal in all possible worlds where it exists - an animal cannot cease being an animal and remain the same entity. The identity of an animal is supplied by its own kind (+O), as being an animal provides the criteria that distinguish one animal from another. Animals have unity (+U) as they form intrinsic wholes with integrated parts. However, animals do not intrinsically depend on other entities to exist - they are independent substances (-D)."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Property	"""RedApple"" refers to an apple that is specifically of the color red. This term is used to describe a particular instance of an apple based on its color. An apple can be red, green, yellow, etc., and thus the property of being red is not essential to the identity of the apple in the sense that it does not uniquely define the apple in all contexts. The apple's identity is based on its being an apple, which is a natural kind, not just its color. Therefore, ""RedApple"" does not form an intrinsic whole in the same way a specific apple does, but rather it is a property related to a specific instance of apples. As a property, it does not rely on other entities beyond normal material constitution."	
Group	http://example.org/guarino-messy#Group	+R	+I	-O	+U	-D	Sortal	"A ""Group"" is a social or organizational kind, which can refer to people, animals, or other entities associated together. While groups are not rigidly tied to all instances in all possible worlds (as different groups could potentially exist in different configurations of members), the concept of grouping is essential and unchanging. Thus, it is considered rigid but in a more abstract sense. Groups are entities that carry explicit identity through their defined memberships or compositions (+I). They do not supply their own identity condition but rather derive their IC from the specific entities constituting them (-O). Organizations and groups as social constructs form intrinsic wholes and are thus unifying (+U). However, the existence of a group generally depends on the existence of its constituent members and the social contexts, indicating dependence (-D)."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" is a geopolitical entity that represents a sovereign state or nation. It is rigid (+R) because the concept of a country is essentially fixed across all possible worlds where it exists - a country cannot cease being a country and remain the same entity. It carries identity (+I) as countries have clear identity conditions based on territorial boundaries, sovereignty, and governmental structure. Since being a country itself defines its identity, it supplies its own identity condition (+O). Countries form an intrinsic whole with defined borders and unified governance structures (+U). A country does not intrinsically depend on other entities to exist as it can persist independently (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	-O	+U	-D	Property	"""AmountOfMatter"" refers to the quantity of matter present in a system or object. This is a measure that is not rigid (-R) because different amounts of matter can exist without changing the essential nature of the object. It carries identity (+I) in the sense that it specifies a measurable attribute, but it does not supply its own global Identity Condition (-O) as it is a property that quantifies rather than defines entities individually. Matter amounts form integral parts of objects, thus exhibiting unifying properties (+U). Amounts of matter can change independently without the object ceasing to exist (-D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	+D	Sortal	"""PhysicalObject"" is a sortal that denotes entities having physical properties such as mass, volume, etc. It is rigid (+R) because a physical object is an object in every possible world in which it exists. However, it does not carry its own identity condition but rather relies on specific features (like location, size, and composition) that might vary. Being a sortal, it ensures that instances are unifiers (+U) by constituting complete physical entities. It is dependent on certain material conditions for its existence (+D) since a physical object is made up of matter and requires those material components to exist."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	+U	-D	Sortal	"""GroupOfPeople"" refers to an aggregated collection of individuals sharing some common characteristic(s) or purpose. Its instances are not essential in all possible worlds (-R), as a group can disband or form differently. However, groups are unifying (+U), as a collective formed by individuals maintains some form of coherence or organization. The identity of a group often depends on its members and roles rather than inherent properties itself (+I), and thus it typically does not supply its own identity condition (-O). Groups exist dependent on their individual members, so groups are not independent (-D)."	
