term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is rigid because anything that is a butterfly is necessarily a butterfly in all possible worlds where it exists. A butterfly cannot cease to be a butterfly and become something else while maintaining its identity - it would simply cease to exist. The entity that was once a caterpillar and is now a butterfly is the same biological individual, but 'butterfly' refers to a specific life stage that, once reached, defines that organism as a butterfly. While the organism goes through metamorphosis (caterpillar → butterfly), these represent different identity conditions, not the same entity losing the property of being a butterfly. Once something is a butterfly, it remains a butterfly until it ceases to exist.	Butterfly carries an identity condition. Each butterfly is a distinct physical organism with spatio-temporal continuity throughout its lifecycle (from egg through larva, pupa, to adult). Individual butterflies can be distinguished and re-identified by their physical continuity, unique genetic makeup, and distinct location in space and time. Even if two butterflies of the same species appear identical, they remain numerically distinct individuals with clear identity conditions based on their biological and physical properties.	Butterfly supplies its own identity condition as a biological organism. A butterfly is individuated by its spatiotemporal continuity as a distinct physical organism with specific biological boundaries - the same criteria that apply to all living organisms at this taxonomic level. While it inherits the general concept of being a living thing, 'Butterfly' establishes its own complete identity criteria at the level of individual organisms (this particular butterfly vs. that particular butterfly), making it +O. Each butterfly maintains identity through its lifecycle as a discrete biological entity with clear physical boundaries.	A butterfly is a clear instance of an intrinsic whole with highly integrated parts forming a functional biological system. Its wings, body segments (head, thorax, abdomen), sensory organs, circulatory system, and nervous system are all interconnected components that work together as a unified organism. The parts maintain specific spatial and functional relationships necessary for the butterfly's survival and operation. A butterfly cannot lose arbitrary parts while remaining a butterfly - removal of essential components would destroy the organism. This tight mereological structure and functional integration make butterfly a unifying property.	A butterfly, once it exists as a fully developed organism, does not intrinsically depend on any other specific entity for its existence. While butterflies require environmental conditions (air, temperature) and resources (nectar, habitat) to survive, these are generic dependencies that apply to all physical organisms, not essential relationships to specific other entities. A butterfly is a complete, independent physical organism that can exist on its own merits. This differs from roles like 'Student' (which requires an educational institution) or relational entities like 'Parasite' (which requires a host). The butterfly's identity as a butterfly is not constituted by a relationship to another entity.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	Red is a non-rigid property because objects can gain or lose the property of being red without ceasing to exist. For example, a car can be painted from red to blue, an apple can ripen from green to red, or a shirt can fade from red to pink. The same individual object can exist both when it is red and when it is not red, meaning redness is not essential to any of its instances across all possible worlds.	Red does not carry an identity condition. There is no principled way to distinguish one instance of redness from another instance of redness, nor to re-identify the same instance of red over time. Red is a quality or property that can be instantiated by different objects, but the redness itself has no inherent identity criteria. We cannot ask 'is this the same red as before?' in a meaningful way without reference to the object that bears the color. Red represents a quale or attribute without independent identity conditions.	Red is a quality or property that characterizes objects (like 'red apple' or 'red car'). It does not supply its own identity condition. Red instances are not individuated by being red - rather, they are individuated through the objects they inhere in. A particular redness exists as dependent on a specific apple or car. The identity condition comes from the bearer object, not from the property of being red itself. Since Red was determined to be -I (does not carry identity), it cannot be +O (the constraint requires +O implies +I).	Red is a quality or property that can apply to arbitrary scattered objects without any requirement for mereological integration. A 'red thing' could be a single red apple, multiple disconnected red objects, or arbitrary red regions with no unified structure. The property itself does not impose any unity constraint on its bearers - red entities need not form wholes with integrated parts. They are merely things sharing the color property, regardless of their spatial or structural configuration.	Red is a property/quality that cannot exist independently. It must inhere in some bearer or substrate to exist - there must be something that is red (an object, a surface, a light). The color red has no independent existence apart from the entities that instantiate it. This makes it ontologically dependent on the particulars that bear this property.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Attribution (Non-rigid, no identity)	Food is non-rigid because something can become or cease to be food without changing its essential nature. A tomato can be food when intended for consumption, but the same physical object might not be food in other contexts (e.g., used for decoration, thrown away, or considered inedible due to spoilage). Similarly, an apple is still an apple whether it's classified as food or not. The property of being food is contingent and depends on factors like edibility, cultural norms, and intended use, rather than being essential to all instances in all possible worlds.	Food does not carry an inherent identity condition. While specific instances like 'this apple' or 'that loaf of bread' may be identifiable as physical objects, the property 'Food' itself does not provide criteria for distinguishing one instance of food from another across time and contexts. Food can be divided, combined, transformed, or consumed, and there is no principled way to determine when something remains 'the same food' versus 'different food' based solely on the property of being food. For example, if we mix two portions of soup, we cannot identify which portion is which, yet both remain food. The identity depends on the underlying physical objects or substances, not on the functional property of being edible/nutritious matter.	Food does not supply its own identity condition. Since the Identity analysis determined Food is -I (does not carry an identity condition), it cannot supply one either. Food items are identified by the identity conditions of more specific types (e.g., an apple is identified as a physical object, a meal is identified by its components and preparation). The concept 'Food' itself is a role or functional classification based on edibility and nutritional use, not a sortal that provides criteria for individuating and re-identifying instances. The IMPORTANT CONSTRAINT confirms: if +O then +I must be true, so since Food is -I, it must be -O.	Food is non-unifying because instances of food lack a unified mereological structure. A food item can be a whole apple (+U characteristics), a scattered collection of grapes (-U characteristics), or a completely disaggregated substance like flour or sugar (~U characteristics). The term 'food' refers to anything edible/nutritious regardless of whether it forms an integrated whole, has arbitrary boundaries, or is merely an aggregate. Since food can be portioned, combined, or scattered without losing its identity as food (a cup of rice remains food whether in a bowl or scattered), it does not carry intrinsic unity. The unity of any particular food instance depends on other factors (like being a biological organism or manufactured product), not on being food per se.	Food is independent. While food items may be produced from other entities (plants, animals) or consumed by organisms, instances of food do not intrinsically depend on other specific entities for their existence once they exist as food. A piece of bread, an apple, or a prepared meal exists as food regardless of whether there is currently someone to eat it or a specific source that produced it. The identity and existence of food as a physical substance is not contingent upon another entity's existence.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Animal is a rigid property because anything that is an animal is necessarily an animal in all possible worlds throughout its existence. An entity cannot cease to be an animal while continuing to exist - the property is essential to all instances. A dog cannot stop being an animal and become something else; it remains an animal for its entire existence. This is a fundamental ontological category that defines the very nature of its instances.	Animal carries a clear identity condition. Individual animals can be distinguished from one another and re-identified over time through biological criteria such as genetic makeup (DNA), continuous physical body, and spatio-temporal continuity. For example, a specific dog can be identified and tracked as the same individual throughout its lifetime, distinguished from all other dogs and animals through its unique biological constitution and physical continuity.	Animal supplies its own identity condition based on being a distinct biological organism with continuity through life processes, spatio-temporal trajectory, and biological individuation. It does not inherit this identity condition from a more general property - rather, it establishes the fundamental criterion for individuating one animal from another (distinct organisms with their own biological continuity). Subtypes like Dog or Cat will inherit this IC rather than supplying their own.	Animal instances are intrinsic wholes with integrated biological parts. Each animal possesses a unified biological organization where organs, tissues, and systems work together in coordinated fashion (circulatory, nervous, digestive systems, etc.). The parts are not arbitrarily grouped but functionally integrated through biological processes maintaining the organism's life. An animal maintains spatial and functional cohesion - removing parts compromises the whole's integrity. This clear mereological structure and systemic integration makes Animal a unifying property.	Animal is independent (-D). While individual animals may have relationships with other entities (such as ecosystems, food sources, or in some cases symbiotic partners), animals as a category do not intrinsically depend on any specific other entity for their existence. An animal instance exists as a complete entity in its own right - it is not defined by or existentially dependent upon another particular entity. The existence of an animal does not require the simultaneous existence of any specific other individual entity, unlike dependent entities such as Student (which requires an Educational Institution) or Employee (which requires an Employer).	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	RedApple is non-rigid because an instance can lose the property of being red while remaining the same apple. An apple can be green when unripe and become red when ripe, or a red apple can change color as it ages or decays. The entity continues to exist as an apple even when it's no longer red, demonstrating that 'being a RedApple' is not essential to all its instances across all possible worlds or temporal states.	RedApple carries an identity condition inherited from its base kind 'Apple'. A red apple is a physical object with spatio-temporal continuity - we can distinguish one red apple from another and re-identify the same red apple over time based on its physical boundaries, location, and material composition. While 'red' alone does not carry identity (-I), when combined with 'Apple' (which is a sortal kind with +I), the resulting concept RedApple maintains the identity condition of the apple itself. The redness is merely a contingent property of an identifiable physical object.	RedApple does not supply its own identity condition. It inherits its identity condition from more fundamental properties like 'Apple' or 'Physical Object'. The identity of a red apple (what makes this red apple the same red apple over time) is not determined by its redness, but by its underlying nature as a physical object/apple. The property 'red' is a quality that can change (an apple can ripen from green to red, or rot and lose its red color) without changing the identity of the apple itself. Therefore, RedApple relies on inherited identity conditions from more general properties rather than supplying its own.	RedApple inherits the unifying structure from Apple, which is a biological organism with integrated parts (skin, flesh, core, seeds, stem) that form a cohesive whole with clear mereological boundaries. The addition of the color property 'red' does not affect the underlying unity - it merely restricts the instances to those apples that are red. A red apple remains a functional, integrated biological entity with interdependent parts working together as an organic system.	RedApple instances do not intrinsically depend on other entities to exist. A red apple is a physical object that exists independently once it has come into being. While it may have originated from an apple tree and requires certain environmental conditions to form, once the red apple exists as a concrete individual, it does not necessarily depend on any specific other entity for its continued existence. It is a self-standing physical object, similar to other physical objects that maintain their identity independently.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	Group is a rigid property because anything that is a group is necessarily a group in all possible worlds where it exists. A group is defined by its fundamental nature as a collection or plurality of entities considered as a unit. While the membership of a group can change (gaining or losing members), and a group can cease to exist entirely, when something IS a group, it cannot lose the property of being a group while continuing to exist as the same entity. The groupness is essential to its identity - if it were to stop being a group, it would cease to exist as that particular entity altogether. This differs from contingent properties like 'populated group' or roles like 'winning team' which can be gained or lost.	Group carries an identity condition. A group can be distinguished and re-identified over time through its constitutive criteria - typically defined by membership rules, organizational structure, purpose, or social recognition. For example, a specific club, team, or organization maintains identity even as individual members join or leave. The group 'The Beatles' remains identifiable as the same group throughout its history despite changes in circumstances. Groups have clear identity conditions based on their founding principles, membership criteria, or social/legal recognition that allow us to track them as the same entity across time and possible worlds.	Group supplies its own identity condition. A group's identity is determined by its membership composition and organizational structure - what makes one group distinct from another is defined by who/what belongs to it and how it is organized. This is not inherited from a more general property but is intrinsic to the concept of Group itself. For example, 'The Beatles' is distinct from 'The Rolling Stones' based on their respective memberships, and this identity criterion is supplied by Group as a property, not borrowed from something more general. Since Group was determined to be +I and provides this identity condition itself, it is +O.	Group is the paradigmatic example of Anti-Unity. Instances of Group are strictly aggregates or collections of members without intrinsic integration or mereological structure binding the parts together. A group of people, for example, consists of independent individuals who remain separate entities - there is no unified whole with functionally integrated parts. The members can be spatially scattered, and their membership is typically based on external criteria (shared properties, purposes, or arbitrary selection) rather than intrinsic structural unity. This contrasts sharply with entities like 'Person' where organs and body parts form an integrated biological system.	A Group is independent because it can exist as an entity without intrinsically depending on any specific other entity. While a group necessarily consists of members, it does not depend on any particular member for its existence - members can join or leave while the group persists. The group's identity is carried by the collective structure rather than by dependence on specific external entities. For example, a club, committee, or organization continues to exist even as its membership changes over time.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	Country is a rigid property because any entity that is a country is necessarily a country in all possible worlds where it exists. While the borders, government, or name of a country may change, and countries can cease to exist or come into being, the fundamental nature of being a country (a sovereign political entity with territory and governance) is essential to its identity. An entity cannot be a country at one time and not a country at another while remaining the same entity - if France ceases to be a country, France itself ceases to exist as that entity. This is similar to 'Person' - the property is essential to all instances throughout their existence.	Country carries a strong identity condition. Countries can be distinguished and re-identified through multiple criteria including: internationally recognized borders and territory, sovereign governmental authority, diplomatic recognition by other states, and legal/political continuity. A country maintains its identity even when undergoing changes in government, population, or minor border adjustments. For example, France remains identifiable as the same country despite changes in regime, territory (loss of colonies), or population over centuries. The identity condition is grounded in geopolitical and legal frameworks that provide clear criteria for individuating one country from another.	Country supplies its own global identity condition based on spatiotemporal criteria (territorial boundaries, sovereignty, and temporal continuity of governance). A country is individuated by its geographic extent, political sovereignty, and government structure - these criteria originate with Country itself, not inherited from a more general property. While Country may be a subtype of 'Political Entity' or 'Geographic Region', it introduces its own specific identity criteria that distinguish one country from another (e.g., France vs. Germany are different countries by virtue of their distinct territorial sovereignty and governance systems). This satisfies +O since Country establishes the conditions by which individual countries are identified and distinguished.	Country is non-unifying because instances lack intrinsic mereological integration. While a country has parts (territories, institutions, citizens), these parts do not form a physically or functionally integrated whole in the way a biological organism or machine does. The boundaries are largely conventional and politically determined rather than based on natural unity. Parts of a country (regions, provinces) can exist relatively independently, and what counts as a 'part' versus what's essential to the whole is socially constructed. A country's identity persists despite significant changes to its territorial parts, population, or government structure, suggesting the unity is identity-based rather than based on integrated wholes.	Country instances are ontologically independent entities. While countries exist within geopolitical systems and have relationships with other countries, international organizations, and governments, they do not intrinsically depend on any specific other entity for their existence. A country can exist as a sovereign territorial entity even if its relationships with other entities change or cease. The essential properties that make something a country (territory, population, governance) are intrinsic to the entity itself rather than dependent on external entities.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	-D	Attribution or Quality	AmountOfMatter is rigid because anything that is an amount of matter is necessarily and essentially an amount of matter in all possible worlds where it exists. An amount of matter cannot cease to be an amount of matter while continuing to exist - if it exists, it must be matter with some quantity. The property is essential to all its instances: water molecules, gold atoms, or any portion of physical substance are inherently amounts of matter and cannot lose this characteristic without ceasing to exist as that entity. This differs from contingent properties like shape or location that matter can gain or lose.	AmountOfMatter does not carry an identity condition. There is no principled way to distinguish one amount of matter from another amount of matter with the same quantity and composition, nor can we re-identify a specific amount of matter over time as it can be divided, merged, or have its parts replaced without clear criteria for sameness. For example, if we have 5kg of water, we cannot distinguish 'this' 5kg from 'that' 5kg of water in any principled way, and if molecules are added or removed, there is no identity criterion to determine if it's still the 'same' amount. This is a classic example used by Guarino and Welty of a property that lacks identity conditions.	AmountOfMatter does not supply its own identity condition. As a quantifiable measure of matter, it is a dependent property that requires reference to the matter being measured for its identity. The identity condition must come from the substance or material being quantified (e.g., 'this water', 'this gold'), not from the amount itself. Since the Identity analysis determined this entity is -I (does not carry identity), it cannot be +O, as supplying an identity condition requires first carrying one. AmountOfMatter is a measure that describes matter rather than an entity type that provides its own criteria for individuation.	AmountOfMatter refers to a quantity of substance that lacks intrinsic mereological structure or unity criteria. The parts of an amount of matter are arbitrary - any portion of the matter constitutes another valid amount of matter. There is no principled way to distinguish what belongs to one amount versus another without external criteria (like spatial boundaries or containers). Unlike integrated wholes (e.g., organisms) that have essential structural relationships between parts, amounts of matter are homogeneous and can be arbitrarily divided or aggregated. This is similar to 'Amount of Water' which is a canonical example of -U in the literature.	AmountOfMatter is independent because instances of matter can exist without intrinsically depending on other specific entities. A quantity of matter (e.g., a portion of water, a mass of iron, or a volume of gas) exists in and of itself as a physical substance. While matter may participate in various relationships and interactions with other entities, it does not require the existence of any particular other entity for its own existence. The matter itself is self-sufficient and autonomous, making it existentially independent.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is rigid because anything that is a physical object is necessarily a physical object in all possible worlds where it exists. An entity cannot cease to be a physical object and continue to exist as the same entity - it would be a categorical impossibility for something to be a physical object at one time and not a physical object at another time while maintaining its identity. The property of being physical (having physical existence, occupying space, having mass) is essential to all instances of PhysicalObject across all possible worlds.	PhysicalObject carries an identity condition through spatio-temporal continuity. Each physical object can be distinguished from others and re-identified over time based on its continuous existence through space and time. A physical object occupies a specific location at any given moment and maintains its identity through its trajectory, even as its properties may change. For example, a chair remains the same chair over time despite changes in color or minor damage, because we can trace its continuous path through space-time.	PhysicalObject supplies its own identity condition based on spatiotemporal continuity and physical boundaries. A physical object can be traced through space and time, distinguished from other physical objects by its spatial extent and continuous existence. This is a fundamental, global identity criterion that is not inherited from any more general property - it IS the foundational level for physical entity identification. Examples like 'this rock' or 'that chair' derive their identity from the general principle that physical objects are individuated by their spatiotemporal properties.	PhysicalObject carries unity as instances are typically integrated wholes with spatiotemporally connected parts. A physical object maintains mereological structure where its parts are bound together by physical relationships (material composition, spatial contiguity, causal interactions). Examples like a rock, organism, or artifact exhibit intrinsic wholeness - their parts form a unified entity rather than arbitrary collections. While the boundaries of physical objects can sometimes be vague, the concept itself presupposes entities with integrated physical structure, distinguishing them from mere scattered aggregates or arbitrary sums of matter.	PhysicalObject is independent as instances do not intrinsically depend on other specific entities to exist. A physical object maintains its existence through its own physical properties and spatial occupation. While physical objects may have causal relationships with other entities (e.g., being created by something, interacting with other objects), they do not have essential existential dependence on particular other entities. Once instantiated, a physical object exists autonomously in space-time without requiring specific other entities for its continued existence.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	-D	Sortal (Rigid, supplies identity)	GroupOfPeople is rigid because any instance that is a group of people is necessarily a group of people in all possible worlds where it exists. The very identity of a group of people is constituted by being a collection/aggregate of people. If something ceases to be a group of people (e.g., all members leave or die), it ceases to exist as that entity rather than continuing to exist as something else. Unlike roles or phases that the same individual can enter and exit, a group of people cannot lose this property and remain the same entity - it would simply cease to exist or be a different group. The membership may change (depending on the identity criteria for groups), but whatever is classified as a GroupOfPeople is essentially so.	GroupOfPeople carries an identity condition. A group can be distinguished and re-identified based on its membership composition and organizational structure. Two groups are the same if they have the same members (or the same membership criteria for institutionalized groups). For example, 'The Beatles' remains identifiable as the same group through time based on its specific member composition (John, Paul, George, Ringo), even as the group evolves. The identity condition is derived from the collective identity of its constituent members and their relationship, allowing us to distinguish one group from another and track it over time.	GroupOfPeople supplies its own identity condition distinct from its constituent members. A group's identity is determined by its composition and organizing principle (e.g., 'the employees of Company X' or 'the members of Team Y'), not inherited from a more general property. Two groups are the same if and only if they have the same members under the same organizing criterion. This is different from the identity conditions of individual Persons (which are based on continuity of a physical/psychological entity) or other potential superclasses. Since GroupOfPeople carries identity (+I) and provides its own criterion for what makes one group the same as another group, it is +O.	GroupOfPeople is strictly anti-unity. Instances are mere aggregates or collections of individual persons without intrinsic integration. A group of people lacks the mereological unity found in integrated wholes - the members remain independent entities that can be arbitrarily added or removed. Unlike a person (which has biological integration) or a team (which might have organizational structure), a basic group is simply a sum of people with no inherent functional or structural cohesion binding them into a unified whole. The parts (people) are not integrated components of a larger system but rather discrete individuals that happen to be grouped together.	GroupOfPeople is independent because while it is composed of individual people, the group itself does not intrinsically depend on any specific external entity for its existence. The group depends on having members (people), but these members are intrinsic parts of the group rather than external entities it depends upon. Once formed, a GroupOfPeople exists as its own entity without requiring relationships to other external entities, unlike dependent concepts such as 'Employee' (which depends on an Employer) or 'Team' in a specific organizational context (which depends on an Organization).	
