term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	'Butterfly' is a rigid property (+R) because if an entity is classified as a butterfly, it is always a butterfly in all possible worlds where it exists. It carries an identity condition (+I) as each butterfly can be uniquely identified among other entities and can be distinguished by specific characteristics. It supplies its own identity condition (+O), meaning that it does not inherit identity conditions from a broader class without contributing distinct features. Butterflies represent a unified biological entity, thereby exhibiting unity (+U). Lastly, butterflies are independent beings (-D) because they do not rely on the existence of another specific entity to exist; they can exist on their own.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	~U	-D	Quality/Property	'Red' is a non-rigid property (-R) because an object can change its color and still exist as a distinct object (e.g., a red apple can become green). It does not carry an identity condition (+I) for individual instances because color is typically not used to identify separate objects. It also does not supply its own unique identity condition (-O). In terms of unity, 'Red' is anti-unifying (~U) since it can be applied to multiple objects without implying they are intrinsic wholes. Additionally, 'Red' is independent (-D) since it can exist in descriptions without necessitating a specific object (it can apply to various things).	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	+D	Role/Category	'Food' is a non-rigid property (-R) because what constitutes food can vary across contexts and cultures, and an entity may not always be classified as food (e.g., under certain conditions, some items may not be edible or may not qualify as food). It does have an identity condition (+I) because food items can be distinguished from one another (such as fruits, vegetables, proteins), but it does not supply its own unique identity condition for every possible type of food (-O) since identity conditions may be determined by broader categories. Food can be considered non-unifying (-U) as items categorized as food can vary widely and do not form intrinsic wholes; they are often aggregates of different components. Additionally, food items have a degree of dependence (+D) since they are typically reliant on other entities or organisms (such as plants or animals) for their production and existence.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	'Animal' is a rigid property (+R) because an entity classified as an animal remains an animal in all possible worlds; it is essential to its identity. It carries an identity condition (+I) that allows us to recognize and categorize individual instances of animals. It supplies its own identity condition (+O) in a typical biological taxonomy, distinguishing it from other life forms. Additionally, 'Animal' represents intrinsic wholes (+U) since each animal is a complete biological entity. Lastly, it is independent (-D) as it does not depend on the existence of another specific entity to exist.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	'RedApple' is a specific instance of an apple that includes the color attribute 'Red'. It is classified as non-rigid (-R) because it is possible for an apple to change color (for example, due to ripening or decay), yet it remains an apple. It carries an identity condition (+I) that allows it to be identified as a particular kind of fruit. However, it does not supply its own unique identity condition separate from being an apple (-O), as its identity is derived from the broader category of 'Apple'. 'RedApple' represents a whole (+U) since an apple as a fruit is an intrinsic object, and it is independent (-D), as it can exist without relying on the existence of another entity.	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	-U	+D	Mixin	'Group' is a non-rigid property (-R) because its membership can change over time; individuals can enter or leave a group while still retaining their individual identities. It does not carry a strict identity condition (+I) since the identity of the group can be affected by which members are included and the specific nature of the group. It also does not supply its own unique identity condition (-O) because its identity is based on the individuals within it. The instances of a group are not strictly wholes (-U) as they can be seen as aggregates of individuals or elements. Lastly, groups are dependent on their members for existence (+D) because a group cannot exist without at least one member.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	'Country' is a rigid property (+R) because it maintains its identity as a country across all possible worlds where it exists (if it exists as that entity). It carries its own identity condition (+I) and also supplies its own identity condition (+O), allowing it to be uniquely distinguishable from other entities. It exhibits unity (+U) as a country is considered an intrinsic whole with structured governance, populations, and territories. However, a country can be seen as dependent (+D) in some contexts when considering its relation to its citizens or international recognition.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Quantity/Measure	'AmountOfMatter' is a non-rigid property (-R) because it can vary based on changes in circumstances, such as being reconfigured into different forms. It does not carry a specific identity condition (+I) — an amount of matter can be counted or measured but does not provide a unique identity for its instances. It does not supply its own identity condition (-O); rather, the identity is dependent on the matter as a substance. In terms of unity, 'AmountOfMatter' can be seen as non-unifying (-U) as it does not necessarily represent a whole if the matter is dispersed. Lastly, it is dependent (+D) because the existence of an amount of matter relies on the existence of the substance itself.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal	'PhysicalObject' is a rigid property (+R) as it is essential for all instances that they are physical objects in all possible worlds. It carries identity (+I) because any given physical object can be identified uniquely. Since physical objects themselves do not produce unique identity conditions distinct from their nature, they typically do not supply their own identity condition (-O). They generally exhibit unity (+U) as physical objects are considered wholes. Physical objects are independent (-D) and do not require the existence of another specific entity to exist.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	-U	+D	Aggregate	'GroupOfPeople' is a non-rigid property (-R) as the composition of the group can change (people may leave or join) without affecting the essence of 'group'. It does not carry a unique identity condition of its own (-I) since its identity is largely dependent on its members rather than an intrinsic property. Furthermore, it does not supply its own identity condition (-O) because it relies on the identity of the individuals within it. In terms of unity, 'GroupOfPeople' is non-unifying (-U) since the individuals can be seen as separate entities rather than a single whole. The group is dependent (+D) because it inherently requires individuals to exist.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	-O	+U	-D	Type/Sortal	'LivingBeing' is a rigid property (+R) as any entity classified as a living being retains that classification across all possible worlds where it exists. It carries an identity condition (+I) because all living beings can be identified, but it may not necessarily supply its own identity condition separately from its subclasses (e.g., Animals, Plants) (-O). It has unity (+U) since living beings are seen as integrative wholes with complex biological systems. Furthermore, it is independent (-D), meaning that living beings can exist without dependence on any other specific entity.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	-O	-U	+D	Role	'SocialEntity' is a non-rigid property (-R) because it can refer to different entities (such as groups, organizations, or communities) that can change over time or may cease to exist without losing the label of being a social entity. It carries an identity condition (+I), as we can identify a social entity based on specific characteristics or structures. However, it does not supply its own identity condition distinct from its constituent members (-O), since its identity is derived from the relationships among those constituents. As a collective or group, it is non-unifying (-U) because a social entity can consist of multiple individuals, which may or may not form a coherent whole. Lastly, it is dependent (+D) on the relationships and interactions of its members to exist as a social entity.	
Location	http://example.org/guarino-messy#Location	-R	-I	-O	-U	+D	Role	'Location' is considered a non-rigid property (-R) because a location can change (such as a temporary place or a structure that is moved). It does not carry an intrinsic identity condition (+I) but rather relies on the context for identification (-I). Locations do not supply their own identity conditions, as they can be represented or defined by other entities or structures (-O). They can be seen as non-unifying (-U) because several different points or areas can combine to form aggregate locations without being a single whole. Additionally, locations are typically dependent (+D) on the existence of spatial or geographical frameworks to be defined or understood.	
Fruit	http://example.org/guarino-messy#Fruit	-R	+I	-O	+U	+D	Mixin	'Fruit' is a non-rigid property (-R) because it can apply to various entities that are classified as fruits in different contexts, and those entities can change (e.g., a fruit that is initially a peach can be considered a peach crumble as it transforms). It carries an identity condition (+I) since fruits can be identified by their characteristics, but it does not supply its own identity condition and typically derives it from a broader category like 'Plant Product' (-O). Fruits are generally seen as unifying entities since they are typically whole biological structures (+U). In terms of dependence, fruits are dependent on plants to exist (+D), as they cannot exist independently without being part of a plant.	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	-O	+U	-D	Substantial Sortal	'Ve vertebrate' is a rigid property (+R) because all entities classified as vertebrates are inherently vertebrates in all possible worlds; they cannot change their essential nature. It carries identity (+I) as vertebrates have unique identity conditions that differentiate them from other classifications in biology. However, while it does have an identity condition, 'vertebrate' typically does not supply its own unique global identity condition (-O) because it is a subcategory of 'Animal' and relies on that broader category for its identity. The instances of vertebrates are intrinsically wholes (+U), as each vertebrate is a distinct biological organism. It is also independent (-D) because vertebrates do not depend on the existence of any other specific entities to exist.	
Caterpillar	http://example.org/guarino-messy#Caterpillar	-R	+I	-O	+U	+D	Role/Stage	'Caterpillar' is a non-rigid property (-R) because it represents a life stage that is contingent upon the biological process of metamorphosis; a caterpillar can transform into a butterfly, thus ceasing to be a caterpillar while still being the same organism. It carries an identity condition (+I) based on its developmental stage, but does not supply its own identity condition separate from the organism as a whole (-O). It has unity (+U) since a caterpillar is considered an intrinsic whole during its life stage. Finally, it is dependent (+D) because a caterpillar's existence is reliant on belonging to a specific organism that will undergo metamorphosis.	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Type/Sortal	'Person' is a rigid property (+R) because if an entity is a person, it cannot cease to be a person without ceasing to exist. This rigidity denotes that its essential attributes are crucial for its identification across all possible worlds. It carries and supplies its own identity condition (+I, +O), allowing us to distinguish one person from another and re-identify them over time. It exhibits unity (+U) because a person is considered an intrinsic whole, characterized by a functional and organic structure. Lastly, it is independent (-D) since a person does not require the existence of another specific entity to exist.	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	-U	+D	Role	'LegalAgent' is non-rigid (~R) because it represents a role that can be filled by different individuals in different contexts (e.g., a person acting as an agent in a legal context, which might change over time). It carries an identity condition (+I), as we can identify a legal agent based on specific legal roles or statuses they embody but does not supply its own unique identity condition (-O), since its identity is dependent on a legal framework and the individual fulfilling that role. Legal agents do not necessarily represent intrinsic wholes (+U), as they can be construed as roles without being separate entities themselves. Legal agents also exhibit dependence (+D) because they require a legal system or context to exist and fulfill their role.	
Entity	http://example.org/guarino-messy#Entity	-R	-I	-O	-U	-D	General Type	'Entity' is a highly abstract term, often used to refer to any being or object that can be considered within an ontology. It is non-rigid (-R) because an entity can take on different forms or classes in different contexts or possible worlds. It does not have a specific identity condition of its own (-I) since the term 'entity' can refer to various specific things and lacks a unique defining characteristic without additional qualifiers. Consequently, it does not supply its own identity condition (-O). In terms of unity, an entity does not imply that all instances are intrinsic wholes (-U), as it may include aggregates or collections of entities. Additionally, the term is considered independent (-D) because an entity's existence does not depend on another specific entity to exist.	
Organization	http://example.org/guarino-messy#Organization	-R	+I	-O	+U	+D	Role/Collective Sortal	'Organization' is a non-rigid property (-R) because an entity can exist without being part of a specific organization and can be restructured or disbanded without ceasing to exist. It carries an identity condition (+I) because organizations have distinguishing features that allow for identification. However, it does not supply its own unique identity condition (-O) as it often depends on external frameworks or social constructs. Organizations are considered as wholes (+U) since they integrate various members and activities into a functional unit. Additionally, organizations are dependent (+D) because their existence often relies on the individuals that constitute them and their relationships.	
Agent	http://example.org/guarino-messy#Agent	-R	+I	-O	+U	-D	Role	'Agent' is classified as a non-rigid property (-R) because an agent (an entity that acts) may not always be acting or may not fulfill the role of an agent in every possible world or context. It carries an identity condition (+I) since we can identify actions attributed to specific agents. However, it does not provide its own global identity condition, as it often depends on the context or the role played (-O). While the instances of agents are usually considered to be integral units that can act in various situations, they are fundamentally seen as roles that engage in actions, which leads us to consider them unity (+U) in specific contexts. Agents can exist independently of particular situations or contexts in which they act (-D).	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal/Type	'Apple' is a rigid property (+R) because an entity that is classified as an apple is always an apple in all possible worlds. It has a clear identity condition (+I) that helps in distinguishing one apple from another. As a type of fruit, it supplies its own unique identity condition (+O). Apples are considered unifying entities (+U) since they represent a whole fruit rather than merely a collection of parts. Finally, apples are independent (-D) as they can exist alone without relying on other specific entities for their existence.	
