term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a biological kind - a specific life stage (adult form) of certain insects in the order Lepidoptera. As a natural kind, it carries essential properties: something is a butterfly in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (species membership, developmental stage). Instances are intrinsic wholes (complete organisms with functional unity). Butterflies are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
Red	http://example.org/guarino-messy#Red	~R	+I	-O	-U	-D	Color	"""Red"" is a color property that is essential to some objects (e.g., apples, roses) but not to others (e.g., rocks, water). It is not a universal property that applies to all objects in all possible worlds, so it is Anti-Rigid (~R). As a color, it carries an identity condition based on its properties (wavelength, reflectance). However, it does not supply its own identity condition (-O) since its identity comes from its physical properties, not from itself. It is not an intrinsic whole (+U) as colors can be applied to various objects, and it is not independent (-D) as colors depend on the physical properties of the objects they describe."	
Food	http://example.org/guarino-messy#Food	-D	-I	-O	-U	-D	Sortal (Category)	"""Food"" is a general term that encompasses a wide range of substances that serve as a source of nutrition. It does not carry an essential identity condition, as different substances can be considered food in different contexts. However, it is a sortal (category) that provides a common identity for entities that share the property of being edible. Food instances are not unified wholes, as they can be composed of multiple components (e.g., a sandwich is composed of bread, meat, and vegetables). Food entities do not intrinsically depend on other entities to exist, as they can be produced, stored, and consumed independently."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Category	"""Animal"" is a broad category that encompasses a wide range of living organisms, from simple sponges to complex mammals. As a category, it carries essential properties: something is an animal in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (breeding, nervous system, etc.). Instances are intrinsic wholes (complete organisms with functional unity). Animals are generally independent entities that don't intrinsically depend on other individuals to exist, though they may depend on their environment and other organisms for survival."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" is a phase-like property that combines a sortal (Apple) with a contingent quality (Red). An apple can be red at one time and turn green or yellow at another time while remaining the same apple. The property ""being red"" is not essential to being that particular apple - it's a temporary state. Therefore, RedApple is Anti-Rigid (~R). As a restriction of the sortal ""Apple"", it inherits the identity condition from Apple (+I), but does not supply its own identity condition (-O) since the identity comes from being an apple, not from being red. It maintains unity (+U) as apples are intrinsic wholes. It is independent (-D) as red apples don't intrinsically depend on other entities to exist."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	+U	-D	Sortal	"""Group"" is a term that can refer to various types of collections of entities, such as social groups, sets, or teams. In this context, it's a sortal that can be instantiated in multiple ways, and the instances of ""Group"" can vary in their properties and characteristics. This suggests non-rigidity. However, as a general term, ""Group"" carries identity criteria based on its instances (e.g., shared characteristics, common goals). It does not supply its own identity condition, as the identity comes from being a group, not from any inherent property of the group itself. Groups are typically considered intrinsic wholes (+U), as they are often seen as unified entities with a shared identity. They can be independent (-D) in the sense that they can exist without relying on external factors to maintain their structure."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" is a sortal (a category of entities) that refers to a geographical region with defined borders, government, and population. It carries essential properties: something is a country in all possible worlds where it exists as such. It provides its own identity condition based on geographical and political criteria (territory, governance, population). Instances are intrinsic wholes (complete entities with a defined territory). Countries are independent entities that don't intrinsically depend on other entities to exist, though they may have dependencies on other countries for various reasons."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-D	+I	-O	-U	-D	Measure	"""AmountOfMatter"" is a measure of the quantity of matter in a given entity, such as a substance or a system. It is a quantitative property that can be measured and quantified. As a measure of quantity, it is not essential to the existence of the entity itself, but rather a characteristic of it. Therefore, AmountOfMatter is Non-Rigid (-R). It carries an identity condition based on the entity's intrinsic properties (+I), but does not supply its own identity condition (-O). Instances of AmountOfMatter are not necessarily wholes, as it can be a property of different entities, and it does not intrinsically depend on other entities to exist (-D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	+I	-O	-U	-D	Category	"""PhysicalObject"" is a broad category that encompasses a wide range of entities, including but not limited to, inanimate objects, living organisms, and abstract concepts. As a category, it is not rigid, as not all instances of PhysicalObject are essential to all possible worlds (e.g., a chair is a PhysicalObject, but a chair is not a necessary condition for being a PhysicalObject). It carries an identity condition based on its instances (being a specific entity with a set of properties), but it does not supply its own identity condition. PhysicalObjects are not necessarily wholes, as they can be composed of multiple parts. They are independent entities that do not intrinsically depend on other entities to exist."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	-U	-D	Role	"""GroupOfPeople"" is a role or a category that refers to a collection of individuals. It does not have essential properties that define it across all possible worlds, as the individuals within the group can change over time. This suggests non-rigidity. As a role, it inherits the identity condition from its instances (the individuals within the group), but does not supply its own identity condition (-O). GroupOfPeople instances are not necessarily wholes, but rather aggregates of individuals, so they are not unified (+U). The instances of GroupOfPeople do not intrinsically depend on other entities to exist, as they can exist independently (-D)."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	-R	+I	+O	+U	-D	Sortal	"""LivingBeing"" is a broad category that encompasses various entities with the common trait of being alive. It is a sortal that carries essential properties: something is a living being in all possible worlds where it exists as such. However, the property of being alive is not unique to LivingBeing, as it can be shared with other entities like plants and microorganisms. Therefore, LivingBeing is Non-Rigid (-R). It carries an identity condition based on biological criteria (breathing, metabolism, growth, reproduction). LivingBeing supplies its own identity condition (+O), as it is a specific category that defines its members. Instances of LivingBeing are intrinsic wholes (+U), as they are complete entities with a unified structure. They are not dependent on external entities to exist (-D), as they can sustain themselves through internal processes."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	+I	+O	-U	+D	Role	"""SocialEntity"" is a role or function that can be instantiated by various entities, such as organizations, groups, or individuals. It is not a natural kind, but rather a functional category. As a role, it is not essential to all instances in all possible worlds, making it Non-Rigid (~R). However, it carries an identity condition based on its functional criteria (being a social entity with a specific structure and purpose). It supplies its own identity condition (+O), as it defines what it means to be a social entity. Instances of social entities are not necessarily wholes, but rather complex systems composed of multiple parts. They are Dependent (+D) on their constituent parts and the social context in which they exist."	
Location	http://example.org/guarino-messy#Location	+R	+I	-O	-U	-D	Sortal	"""Location"" is a concept that refers to a place or position in space. It is a sortal (a category of entities) that can be instantiated by various entities (e.g., cities, countries, points in space). As a sortal, Location carries an identity condition based on its instances (being a specific place). However, it does not supply its own identity condition, as its identity comes from being a location, not from being a specific instance. Locations are not necessarily wholes (intrinsic entities), but rather can be thought of as abstract concepts. They do not intrinsically depend on other entities to exist, as they can be thought of as existing independently of physical objects."	
Fruit	http://example.org/guarino-messy#Fruit	-R	+I	-O	+U	-D	Sortal (Natural Kind)	"""Fruit"" is a sortal that encompasses a variety of entities, including apples, bananas, and oranges. It is a natural kind that carries essential properties: something is a fruit in all possible worlds where it exists as such. However, the property of being a fruit is not rigid, as different entities can be classified as fruits while still being different from one another. The property of being a fruit inherits its identity condition from its instances, but does not supply its own identity condition. Fruits are intrinsic wholes, maintaining unity. They are independent entities that don't intrinsically depend on other entities to exist."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Vertebrate"" is a sortal that categorizes entities based on a set of essential properties (backbone, vertebral column, etc.). As a natural kind, it carries essential properties: something is a vertebrate in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (morphological and anatomical characteristics). Instances are intrinsic wholes (complete organisms with functional unity). Vertebrates are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
