term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	An emotion process is a rigid property because if an entity is an emotion process (e.g., a specific instance of anger or joy following a physical/cognitive trigger), it cannot cease to be an emotion process and remain the same entity. Its identity is fundamentally defined by its nature as a process within the emotional domain.	As a process, an 'emotion process' carries identity conditions typically based on its spatio-temporal boundaries, the specific biological or psychological subject experiencing it, and its causal history (e.g., a specific stimulus triggering a distinct sequence of states).	As a specific type of process, 'emotion process' supplies its own identity conditions based on its unique temporal parts, physiological triggers, and subjective experiences that distinguish it from other types of processes (like mechanical or purely biological ones) within the same category.	An emotion process has functional unity and a clear mereological structure encompassing physiological, cognitive, and behavioral components that are integrated as a specific temporal whole. If any part of the process were removed or arbitrarily separated, it would no longer constitute the specific instance of that emotional event.	An emotion process is externally dependent because it necessarily requires a subject (a sentient being or agent) to experience or undergo the process; the process cannot exist in isolation without being tied to an instantiating organism.	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	+R	-I	-O	-U	+D	Attribution or Quality	A phenomenal cognitive experience (a 'qualia' or specific instance of subjective awareness) is essentially what it is; if it were not a phenomenal cognitive experience, it would not exist. An instance of an experience cannot cease to be an experience and still maintain its identity as that specific entity.	Phenomenal cognitive experience is a non-sortal property; while we can identify the subject having the experience, there is no inherent identity condition or principled 'rho' relation to distinguish or re-identify one specific experience instance as being 'identical' to another across different times or contexts.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O). According to the methodology, +O implies +I and +R; a property with no global identity criteria to carry cannot be the source of such criteria.	A phenomenal cognitive experience (a 'qualia') does not inherently possess a clear mereological structure or a way to distinguish its parts from the rest of the world via a unifying relation like physical objects. While it is an occurrence, it is not an intrinsic whole in the sense of having a consistent, rule-based topological or functional integration of parts.	Phenomenal cognitive experience is externally dependent on a conscious subject or cognizer; an experience cannot exist in isolation without an entity to undergo or host that experience.	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	+R	-I	-O	-U	+D	Attribution or Quality	An emotional experience (or feeling) is rigid because, according to its ontological nature, it cannot cease to be an emotional experience without ceasing to exist. Unlike a person who can stop being a student, a feeling cannot 'stop' being a feeling and become something else through change.	An emotional experience is a non-sortal property. While it can be felt or described, it lacks a principled, global identity condition (IC) that allows us to distinguish one instance of 'feeling' from another in a diachronic sense or to re-identify the exact same feeling over time as a unique individual entity.	Since the entity is classified as -I (does not carry an identity condition), it cannot supply one by definition (+O implies +I). Generic properties like feelings lack the synchronic and diachronic identity conditions necessary to uniquely identify a single instance across time or distinguish it globally from others.	While an emotional experience can be a distinct mental event, it lacks a common, intrinsic mereological structure or equivalence relation that binds its parts across all instances. Unlike a biological organism (+U) or an aggregate (~U), an experience's unity is often subjective or temporal rather than determined by a universal physical or functional connection of parts.	An emotional experience is externally dependent on a sentient being (subject) to experience it. Feelings do not exist as independent entities in the world; they necessarily require the existence of an experiencer which is not a part of the feeling itself.	
Neca860de78764ceb82772abbac75486f	Neca860de78764ceb82772abbac75486f	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	Neca860de78764ceb82772abbac75486f is a rigid property because it identifies a specific entity where being that entity is essential to its existence; it cannot cease to be itself without ceasing to exist.	As a specific, uniquely identified entity or term within a dataset (indicated by the hexadecimal UID), it satisfies the requirement of being a sortal. It provides a principled way to distinguish its instance from others and maintain identity across time/descriptions through its unique identifier.	This term (Neca860de78764ceb82772abbac75486f) represents a unique entity identifier which, in the context of this conceptualization, supplies its own global identity condition as a rigid property, rather than inheriting identity from a more general sortal.	As a system-generated alphanumeric identifier or abstract term, it lacks an intrinsic mereological structure or a generalized connection relation (topological, morphological, or functional) that would define its instances as integrated wholes.	The term provided is a random hexadecimal hash (Neca860de78764ceb82772abbac75486f). As a unique string or data identifier, it is self-contained and does not logically require the necessary existence of another distinct entity (like a teacher or a host) to exist in a conceptual model.	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	+R	-I	-O	-U	+D	Attribution or Quality	As a process, an instance of 'anxiety process' is defined by its temporal extension and nature; if an entity is an anxiety process, it cannot cease to be one without ceasing to exist as that specific entity. It does not act as a role or phase that an individual entity moves in and out of while maintaining a consistent identity.	As a process, 'anxiety' represents a continuous state or activity rather than a discrete entity. It lacks a specific, necessary, and sufficient identity condition (IC) that would allow for the principled re-identification of one specific 'anxiety' instance versus another across time, making it a non-sortal property.	Since the entity was previously determined to be -I (not carrying an identity condition), it cannot fulfill the requirements for +O, as supplying an identity condition (+O) logically necessitates carrying one (+I).	As a process, anxiety lacks an inherent equivalence relation that binds its temporal and experiential parts into a definitive intrinsic whole. While it has a start and end, its instances do not possess a uniform morphological or topological structure that applies across all occurrences.	As a process, anxiety is externally dependent on a sentient agent (host) that undergoes or experiences it. An anxiety process cannot exist in isolation; it necessarily requires the existence of a biological or cognitive entity as its bearer.	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	+R	-I	-O	+U	+D	Attribution or Quality	A fear process is a specific type of occurrent or process. Under formal ontological analysis, if a particular occurrence is a fear process, it cannot cease to be a fear process without ceasing to exist as that specific event; it is essential to the identity of the process itself throughout its duration.	A 'fear process' refers to a series of psychological or physiological events that lacks a specific, formal identity condition (IC) for distinguishing one instance from another over time or providing a principled way to determine if two observers are witnessing the same unique process instance.	Since the entity is characterized as -I (not carrying an identity condition), it is logically impossible for it to supply an identity condition (+O), as supplying an identity condition requires both carrying one and being a rigid property.	A fear process is a functional whole consisting of a coordinated sequence of neurological, physiological, and cognitive events. Its parts are integrated through a specific causal and temporal structure required for the process to be recognized as a single, unified instance of 'fear'.	A fear process is externally dependent because it cannot exist in isolation; it necessarily requires a sentient being (the experiencer) to undergo the process and a stimulus (the object of fear) to trigger it.	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	+R	-I	-O	-U	+D	Attribution or Quality	Sensory experience is a rigid property because if an entity (an event or mental state) is a sensory experience, it could not exist without being one. It is essential to the identity of the instance itself; once the experience ceases to be sensory, that specific instance no longer exists.	Sensory experience is a property (often a sensation like 'pain' or 'redness') that lacks a principled, intrinsic identity condition for distinguishing one instance of the experience from another across different observers or times. While the experiencer (a Person) carries identity (+I), the experience itself does not supply its own global criteria for re-identification or individuation.	Since the entity was determined to be -I (meaning it does not carry an identity condition or is not a sortal), it cannot logically supply its own identity condition (+O), as supplying a condition requires at least carrying one.	Sensory experiences lack a consistent, inherent mereological unity across all instances. While an individual experience may feel integrated, the property itself includes fragmented, overlapping, or continuous phenomena (like hearing a background noise) that do not possess a single, predefined equivalence relation binding their parts into a discrete intrinsic whole.	Sensory experience is externally dependent because it necessarily requires a sentient subject (an observer or experiencer) to exist. One cannot have a sensory experience without an entity capable of undergoing that experience.	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	A motoric response to emotion is a transient event or state. An instance of a physical movement (like a facial muscle contraction or a hand gesture) is not essentially a 'response to emotion'; it is categorized as such only due to its causal context. The same physical instance could have occurred as a different kind of reflex or voluntary action, and the entity itself (the movement) exists contingently within this role.	A motoric response to emotion is a phase or occurrent property rather than a sortal with its own intrinsic identity condition. While specific physical movements can be observed, the category lacks a principled, global identity condition (like fingerprints for a person) to re-identify the same 'response' across different temporal contexts or distinguish it solely through a unique identifier inherent to the property itself.	Since the entity is determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O). Only rigid properties that establish unique global identity for their instances are +O.	A motoric response to emotion describes an occurrent event or property that lacks an intrinsic equivalence relation defining a single 'whole'. It can manifest as a single reflex (a blink) or a complex series of actions (a dance), and there is no single unifying relation (omega) that defines the boundaries of its parts across all instances.	A motoric response to emotion is externally dependent as it cannot exist without an instance of an underlying emotion (the stimulus) which acts as its trigger and defining context; the response is intrinsically tied to the existence of an emotional state.	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	+R	-I	-O	+U	+D	Attribution or Quality	A psychophysiological response to emotion is defined by its ontological nature as a specific biological event or state; any instance of this response could not exist without being such a response. If the physiological state changed into something that no longer responded to emotion, the original entity would cease to exist.	A psychophysiological response to emotion (such as increased heart rate or skin conductance) does not carry its own identity condition. It is a cluster of properties or events where instances are typically individuated by the entity experiencing them or the emotion they are associated with, rather than by a unique, intrinsic identity criterion that allows for re-identification cross-contextually as the 'same' response.	Since the entity is analyzed as -I (does not carry an identity condition), it cannot supply its own identity condition (+O). By definition, supplying an identity condition (+O) implies both carrying one (+I) and being rigid (+R).	A psychophysiological response to emotion is considered a functional whole (intrinsic whole), as it consists of a specific, integrated set of biological and cognitive parts (e.g., heart rate changes, hormonal shifts, and subjective experience) which are bound together by a causal/functional relationship to form a singular response event.	A psychophysiological response to emotion is externally dependent on the existence of an emotional state; the response cannot exist or be defined without being triggered by or associated with an emotion.	
N80a578e3496f4e1182ac6c3d1ea0e637	N80a578e3496f4e1182ac6c3d1ea0e637	+R	+I	-O	-U	-D	Sortal (Rigid, carries identity)	The identifier refers to a specific instance or a rigid type within an ontological framework. Since we assume properties representing fundamental types (like biological taxa or physical object classes) in such datasets are essential to their instances, any instance that belongs to this class cannot cease to be it without losing its identity.	This term appears to be a globally unique identifier (UUID/hash); by its nature, it carries an inherent identity condition that allows for the unique re-identification and differentiation of the specific entity it represents within a digital or taxonomic system.	The term N80a578e3496f4e1182ac6c3d1ea0e637 appears to be a specific identifier (like a hash or GUID); as a property, it functions as a unique identifier themselves or represents a specific instance of a data-entity class (like 'ID'), thereby inheriting its identity conditions from a more general rigid type rather than supplying a new global criterion for distinguishing entities.	The term is an opaque alphanumeric identifier. As an arbitrary data label or pointer, it lacks an intrinsic, integrated structure or a specific unifying relation (topological, morphological, or functional) that would define its instances as wholes or anti-wholes.	The term is an opaque alphanumeric identifier commonly used for instances in technical data structures. As an abstract individual identifier, it does not intrinsically imply an external notional dependence on another separate entity to exist, unlike relational roles such as 'Student' or 'Parent'.	
Nae714c04acf4420ca8eb4b700d0d0460	Nae714c04acf4420ca8eb4b700d0d0460	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	Nae714c04acf4420ca8eb4b700d0d0460 appears to be a unique, persistent identifier (such as a hash or UUID) for a specific entity. Since an entity cannot transition out of being its own unique technical identity or instance definition without ceasing to be that specific individual, the property is essential to it in all possible worlds.	As a specific instance identifier (a UUID or hash-based ID), this term represents a unique individual entity. In conceptual modeling, such identifiers carry an identity condition because they refer to a distinct, re-identifiable instance that is separable from other instances within the same domain.	As a specific, uniquely identified individual entity, this instance supplies its own identity condition via its globally unique identifier. In ontological modeling, such singleton or specific identifiers provide the global condition for identity that is not simply inherited from a broader class like Person or Object.	The term provided appears to be a synthetic identifier or hexadecimal hash; as an abstract string or unique identifier, it does not specify a natural category or physical type that imposes a specific unifying relation (omega) on its instances or parts.	The provided term is an abstract, opaque alphanumeric identifier (a technical tag). As a unique identifier, its identity and existence are intrinsic to its own definition and representation within a data system; it does not require the necessary existence of an external entity (that is not a part or constituent of itself) to satisfy its ontological definition.	
sweat secretion response to emotion	http://purl.bioontology.org/ontology/EMRO/0000008	+R	-I	-O	-U	+D	Attribution or Quality	As a biological process/occurrence, any instance of this specific response is essentially that response. A physiological event cannot cease to be the type of event it is (a sweat secretion response) without losing its identity as that specific occurrence.	A physiological response or process like a sweat secretion lacks a principled identity condition to distinguish or re-identify one specific instance from another over time or across different emotional triggers. It is viewed as an occurrence or property that is undergone rather than a sortal entity with distinct identity criteria.	Since the entity is -I (does not carry an identity condition), it cannot possibly supply one (+O). To supply an identity condition (+O), a property must first necessarily carry one and be rigid.	A physiological response like sweat secretion is a process or event. While it entails a series of causal steps, it lacks a specific mereological structure or a formal unity condition (omega) that defines it as an intrinsic whole. Its boundaries are defined by duration and intensity rather than a self-connected integration of internal parts.	The term represents a physiological process or response, which is inherently dependent on the existence of an organism's nervous system and an emotional stimulus. It cannot exist as an independent entity.	
positive emotional valence	http://purl.bioontology.org/ontology/EMRO/0000009	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	The property describes a state (valence) on a continuum. While an emotion or experience might be essentially 'positive' for its duration, the entities experiencing these states (such as a person or a mental state) do not necessarily possess positive valence in all possible worlds; they can transition to neutral or negative states. It is not ~R (anti-rigid) because certain specific types of experiences might be defined by their pleasantness.	Positive emotional valence is a quality or attribute rather than a sortal; it does not provide a principled identity condition or relation (rho) to distinguish one instance of 'positive valence' from another or to re-identify it over time independently of the subject experiencing it.	Since the entity is characterized as -I (not carrying an identity condition), it cannot supply its own identity condition (+O). Only rigid properties that establish global identity criteria can be marked as +O.	Positive emotional valence is a qualitative property or value on a continuum rather than a discrete entity with physical, topological, or functional boundaries that define a whole. It lacks a unifying relation that binds parts together into a singular intrinsic whole.	A positive emotional valence is an external notional dependent property because it cannot exist without an emotional state or an appraisal to characterize; it is a quality that must be instantiated by a 'bearer' (the emotion or the subject experiencing it) and cannot exist independently as a standalone entity.	
muscle tension response to emotion	http://purl.bioontology.org/ontology/EMRO/0000010	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Muscle tension response to emotion is a contingent state or phase of a muscle and the emotional system. An instance of muscle (or a specific physiological process) does not necessarily have to be in a state of 'response to emotion' to exist; it can move in and out of this state without losing its identity.	Muscle tension response is a qualitative state or occurrent that lacks its own internal Identity Condition (IC). While instances can be observed, there is no principled, objective criterion (like a unique ID or spatio-temporal boundary) to distinguish one specific instance of 'tension response' from another over time without referring back to the specific muscles or the person providing the identity.	Since the entity is -I (does not carry an identity condition), it cannot supply its own identity condition (+O). Supplying an identity condition logically requires the property to first carry one and be rigid.	Muscle tension response to emotion is a physiological state or process rather than an intrinsic whole. While it involves coordinated biological parts, the property itself (the response) does not carry a specific, unique condition of unity that defines all its instances as discrete, integrated wholes with fixed boundaries.	Muscle tension response to emotion is externally dependent on both a physiological muscle system and a specific emotional state or stimulus; the response cannot exist without the emotion that triggers and sustains it.	
increased heart response to emotion	http://purl.bioontology.org/ontology/EMRO/0000011	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	This property represents a contingent physiological state or specific reaction. An entity (such as a person) can experience an increased heart response to emotion and then cease to experience it while remaining the same individual; therefore, it is an optional property for all its instances.	This term describes a manifestation or occurrence related to a physiological state rather than a discrete entity. It lack a unique global identity condition (IC) to distinguish one instance of 'increased heart response' from another over time or across different emotional events without referring to the specific individual or heart involved.	Since the entity is labeled -I (does not carry an identity condition), it cannot provide its own identity condition (+O). Supplying an identity condition requires the property to first be rigid and carry identity (+I), but this term represents a temporary state or qualitative change that lacks a discrete criterion for individuation.	This term represents a physiological state or property change rather than a discrete physical or functional whole. While it occurs within a biological system, the 'response' itself lacks a unified mereological structure or a specific relation that binds disparate parts into a standalone intrinsic whole.	This term represents a state or quality that cannot exist in isolation; it is notionally and externally dependent on both a specific anatomical part (a heart) and a psychological/physiological stimulus (emotion) to occur.	
increased breathing rate response to emotion	http://purl.bioontology.org/ontology/EMRO/0000012	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	This term describes a contingent state or role of a physiological process. An instance of a breathing rate can be 'increased' at one time and 'normal' at another while maintaining its identity as the same biological process. Because instances are not necessarily increased for their entire existence, it is anti-rigid.	Increased breathing rate is a process or state change. While we can detect and measure it, the property itself does not provide a principled identity condition to distinguish or re-identify one instance of 'increased breathing' from another over time or across different emotional triggers; it lacks the sortal identity required for +I.	Since the entity is identified as -I (not carrying an identity condition), it is logically impossible for it to supply its own identity condition (+O), as providing an IC requires the property to first carry one and be rigid.	A physiological response like an 'increased breathing rate' is a process or state change. While it is associated with a biological whole, the response itself lacks a definitive mereological boundary or a unifying relation that binds its 'parts' into an intrinsic whole. It is better characterized as a property or event rather than a discrete entity with Unity.	This entity is a physiological response that is externally dependent on a specific emotion. It cannot exist or be defined without the presence of the emotional state that triggers it.	
cognitive response to emotion	http://purl.bioontology.org/ontology/EMRO/0000013	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	A 'cognitive response to emotion' is a phase or state-based property of a cognitive process. An instance of cognition is not necessarily a response to emotion at all times; it can exist as a neutral or different type of mental act before or after becoming a response to an emotional stimulus.	A 'cognitive response to emotion' is a non-sortal property that describes a process or characteristic rather than providing a principled identity condition for its instances. It lacks a specific, necessary, and sufficient global criteria (like a fingerprint or spatio-temporal continuity) to uniquely identify or distinguish one instance of a response from another over time without referring to the specific individual or event it is attached to.	Since the entity is already determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O). Only rigid properties that establish unique criteria for distinguishing their instances from all others can be +O.	A 'cognitive response to emotion' is an occurrent process or abstract property that lacks a consistent, intrinsic mereological structure defining it as a singular whole. While it may have temporal parts, it does not possess a unifying relation (topological, morphological, or functional) that binds its components into a discrete, intrinsic whole across all instances.	A cognitive response to emotion is externally dependent as it cannot exist without an instance of an emotion to serve as the stimulus or subject of the response. Since the response is a reaction to the emotion, it requires the existence of that emotion, which is not a part nor a constituent of the response itself.	
cognitive appraisal process	http://purl.bioontology.org/ontology/EMRO/0000014	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	A cognitive appraisal process is a rigid property because it is defined by its internal structure and function; an instance of such a process cannot cease to be an appraisal process while remaining the same individual event. If the process no longer involved the evaluation of a stimulus, it would not exist as that specific entity.	As a specific psychological process, it carries an identity condition through spatio-temporal continuity within a single cognitive agent and its causal links to specific stimuli and subsequent emotional or behavioral responses, allowing it to be distinguished from other instances of processing.	A cognitive appraisal process supplies its own identity conditions as a distinct kind of psychological occurrence. It is defined by its specific inputs (stimuli), internal mechanisms (evaluation criteria), and specific outputs (emotional or behavioral readiness), which distinguish it from other types of cognitive or physical processes rather than simply inheriting identity from a more general class.	A cognitive appraisal process is a functional whole consisting of interdependent sub-processes (e.g., evaluation of significance, coping potential) that must operate as an integrated system to constitute a single, complete process.	A cognitive appraisal process is externally dependent on a sentient agent (subject) and a specific stimulus or event (object) to occur; it cannot exist as an independent entity without the interaction between an experiencer and an appraised situation.	
syncope response to emotion	http://purl.bioontology.org/ontology/EMRO/0000015	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	A 'syncope response to emotion' is a physiological event or phase that occurs to an organism; it is not essential to the identity of the individual. Since any instance (a person or entity) that experiences this response can exist without undergoing this specific physiological state, and the property defines a contingent role or state of being, it is classified as anti-rigid.	The term represents a medical event or symptom rather than a sortal entity. While it is an occurrence that can be described, it lacks an inherent identity condition (IC) that allows for precise diachronic or synchronic individuation. We do not have a principled way to determine if 'this' response to emotion is the same as 'another' except by referring to the identity of the person experiencing it (+I) or the specific clinical event (+I), making the property itself -I.	Since the entity is characterized as -I (not carrying an identity condition), it cannot supply its own identity condition (+O), as providing an IC logically requires carrying one.	As a medical physiological response or behavioral process, syncope does not possess a single intrinsic unity condition or integrated mereological structure where parts are bound together into a physical or functional whole. While it involves a specific sequence of events, its instances are temporal occurrences rather than intrinsic wholes with clear topological or morphological unity.	The term represents a physiological reaction that is externally dependent on a specific psychological trigger (emotion). An instance of this response cannot exist without the concomitant existence of a distinct emotional state.	
