term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	"rigidity: ]
""Butterfly"" is a rigid property because once an organism transforms into a butterfly, it retains that identity throughout its entire adult life. The property of being a butterfly is essential to the organism during this stage, and it cannot change into something else while continuing to exist as that same individual. | identity: ]
A butterfly carries a clear identity condition. Each butterfly is a distinct biological organism with continuous physical and biological identity throughout its existence. We can distinguish one butterfly from another through various means: their specific genetic makeup, physical location in space-time, individual wing patterns and markings, and their continuous biological development from egg through larva (caterpillar), pupa (chrysalis), to adult butterfly. Despite the dramatic metamorphosis, there is spatio-temporal continuity - the same organism persists through these life stages. We can re-identify the same butterfly over time by tracking its physical continuity and unique characteristics. This makes ""Butterfly"" a sortal that provides identity conditions for its instances. | own_identity: ]
The term ""Butterfly"" carries identity (+I as given), but it was previously determined that it supplies its own identity condition. | unity: ]
A butterfly is a biological organism with a highly integrated physical structure. It consists of interdependent parts (head, thorax, abdomen, wings, legs, antennae, circulatory system, nervous system, digestive system) that work together as a functional whole. The parts have specific spatial relationships and cannot be arbitrarily rearranged while maintaining the entity. A butterfly exhibits clear mereological structure - removing or significantly altering any major component destroys or fundamentally changes the entity. The integration is intrinsic to the organism's nature as a living being, not merely external or conventional. Each butterfly instance constitutes a unified whole with boundaries defined by its biological organization. | dependence: ]
A butterfly is a living organism that undergoes complete metamorphosis. While it interacts with various entities in its environment, such as flowers for nectar or plants for laying eggs, it does not depend on any specific entity for its existence as a butterfly. Once it has undergone metamorphosis, a butterfly is an independent entity with its own identity. It may require resources like food and water, but these are not specific entities that it depends upon for its identity or existence."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	~U	-D	Role or Phase (Anti-rigid)	"rigidity: ]
The property ""Red"" is anti-rigid. Redness is a quality that can be possessed by various entities, but it is not essential to their identity. An entity can lose the redness property while still maintaining its identity. For example, a red apple can turn green when it is unripe or rotten, or a red car can be repainted to a different color. Therefore, the property ""Red"" is contingent and not essential to the identity of the entities it describes, making it anti-rigid. | identity: ]
The term ""Red"" does not carry an identity condition. Red is a property or quality, and it does not inherently provide a way to distinguish one instance of red from another instance of red over time. Red apples, red cars, and red paint are all distinct objects that can be distinguished from one another based on their spatio-temporal continuity and other properties, but the redness itself does not provide a principled way to distinguish one instance of red from another. | own_identity: ]
The term ""Red"" is a color and does not carry identity (+I), nor does it supply its own identity condition. Colors are not independent entities but rather properties or attributes of objects. They do not have their own spatiotemporal continuity or material constitution, and their identity is determined by the objects they modify. | unity: ]
The term ""Red"" does not represent a unified entity on its own. It is a property or attribute that can be applied to various entities, such as apples, paint, or even light. Red does not have a clear mereological structure or integrated parts. It is not an intrinsic whole but an arbitrary collection of instances that share the same property. | dependence: ]
The term ""Red"" refers to a color and does not have the capacity to act or make decisions. It is an attribute or property and does not have an inherent dependence on any specific entity for its existence. Red can be applied to various objects, and its existence does not depend on the existence of any particular object."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	~U	-D	Attribution (Non-rigid, no identity)	"rigidity: ]
The property ""Food"" is non-rigid. An entity can be food in one context or situation but not in another. For example, a person can eat an apple, making the apple food for that person, but the apple is not food for the tree it came from. Similarly, a person can be a source of food for another organism, but they are not food themselves. The property of being food is not essential to the identity of the entity providing or receiving the nourishment. | identity: ]
The term ""Food"" does not carry an identity condition. Food is a category of substances that can be consumed for nutritional support. It does not have a unique identity that persists over time or across instances. Different instances of food can be identical in composition and still be considered separate instances. For example, two apples can both be food, but they are distinct objects. Additionally, food can change form or be combined with other food, further complicating the issue of identity. | own_identity: ]
The term ""Food"" is an abstract concept and does not carry identity (+I) on its own. It is a category that encompasses various types of entities, such as Apples, Butterflies, or Water, which do carry identity. Food does not have a distinct identity condition to supply, as it does not represent individual objects or organisms. | unity: ]
The term ""Food"" does not represent a specific entity with intrinsic unity. Instead, it is a category or a concept that encompasses various types of entities, such as fruits, vegetables, grains, meats, and dairy products. These entities can have different unity characteristics. For example, an apple is a unifying entity, while a collection of scattered fruits is non-unifying. Therefore, the unity value for ""Food"" depends on the specific instances it refers to. | dependence: ]
Food is a broad category of substances that organisms consume for growth, repair, and energy. Food can exist as an independent entity, such as a loaf of bread or a bag of rice, without requiring any specific other entity for its existence. While food may be associated with other entities (farms for production, restaurants for consumption), it does not depend on any specific entity for its identity or existence. Food is a category of things that can be produced, stored, and consumed independently."	
Animal	http://example.org/guarino-messy#Animal	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	"rigidity: ]
""Animal"" is a non-rigid property. An entity that is an animal (a multicellular, eukaryotic organism of the kingdom Animalia) is not necessarily an animal in all possible worlds or at all times. Animals can gain or lose the property of being an animal depending on their life stages or conditions. For example, a human being is an animal, but it can also be a student, a parent, or an employee, which are not animal properties in the same sense. Similarly, a tadpole is not an animal in the same sense as a frog, as it undergoes a transformation from an animal with gills to an animal with lungs. The property ""Animal"" is not essential to the identity of an entity, making it non-rigid. | identity: ]
Animal is a sortal term that carries an identity condition. Animals are living organisms that can be distinguished and re-identified based on their unique biological characteristics and spatio-temporal continuity. For example, a specific lion can be identified through its genetic makeup, physical traits, and location in space-time. This continuity allows us to track and distinguish individual animals over time, making it possible to attribute actions, behaviors, and characteristics to specific animals. | own_identity: ]
The term ""Animal"" is a general category that encompasses various types of organisms. As a high-level sortal, Animal does not supply its own identity condition. Instead, it inherits identity conditions from the more specific sortals (like Mammal, Bird, Reptile, etc.) that fall under it. | unity: ]
An ""Animal"" in ontological terms refers to a living organism that belongs to the kingdom Animalia. Instances of Animal possess intrinsic unity through their functional integration around the capacity for life and the ability to move voluntarily. Animals have a clear internal organization that enables survival and reproduction - various systems (circulatory, digestive, nervous, respiratory, etc.) work together to maintain life and support movement. The parts of an animal (organs, cells, tissues) are interconnected and interdependent for the animal's capacity to function as a whole. Unlike scattered collections or mere aggregates, animals exhibit mereological structure with integrated parts that collectively enable their defining characteristics of being a living organism and having the ability to move voluntarily. | dependence: ]
An animal is a multicellular, eukaryotic organism of the kingdom Animalia. Animals are characterized by being multicellular, motile, and having a complex nervous system. They can exist as independent entities, not intrinsically depending on any specific other entity for their existence. While animals may interact with their environment and other entities, their existence as animals does not depend on any specific other entity. For example, a lion can exist as a lion regardless of whether there are any other lions or humans present."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	"rigidity: ]
""RedApple"" is a non-rigid property. Although an entity may be a red apple at a given time, the redness property is not essential to the apple's identity. An apple can change color (from red to green as it unripens, or lose its red color as it decays) while remaining an apple. Therefore, the redness property is contingent, making ""RedApple"" a non-rigid property. | identity: ]
RedApple, as a term referring to a specific instance of an apple with the property ""red,"" carries an identity condition. The identity of a red apple is determined by its spatio-temporal continuity and distinct physical properties. We can re-identify the same red apple over time by tracking its physical continuity, even as some of its properties change (e.g., it becomes slightly less red, or develops a bruise). Each red apple instance has clear identity criteria: this specific apple is distinct from that specific apple based on their individual physical constitution and spatio-temporal paths. The term inherits identity conditions from being a physical object, despite also having the property ""red"" which itself doesn't carry identity conditions. | own_identity: ]
RedApple, as a specialized type of Apple, does not supply its own identity condition. It inherits its identity condition from the more general category of Apple or Physical Object. The ""red"" qualifier is just an additional property constraint and does not establish a new, independent identity criterion. | unity: ]
A RedApple is an instance of an apple that happens to be red in color. The apple itself is a biological organism (a fruit) with an integrated mereological structure - it has a unified physical form with functionally integrated parts (skin, flesh, core, seeds) that work together as a whole. The apple exists as a natural, intrinsic whole with clear boundaries. While ""red"" is an additional property (color), it doesn't change the fundamental unity of the apple itself. The entity RedApple still refers to individual apple instances that are integrated wholes, not arbitrary collections or scattered objects. | dependence: ]
A RedApple is a physical object with the property of being red. As a physical object, it can exist independently without intrinsically depending on any other specific entity for its existence. While it may have causal dependencies (it grew from a tree, it exists in space), it does not have an essential, intrinsic dependence on another entity as part of its identity. A RedApple exists as a self-standing individual object."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	"rigidity: ]
""Group"" is an anti-rigid property. A group is a collection of individuals that share a common property or set of properties. The group identity is not essential to the individuals that make it up - individuals can join or leave a group without changing their own identity. For example, a group of students can gain or lose members, and the group identity changes accordingly. Similarly, a group of red apples can change in composition as some apples become overripe or are eaten, while still maintaining the group identity as a collection of red apples. The group property is contingent - it's possible for a collection of individuals to exist without being a group, making it not essential to the identity of the group. | identity: ]
A Group does not carry an identity condition. A group is a collection of entities, and the identity of a group depends on the identity of its members. There is no inherent property or criterion that makes one group distinct from another group over time, as groups can change membership and can be defined by various criteria. For example, a group of people can have different members at different times, and a group of apples can be defined by different criteria (e.g., all apples in a basket, all apples of a certain variety). | own_identity: ]
The term ""Group"" does not carry identity (+I) and does not supply its own identity condition. Groups are collections of objects, and their identity is determined by the identity of their members and the way they are assembled. Therefore, the identity of a group is not an intrinsic property of the group itself but rather an extrinsic property derived from the identity of its members. | unity: ]
A ""Group"" is a collection of distinct entities brought together by some common property or purpose. Instances of Group do not possess intrinsic unity as their parts are not functionally integrated. The grouping is an external construct, and the parts can be arbitrarily rearranged or removed without fundamentally changing the group. The group is a mere aggregate or sum of its parts, not a functional whole. | dependence: ]
A group is a collection of individuals or entities that share a common characteristic or belong to a common category. Groups do not have an inherent existence independent of their members. Instead, the existence and identity of a group depend on the individuals or entities that constitute it. For example, a group of students exists only because there are students in it. The group does not exist independently of its members. Therefore, a group is a dependent entity."	
Country	http://example.org/guarino-messy#Country	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	"rigidity: ]
""Country"" is a non-rigid property. A country is a political and geographical entity that can change over time due to various reasons such as territorial gains or losses, political reorganization, or name changes. For example, Czechoslovakia existed as a single country from 1918 to 1993, but it then split into two separate countries, the Czech Republic and Slovakia. Similarly, a country's borders can change due to wars or treaties. Therefore, the property ""Country"" is not essential to all instances in all possible worlds, making it non-rigid. | identity: ]
A Country carries an identity condition. A country is a political and geographical entity that can be distinguished and re-identified over time. Countries have unique names, borders, governments, and histories. We can distinguish one country from another based on their specific geographical location, political structure, and cultural characteristics. For example, France and Germany are distinct countries, even though they share a border and have historical connections. We can re-identify the same country over time by tracking its political and geographical continuity, as well as its unique cultural and historical traits. | own_identity: ]
The term ""Country"" is a geographical entity that represents a sovereign state or nation. It does not supply its own identity condition, as the identity of a country is determined by a combination of factors such as its geographical location, political boundaries, and historical context. These identity conditions are inherited from more fundamental sortals like ""Geographical Area"" or ""Political Entity"". | unity: ]
A country is a political and geographical entity, often defined by its borders and population. It can be considered a functional whole due to the integrated nature of its various parts. The government, economy, culture, and infrastructure of a country work together to provide for its citizens and maintain its identity. While the parts of a country (cities, regions, institutions) may have some degree of autonomy, they are interconnected and interdependent, forming a cohesive whole. The unity of a country is not arbitrary but is based on the functional integration of its various components. | dependence: ]
A country is a political and geographical entity that can exist as an independent unit. While countries may interact with other entities (other countries, international organizations, etc.), they do not intrinsically depend on any specific other entity for their existence. A country's identity and continuity are not based on its relationships with other entities but rather on its unique characteristics, such as its geography, population, and political structure."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	-D	Attribution or Quality	"rigidity: ]
""AmountOfMatter"" is a rigid property. The property of having a certain amount of matter is essential to the identity of a physical object. A physical object cannot change the amount of matter it has and remain the same object. In all possible worlds where that object exists, it must have the same amount of matter. This is distinct from properties like ""shape"" or ""location"" which can change while the object remains the same. | identity: ]
AmountOfMatter does not carry an identity condition. The concept of ""amount of matter"" refers to the quantity of matter present in a given space, but it does not provide any inherent criteria for distinguishing one instance of ""amount of matter"" from another. There is no spatio-temporal continuity or unique characteristics that allow us to re-identify the same instance of ""amount of matter"" over time. Instead, we can only describe the current state of the matter in terms of its composition and quantity. | own_identity: ]
The term ""AmountOfMatter"" does not carry identity (+I), as it is an abstract concept representing a quantity rather than an individual entity. It does not supply its own identity condition. | unity: ]
An ""AmountOfMatter"" does not represent a unified whole with integrated parts. It is a quantitative concept that refers to a collection of matter without any inherent organization or structure. The parts of an amount of matter (atoms, molecules, or other material entities) do not have specific relationships or work together as a functional whole. An amount of matter can be arbitrarily divided or combined without changing its fundamental nature. It is an aggregate or sum of parts, not an intrinsic whole. | dependence: ]
Amount of matter is a concept that refers to the physical substance that makes up an object or a system. It is a quantifiable property, and the amount of matter in a given system does not depend on any specific other entity for its existence. While matter may interact with other matter or energy, it does not require another entity to exist as matter. This is because the property of being matter is an intrinsic one, and the existence of matter does not depend on the existence of any other specific entity."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U/-U/~U	-D	Sortal (Rigid, supplies identity)	"rigidity: ]
""PhysicalObject"" is a rigid property. A physical object is a material entity that has a definite spatial extent and occupies a specific location in space. Once an object becomes a physical object, it retains that identity and the property of being a physical object throughout its existence, regardless of changes in its other properties or the possible worlds it may exist in. This rigidity is a fundamental aspect of the concept of a physical object, making it a rigid property. | identity: ]
A Physical Object carries an identity condition. Physical objects are entities that exist in the physical world and have spatio-temporal continuity. They can be distinguished and re-identified based on their unique location in space and time. For example, a specific rock can be identified by its unique position and composition. Even if the rock undergoes physical changes, such as erosion or weathering, it remains the same object as long as it retains its spatio-temporal continuity. | own_identity: ]
The term ""PhysicalObject"" is a general category that encompasses a wide range of entities, including objects, substances, and artifacts. As a fundamental sortal, PhysicalObject supplies its own identity condition. Each physical object is defined by its spatiotemporal continuity and material constitution, which allows us to distinguish one physical object from another. Since the entity already carries identity (+I as given), and it provides its own criteria for distinguishing one physical object from another, it supplies its own identity condition. | unity: ]
A ""PhysicalObject"" is a broad category of entities that have a tangible existence and occupy space in the physical world. Instances of PhysicalObject can exhibit various degrees of unity, depending on their mereological structure. Some physical objects, like a chair or a car, have clear functional integration and can be considered intrinsic wholes with unity value '+U'. Others, like a pile of sand or a collection of marbles, may not have a clear internal organization and can be considered mere aggregates or scattered objects with unity value '~U'. The unity value of a PhysicalObject depends on the specific integration of its parts and their relationship to the whole. | dependence: ]
A PhysicalObject is a broad category of entities that exist in the physical world. It can encompass various types of objects, from inanimate objects like rocks and chairs to animate objects like animals. PhysicalObjects do not intrinsically depend on any specific other entity for their existence. While they may interact with other entities and have causal relationships, their identity and existence are not defined by their relationships. For instance, a rock does not depend on a tree or a person to exist, nor does a cat depend on a specific mouse to exist. PhysicalObjects can exist independently and can be identified and categorized regardless of their relationships with other entities."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	-U	+D	Category or Mixin (Non-rigid)	"rigidity: ]
""GroupOfPeople"" is a non-rigid property. A group of people is a collection of individuals, and the property of being a group of people is not essential to the individuals that make up the group. Individuals can join or leave the group, and the group can change in size and composition. For example, a group of people can form a team, disband, or merge with another group. The property of being a group of people is not a defining characteristic of the individuals, but rather a property of the collection itself. | identity: ]
A GroupOfPeople carries an identity condition. A group is a collection of distinct entities, in this case, people. Each person in the group maintains their individual identity throughout their membership in the group. We can distinguish one person from another through various means: their specific genetic makeup, physical location in space-time, individual characteristics, and their continuous psychological and social development. The group itself can also be distinguished from other groups based on its unique membership and characteristics. We can re-identify the same group over time by tracking the identity of its members and their relationships to one another. | own_identity: ]
The term ""GroupOfPeople"" is a collective noun, which refers to a collection of individuals that form a cohesive unit. While each individual person in the group carries their own identity condition, the group as a whole does not. The identity of a group of people is determined by the identity of its members, not by any intrinsic properties of the group itself. | unity: ]
A ""GroupOfPeople"" is a collection of individuals, but it does not possess intrinsic unity as a mereological whole. The parts (individual people) can be arbitrarily rearranged or removed without destroying the group as a whole. The group's unity is derived from the external relationship between its members, not from an internal integration of parts. | dependence: ]
A GroupOfPeople is a collection of individuals, and as such, it does not exist as an independent entity. Instead, it is a dependent entity that relies on the existence of the individual people it comprises. The group's identity and existence are derived from the individuals that make it up. Therefore, the GroupOfPeople is a dependent entity."	
