term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	~R	+I	+O	+U	-D	Role or Phase (Anti-rigid)	Butterfly is a phase in the life cycle of a lepidopteran insect. An individual starts as a larva (caterpillar) and becomes a butterfly; since it can exist without being a butterfly, the property is not essential to the individual.	As a biological organism, a Butterfly carries an identity condition based on biological continuity and genetic uniqueness, allowing individual instances to be distinguished from one another and tracked through time.	Butterfly is a natural kind (a species) that defines its own global identity conditions for its instances, rather than inheriting them from a more general substance-sortal like a parent category that manages identity for disparate kinds.	A butterfly is an organic, biological whole whose parts (wings, thorax, antennae) are functionally integrated and depend on their relationship to the whole to exist as a single, discrete individual.	A butterfly is an independent biological organism. While it relies on an ecosystem and resources to survive, its existence is not defined by an intrinsic ontological dependence on a specific, separate entity in the way a role like 'Parasite' or 'Child' is defined by its relationship to another.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	The property 'Red' is non-rigid because an entity (like a car) can be red at one point in time and painted another color later without losing its identity. While some entities might be red in all possible worlds, others gain or lose the property contingently.	Red is a property (quality) that does not provide a principled way to distinguish one instance of the color from another or re-identify it over time independently of a substrate.	Since Red is -I (it does not carry an identity condition), it cannot supply one (+O requires +I). As a property or quality, Red relies on the identity of the object it characterizes.	The property 'Red' refers to a color quality rather than an integrated whole. Its extension consists of disparate objects (apples, cars, sensors) that do not form a single functional or structural unit.	Red is a property or quality (specifically a color); it cannot exist independently and must always be manifested by or inhered in a physical object or substrate.	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	Food is a role played by physical substances. An entity (like an apple) can be food at one point but ceases to be food once it is fully digested or rotted, yet it continues to exist as matter. Being food is not essential to the existence of the substance.	Food is a role or a mass noun; as a role, it does not provide its own identity conditions but relies on those of the underlying physical objects, and as a mass substance, it lacks a principled way to distinguish or re-identify discrete instances over time.	Since 'Food' was determined to be -I (not carrying a consistent identity condition), it cannot supply its own identity condition (+O). It is a functional role played by various entities (plants, animals, processed products) that inherit their identity from their respective substance types.	Food is a functional classification based on consumption rather than a structural property; its instances range from discrete integrated wholes (an apple) to non-unified substances (a bowl of soup) or collections of materials.	Food is an extrinsic, relational role. An entity only becomes 'Food' in relation to a Consumer (organism) that can derive nourishment from it. Without the existence of a potential consumer, the entity is merely matter (such as a plant or animal) but not food.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Being an animal is an essential property of its instances. An entity that is an animal cannot cease to be an animal while continuing to exist; it is a fundamental taxonomic category that defines the identity of the object across its lifespan.	As a biological organism, an Animal carries an identity condition provided by its specific genetic makeup and spatio-temporal continuity, allowing for the distinction and re-identification of individuals.	Animal is a base sortal that supplies its own global identity condition to its instances, rather than inheriting its primary identity from a more general supertype.	Every animal is a biological organism that functions as an integrated whole. It possesses a mereological structure where parts (organs, cells) are functionally interdependent, establishing a clear boundary and unity.	An Animal is an independent entity that does not intrinsically require the existence of another specific entity to be defined as what it is, unlike roles such as 'Predator' or 'Pet' which depend on a prey or an owner.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	While an object might be a 'RedApple' now, it can change color (e.g., through ripening or chemical alteration) and remain the same individual fruit. Therefore, being red is not essential to the identity of every instance of this class.	RedApple is a specialization of a physical object (Apple), which carries a specific identity condition based on spatio-temporal continuity and biological origin, allowing individual instances to be distinguished and re-identified over time.	RedApple does not supply a new identity condition; it inherits its identity condition from the more general rigid property Apple.	A RedApple represents a biological organism (or part of one) that spans a self-contained spatial region with a clear boundary, where the parts (peel, flesh, core) are functionally and structurally integrated into a single whole.	While RedApple implies a specific quality (color), an instance of a red apple does not necessarily depend on another distinct entity to exist in the way a 'Student' depends on a 'School'. The apple is an independent physical object.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	A group is defined by its existence as a collective entity; an instance of a group cannot cease to be a group and still exist. While its membership may change, the property of being a 'group' is essential to the identity of the entity itself across all possible worlds.	A Group carries an identity condition, typically defined by its membership or a specific founding charter/context, allowing one group to be distinguished from another.	A Group supplies its own identity condition that is distinct from its individual members or other types of collections. The identity of a group is typically based on its specific composition and structure at a given time (extensional) or its foundational mission/charter (intensional), which is not inherited from a more general supertype.	A Group is an aggregate or collection of entities whose identity is defined by the sum of its members rather than by fixed, intrinsic functional or biological integration that constitutes a single whole.	A group is an ontological entity that necessarily depends on the existence of its constituent members; a group cannot exist without the entities that comprise it.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	A Country is considered a rigid entity because a specific instance that is a Country is essentially a Country; it cannot stop being a Country and become a different kind of entity (like a person or a physical stone) while retaining its identity.	Country carries an identity condition as instances can be uniquely identified and tracked over time through criteria such as territorial boundaries, ISO codes, and legal recognition, allowing for re-identification despite changes in government or population.	The concept 'Country' supplies its own global identity condition (typically based on distinct geographic sovereignty and political recognition) rather than inheriting it from a more general class like 'Geographic Region' or 'Organization'.	A Country is an integrated whole defined by clear geographical boundaries, a unified legal/political system, and a functional structure that binds its constituent parts (provinces, citizens, institutions) into a single entity.	A Country is an ontologically dependent entity because its existence depends on other entities such as a territory, a population, and a governing system (sovereign state).	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	-U	-D	Attribution or Quality	A particular amount of matter cannot cease to be an amount of matter without ceasing to exist. It is a rigid property because being a quantity of matter is essential to the identity of the entity itself.	AmountOfMatter is typically considered a non-sortal concept that does not provide its own criteria for distinguishing one instance from another; identity is usually provided by the object the matter constitutes, rather than the matter itself.	Since the entity is analyzed as -I (does not carry an identity condition), it cannot logically supply its own identity condition (+O). It lacks a mechanism to distinguish specific instances of matter throughout their existence.	AmountOfMatter represents a mass noun/quantity. Any sub-part of an amount of matter is itself an amount of matter, and arbitrary parts can be combined without creating a naturally bounded or integrated functional whole.	An amount of matter does not require the existence of any other specific entity or instance to exist; it is defined by its own composition and extension rather than its relationship to an external host or system.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Rigid, supplies identity)	PhysicalObject is a rigid property because if an entity is a physical object, it cannot cease to be a physical object without losing its identity (i.e., ceasing to exist). It is a fundamental property that is essential to all its instances across all possible worlds.	PhysicalObject carries an identity condition typically based on spatio-temporal continuity and topological integrity, allowing instances to be uniquely identified and tracked throughout their lifecycle.	A PhysicalObject is a sortal that provides its own criterion for individuation and identity (e.g., spatio-temporal continuity), rather than inheriting it from a more general category.	The term PhysicalObject is a high-level generalization that includes both integrated wholes (like a stone) and non-integrated aggregates (like a pile of sand). Since it does not carry a specific unity criterion that applies to all its instances, it is non-unifying.	A PhysicalObject is a fundamental entity that does not inherently require the existence of another specific entity to exist. While it may depend on space or time, it is not definitionally dependent on a specific relationship with another category of object in the way a 'Student' depends on a 'Teacher' or 'School'.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	Being a group of people is an essential property of the entity; if an entity ceases to be a group of people, it ceases to exist as that specific entity. It is not a contingent role that an entity can take on and later discard while maintaining its ontological identity.	A Group of People carries an identity condition, typically defined by its membership composition, its founding criteria, or its formal legal status, allowing it to be distinguished from other groups and tracked over time.	A GroupOfPeople supplies its own identity condition based on the specific collection or membership criteria of individuals, rather than inheriting its principle of identity from a more general supertype like 'Object'.	A GroupOfPeople is an aggregate whose boundaries are defined by its members rather than a formal integrated structure that makes it an intrinsic whole. It lacks the internal functional integrity required for +U.	A group is ontologically dependent on its members; if the individuals comprising the group cease to exist, the group itself can no longer exist.	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Being a living being is a fundamental ontological property; an entity that is categorized as a living being cannot cease to be one without ceasing to exist as that specific entity. It is essential to all its instances in any possible world.	A LivingBeing carries an identity condition through its biological and structural continuity, allowing for the distinction and re-identification of specific instances throughout their life cycle.	A LivingBeing supplies its own identity condition (IC) globally for its instances, determining the necessary criteria for individuality and persistence that are not dependent on a more general supertype.	A living being is an integrated biological system where its components (organs, cells, etc.) function together to maintain the whole. It possesses a clear mereological structure and internal synergy that defines it as a single unity rather than an arbitrary collection.	A living being does not intrinsically depend on the existence of a specific other entity to be defined or to exist in the same way a 'Student' depends on a 'School'. While it requires a biological environment, it is not ontologically dependent on another specific individual or institution for its identity.	
SocialEntity	http://example.org/guarino-messy#SocialEntity	+R	+I	+O	-U	+D	Sortal (Rigid, supplies identity)	SocialEntity is a rigid property because an entity that is categorized as a social entity (such as an organization or a legal person) cannot cease to be a social entity without losing its identity. It is an essential characteristic of the entity in all possible worlds.	Social entities (e.g., organizations, states, clubs) are generally identifiable and re-identifiable over time through specific constitutive rules, charters, or legal identifiers, even if their constituent members change.	SocialEntity supplies its own unique identity condition (such as legal registration, charter, or defined social membership) that distinguishes it from other types of entities at the same level of abstraction.	SocialEntity is a broad category encompassing both unified wholes (e.g., an Organization or a Person) and non-unified or loosely bounded collectives (e.g., a Social Class or a Demographic). Because the property does not consistently provide a single, uniform criterion for identifying the boundaries of its instances, it lacks a common internal unity.	Social entities are dependent entities because their existence necessarily relies on the existence of underlying physical or biological entities (specifically persons or agents) to constitute them.	
