Term	Description
airplane flight	What is happening between the time the plane takes off and the time it lands.
drinking a beer	I like drinking a beer with my pizza.
clubbing	We went clubbing every night, because I like many people dancing together.
dining	We enjoyed the shared experience of dining together every evening.
the end of the cooking	At the end of the evening, the restaurant stops serving dinner because the kitchen has stopped cooking.
the end of the flying	When we landed I was glad that the flying had come to an end.
vacation location	The part of the world to which I am travelling for my vacation.
space	We walked through the space where Hadrians throne room used to be.
vacation weekend	A time at the end of the week during which people go on vacation.
take off time	The slot in which the aircraft is scheduled to take off.
timetable	A set of facts about the times that, for example, a bus travels along a particular route.
vacation brochure	Vacation Brochure as in a online collection of information and advertisements about available hotels and package tours.
digital photograph	A digital recording of an image of someone or something.
warmth	I like to take my holidays in a country where there is a lot of warmth.
distance	The distance from one end to the other of the swimming pool in my hotel.
tendency to deflate	The water wings tend to deflate after a while.
tendency to be mosquito bitten	I tend to get easily bitten by mosquitos when abroad.
to wash	The beach shower is meant to allow me to wash salt water of myself but today it was broken.
tourist	When a person is on vacation away from home, they are a tourist.
bus­driver	What a person is when they are driving a bus.
tourist area	I like to stay in the tourist area of the city.
hotel beach	The section of the beach reserved for use by hotel guests.
person	A person was there to meet us of the tour bus.
bus	A ground vehicle meant to carry many people with a single driver.
deckchairs on the beach	A collection of all the deckchairs on the beach.
tour party	A group of people on a tour together.
border	The border between France and Germany.
edge	The edge of the road.
my hotel room	My hotel room had a beautiful view.
bay	The dolphins like to swim in the bay by my hotel.
line of latitude	We fly along a line of latitude.
tan line	The tan line between the white skin under my watch and the rest of my arm.
place on wall where the postcard is put	When a friend sends a postcard from his or her vacation I always place it on an area of a wall.
surface of pool table	The surface of the pool table in the bar of the hotel where a vacation is taken.
air space	We flew the airspace of three countries before we arrived.
area where the hotel will be built	If the hotel is built, it will spoil the view, as it will be next to a lovely area.
point	The point at which a line of longitude and latitude cross.
kilometre zero	In Spain, roads are marked with the distance from a kilometre zero in the centre of Madrid.
why I had problems sleeping	I had problems sleeping because there were a large number of people getting drunk outside my hotel.
situation	It was difficult to find my seat on the flight because everyone one else was trying to do the same at the same time.
airspace tomorrow	Hopefully, the French air traffic controllers will not go on strike tomorrow, as I am flying through their airspace.
flood plain	The river floods a different part of the plain every year.
time and place	In the brief time and place that it passed through the mouth of the oven, I could see that the pizza was perfectly cooked.
moment	The moment I stepped out of the door of the plane, the air smelt good.
uncovered parts of the beach	I always like to run along the uncovered parts of the beach at low tide where the sand is damp.
patches on the floor	There were many wet patches on the floor after I split my beer.
