agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_gemini_qwen72b,overall,all,all,0.72,0.56,0.59,0.55,110,73,36,118,37
dspy_agent_critic_gemini_qwen72b,macro_avg,rigidity,all,0.82,0.67,0.83,0.64,22,16,6,38,6
dspy_agent_critic_gemini_qwen72b,per_class,rigidity,+R,0.77,1.00,0.67,0.80,15,10,0,7,5
dspy_agent_critic_gemini_qwen72b,per_class,rigidity,-R,0.77,0.17,1.00,0.29,1,1,5,16,0
dspy_agent_critic_gemini_qwen72b,per_class,rigidity,~R,0.91,0.83,0.83,0.83,6,5,1,15,1
dspy_agent_critic_gemini_qwen72b,macro_avg,identity,all,0.73,0.54,0.56,0.54,22,16,6,16,6
dspy_agent_critic_gemini_qwen72b,per_class,identity,+I,0.73,0.88,0.79,0.83,19,15,2,1,4
dspy_agent_critic_gemini_qwen72b,per_class,identity,-I,0.73,0.20,0.33,0.25,3,1,4,15,2
dspy_agent_critic_gemini_qwen72b,macro_avg,own_identity,all,0.61,0.61,0.59,0.60,22,13,8,14,9
dspy_agent_critic_gemini_qwen72b,per_class,own_identity,+O,0.64,0.73,0.62,0.67,13,8,3,6,5
dspy_agent_critic_gemini_qwen72b,per_class,own_identity,-O,0.59,0.50,0.56,0.53,9,5,5,8,4
dspy_agent_critic_gemini_qwen72b,macro_avg,unity,all,0.76,0.45,0.42,0.44,22,14,8,36,8
dspy_agent_critic_gemini_qwen72b,per_class,unity,+U,0.82,0.85,0.85,0.85,13,11,2,7,2
dspy_agent_critic_gemini_qwen72b,per_class,unity,-U,0.68,0.50,0.43,0.46,7,3,3,12,4
dspy_agent_critic_gemini_qwen72b,per_class,unity,~U,0.77,0.00,0.00,0.00,2,0,3,17,2
dspy_agent_critic_gemini_qwen72b,macro_avg,dependence,all,0.64,0.54,0.55,0.54,22,14,8,14,8
dspy_agent_critic_gemini_qwen72b,per_class,dependence,+D,0.64,0.29,0.40,0.33,5,2,5,12,3
dspy_agent_critic_gemini_qwen72b,per_class,dependence,-D,0.64,0.80,0.71,0.75,17,12,3,2,5
