term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	-R	+I	+O	+U	+D	Sortal (Non-Rigid Kind)	An emotion process is a temporal, dynamic psychological event with specific phases (appraisal, physiological response, expression, etc.). **Rigidity (-R)**: Non-rigid because an entity can undergo an emotion process at one time but not at another - a person experiencing fear is not essentially 'an emotion process' across all possible worlds. **Identity (+I, +O)**: Carries and supplies its own identity condition - emotion processes are individuated by their characteristic temporal structure, triggering conditions, phenomenological qualities, and target objects (e.g., fear-of-X at time-t is distinct from joy-of-Y at time-t'). **Unity (+U)**: Strongly unifying - an emotion process forms an intrinsic whole with integrated components (cognitive appraisal, autonomic arousal, subjective feeling, behavioral tendency) that are parts of a single psychological episode, not arbitrary aggregates. **Dependence (+D)**: Necessarily dependent on an experiencer (person/animal) - an emotion process cannot exist without a subject undergoing it. This is a sortal that provides identity and unity criteria for psychological processes while being contingent and dependent.	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	-R	-I	-O	-U	+D	Mixin	Phenomenal cognitive experience is non-rigid (-R) because being a phenomenal cognitive experience is not essential to entities in all possible worlds - the same mental event might exist without phenomenal character or cognitive content. It does not carry identity (-I, -O) as there is no clear identity criterion that distinguishes one phenomenal cognitive experience from another across contexts; their identity depends on the experiencing subject and temporal boundaries. It is non-unifying (-U) because phenomenal cognitive experiences are not necessarily intrinsic wholes - they can be complex, distributed processes involving multiple cognitive and phenomenal components without clear mereological boundaries. It is dependent (+D) as phenomenal cognitive experiences cannot exist without a conscious subject having them - they are intrinsically dependent on experiencers. As a non-rigid property without identity criteria, it classifies as a Mixin, representing a property that can be contingently predicated of entities from different categories.	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	-R	-I	-O	-U	+D	Mixin	Emotional experience (feeling) is **-R (Non-Rigid)** because entities can gain or lose the property of experiencing emotions while remaining the same entity (e.g., a person can be experiencing joy at one moment and not at another). It is **-I (No Identity)** because feelings themselves do not carry their own identity criteria - they are qualitative states that vary continuously and lack clear individuation principles. Following from this, it is **-O (No Own Identity)**. It is **-U (Non-Unifying)** because emotional experiences, while phenomenologically rich, do not constitute intrinsic wholes with clear mereological boundaries - they blend, overlap, and lack discrete parts. Finally, it is **+D (Dependent)** because feelings necessarily depend on a subject/experiencer to exist - there cannot be an emotion without someone experiencing it. This combination (-R, -I, -O, -U, +D) classifies it as a **Mixin** - a non-rigid property that can be applied across different kinds of entities (humans, animals, potentially AI) without carrying identity conditions.	
Nfa427a57bbab411bb52e10eaea4733a2	Nfa427a57bbab411bb52e10eaea4733a2	-R	-I	-O	-U	-D	Mixin	The term 'Nfa427a57bbab411bb52e10eaea4733a2' appears to be a system-generated identifier (likely a hash or UUID). As an identifier token, it represents no semantic concept with meaningful ontological properties. It is non-rigid (-R) as identifiers can be assigned/removed from entities; carries no identity condition (-I, -O) since it's merely a label without intrinsic identity criteria; non-unifying (-U) as it doesn't define wholeness conditions; and independent (-D) as the token itself doesn't inherently depend on other entities for existence. Without semantic content, it functions as a maximally underspecified Mixin - a property that can potentially apply to instances without essential constraints. This classification reflects the term's lack of ontological commitment rather than substantive categorization.	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	-R	-I	-O	+U	+D	Phase	An anxiety process is a temporal psychological/physiological process occurring in organisms. **Rigidity (-R)**: Not rigid because an organism can exist without undergoing anxiety; it's a contingent state/process. **Identity (-I, -O)**: As a process type, it doesn't carry its own identity condition - the identity comes from the underlying organism experiencing it and the temporal boundaries of the process instance. Processes are typically identified by their participants and spatiotemporal location. **Unity (+U)**: An anxiety process instance is a unified whole - a coherent psychological-physiological event with integrated components (cognitive appraisal, emotional response, physiological arousal) forming a single process, not merely an arbitrary sum. **Dependence (+D)**: Necessarily dependent on an experiencing subject (organism with nervous system); cannot exist without someone/something experiencing anxiety. This is an anti-rigid, dependent property characteristic of a Phase - a contingent, temporary state that an entity passes through.	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	-R	+I	+O	+U	+D	Sortal (Non-Rigid Kind)	A fear process is a specific type of psychological/physiological process. **Rigidity (-R)**: Non-rigid because an entity (person/organism) can undergo a fear process at one time but not at another - it's not essential to the entity's identity across all possible worlds. **Identity (+I) and Own Identity (+O)**: As a process type, it carries and supplies its own identity condition based on the specific causal chain, triggers, physiological responses, and temporal boundaries that constitute a fear episode. Each instance has determinate spatiotemporal boundaries and characteristic components. **Unity (+U)**: A fear process forms an intrinsic whole with unified beginning (stimulus detection), middle (physiological arousal, cognitive appraisal), and end (response/resolution) - it's not merely an aggregate of disconnected events. **Dependence (+D)**: A fear process is existentially dependent on an experiencing subject (organism/person) - it cannot exist without someone/something experiencing the fear. This makes it a non-rigid sortal that describes occurrent processes rather than continuants.	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	-R	-I	-O	+U	+D	Mixin (Non-Rigid Property)	Sensory experience is a non-rigid property because the same entity (a person, animal, or sensory system) can exist without currently having a sensory experience (e.g., during deep sleep or sensory deprivation). It does not carry its own identity condition—the identity is inherited from the experiencing subject (person, organism). Each sensory experience instance has unity as it represents an intrinsic whole event (a unified perceptual episode), though composed of parts (visual, auditory components). Sensory experiences are existentially dependent (+D) because they cannot exist without an experiencing subject—there is no sensory experience without something that experiences. The property is anti-rigid in the sense that being-in-a-sensory-experience is a temporary state, making it a phase-like or state-like property, hence classified as a Mixin that can apply to various kinds of experiencing entities non-essentially.	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	~R	-I	-O	-U	+D	Role	A motoric response to emotion is anti-rigid (~R) because it represents a temporary state/role that an entity (a physical action or movement) plays only during specific occurrences - the same movement could exist without being a response to emotion. It does not carry identity (-I, -O) as it is a relational property describing a functional role rather than providing criteria for distinguishing instances across time and worlds. It lacks unity (-U) as responses can be simple or complex, unified or distributed across body parts without a principle of wholeness. It is dependent (+D) because it intrinsically requires both an emotion and a motor system/organism to exist - it cannot occur in isolation. As an anti-rigid, dependent property describing a contingent functional relationship, it is best classified as a Role.	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	~R	-I	-O	-U	+D	Phase	A psychophysiological response to emotion is a temporal state/process that an organism undergoes when experiencing emotion. It is ~R (Anti-Rigid) because being in such a response state is not essential - organisms can exist without currently exhibiting this response. It is -I (no identity) as responses are events/states without their own identity criteria - they are identified through the experiencing organism and timing. Being -I implies -O (no own identity). It is -U (non-unifying) because a psychophysiological response involves distributed phenomena (heart rate changes, hormonal releases, neural activity) that don't form a single intrinsic whole but rather a collection of coordinated reactions. It is +D (dependent) because such responses necessarily depend on both an experiencing organism and an emotional stimulus/state - they cannot exist independently. This qualifies as a Phase because it represents a temporary, contingent state that organisms pass through.	
Nba3c390d0d0a499fbe7bf57d6de88c33	Nba3c390d0d0a499fbe7bf57d6de88c33	-R	-I	-O	-U	-D	Mixin	The term 'Nba3c390d0d0a499fbe7bf57d6de88c33' appears to be an automatically generated identifier (hash/UUID). As an arbitrary identifier without semantic content, it represents a non-rigid property (-R) since identifiers can be assigned or removed from entities. It does not carry identity conditions (-I, -O) as it's merely a label without ontological commitment to what constitutes the entity's identity. It lacks unity criteria (-U) as identifiers don't determine wholeness. It is independent (-D) as identifiers exist as abstract tokens. Being non-rigid without supplying identity, this classifies as a Mixin - a property that can apply contingently across different entity types without essential constraints.	
