term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"The term ""Butterfly"" refers to a specific type of insect that holds essential traits characterizing it as a member of the Lepidoptera order. It possesses an identity condition that allows us to distinguish individual butterflies from one another; thus, it carries identity (+I). Since butterflies are a consistent biological category that must exist as butterflies in all possible worlds, they are classified as rigid (+R). Butterflies do not provide their own identity condition beyond being classified as butterflies, meaning there is no inherited identity from a broader category; therefore, they do supply their own identity condition (+O). All instances of butterflies display a unified biological entity since they share common characteristics and a typical life cycle, which reflects a unifying trait (+U). Butterflies are not dependent on any external conditions for their existence as they are self-sufficient entities (-D)."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Mixin	"The term ""Red"" refers to a color, which is a property rather than a concrete entity. As a color, it does not carry identity in the same sense that an object does; instances of the color red can exist in various forms (e.g., on a car, a wall, etc.) and do not maintain an identity across different contexts. Furthermore, ""Red"" does not provide its own identity condition; it is dependent on the objects that exhibit this color. As a property, it also does not unify instances in a singular way, as there can be varied shades and instances of red without implying a collective identity. Therefore, we can determine the following values for the meta-properties."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	+D	Role	"The term ""Food"" can be seen as a non-rigid entity, as it does not necessarily have to exist in every possible world; we can conceive of worlds without food or other forms of sustenance. It carries an identity condition as different types of food can be identified and distinguished from one another (e.g., apple vs. banana), hence it is classified as +I. However, food does not supply its own identity condition, as its identity can depend on related entities (e.g., a dish might need a context of preparation). Therefore, food does not supply its own identity condition, resulting in -O. The unity property is -U since food items can be seen as a collection of different items served together, like a buffet, that do not constitute a whole. Lastly, food is dependent on living entities (animals, plants, fungi) to be created and exist, thus it shows dependence as +D."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"The term ""Animal"" refers to a biological category that is universally applicable to all entities classified as animals. This classification is essential in all possible worlds, indicating that an instance of ""Animal"" must retain this classification regardless of circumstances. It carries a clear identity condition as each animal can be distinguished from another based on species, characteristics, and individual traits. ""Animal"" provides its own identity conditions as it is a well-defined category in biological taxonomy. Additionally, each animal is regarded as a single whole (topological unity) due to the inherent relations among their biological systems and characteristics. Animals are independent entities and do not require another specific entity for their existence. Therefore, ""Animal"" fits the model of a sortal entity."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Role	"The term ""RedApple"" refers to a specific instance of apple that has the characteristic of being red. This indicates that it represents a type of fruit (apple) with a specific quality (redness). As a fruit, its instances (specific red apples) can exist independently of their color, meaning the red characteristic is not essential to the identity of the apple itself, making it non-rigid (~R). Identity Conditions are present as we can track individual red apples over time, so it is +I. However, ""RedApple"" does not supply its own identity condition, as it derives its identity from being a specific kind of apple (an instance thereof), which makes it -O. Apples are generally considered whole entities (unifying) in themselves, as they function as single objects, so we classify this as +U. Finally, these apples are independent in terms of their existence and do not rely on other entities for their essence, thus they are classified as -D."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	-U	+D	Collective	"The term ""Group"" refers to a collection of individuals or items that are considered together based on some shared characteristic. In this context, we can analyze its meta-properties as follows: 

1. **Rigidity**: A ""Group"" is not essential in every possible world; it can dissolve or change while still existing. Therefore, it exhibits non-rigid characteristics. Hence, the value is ~R (Anti-Rigid).

2. **Identity**: A ""Group"" can carry an identity as it can be distinguished from other groups (e.g., a group of researchers vs. a group of students). Thus, the value is +I (carries identity).

3. **Own Identity**: A ""Group"" does not supply its own identity condition but rather inherits it from its members, as the identity of the group is contingent upon the identity of its individual members. Therefore, the value is -O (does not supply its own IC).

4. **Unity**: A ""Group"" lacks a common unifying relation that denotes a single whole, as the individuals within the group can be seen as independent contributions to the collection rather than a cohesive unit. Hence, the value is -U (Non-Unifying).

5. **Dependence**: A ""Group"" is dependent on its members for existence, meaning it requires the presence of individuals to be considered a group. Thus, the value is +D (Dependent)."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"The term ""Country"" represents a geopolitical entity that has defined geographic boundaries and a governing structure. As a property, it is essential for an instance of a country to exist in all possible worlds as a defined entity, thus indicating that it is rigid (+R). Countries have identity conditions, as they can be distinguished from one another based on various criteria such as name, borders, and governance, granting it a positive identity (+I). Countries inherently determine their own identity; they are not merely a manifestation of another category, thus indicating that it supplies its own identity condition (+O). Every country functions as a unified whole, possessing a coherent structure and governance system, which supports that it is unifying (+U). However, a country is not dependent on any other entity for its existence—while it may engage with other countries, it exists independently and can be defined without reference to any other entity, indicating it is independent (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	-O	-U	-D	Mixin	"The term ""AmountOfMatter"" describes a quantity or measure that refers to a certain extent of material substance. In this context, we analyze the properties: it is essential for ""AmountOfMatter"" to always refer to some quantity of matter across any possible world, which indicates it should be classified as +R (Rigid). However, while it carries a distinct identity condition when quantified (e.g., 5 kg, 10 grams), it does not supply its own identity condition since it relies on the reference to physical matter, making it -O (not supplying its own IC). The amount itself does not unify instances since different amounts can exist independently as separate measures, which leads to a classification of -U (Non-Unifying). The nature of ""AmountOfMatter"" does not depend on another entity but rather is defined by the measurements it represents, hence it is classified as -D (Independent). Therefore, it fits into the category of an Attributive/Mixin since it reflects a measure that does not inherently possess identity but relates to physical entities."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"The term ""PhysicalObject"" refers to tangible entities that exist in the physical world. Since physical objects are defined by their existence in all possible worlds, they must carry this property in every possible scenario, making them essential and thereby rigid. As for identity, physical objects possess identity conditions, enabling us to distinguish them from one another based on their characteristics and states. These conditions are intrinsic to physical objects themselves, meaning they supply their own identity conditions. In terms of unity, physical objects are typically seen as wholes; each instance is a single entity. Therefore, they possess a common unifying relation, contributing to their classification as unique entities. Finally, physical objects are independent, as their existence does not rely on other specific entities. They can stand alone without depending on another entity for their existence."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	-D	Collective	"The term ""GroupOfPeople"" refers to a collection of individuals who are considered together. This term does not carry an Identity Condition that distinguishes unique groups; instead, any assembly of people can form a new group without any essential identity. The concept of being a group is not rigidly essential to any instance of people; thus, it does not require entities to maintain a consistent identity across different contexts or situations. Therefore, ""GroupOfPeople"" is regarded as a non-rigid entity, which implies that instances can change without losing their existence as groups. The ""GroupOfPeople"" lacks a single unifying characteristic beyond the collection itself, positioning it within a framework that acknowledges it as an aggregate."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"The term ""LivingBeing"" refers to entities that exhibit life, which includes a range of organisms from simple unicellular organisms to complex multicellular organisms, such as plants, animals, and humans. Regarding the meta-properties:
- **Rigidity**: ""LivingBeing"" is considered +R because any entity classified as a living being must inherently be a living being across all possible worlds—an entity cannot 'stop' being a living being without ceasing to exist.
- **Identity**: +I is valid because all living beings have identity conditions that distinguish them from one another; for example, each individual organism has its own identity.
- **Own Identity**: +O applies since ""LivingBeing"" provides its own identity conditions rather than inheriting them from a parent category.
- **Unity**: +U fits as all living beings are unified wholes with various interrelated systems functioning together as a single organism.
- **Dependence**: -D is appropriate because ""LivingBeing"" does not inherently depend on another specific entity for its existence; a living being exists independently."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	~R	+I	-O	-U	+D	Role	"The term ""SocialEntity"" refers to entities that exist within social contexts, which can include individuals, groups, organizations, etc. Given its nature:
- **Rigidity**: Social entities are not essential in every possible world as they can change and be redefined; for instance, a group of people may dissolve or restructure. Therefore, they are characterized by non-rigidity (~R).
- **Identity**: Social entities have identity conditions since we can distinguish one social entity from another based on their social roles or membership. Thus, they carry identity (+I).
- **Own Identity**: Social entities do not supply their own identity condition but rather inherit them from their individual members or roles within a society, hence (-O).
- **Unity**: The notion of SocialEntity does not imply a common wholeness or unified state as it can represent disjoint groups or individuals, leading us to categorize this as non-unifying (-U).
- **Dependence**: Social entities often depend on other entities for their social existence (e.g., a group depends on its members), implying dependence (+D)."	
Location	http://example.org/guarino-messy#Location	~R	+I	-O	-U	-D	Phase	"The term ""Location"" refers to a point or specific area in space. In the context of OntoClean, we consider its essential characteristics to determine meta-properties. ""Location"" is not rigid because it can change; for instance, a specific event may happen at a location that can be altered without the location itself ceasing to exist (e.g., when a building is demolished). Therefore, it is categorized as non-rigid (~R). In regards to identity, ""Location"" does have identity conditions; we can distinguish different locations based on their coordinates or characteristics, so it is classified as carrying identity (+I). However, it does not supply its own identity conditions; rather, it inherits them from a broader concept (e.g., physical space), thus rated as -O. Regarding unity, while locations can be areas or points within a certain spatial domain, they do not imply a strict unifying whole; thus, it is non-unifying (-U) as a specific location can exist independently as individual points. Lastly, locations are considered independent entities (-D); while they can geographically relate to other objects or facts, they do not require those objects' existence to retain their status as locations. Therefore, the classification of ""Location"" aligns with that of a ""Phase"" due to its non-rigid nature and identity patterns."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	-U	-D	Sortal	"The term ""Fruit"" refers to a category of biological entities that develop from the ovary of a flowering plant and contain seeds. In terms of rigidity, fruit must exist in all possible worlds as a natural category, thus it is classified as +R (Rigid). The identity condition for fruit is clear; each type of fruit can be distinguished from another (e.g., an apple is not an orange), making it +I (Identity). Fruits have their own identity conditions (e.g., the characteristics of being sweet, juicy, and containing seeds) and thus are +O (Own Identity). In terms of unity, while individual fruits (like apples and oranges) can be considered as wholes with specific relations, when considering fruit collectively, it does not imply a unifying relation among all fruits beyond their classification (e.g., not all fruits have a common characteristic). Therefore, fruit is classified as -U (Non-Unifying). Lastly, fruits are generally independent entities that do not require a specific entity for their existence, so they are -D (Independent)."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	"The term ""Vertebrate"" refers to a classification of animals that have a backbone or spinal column. In evaluating its meta-properties, ""Vertebrate"" can be considered a rigid category since all instances of vertebrates—regardless of any possible world scenarios—must possess a backbone to be classified as such, indicating essentiality. This category also carries identity conditions, as we can distinguish vertebrates from non-vertebrates based on the presence of a backbone. Additionally, ""Vertebrate"" supplies its own identity condition because the classification itself is defined by the presence of vertebrae. The instances of vertebrates form a single whole, as they share key biological features and a common evolutionary history, which exemplifies unity. Vertebrates are not dependent on other entities for their existence as a classification; they stand independently within the animal kingdom."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	+R	+I	+O	+U	-D	Sortal	"The term ""Caterpillar"" refers to the larval stage of certain insects, particularly butterflies and moths. In terms of rigidity, a caterpillar must be a caterpillar in all possible worlds where it exists, as it is a specific biological form. Therefore, it is classified as a +R entity. Caterpillars carry identity conditions, as each individual can be tracked over time and distinguished from others based on various characteristics (e.g., size, coloration). Hence, it is +I. The caterpillar supplies its own identity condition as it does not depend on any other entity for its classification, so it is +O. Each caterpillar is a single organism with its own distinct traits; thus, it is +U. Lastly, caterpillars are independent entities and do not require the presence of other specific entities to exist, which categorizes them as -D."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	+D	Sortal	"The term ""Person"" refers to a distinct category of entities that have a continuous existence and can be identified as individual beings across different contexts and times. ""Person"" has essential characteristics that dictate that any instance classified as a person must possess these traits in all possible worlds, thus demonstrating rigidity. The identity condition for a person allows for differentiation between different individuals; each person can be uniquely identified over time. Furthermore, the property of ""Person"" supplies its own identity conditions, meaning it inherently possesses these criteria independently of other higher categories. Each person is considered a singular entity with a coherent whole (unity). Lastly, while individuals can independently exist, the concept of being a person typically implies social and legal dependencies, making it partially reliant on external social systems for roles and recognition."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	-R	+I	-O	-U	+D	Role	"The term ""LegalAgent"" refers to an entity authorized to act on behalf of another, typically in legal matters. It carries identity conditions, allowing us to distinguish one legal agent from another based on their specific attributes and roles assigned by law. However, it does not apply to all possible instances across all worlds, as there can be scenarios where someone may not have legal authority, indicating that it is not essential for existence everywhere. This indicates that ""LegalAgent"" is not a rigid entity. The identity conditions are tied to roles and do not supply an inherent identity on their own, as their legal standing can derive from a broader legal system or context. Thus, while they have identity conditions, they do not provisionally supply their own identity independently of their context. Instances of legal agents do not imply unity in the same way that more concrete entities might, instead they are often perceived as roles filled by various individuals, making it a non-unifying category. Finally, ""LegalAgent"" depends heavily on the legal framework within which it operates, which pins it as dependent."	
Entity	http://example.org/guarino-messy#Entity	+R	+I	-O	+U	-D	Sortal	"The term ""Entity"" refers to something that exists and can be distinctly identified. It is an abstract concept that encompasses various forms, including physical objects, ideas, or individuals. The essentiality of ""Entity"" is that it is a foundational concept in ontology. It supports identity conditions since we can identify and track different instances of what we mean by an entity. As such, it qualifies as a Rigid entity, as every instance of an ""Entity"" must be an instance in all possible worlds. Therefore, it inherently carries identity (+I). However, since ""Entity"" is a general term that does not supply its own identity condition—rather it serves as a category under which other specific terms fall—it is marked as not supplying its own identity (-O). ""Entity"" can be seen as a unifying concept that encompasses all instances, implying a form of unity (+U), but it does not depend on any specific entity outside of itself for its existence (-D)."	
Organization	http://example.org/guarino-messy#Organization	-R	-I	-O	-U	+D	Role	"The term ""Organization"" refers to a structured group of individuals working together towards common goals. In terms of rigidity, organizations are not essential entities; they can change or dissolve without losing the essence of the individual members within them. Thus, they are classified as non-rigid (~R). Regarding identity, an organization does not have a unique identity condition that distinguishes it from other groups in all contexts, which leads to the classification of -I. Since organizations do not supply their own identity condition, they also receive -O. Each organization, although aiming for collective objectives, does not imply a physical or topological wholeness, as different members can join or leave; hence, they are assigned -U. In terms of dependence, an organization relies on its members to exist, making it dependent (+D). Therefore, the entity is categorized under the Role classification."	
Agent	http://example.org/guarino-messy#Agent	~R	+I	-O	+U	+D	Role	"The term ""Agent"" refers to an entity that can perform actions or have specific roles within a given context. In this case, it does not possess a rigidity property that demands it to permanently hold its characteristics in all possible worlds; thus, it is classified as non-rigid (~R). The identity conditions apply to agents, as we can distinguish different agents based on their unique capabilities and contexts. Therefore, it carries identity (+I). However, it does not supply its own identity condition, as the characteristics can vary based on different scenarios, which means it inherits identity from its context (-O). Agents can be considered unifying entities when they are part of a larger system, exhibiting collective behaviors through their interactions (+U). Lastly, an agent is dependent on the goals, actions, or contexts that necessitate its existence, thus classified as dependent (+D)."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal	"The term ""Apple"" refers to a specific type of fruit. In OntoClean, we analyze it as follows: 
- **Rigidity**: An apple must always be considered an apple in all possible worlds. Thus, it is essential to its identity and shows a +R property since the entity cannot cease to be an apple without ceasing to exist.
- **Identity**: Apples carry identity conditions as individual fruits can be distinguished from one another based on their characteristics like color, size, and taste. Therefore, it is classified as +I.
- **Own Identity**: Since an apple provides its identity conditions inherently (e.g., it can be recognized as a distinct entity by its specific attributes), it holds a +O classification.
- **Unity**: Each apple is a single whole entity with a common structure, representing a fruit. Consequently, it is classed as +U.
- **Dependence**: An apple does not depend on any other specific entity to exist as an apple; thus, it is -D."	
