term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	rigidity_attempts	identity_attempts	own_identity_attempts	unity_attempts	dependence_attempts	total_critique_attempts	error
emotion process	http://purl.bioontology.org/ontology/EMRO/0000000	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	Under a standard ontological interpretation, if a particular entity is an emotion process, it cannot cease to be an emotion process and still maintain its identity as that specific entity. Being a process of that type is essential to what that entity is.	As a temporal entity (process), it carries identity conditions based on spatio-temporal boundaries, the specific experiencer, the triggering stimulus, and the continuous causal sequence of physiological and cognitive changes.	An emotion process supplies its own unique identity conditions as a type of occurrent, distinct from other processes by its specific physiological, cognitive, and expressive components rather than inheriting them from a more general supertype.	An emotion process is an integrated sequence of psychological and physiological events (appraisal, arousal, expression) that together form a functionally unified whole rather than an arbitrary aggregate of parts.	An emotion process is an occurrent that necessarily depends on at least one sentient entity (an experiencer) to undergo the process, as emotions cannot exist independently of a subject.	1	1	1	1	1	5	
phenomenal cognitive experience	http://purl.bioontology.org/ontology/EMRO/0000001	+R	+I	+O	+U	+D	Sortal (Rigid, supplies identity)	A phenomenal cognitive experience is defined by its existence as a subjective event; it cannot exist without being an experience. It is essential to its identity throughout its persistence.	Phenomenal cognitive experiences carry identity conditions through their qualitative character (qualia), intentional content, and unique temporal span. These criteria provide a principled way to differentiate and re-identify specific instances of experience within a stream of consciousness.	As a foundational ontological category for mental states, a phenomenal cognitive experience supplies its own identity conditions based on its specific qualia and temporal duration, rather than inheriting them from a more general substance-based class.	A phenomenal cognitive experience is characterized by 'Gestalt' unity; instances are integrated wholes where the constituent qualia and cognitive components are unified within a single conscious field, rather than being a mere collection of disparate parts.	A phenomenal cognitive experience is intrinsically dependent on a subject or cognitive agent to undergo the experience; it cannot exist as a free-floating entity independent of an experiencer.	1	2	1	1	1	6	
emotional experience (feeling)	http://purl.bioontology.org/ontology/EMRO/0000002	+R	-I	-O	-U	+D	Attribution or Quality	A specific instance of an emotional experience (e.g., a particular instance of joy occurring at a specific time) is essentially what it is; an emotional experience cannot cease to be an emotional experience and still exist as that specific entity. It is an ontological type rather than a contingent role played by an underlying substance.	An emotional experience is a qualitative state and does not provide an internal identity condition to distinguish one instance of 'feeling' from another without referring to the specific individual (agent) experiencing it or the temporal context.	An emotional experience does not supply its own unique identity conditions; rather, it inherits them from broader ontological categories such as 'Mental Process' or 'Event.' The criteria used to distinguish and track the identity of a feeling (such as duration, subject, and intensity) are derived from these subsuming types rather than being originated by the property of 'emotional experience' itself.	An emotional experience lacks a definitive mereological boundary or a fixed internal structure that defines it as a single functional whole. While it occurs within a subject, the boundaries of where one 'feeling' begins and ends are often fluid and arbitrary, making it non-unifying.	An emotional experience is inherently dependent on a sentient agent (host) to experience it; it cannot exist as a standalone entity without being grounded in the consciousness or physiological state of a subject.	1	1	2	1	1	6	
Na1c71ce315c14bde9079a04ab3842747	Na1c71ce315c14bde9079a04ab3842747	~R	-I	-O	-U	-D	Role or Phase (Anti-rigid)	Treating this term as a representative of the class 'Database Identifier' or 'Unique Key', it is anti-rigid because an entity (such as a User or Transaction) does not intrinsically require this specific alphanumeric string to exist in all possible worlds; the association is contingent upon the data system's state, and the entity continues to exist even if the identifier is changed, re-mapped, or removed.	A specific string (hash) is an individual instance, not a property or class. In the OntoClean framework, meta-properties like Identity are applied to classes (e.g., 'CryptographicHash') to denote if they supply conditions for distinguishing their instances. As an individual constant, it cannot 'carry' an identity condition for other instances.	Since this entity is classified as -I (does not carry an identity condition), it cannot logically supply its own identity condition (+O). A property can only supply an identity condition if it also carries one.	The term is an arbitrary alphanumeric identifier or hash; it lacks intrinsic mereological structure or functional integration that would define it as a unified whole or a formal aggregate.	The provided entity is an alphanumeric identifier which, as a formal string or symbolic descriptor, does not inherently depend on the existence of a separate, external entity to maintain its own ontological existence.	2	2	1	1	1	7	
anxiety process	http://purl.bioontology.org/ontology/EMRO/0000003	+R	-I	-O	+U	+D	Attribution or Quality	Under foundational ontologies like BFO or DOLCE, an occurrent (process) is defined by its unfolding in time. A specific 'anxiety process' cannot exist without being a process of that nature; it cannot cease to be a process and become an object or a different kind of entity while maintaining its identity.	As a process, it is a perdurant entity. While it has temporal parts and phases (duration), it does not carry an intrinsic identity condition to distinguish one instance of anxiety from another without reference to the participant (e.g., the Person) experiencing it. It lacks a principled, unique identifier inherent to the process itself.	Since the entity was determined to be -I (lacking an identity condition), it cannot supply its own identity condition (+O). It is a non-sortal category describing a pattern of activity rather than a discrete entity with a global identity principle.	As a process, it is a temporal whole composed of causally integrated stages and sub-events that form a unified functional sequence rather than an arbitrary collection of unrelated occurrences.	An anxiety process is intrinsically dependent on a conscious subject (a sentient being) to experience and instantiate the physiological and psychological states that constitute the process.	1	1	1	1	1	5	
fear process	http://purl.bioontology.org/ontology/EMRO/0000004	+R	+I	-O	+U	+D	Sortal (Rigid, carries identity)	A 'fear process' is rigid because if an entity is identified as a specific process of fear, it cannot cease to be that process without losing its identity as that particular instance. A process cannot be something else and then 'become' a fear process while maintaining its individual existence.	As a specific occurrence (a process), it carries an identity condition through its spatio-temporal boundaries and the identity of the specific agent experiencing the emotional state, allowing it to be distinguished from other instances.	While 'fear process' carries identity (+I), it is a specialization of the more general concept 'Process' or 'Biological Process'. It inherits its identity conditions (temporal unfolding, participant involvement) from these higher-level categories rather than supplying a unique, foundational identity condition of its own.	A process is considered a unity when it consists of a specific, non-arbitrary sequence of causally linked stages (physiological arousal, cognitive appraisal, behavioral response) that form a functionally integrated whole.	A process of fear cannot exist in isolation; it necessarily depends on a sentient host or subject capable of experiencing the psychological or physiological state of fear.	1	1	2	1	1	6	
sensory experience	http://purl.bioontology.org/ontology/EMRO/0000005	+R	-I	-O	+U	+D	Attribution or Quality	A sensory experience is defined by its phenomenological nature; an instance of a sensory experience cannot cease to be an experience while still existing as that same entity. Being a sensory experience is essential to its identity throughout its existence.	Sensory experience is a property or state that characterizes an entity's perception (e.g., 'the smell of rain') but it does not provide a principled identity condition to distinguish one instance from another over time or across contexts without being tied to a specific subject or event.	Since the entity was previously determined to be -I (not carrying an identity condition), it logically cannot supply its own identity condition (+O), as supplying a condition (+O) implies carrying one (+I).	A sensory experience is an integrated phenomenal whole with specific temporal boundaries and a unified structure, where the constituent qualia are functionally and contextually dependent on the overall event.	A sensory experience is inherently dependent on both a sentient subject to perceive the experience and a sensory stimulus or neural mechanism to generate it; it cannot exist as a standalone entity.	1	1	1	1	1	5	
motoric response to emotion	http://purl.bioontology.org/ontology/EMRO/0000006	-R	-I	-O	+U	+D	Attribution (Non-rigid, no identity)	A motoric response to emotion is a functional property or state characterizing a physical movement. While the movement itself exists, its characterization as a 'response to emotion' is contingent upon its causal link to an internal state, which is not an essential property of the underlying physical entity in all possible worlds.	A motoric response to emotion is a processual or behavioral occurrent that lacks its own intrinsic identity condition; it is typically identified via the actor or the specific emotional event rather than having a standalone identity like a persistent substance.	Since the entity is -I and does not carry an identity condition, it logically cannot supply its own global identity condition (+O requires +I).	A motoric response to emotion is a unified physiological and behavioral event with a distinct beginning and end, integrated by a specific neurological pathway that coordinates muscle movements as a functional whole.	A motoric response to emotion is intrinsically dependent on both a subject to perform the action and the underlying emotional state that triggers it; the response cannot exist as a standalone entity without these prior conditions.	1	1	1	1	1	5	
psychophysiological response to emotion	http://purl.bioontology.org/ontology/EMRO/0000007	+R	-I	-O	+U	+D	Attribution or Quality	A psychophysiological response to emotion is defined by its origin and nature; it cannot cease to be such a response without losing its identity as that specific occurrence of physiological change.	A psychophysiological response to emotion is a occurrent or state that lacks its own intrinsic identity condition; identity is typically derived from the specific subject (person) and the temporal event/emotion it is associated with, rather than the property itself providing a way to distinguish one instance from another across time.	A psychophysiological response is a specific categorization of a biological process or event. It does not supply its own global identity condition, but rather inherits identity from the more general categories of 'Process' or 'Event'. Because it was previously determined to be -I, it must by definition be -O.	A psychophysiological response is a coordinated, integrated system of changes (autonomic, endocrine, and brain activity) that functions as a single, discrete biological event with clear internal structure and boundaries.	A psychophysiological response to emotion is inherently dependent on the existence of an emotional state and a sentient organism (the subject) to occur; it cannot exist as a standalone entity without these necessary precursors.	1	1	1	1	1	5	
N2485dae9044a461db2f528d26a668901	N2485dae9044a461db2f528d26a668901	~R	-I	-O	-U	-D	Role or Phase (Anti-rigid)	Treating this term as a 'Unique Identifier' defines it as a role. While the underlying string is rigid, the property of being an identifier is contingent; a string can be assigned or removed as an identifier within a system of reference without the string itself ceasing to exist. Therefore, it is anti-rigid as instances can gain or lose this status over time.	The provided value appears to be a generated hash or unique alphanumeric string. While it functions as a reference or identifier, it is not a property that carries its own intrinsic identity conditions; rather, it is a marker used to track identity for an underlying entity.	Since the entity is analyzed as -I (does not carry an identity condition), it cannot supply its own identity condition (+O). According to the formal constraints of the OntoClean methodology, supplying an identity condition (+O) necessitates carrying one (+I).	The term provided is an alphanumeric identifier which functions as a label or string; it lacks an intrinsic mereological structure or functional wholeness that characterizes an integrated entity.	The term represents a persistent identifier or abstract symbol. In the OntoClean framework, an entity is independent (-D) if its existence does not require a specific individual to exist. While the symbol may function as a reference, the identifier itself (the string/node) does not cease to exist if its referent or the infrastructure supporting it is removed.	3	1	1	1	2	8	
