term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	Butterfly is a rigid property (+R) because anything that is a butterfly must be one essentially - an individual cannot cease being a butterfly and remain the same individual (it cannot become a caterpillar again, for instance). It carries identity (+I) and supplies its own identity criterion (+O) as a biological species/natural kind, with identity determined by its biological constitution and developmental stage. It has unity (+U) as butterflies are intrinsic wholes - integrated organisms with functionally interdependent parts (wings, body, organs). It is independent (-D) as a butterfly does not intrinsically depend on other entities for its existence (though it may have causal dependencies, these are not ontological dependencies). As a rigid property that supplies its own identity criterion, Butterfly qualifies as a Sortal, specifically a Natural Kind within biological taxonomy.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Quality/Attribute (Non-Sortal)	Red is a color quality/attribute. **Rigidity (-R)**: An object can be red at one time and not red at another (e.g., a painted wall can be repainted), so it's non-rigid - not essential to all instances in all worlds. **Identity (-I, -O)**: Red does not carry or supply identity conditions; we don't identify objects as 'the red one' in an absolute sense, and color properties don't provide criteria for counting or individuating entities. **Unity (-U)**: Red can apply to scattered or non-whole entities (e.g., 'red things in a room' form no intrinsic whole); the property itself doesn't unify instances into wholes. **Dependence (+D)**: Red cannot exist independently - it must inhere in some substrate (a surface, object, or material). As a quality, it's ontologically dependent on its bearer. Red is best classified as a quality or attribute (non-sortal), potentially a Mixin in some ontological frameworks, as it can apply contingently across different kinds of entities without providing identity or unity.	
Food	http://example.org/guarino-messy#Food	-R	+I	+O	-U	-D	Category/Type (Non-Rigid Sortal)	Food is **-R (Non-Rigid)** because an entity is not essentially food across all possible worlds - a tomato can exist without being food (e.g., as a decorative object, or before being designated for consumption). It's **+I (Carries Identity)** and **+O (Supplies Own Identity)** because food items have their own identity conditions based on their material constitution and physical boundaries (this apple, that loaf of bread). Food is **-U (Non-Unifying)** because food can be scattered or composite (a meal, groceries, a pantry of food) without requiring intrinsic wholeness - we can speak of 'some food' or 'all the food' without topological unity. Finally, food is **-D (Independent)** as food substances can exist without necessarily depending on other entities - though they may depend on consumers functionally, they don't have intrinsic existential dependence. Food functions as a non-rigid sortal category that substances can enter and exit based on their intended or actual use for consumption.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Natural Kind (Substance Sortal)	Animal is a rigid property (+R) because any instance that is an animal is essentially an animal in all possible worlds - a dog cannot cease to be an animal and remain the same individual. It carries identity (+I) and supplies its own identity condition (+O) as a natural kind, providing criteria for recognizing the same animal over time through biological continuity. Animal exhibits unity (+U) as instances are intrinsic wholes - an animal is not merely a sum of parts but an integrated biological organism. It is independent (-D) as animals exist as autonomous substances without intrinsic existential dependence on other entities. This makes Animal a substance sortal and natural kind in the ontological taxonomy.	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	RedApple is anti-rigid (~R) because an apple can become red (e.g., through ripening) and can cease to be red (e.g., through decay or painting) while remaining the same apple - being red is not essential across all possible worlds. It carries identity (+I) inherited from 'Apple', which as a natural kind supplies identity conditions for physical objects. However, RedApple does not supply its own identity condition (-O); the identity comes from being an apple, not from being red. It has unity (+U) because each red apple is an intrinsic whole - a complete, integrated physical object. It is independent (-D) as red apples do not intrinsically depend on other entities for their existence. This classifies RedApple as a Phase - a temporal, contingent state of apples characterized by the property of being red.	
Group	http://example.org/guarino-messy#Group	-R	+I	+O	-U	-D	Sortal (Category)	Group is a non-rigid sortal that carries and supplies its own identity condition. It is -R because entities can enter and leave group membership without losing their individual identity (e.g., a person can be part of a group temporarily). It is +I and +O because groups have their own identity conditions based on membership criteria, composition, or purpose that distinguish one group from another. It is -U (non-unifying) because groups are collections of members that don't necessarily form intrinsic wholes - members retain their individual boundaries and the group is defined by the relationship among members rather than being a unified whole. It is -D (independent) because a group can exist as a distinct entity without necessarily depending on any particular external entity, though it does require members (but these are internal to the group concept, not external dependencies).	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Natural Kind or Category)	Country is +R (Rigid) because something that is a country must be essentially a country - if an entity ceases to be a country (e.g., through dissolution or merger), it ceases to exist as that entity; it's not merely losing a phase or role. Country is +I (Carries Identity) and +O (Supplies Own Identity) because it provides its own criteria for identifying and distinguishing one country from another (typically through sovereign territory, government, population, and international recognition). These are intrinsic identity conditions specific to countries. Country is +U (Unifying) because each country forms an intrinsic whole - a unified geopolitical entity with boundaries, governance structures, and territorial integrity that make it a complete unit rather than an arbitrary collection. Country is -D (Independent) because a country exists as a sovereign, self-standing entity; while it may have diplomatic relations and dependencies in practice, ontologically it does not intrinsically require another specific entity for its existence. This makes Country a Sortal - specifically a substantial kind that carries its own identity principle and applies rigidly to its instances.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	-U	-D	Sortal (Substance Sortal / Category)	AmountOfMatter is rigid (+R) because something that is an amount of matter is essentially so across all possible worlds - it cannot cease being an amount of matter while continuing to exist. It carries identity (+I) and supplies its own identity condition (+O) based on material composition and quantity - what makes this particular amount of matter distinct from another is its specific material makeup and extent. It is non-unifying (-U) because amounts of matter do not necessarily form intrinsic wholes; they can be arbitrary quantities or scattered portions without inherent boundaries (e.g., 'the water in this ocean' or 'the gold in this mine'). It is independent (-D) as amounts of matter can exist without intrinsically depending on other entities. This classifies as a substance sortal or base category that provides fundamental identity criteria for material entities.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Natural Kind)	PhysicalObject is +R (Rigid) because being a physical object is essential to all its instances in all possible worlds - if something is a physical object, it cannot cease to be one while continuing to exist. It carries +I (Identity) and +O (Own Identity) because physical objects have intrinsic identity conditions based on their spatio-temporal continuity and material constitution. PhysicalObject is +U (Unifying) as instances are intrinsic wholes with clear boundaries and structural unity distinguishing them from mere aggregates. It is -D (Independent) because physical objects exist autonomously without intrinsic dependence on other entities for their existence. This combination (+R, +O, +U, -D) classifies PhysicalObject as a Sortal, specifically a Natural Kind that provides essential properties and identity criteria for its instances.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	+O	~U	+D	Category	GroupOfPeople is non-rigid (-R) because being part of a group is not essential to the individual people in all possible worlds - the same persons could exist without being in that particular group. It carries identity (+I) and supplies its own identity condition (+O) based on the criterion that defines group membership (e.g., specific member composition, organizational rules, or shared purpose). It has anti-unity (~U) because a group is inherently an aggregate/collection of discrete individuals rather than an intrinsic whole - it's a sum of parts without intrinsic wholeness. It is dependent (+D) because a group cannot exist without its constituent members - the group's existence intrinsically depends on the people who compose it. The non-rigid nature combined with supplying identity makes this a Category (a non-rigid property that carries identity criteria but allows instances to gain/lose the property).	
