term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"A ""Butterfly"" is a type of insect that undergoes complete metamorphosis, passing through the stages of egg, larva (caterpillar), pupa, and adult. Butterflies are distinct entities that can be identified individually, and they maintain their identity throughout their lifecycle. The term ""Butterfly"" is rigid because all instances of butterflies are butterflies throughout their existence. Butterflies are unified entities, as each butterfly is a distinct whole. They are independent entities, as their existence does not depend on the existence of other specific entities."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Attribution	"The term ""Red"" refers to a specific color, which is a property that can be applied to various objects. It is not essential for all instances of objects to be red, nor does it provide a unique identifier for objects. The term does not define a specific 'whole' but rather a characteristic that can be shared by many different entities. It does not depend on the existence of another specific entity."	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	-D	Category	"The term ""Food"" refers to any substance consumed to provide nutritional support for an organism. It is a broad category that includes a wide variety of items, and its instances can change over time. Food does not provide a unique identifier for instances, and it does not define a specific 'whole'. The existence of food does not depend on the existence of another specific entity."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"The term ""Animal"" refers to a broad category of living organisms that are characterized by several key features, such as being multicellular, eukaryotic, and heterotrophic. This term is used to classify a wide range of species that share these fundamental characteristics. The concept of ""Animal"" is essential to all instances that fall under this category, and it provides a unifying principle for identifying and distinguishing these organisms from other forms of life, such as plants or fungi. The term does not depend on the existence of other specific entities to define its instances."	
RedApple	http://example.org/guarino-messy#RedApple	+R	+I	+O	+U	-D	Sortal	"The term ""RedApple"" refers to a specific type of apple characterized by its red color. This term is rigid because all instances of ""RedApple"" are red apples throughout their existence. It carries identity because each red apple can be uniquely identified. It supplies its own identity because the color red is a distinguishing feature that sets it apart from other types of apples. It is unifying because a red apple is a discrete whole. It is independent because its existence does not depend on the existence of another specific entity."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	+U	+D	Sortal	"The term ""Group"" generally refers to a collection of individuals or objects that are considered together due to shared characteristics or purposes. In ontological terms, a group is a unifying concept that defines a whole composed of distinct parts. The identity of a group is typically derived from the identity of its members, and the group itself does not supply a new way of identifying its instances. The unity of a group is positive because it defines a specific whole. The existence of a group depends on the existence of its members."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"The term ""Country"" refers to a political entity with defined borders, a government, and a population. It is a well-defined concept that is essential to its instances throughout their existence. Countries have unique identifiers (e.g., ISO country codes) that allow for the distinction between different instances. The concept of a country provides a new way to identify instances, as it is not inherited from a parent concept. Countries are unified entities with clear boundaries and are independent in their existence."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	+U	-D	Mixin	"The term ""AmountOfMatter"" refers to a quantity of matter, which is a fundamental concept in physics and chemistry. It is a measure of the quantity of substance, often expressed in moles. This term is rigid because it is essential to all instances of matter throughout their existence. It does not carry identity on its own, as it is a measure rather than a unique identifier. It does not supply its own identity criteria but rather inherits identification from the substance it measures. It is unifying because it refers to a specific, discrete quantity. It is independent because its existence does not depend on the existence of another specific entity."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"The term ""PhysicalObject"" refers to entities that have a physical presence and occupy space. This concept is fundamental and essential to all instances that fall under it. It provides a way to identify and distinguish different physical entities. The term is unifying because it refers to discrete, whole objects. It is independent because the existence of a physical object does not depend on the existence of another specific entity."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	+U	-D	Sortal	"The term ""GroupOfPeople"" refers to a collection of individuals that are considered as a single entity. This term is rigid because all instances of a group of people will always be a group of people throughout their existence. It carries identity because a specific group of people can be identified as the same group over time. It supplies its own identity because the identity of a group is distinct from the identities of the individual people within it. It is unifying because a group is considered a whole entity composed of its members. It is independent because the existence of a group does not necessarily depend on the existence of any specific other entity."	
