term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"""Butterfly"" is a specific biological organism that represents a type of insect belonging to the order Lepidoptera. It possesses rigidity (+R) because all instances identified as butterflies must adhere to certain biological and morphological characteristics, making it essential to all instances across possible worlds. It carries an identity condition (+I) as butterflies can be identified by specific physical traits (such as wing structure and coloration). It also supplies its own identity condition (+O), establishing clear criteria for recognition as a butterfly. In terms of unity (+U), butterflies are intrinsic wholes - they have well-defined parts like wings and body structure that function together. Additionally, butterflies are fundamentally independent (-D) as they can exist as individual organisms without relying on other entities for their existence."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"""Red"" is a color property that describes a perception associated with certain wavelengths of light. It is not rigid (-R) because something can change color; an object can be red at one time and not at another. The property of being red does not carry its own identity condition (+I) as it relies on the object's context (what is red). It does not supply its own identity condition (-O) because color is an attribute that does not define the object itself but rather describes it. The instances of ""red"" can be seen as non-unifying (-U) since red itself does not encapsulate a whole; it can apply to various objects without forming a coherent entity. Red does not depend on anything specific beyond its representation; hence, it is independent (-D)."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	+D	Mixin	"""Food"" is a category of substances that provide nutritional value for organisms. It is non-rigid (-R) because food items can vary significantly based on their properties, types, and uses. For instance, a substance can be considered food in one context and not in another. It does carry identity (+I) since it has identity conditions based on nutritional characteristics and its role in sustenance. However, it does not supply its own identity condition (-O); food items inherit their identity conditions from the categories of things they belong to, like fruits, vegetables, or meats. Food is typically a collective or aggregate of items and not necessarily seen as a single intrinsic whole (+U). Food items can exist independently of each other, but the concept of food in general does depend on the notion of sustenance and nutritional requirements to have meaning (+D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" is a natural kind representing biological organisms. It is essential to all its instances across all possible worlds - something cannot be an animal in one world and not in another (rigid). As a biological kind, it carries and supplies its own identity condition based on biological/genetic criteria (own identity). Animals are intrinsic wholes with biological unity - they have integrated parts forming a complete organism (unifying). Animals do not intrinsically depend on other entities to exist - they are substances in themselves (independent)."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	"""RedApple"" is a combination of color and a type of fruit, specifically a property that describes a type of apple that is red. It is not essential for an apple to be red; it can exist in various colors, which makes the property of being a red apple non-rigid (-R). The concept of ""RedApple"" carries identity because it inherits the identity conditions from ""Apple,"" so it is tied to the natural kind of apple (+I). However, being red does not supply its own identity condition, as the identity of ""RedApple"" comes from its subtype relation to ""Apple,"" leading to a value of -O. Instances of red apples can be seen as intrinsic wholes with defined physical properties, indicating they are unifying (+U). They do not intrinsically depend on other entities for their existence, as they are individual fruits (-D)."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	-U	+D	Role	"""Group"" typically refers to a collection of individuals or entities that are organized in some way. A group is not essential to its instances across all possible worlds, as a set of individuals can form or dissolve into a group depending on the context – hence, it is non-rigid (-R). The concept of a group carries identity conditions based on the criteria defining membership in that group (+I), but it does not supply its own identity condition, as the identity of the group is derived from its members (-O). Groups are not necessarily unifying in the sense that they can be collections or aggregates of individuals that don’t form an intrinsic whole (-U). Groups depend on the existence of their members for their status as a group, making them dependent (+D)."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" is a geopolitical entity representing a sovereign state or nation. It is essential to all its instances across all possible worlds — something cannot be a country in one world and not in another (rigid). As a political and territorial entity, it carries identity through its recognized borders, governance, and population (+I). It supplies its own identity condition based on these criteria (+O), thereby distinguishing one country from another. Countries are integral wholes with cohesive governance and territorial boundaries, indicating them as unifying entities (+U). Furthermore, a country does not intrinsically depend on other entities to exist; it exists as a self-sufficient sovereign entity (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Abstract Quantity	"""AmountOfMatter"" refers to a quantitative measure of the matter present in a substance or system. It is not essential in all possible worlds, as the same object can possess different amounts of matter under different circumstances (for example, due to changes in state or mass loss). Thus, it is non-rigid (-R). This property does not carry an identity condition on its own, as it is defined relative to the matter it encompasses (-I). It does not supply its own identity condition but is reliant on the physical substance it measures (-O). The amount of matter is not an intrinsic whole; rather, it is a property that can pertain to different aggregates or quantities, which might not unify into a single instance or whole (+U). Finally, the amount of matter is dependent on the existence of matter itself, hence it is dependent (+D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" refers to entities that occupy space and have mass. It is a rigid term (+R) because any instance of a physical object remains a physical object across all possible worlds; being a physical object is essential to its identity. It carries its own identity condition (+I) as it is defined by characteristics of mass and spatial occupation. It also supplies its own identity condition (+O) because the criteria for being a physical object are intrinsic to the concept itself. Instances of physical objects are typically regarded as unifying (+U) since they are often treated as wholes with defined boundaries. Physical objects are generally considered independent (-D) because they can exist without reference to other entities, though some might rely on other conditions or contexts for existence."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	-U	+D	Role	"""GroupOfPeople"" refers to a collection of individual human beings who come together for a common purpose or characteristic. It is not rigid (-R) since the composition of the group can change; a group can gain or lose members without ceasing to be a group. It does carry an identity condition (+I) since a group is identifiable based on its members and their relations, but it does not supply its own identity condition (-O) because it derives its identity from the individuals within it. The instances of ""GroupOfPeople"" are non-unifying (-U) since a group can be disbanded or exist only as a collection of individuals rather than a cohesive whole. Further, groups of people depend on the individuals within them to exist (+D); without members, a group ceases to exist."	
