term	uri	rigidity	identity	own_identity	unity	dependence	classification	rigidity_reasoning	identity_reasoning	own_identity_reasoning	unity_reasoning	dependence_reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Butterfly is a rigid property because if an entity is a butterfly, it cannot cease to be a butterfly without losing its identity (typically through death). It represents a biological type that is essential to the individual throughout its existence at that stage of its life cycle.	Butterfly is a sortal property because its instances can be uniquely identified and tracked through time using criteria such as biological continuity and spatiotemporal trajectory. It inherits its identity conditions from the more general rigid property of being a biological organism.	Butterfly is a rigid sortal that supplies its own global identity conditions (likely based on biological and structural continuity) to its instances, rather than inheriting them from a more specific parent concept in this context.	A butterfly is an intrinsic whole whose parts (wings, thorax, antennae, etc.) are bound by biological and morphological unity. It maintains a specific organizational structure as a discrete individual throughout its lifecycle.	Butterflies are independent physical objects. While they require an environment to survive, they do not inherently depend on the existence of a specific external entity (such as a school for a student or a host for a parasite) to be defined as what they are.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Attribution (Non-rigid, no identity)	The property 'Red' is non-rigid because it is not essential to its instances. A specific physical object (like a car or a ball) can be painted a different color and thus cease to be red while maintaining its identity as the same object.	Red is a non-sortal property (specifically a role or quality) that does not provide a principled way to distinguish or re-identify its instances. While we can identify the physical objects that are red, the property 'Red' itself does not carry an identity condition or supply a unique identity criterion to its instances.	The term 'Red' is a non-sortal property (specifically an attribute or quality) that does not provide a global identity condition for its instances. Since it was previously determined to be -I, it is logically impossible for it to be +O, as supplying an identity condition (+O) implies carrying one (+I).	The property 'Red' refers to a color attribute that does not provide a unifying relation (omega) to bind the parts of its instances into intrinsic wholes. An instance of a red thing could be an integrated object like a red ball, or a scattered collection of red items, or an arbitrary part of a red expanse, meaning it lacks a consistent unity condition across all instances.	Red is a quality (color) and is externally dependent because it cannot exist without being manifestations of or inhering in a physical object or substrate that carries the color.	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	-U	+D	Role (Anti-rigid, dependent)	The property 'Food' is defined by its role or function in nutrition rather than its inherent nature. An entity (like an apple or a piece of bread) can exist without being food (e.g., before it is harvested or if it is classified as waste), and it can cease to be food while remaining the same physical entity. Therefore, it is contingent for all its instances.	The property 'Food' describes a functional role rather than an ontological sortal. It does not carry its own identity condition for re-identification over time; instead, it inherits identity from the underlying substance or object (like an apple or a piece of meat), making it a non-sortal.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot be +O (supplying an identity condition). In this conceptualization, 'Food' is a role or functional category defined by its use for nutrition, and it inherits its identity from the specific physical objects (e.g., an Apple or a Sandwich) that instantiate it.	Food is a functional property that lacks a common unity condition for all its instances. Some instances (like an apple) are intrinsic wholes (+U), while others (like a heap of flour or soup) are amounts of matter that are not intrinsic wholes (~U). Therefore, the property itself cannot carry a singular unifying meta-property.	The property 'Food' is externally dependent because an object can only be considered food if there exists a consumer or an organism for which it provides nourishment. While the physical substance may exist independently, its status as food depends on its relationship to a separate 'Eater' entity.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	Being an animal is an essential property of all its instances; an entity that is an animal cannot cease to be an animal without losing its identity and ceasing to exist.	Animal is a rigid sortal that provides a principled way to identify and re-identify individuals (e.g., through spatio-temporal continuity and biological markers). For an instance to be an animal, it must have a criteria for identity that allows us to distinguish it from other animals.	Animal is a rigid substance sortal that supplies its own identity conditions (e.g., biological continuity and genetic makeup) rather than inheriting them from a more general category like Living Thing or Physical Object.	As an organism, an Animal is an intrinsic whole whose parts (organs, tissues, etc.) are bound together by a biological functional unity that must hold throughout its existence. It is not a mere sum of matter, but a maximal self-connected system.	An animal is considered an independent entity; its existence is not defined by a necessary relationship to a specific external entity that is not a part of itself (unlike roles such as 'Parent' or 'Student').	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Category or Mixin (Non-rigid)	The property is non-rigid because being 'red' is not essential to an apple's identity; an individual apple can undergo a color change (e.g., from green to red during ripening or through artificial means) while remaining the same individual object. It is not anti-rigid (~R) because, in some conceptualizations, an apple might stay red throughout its entire existence, making the property non-essential but not strictly prohibited from being constant.	As a specialization of a physical object (Apple), RedApple carries identity conditions centered on spatio-temporal continuity and physical integrity, allowing an individual instance to be uniquely identified and tracked over time independently of its color property.	RedApple is a specialization of Apple. Since it inherits its identity conditions (the criteria for being the same apple) from its parent rigid sortal 'Apple', it does not supply a unique, brand new identity condition of its own.	A RedApple is an intrinsic whole characterized by morphological and biological unity. Its parts (flesh, skin, seeds) are bound together in a specific integrated structure, and it represents a maximal self-connected object rather than an arbitrary sum of matter.	A RedApple is considered an independent property because its instances (the physical objects) do not require the existence of another specific external entity to exist, unlike roles such as 'Student' or 'Parent'. While it may depend on its parts (like skin or seeds) or its constituent matter, these are internal and thus do not constitute external dependence according to the methodology.	
Group	http://example.org/guarino-messy#Group	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	Under standard ontological analysis, Group is considered a rigid property because if an instance is a group, it is naturally a group in every possible world where it exists. An entity cannot cease to be a group and remain the same entity (e.g., it cannot become an individual physical object).	A Group is a sortal property because it carries an identity condition based on its membership and/or its social/functional role. One can distinguish between two groups and determine if a group remains the same over time (diachronic identity) even if individual members change, typically through criteria like a common purpose, a shared name, or specific constitutive rules.	A Group supplies its own unique identity condition (often based on its specific membership and a unifying purpose or collective whole status) that is distinct from its subsuming parent properties like 'Entity' or 'Abstractions'.	A group is typically an aggregate of distinct entities. While the members may share a common relationship, they do not form an intrinsic whole with a singular, integrated mereological structure where the parts are bound by a persistent, internalizing unity relation.	A Group is externally dependent on the existence of its members. By definition, a group cannot exist without at least one (and usually more) distinct entities that constitute its membership.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	In most standard ontologies, Country is treated as a rigid property because an entity that is a Country (a sovereign state) cannot cease to be a country without losing its identity as that specific entity. It does not represent a temporary role or phase that a geographic entity moves in and out of while remaining the same individual.	As a sortal property, Country carries an identity condition based on its socio-political existence and defined territorial boundaries, allowing for both synchronic distinction from other countries and diachronic re-identification through historical change.	Country is a rigid property that supplies its own identity condition (often based on sovereign territory, constitution, and diplomatic recognition), rather than inheriting it from a more general category like Geographic Region or Legal Entity.	A Country is an intrinsic whole characterized by functional and topological unity. Its instances consist of integrated parts (territory, population, and government) governed by a unifying legal and political relation (sovereignty) that distinguishes the entity from a mere sum of land or people.	While a country requires a population and a territory to exist, these are considered constituents or integral parts (internal dependence) rather than external entities. Since external dependence excludes parts and constituents, and a country does not necessarily require the existence of another distinct external entity to be defined as itself, it is considered independent (-D) in this framework.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	-I	-O	~U	-D	Attribution or Quality	Under standard ontological assumptions, AmountOfMatter is considered a rigid property because if an entity is an amount of matter, it cannot cease to be an amount of matter without losing its identity or ceasing to exist entirely. An instance cannot transition into being a non-material entity.	As established in the ontological framework, Amount of Matter does not carry a global identity condition because it lacks a principled way to distinguish or re-identify discrete instances independently of the specific type of matter it is. It is typically considered anti-rigid and mass-like, providing a description but not the sortal mechanism required for persistent identity across change.	Since the entity was determined to be -I (not carrying an identity condition), it logically cannot satisfy the +O meta-property, which requires a property to both be rigid (+R) and carry (+I) a specific identity condition that it supplies to the taxonomy.	As established in Ontological Analysis, AmountOfMatter is characterized by anti-unity because its instances are mere sums of parts with no intrinsic unifying relation (omega) that defines a maximal self-connected whole. Any part of an amount of matter is also an amount of matter, and arbitrary sums of matter remain matter without satisfying a specific topological, morphological, or functional unity condition.	An amount of matter does not require the existence of any external entity (that is not a part or constituent of itself) in order to exist. It is defined by its own internal composition rather than by a relationship to an outside entity.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal (Rigid, supplies identity)	A PhysicalObject is a rigid property because if an entity is a physical object, it cannot cease to be a physical object without losing its identity or ceasing to exist in our domain of quantification. It is an essential property to all its instances in all possible worlds.	PhysicalObject is a sortal property that carries identity conditions, typically grounded in spatio-temporal continuity. This allows for the individuation of specific physical objects and their re-identification through change.	PhysicalObject is a rigid property that supplies its own identity conditions (e.g., spatio-temporal continuity and specific unity criteria) rather than inheriting them from a more general sortal. It defines what it means to be a distinct individual entity in the domain, acting as a provider of identity (a 'substance sortal').	A PhysicalObject is generally considered to carry a unity condition as it represents a discrete entity (a whole) whose parts are bound together (e.g., through topological or functional connection), distinguishing it from a mere amount of matter or an arbitrary collection.	A physical object does not require the existence of a specific external entity (that is not a part or constituent) to maintain its status as a physical object. While it is composed of matter, these are parts or constituents rather than external dependencies.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	+R	+I	+O	~U	+D	Sortal (Rigid, supplies identity)	A entity defined as a 'GroupOfPeople' cannot cease to be a 'GroupOfPeople' and still exist as the same entity. While individual members may leave or join (depending on whether the group is defined extensionally), the property of being a collective group of persons is essential to the entity's identity across possible worlds.	A GroupOfPeople carries an identity condition typically based on its membership composition or a specific founding event/legal charter, allowing for re-identification over time despite some change in members.	A GroupOfPeople is a rigid property that supplies its own identity condition (e.g., membership composition or specific relational ties) rather than inheriting identity from a more general sortal. Because its identity depends on a unique criteria for collective unity distinct from its individual members, it is the level at which identity for the group is defined.	A group of people is logically defined as an aggregate or collection of individuals. While the members are wholes themselves, the group lacks a single, intrinsic mereological binding relation (omega) that makes the collection itself an intrinsic whole; it can be partitioned or merged arbitrarily, which is characteristic of the anti-unity property.	A group of people is externally dependent on the existence of its members (individuals) to exist. By definition, if there are no people, the property 'GroupOfPeople' cannot have an instance.	
