term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	The term 'Butterfly' refers to a specific kind of insect belonging to the order Lepidoptera. In ontological analysis, 'Butterfly' is a rigid property because all instances of butterflies are necessarily butterflies in all possible worlds. It carries identity (+I) because it provides a criterion for distinguishing one butterfly from another. It supplies its own identity condition (+O) because the property 'Butterfly' itself defines what it means to be a butterfly. It is unifying (+U) because butterflies are intrinsic wholes. It is independent (-D) because butterflies can exist on their own without depending on other specific entities.	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Mixin	The term 'Red' refers to a color property. It is non-rigid (-R) because an entity can change from being red to not being red without ceasing to exist. It does not carry identity (-I) as it does not provide a criterion for distinguishing one entity from another. It does not supply its own identity condition (-O) because it is a quality that can change. It is non-unifying (-U) because it does not constitute a whole but rather a quality that can be possessed by various entities. It is dependent (+D) because the existence of redness depends on the existence of an entity that possesses it.	
Food	http://example.org/guarino-messy#Food	-R	-I	-O	-U	+D	Mixin	'Food' is a mixin property because it can be applied to various entities (e.g., apples, bread, water) that are not necessarily related by inheritance. It is non-rigid (-R) because an entity can cease to be food (e.g., an apple that rots or is cooked into apple sauce). It does not carry identity (-I) as it does not provide a means to distinguish one instance of food from another. It does not supply its own identity condition (-O). It is not unifying (-U) because food can be an aggregate of different substances. It is dependent (+D) because an entity being food depends on its relation to a consumer.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	The term 'Animal' refers to a biological category of organisms that are characterized by several shared traits, such as being multicellular, eukaryotic, and heterotrophic. In ontological terms, 'Animal' is a rigid property because all instances of animals are necessarily animals in all possible worlds. It carries identity (+I) because it provides a basis for distinguishing one animal from another. It supplies its own identity condition (+O) as it defines what it means to be an animal. It is unifying (+U) as animals are intrinsic wholes. It is independent (-D) as its existence does not depend on another specific entity.	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	'RedApple' is a combination of a Rigidity property ('Apple') and a non-rigid property ('Red'). Since an instance of a 'RedApple' can cease to be red (e.g., by being painted or maturing/changing color) without ceasing to be the same identity (the apple), the property is non-rigid. However, it is not anti-rigid because one could argue it is not essential for all apples *not* to be red. It carries identity (inheriting from the sortal 'Apple') but does not supply a new identity condition (as it uses the same IC as 'Apple'). It is unifying as it refers to a discrete physical object and is independent as its existence doesn't necessitate another specific entity.	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	~U	+D	Collective	The term 'Group' refers to a collection of individuals or entities that are considered as a single unit. In ontological analysis, a group is not essential to all instances in all possible worlds; an individual can exist independently of being part of a group, making the property non-rigid (-R). It does not carry an identity condition (-I) because the identity of a group is not intrinsic to its members but rather to the collective. It does not supply its own identity condition (-O) because the identity of a group is derived from its members and their interactions. It is anti-unity (~U) because a group is strictly an aggregate of its members. It is dependent (+D) because the existence of a group intrinsically depends on the existence of its members.	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	'Country' is a sortal term that refers to a distinct political entity with defined borders and a government. It is rigid (+R) because an entity that is a country in one possible world is a country in all possible worlds. It carries identity (+I) as it provides criteria for distinguishing one country from another. It supplies its own identity condition (+O) based on political and geographical features. It is unifying (+U) as it refers to a coherent political and geographical whole. It is independent (-D) as its existence does not depend on another specific entity.	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	~U	+D	Mixin	The term 'AmountOfMatter' refers to a quantity of matter, which is a non-rigid property because the same entity can have different amounts of matter at different times. It does not carry identity (-I) because it does not provide a criterion for distinguishing one instance from another. It does not supply its own identity condition (-O) because it is a measure rather than a sortal. It is anti-unity (~U) because it refers to a sum or aggregate rather than an intrinsic whole. It is dependent (+D) because it intrinsically depends on the existence of matter to exist.	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	'PhysicalObject' refers to any object that has a physical presence and occupies space. It is rigid (+R) because all instances of physical objects must have this property in all possible worlds. It carries identity (+I) as it provides a basis for distinguishing one physical object from another. It supplies its own identity condition (+O) as it defines what it means to be a distinct physical object. It is unifying (+U) as physical objects are intrinsic wholes. It is independent (-D) as its existence does not depend on another specific entity.	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	+D	Collection	'GroupOfPeople' refers to a collection of individuals. It is anti-rigid (~R) because the same set of individuals can form different groups in different contexts. It does not carry identity (-I) as it does not provide a way to distinguish one group from another inherently. It does not supply its own identity condition (-O) because the identity of a group is typically derived from its members. It is anti-unity (~U) because a group is an aggregate of individuals rather than an intrinsic whole. It is dependent (+D) because its existence relies on the existence of the individual people that make up the group.	
