term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"""Butterfly"" refers to a specific category of insects within the order Lepidoptera. As a sortal property, it identifies intrinsic features that define the kind as being a butterfly in all possible worlds where it has these features, thus making it Rigid (+R). The property ""Butterfly"" carries its own identity condition because it is a sortal that applies globally to specific individuals. Butterflies are intrinsic wholes as they are complete and self-contained organisms. Furthermore, butterflies do not fundamentally depend on other entities to exist; rather, they might depend on specific environmental conditions, which does not affect their intrinsic ontological status."	
Red	http://example.org/guarino-messy#Red	-R	+I	-O	-U	-D	Quality	"""Red"" is a quality that describes a color. While it may apply to various entities, it is not inherently essential for something to be considered ""red."" Something could still be red and have other colors or qualities. Therefore, it is Non-Rigid (-R). Color qualities generally carry their own identity condition based on the specific hue and intensity, hence +I. However, red does not supply its own identity condition uniquely, so it is -O. Color qualities do not create intrinsic wholes but rather describe parts or aspects of larger objects; thus, it is -U. Finally, color itself is independent of other objects; it is just a property, so it is -D."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Sortal	"""Food"" is a broad category that includes substances consumed for nutrition and pleasure, but not all instances of it are identical or necessary for what constitutes food. For example, food can be organic or inorganic, plant-based, animal-based, or even artificial constructs. While it is an essential concept for certain purposes, it lacks rigidity due to its variable nature across different contexts. Food does provide the substance for identity in the sense that different forms or sources still meet the common understanding of providing nourishment, thus carrying identity (+I). However, no specific form or instance of food is said to supply its own intrinsic identity condition (-O), as it can be derived from various sources. While food is often considered intrinsic for nutritional purposes, it can also exist as a general category without needing to refer to specific instances, indicating it is not Anti-Unity (~U). Finally, although food can sometimes depend on its source for its state (such as freshness), it is generally seen as Independent (-D) because the concept of food exists beyond the specific physical instantiation."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" denotes a broad category that includes various species within the kingdom Animalia. It is a sortal concept, meaning that it picks out a set of intrinsic individuals, namely animals, which persist through change. Animals as a whole carry their own identity conditions (e.g., being of a certain species), and each instance of an animal is a unifying whole with its own life history. While animals do depend on their environment and other living beings for survival, they remain independent as entities capable of existing without the presence of other co-instantiations."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Role	"""RedApple"" is a term that describes a specific color quality applied to an Apple. The red color is a temporary feature and does not make something fundamentally what it is. An apple can be red at one time but not always, thus it is non-rigid (~R). The term itself inherits the identity condition from the sortal ""Apple"", making it +I. However, it does not supply its own identity; instead, it contributes to the overall identity of an apple. Apples maintain unity as they are intrinsic wholes, regardless of their color. Independence is preserved because an apple remains an apple whether it is red, green, or yellow."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	+U	-D	Sortal (Abstract Kind)	"A ""Group"" can refer to an abstraction of two or more individuals that share a common purpose or characteristic. It is not rigid because different groups can form and dissolve over time, and their composition changes. The concept ""Group"" itself carries an identity condition derived from its context or specification but does not inherently provide its own identity condition. Groups are typically seen as unifying wholes with a collective identity, though they can lose or change their identity. They do not intrinsically depend on any specific members to exist; they can form and dissolve independently."	
Country	http://example.org/guarino-messy#Country	-R	+I	+O	+U	-D	Sortal	"""Country"" refers to a political and geographical entity. It can refer to different states or nations at different times and under different circumstances, indicating non-rigidity (-R). As a sortal, it carries its own identity condition, which is provided by the specific state or nation (i.e., +I, +O). Countries are typically seen as intrinsic wholes (+U), and they do not necessarily depend on other countries to exist (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	+O	+U	-D	Mixin	"""AmountOfMatter"" is a property that quantifies the mass or quantity of matter in a system. While the concept of amount is rigid in the sense that it refers to a fixed quantity of substance, the property itself is not rigid because it can apply to different amounts of the same kind of matter (e.g., a varying amount of water) without changing the nature of the matter. It carries identity conditions through its numerical specification, and thus it supplies its own unique identity condition. The property applies to a unifying entity (e.g., a specific mass of a substance) that can exist independently of other entities, so it is both unifying and independent."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" is a broad category that encompasses any entity having physical properties and occupying space. It is an open-ended category and can include various concrete particulars that do not change substantially over time. While all instances are physical objects in all possible worlds, the specifics of what constitutes a physical object can vary widely. Physical objects provide their own identity conditions through their intrinsic properties and spatial boundaries. They tend to be unifying as they are coherent substances rather than mere aggregates. The existence of a physical object is generally independent of other objects, though they depend on environmental conditions for their specific properties."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	+U	-N	Role Category	"""GroupOfPeople"" is a role category referring to a collection or aggregation of individuals functioning together as a group. Unlike a specific individual which is rigid and has its own identity, a ""GroupOfPeople"" is not a rigid entity. It is context-dependent and can include different members at different times, yet still be the same group under certain circumstances. The group maintains unity as a whole, and the identity of the group is preserved even if the set of members changes, provided there is some sufficient degree of continuity among the members."	
